bridge_id,company,ticker,period,source_file,source_section,evidence_type,metric_or_term,value,unit,what_it_says,what_it_does_not_say,next_required_source,safe_claim
CFMTDRBB-011,Matador Resources Co.,MTDR,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Cash-flow statement,Operating cash flow,Net cash provided by operating activities,1407.674,USD millions,"Matador generated 1.407674B USD of operating cash flow in the first half of 2026.","Company operating cash flow does not prove return on the incremental facility or specific acquired assets.","Asset-level production/cash flow and acquisition contribution detail.","Matador has same-period cash generation to compare against debt and capex."
CFMTDRBB-012,Matador Resources Co.,MTDR,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Cash-flow statement,Capex,Drilling completion and equipping capital expenditures,745.343,USD millions,"Matador spent 745.343M USD on drilling, completion, and equipping capital expenditures in the first half of 2026.","This does not allocate facility proceeds to specific wells or development projects.","Capex by asset area and well/project results.","Matador has visible development-capex use."
CFMTDRBB-013,Matador Resources Co.,MTDR,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Cash-flow statement,Acquisition use,Acquisition of oil and natural gas properties,1228.834,USD millions,"Matador spent 1.228834B USD on acquisition of oil and natural gas properties in the first half of 2026.","This does not identify which acquisition dollars came from debt proceeds or prove acquired-asset return.","Acquisition note, purchase-price allocation, financing note, and acquired production/cash contribution.","Matador has visible acquisition cash use that can be tested against financing sources."
CFMTDRBB-014,Matador Resources Co.,MTDR,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Cash-flow statement,Financing movement,Borrowings under Credit Agreement,2154.000,USD millions,"Matador drew 2.154B USD under the Credit Agreement in the first half of 2026.","This does not prove all draws funded acquisitions or development.","Borrowing notices, funds-flow, and use-of-proceeds detail.","Matador has large visible secured borrowing movement."
CFMTDRBB-015,Matador Resources Co.,MTDR,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Cash-flow statement,Financing movement,Repayments of borrowings under Credit Agreement,1613.000,USD millions,"Matador repaid 1.613B USD under the Credit Agreement in the first half of 2026.","This does not identify refinancing economics or net benefit.","Debt rollforward and repayment source detail.","Matador's facility activity includes major draws and repayments, not only new funding."
CFMTDRBB-016,Matador Resources Co.,MTDR,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Cash-flow statement,Financing movement,Borrowings under San Mateo Credit Facility,209.000,USD millions,"San Mateo borrowings were 209.0M USD in the first half of 2026.","This does not prove midstream project return.","San Mateo project/use schedule and midstream cash contribution.","Matador has visible midstream facility borrowing movement."
CFMTDRBB-017,Matador Resources Co.,MTDR,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Cash-flow statement,Financing movement,Repayments under San Mateo Credit Facility,181.000,USD millions,"San Mateo repaid 181.0M USD under its credit facility in the first half of 2026.","This does not prove source of repayment or project-level cash conversion.","San Mateo debt rollforward and EBITDA/cash contribution detail.","Matador's midstream financing movement remains source-visible but return-open."
CFMTDRBB-018,Matador Resources Co.,MTDR,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Cash-flow statement,Unsecured notes,Proceeds from issuance of senior unsecured notes,750.000,USD millions,"Matador issued 750.0M USD of senior unsecured notes in the first half of 2026.","This does not establish whether proceeds funded acquisition, revolver repayment, or general corporate purposes.","Indenture, offering memo, use-of-proceeds language, and debt repayment detail.","Matador has visible unsecured debt source evidence."
CFMTDRBB-019,Matador Resources Co.,MTDR,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Cash-flow statement,Unsecured notes,Purchase of senior unsecured notes,509.670,USD millions,"Matador used 509.670M USD to purchase senior unsecured notes in the first half of 2026.","This does not show realized refinancing economics or interest savings.","Tender/redemption terms and debt extinguishment detail.","Matador has visible refinancing-style debt retirement activity."
CFMTDRBB-020,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Operating results,Production,Average daily production,215631,BOE/d,"Matador averaged 215,631 BOE/d in Q2 2026, up 3% from Q2 2025.","This is company-level production and does not isolate financed wells or acquired properties.","Production by asset area, acquisition contribution, and well-level capital efficiency.","Matador has company-level output evidence, not asset-level return proof."
CFMTDRBB-021,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Operating results,Production,Oil production,11476,MBbl,"Matador produced 11.476MMbbl of oil in Q2 2026, up 3% from Q2 2025.","This does not prove financing caused production growth.","Asset-area production and capital allocation detail.","Matador has source-visible production output for the same period."
CFMTDRBB-022,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Operating results,Production,Natural gas production,48.9,Bcf,"Matador produced 48.9Bcf of natural gas in Q2 2026, up 4% from Q2 2025.","This does not prove financed-project output or cash return.","Asset-area production and midstream throughput detail.","Matador has same-period gas output evidence."
CFMTDRBB-023,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Operating results,Revenue,Total revenues,1186.392,USD millions,"Matador reported 1.186392B USD of Q2 2026 total revenues, up 33% from Q2 2025.","This is not project-level cash return and includes commodity-price effects.","Revenue by asset/acquisition contribution and realized-price bridge.","Matador has same-period revenue output, but return attribution remains open."
