geometry_row_id,row_type,reconciliation_row_id,parser_row_id,page,cusip,issuer_or_description,asset_type_guess,money_token_count,first_four_candidate_book_value,extra_group_count,extra_group_book_candidates,max_extra_group_book_candidate,geometry_class,variance_relevance,proof_effect,boundary,next_action
CFKKRGACEDHG-025,high-dollar-candidate-row,CFKKRGACEDCR-0225,CFKKRGACEDP-0225,223,07274N-AQ-6,BAYER US FINANCE II LLC,finance_company_or_funding_vehicle,8,57184894,1,60142081,60142081,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-026,high-dollar-candidate-row,CFKKRGACEDCR-0015,CFKKRGACEDP-0015,218,54438C-PA-4,LOS ANGELES CALIF CMNTY COLLEGE DIST,issuer_credit_or_corporate_bond,8,56626113,1,47376763,47376763,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-027,high-dollar-candidate-row,CFKKRGACEDCR-0413,CFKKRGACEDP-0413,227,26442C-BK-9,DUKE ENERGY CAROLINAS LLC,utility_or_energy_credit,8,49918733,1,51337500,51337500,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-028,high-dollar-candidate-row,CFKKRGACEDCR-0981,CFKKRGACEDP-0981,240,963320-AX-4,WHIRLPOOL CORP,issuer_credit_or_corporate_bond,8,48696573,1,12092065,12092065,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-029,high-dollar-candidate-row,CFKKRGACEDCR-0374,CFKKRGACEDP-0374,226,22822V-AQ-4,CROWN CASTLE INC,issuer_credit_or_corporate_bond,7,48357679,0,,0,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-030,high-dollar-candidate-row,CFKKRGACEDCR-0532,CFKKRGACEDP-0532,230,437076-CD-2,HOME DEPOT INC,issuer_credit_or_corporate_bond,8,47205182,1,101679067,101679067,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-031,high-dollar-candidate-row,CFKKRGACEDCR-0970,CFKKRGACEDP-0970,240,94974B-GU-8,WELLS FARGO & CO,issuer_credit_or_corporate_bond,8,45705863,1,56541713,56541713,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-032,high-dollar-candidate-row,CFKKRGACEDCR-0966,CFKKRGACEDP-0966,239,949746-RF-0,WELLS FARGO & CO,issuer_credit_or_corporate_bond,8,44744314,1,49044227,49044227,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-033,high-dollar-candidate-row,CFKKRGACEDCR-0341,CFKKRGACEDP-0341,226,20030N-CM-1,COMCAST CORP,issuer_credit_or_corporate_bond,8,42886453,1,50018445,50018445,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-034,high-dollar-candidate-row,CFKKRGACEDCR-0355,CFKKRGACEDP-0355,226,209111-FT-5,CONSOLIDATED EDISON COMPANY OF NEW YORK,issuer_credit_or_corporate_bond,7,42253176,0,,0,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-035,high-dollar-candidate-row,CFKKRGACEDCR-0565,CFKKRGACEDP-0565,230,46115H-BN-6,INTESA SANPAOLO SPA,issuer_credit_or_corporate_bond,8,40540187,1,33851239,33851239,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-036,high-dollar-candidate-row,CFKKRGACEDCR-0858,CFKKRGACEDP-0858,237,855244-AU-3,STARBUCKS CORP,issuer_credit_or_corporate_bond,8,40119117,1,63657552,63657552,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-037,high-dollar-candidate-row,CFKKRGACEDCR-0847,CFKKRGACEDP-0847,237,842587-EB-9,SOUTHERN CO,issuer_credit_or_corporate_bond,6,39000000,0,,0,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-038,high-dollar-candidate-row,CFKKRGACEDCR-0305,CFKKRGACEDP-0305,225,14448C-AS-3,CARRIER GLOBAL CORP,issuer_credit_or_corporate_bond,8,37348582,1,14579167,14579167,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-039,high-dollar-candidate-row,CFKKRGACEDCR-0884,CFKKRGACEDP-0884,238,87938W-AX-1,TELEFONICA EMISIONES SAU,issuer_credit_or_corporate_bond,7,37242464,0,,0,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-040,high-dollar-candidate-row,CFKKRGACEDCR-0947,CFKKRGACEDP-0947,239,92343V-DS-0,VERIZON COMMUNICATIONS INC,issuer_credit_or_corporate_bond,8,37084038,1,34614226,34614226,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-041,high-dollar-candidate-row,CFKKRGACEDCR-0320,CFKKRGACEDP-0320,225,172967-HS-3,CITIGROUP INC,issuer_credit_or_corporate_bond,8,36722352,1,36517738,36517738,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-042,high-dollar-candidate-row,CFKKRGACEDCR-0419,CFKKRGACEDP-0419,227,26444H-AN-1,DUKE ENERGY FLORIDA LLC,utility_or_energy_credit,8,36145957,1,30892500,30892500,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-043,high-dollar-candidate-row,CFKKRGACEDCR-0071,CFKKRGACEDP-0071,219,36271M-AA-5,GSPWC 2023 LLC Class A Asset-Backed Note,issuer_credit_or_corporate_bond,7,35641361,0,,0,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-044,high-dollar-candidate-row,CFKKRGACEDCR-0036,CFKKRGACEDP-0036,218,592643-AA-8,METROPOLITAN WASH D C ARPTS AUTH DULLES,issuer_credit_or_corporate_bond,8,33393700,1,26124652,26124652,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-045,high-dollar-candidate-row,CFKKRGACEDCR-0152,CFKKRGACEDP-0152,221,03523T-BV-9,ANHEUSER-BUSCH INBEV WORLDWIDE INC,issuer_credit_or_corporate_bond,8,33345124,1,51387500,51387500,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
CFKKRGACEDHG-046,high-dollar-candidate-row,CFKKRGACEDCR-0936,CFKKRGACEDP-0936,239,91324P-DV-1,UNITEDHEALTH GROUP INC,issuer_credit_or_corporate_bond,8,32819338,1,22222375,22222375,candidate-mapped-high-dollar-row,"sensitivity row: already mapped, but a column error would move the reconciliation materially",prioritizes high-dollar spot checks after held-row geometry is resolved,Geometry diagnostic only; extra token groups are not promoted to statutory columns or cash proof.,"inspect source-page column geometry and rerun reconciliation before treating book, income, proceeds, or return fields as final."
