"metric_id","route_id","source_id","pilot_id","company","proof_ids","metric_family","metric_label","period_or_effective_date","metric_value","unit","source_anchor","promotion_level","what_it_says","what_it_does_not_say"
"CFPGFM-011","CFPGSR-008","fpl-2025-sppcrc-actual-estimated-projection","CF519P2-014","NextEra Energy, Inc.","CFPGS-017;CFPGS-019","cost-recovery clause","SPP program projected revenue requirements before true-up","2026","873.977263","USD million","SPPCRC testimony separates 873.977263 million dollars of projected program revenue requirements before true-up effects.","clause-revenue-requirement-visible","Storm-protection program recovery can be parsed into a schedule-level bridge.","It does not establish project-level ROE or full capital-use attribution."
"CFPGFM-012","CFPGSR-009","fpl-2025-rate-case-tariff-suspension-recommendation","CF519P2-014","NextEra Energy, Inc.","CFPGS-017;CFPGS-019","rate-case baseline","as-filed 2026 annual revenue request","2026-01-01","1550","USD million","PSC staff recommendation summarizes FPL's as-filed request as about 1.55 billion dollars of additional gross annual revenue for 2026.","request-baseline-visible","The extraction now preserves request-versus-settlement delta context.","It is not approved final recovery."
"CFPGFM-013","CFPGSR-009","fpl-2025-rate-case-tariff-suspension-recommendation","CF519P2-014","NextEra Energy, Inc.","CFPGS-017;CFPGS-019","rate-case baseline","as-filed 2027 annual revenue request","2027-01-01","927","USD million","PSC staff recommendation summarizes the as-filed 2027 request as 927 million dollars of additional gross annual revenue.","request-baseline-visible","The table can compare requested and settlement revenue increases.","It is not approved final recovery."
"CFPGFM-014","CFPGSR-009","fpl-2025-rate-case-tariff-suspension-recommendation","CF519P2-014","NextEra Energy, Inc.","CFPGS-017;CFPGS-019","rate-case baseline","as-filed ROE midpoint request","2026-2027 test years","11.90","percent","PSC staff recommendation states FPL asserted a requested ROE midpoint of 11.90 percent.","request-baseline-visible","The final-order/settlement 10.95 percent ROE can be compared with the request baseline.","It is not the approved settlement ROE."
"CFPGFM-015","CFPGSR-010","nextera-2026q1-sec-exhibit99-backlog","CF519P2-014","NextEra Energy, Inc.","CFPGS-018;CFPGS-020","Energy Resources backlog","new renewables and storage origination added to backlog","Q1 2026","4","GW","NextEra Q1 2026 SEC exhibit reports record new renewables and storage origination, adding 4 GW to backlog.","backlog-addition-visible","Energy Resources backlog growth is now visible in an SEC exhibit.","It does not disclose project customer price or return."
"CFPGFM-016","CFPGSR-010","nextera-2026q1-sec-exhibit99-backlog","CF519P2-014","NextEra Energy, Inc.","CFPGS-018;CFPGS-020","Energy Resources backlog","battery storage origination within backlog additions","Q1 2026","1.3","GW","NextEra Q1 2026 SEC exhibit identifies 1.3 GW of battery storage origination within the quarter's backlog additions.","storage-backlog-visible","The technology split improves contracted-output quality.","It does not prove battery project economics or financing."
"CFPGFM-017","CFPGSR-010","nextera-2026q1-sec-exhibit99-backlog","CF519P2-014","NextEra Energy, Inc.","CFPGS-017;CFPGS-019","FPL output/recovery context","new cost-effective solar placed in service","Q1 2026","600","MW","NextEra Q1 2026 SEC exhibit says FPL placed approximately 600 MW of new cost-effective solar into service.","in-service-output-visible","FPL has in-service output evidence that can be reconciled with recovery mechanisms.","It does not prove the revenue requirement for each solar project."
"CFPGFM-018","CFPGSR-010","nextera-2026q1-sec-exhibit99-backlog","CF519P2-014","NextEra Energy, Inc.","CFPGS-017;CFPGS-019","FPL output/recovery context","FPL owned and operated solar portfolio","Q1 2026","8.5+","GW","NextEra Q1 2026 SEC exhibit says the new solar additions put FPL's owned and operated solar portfolio above 8.5 GW.","portfolio-output-visible","The operating asset base is visible as a denominator for recovery analysis.","It is not a project-return calculation."
"CFPGFM-019","CFPGSR-011","nextera-meta-2025-clean-energy-contract-release","CF519P2-014","NextEra Energy, Inc.","CFPGS-018","customer contract","Meta clean-energy contract milestone","2025-12-08","2.5","GW","NextEra IR release states Energy Resources and Meta reached approximately 2.5 GW of clean-energy contracts.","named-customer-contract-visible","A named hyperscaler customer route upgrades backlog quality beyond anonymous aggregate backlog.","It does not disclose PPA price, margin, debt financing, or project IRR."
"CFPGFM-020","CFPGSR-011","nextera-meta-2025-clean-energy-contract-release","CF519P2-014","NextEra Energy, Inc.","CFPGS-018","customer contract","Meta PPA and ESA count","2025-12-08","11 PPA; 2 ESA","contracts","NextEra IR release ties the 2.5 GW milestone to 11 power purchase agreements and two energy storage agreements.","named-contract-count-visible","The customer-contract row has agreement-count evidence.","It does not disclose contract tenors or pricing."
"CFPGFM-021","CFPGSR-011","nextera-meta-2025-clean-energy-contract-release","CF519P2-014","NextEra Energy, Inc.","CFPGS-018","customer contract","Meta solar project PPAs across ERCOT/SPP/MISO","2025-12-08","2.1 GW across 9 projects","GW/projects","NextEra IR release says Meta PPAs enable 2.1 GW of clean energy through nine solar projects across ERCOT, SPP, and MISO.","market-and-project-count-visible","The release links named customer, markets, technology, and project count.","It does not identify each project's capex or return."
"CFPGFM-022","CFPGSR-011","nextera-meta-2025-clean-energy-contract-release","CF519P2-014","NextEra Energy, Inc.","CFPGS-018","customer contract","PNM Rate 36B solar and storage support","2025-12-08","190 MW solar; 168 MW battery","MW","NextEra IR release says four New Mexico projects provide 190 MW solar and 168 MW battery storage to support PNM's system through Rate 36B.","tariff/customer-support-visible","The row links customer demand to a named utility rate mechanism.","It does not disclose the underlying PNM tariff economics or project financing."
"CFPGFM-023","CFPGSR-011","nextera-meta-2025-clean-energy-contract-release","CF519P2-014","NextEra Energy, Inc.","CFPGS-018","customer contract","Meta project online window and jobs","2026-2028","13 projects; up to 2440 jobs","projects/jobs","NextEra IR release says the 2.5 GW across 13 projects is scheduled online between 2026 and 2028 and could create up to 2,440 construction jobs.","project-timing-visible","The release gives in-service timing for named-customer contracted capacity.","It does not provide project cost or return."
"CFPGFM-024","CFPGSR-011","nextera-meta-2025-clean-energy-contract-release","CF519P2-014","NextEra Energy, Inc.","CFPGS-018","operating scale","Energy Resources net generating capacity in operation","year-end 2024","33410","MW","NextEra IR release says Energy Resources had approximately 33,410 MW of net generating capacity in operation at year-end 2024.","operating-scale-visible","The operating platform denominator is visible for backlog-to-base comparison.","It does not prove economics for the Meta contracts."
