queue_id,company,current_bridge,priority,proof_gap,action_type,target_source_or_document,source_route_or_local_base,expected_output,readiness,fields_to_extract,pass_test,hold_or_disproof_test,next_artifact,safe_claim
CFDRBUQ-011,Liberty Broadband Corporation,holdco collateral restructuring bridge,11,exchangeable debenture settlement economics,parse-local-and-search,"Exchangeable-debenture settlement notice, fair-value reconciliation, cash/stock settlement terms, and extinguishment accounting","Liberty 10-Q/10-K notes; indenture notices; transaction filings; Charter share settlement details","analysis/company-first-principles/data/capital-flow-liberty-debenture-settlement-economics-pass-1.csv",executed-local-pass-1,"principal; carrying value; settlement cash; shares; premium; gain/loss; tax; funding source; residual obligation","Pass result: debenture-retirement mechanics and funding-source language are visible; all outstanding 2053 debentures were put back and retired for 966M USD including accrued interest, funded with Margin Loan Facility proceeds and restricted cash.","Hold result: settlement value creation remains unproven without accrued-interest split, fair-value rollforward, tax impact, exact funding-source split, contractual LTV certificate, and final merger funds-flow.",capital-flow-liberty-debenture-settlement-economics-pass-1.md,"Liberty now has debenture-retirement mechanics visible, not proven settlement value creation or shareholder realization."
CFDRBUQ-012,Liberty Broadband Corporation,holdco collateral restructuring bridge,12,final merger funds-flow and shareholder realization,monitor-and-fetch,"Charter/Liberty merger closing statement, final consideration, debt repayment/assumption, tax treatment, and residual cash","Merger closing 8-K, proxy supplement, final funds-flow, Charter post-close filings","analysis/company-first-principles/data/capital-flow-liberty-final-merger-funds-flow-pass-1.csv",not-yet-confirmed,"consideration; exchange ratio; debt repaid; debt assumed; cash retained; tax; shareholder value; closing date","Pass if shareholder realization and debt treatment are visible at close.","Hold if merger is not closed or final funds-flow is absent; disprove realization claim if value remains non-cash or uncertain.",capital-flow-liberty-final-merger-funds-flow-pass-1.md,"Liberty cannot be a shareholder-realization bridge until closing mechanics are visible."
CFDRBUQ-013,PBF Energy Inc.,refining liquidity bridge,13,ABL availability and collateral mechanics,search-and-fetch,"Revolving Credit Facility / ABL agreement, borrowing-base certificate, availability table, and collateral tests","SEC exhibits, credit-agreement amendments, 10-Q liquidity notes, lender schedules","analysis/company-first-principles/data/capital-flow-pbf-abl-availability-collateral-pass-1.csv",route-visible-not-local,"facility size; borrowing base; availability; eligible inventory/receivables; reserves; covenants; collateral; agent; lenders","Pass if PBF's zero quarter-end revolver balance can be interpreted against available liquidity and collateral.","Hold if only quarter-end balance is visible; disprove ABL-exit claim if facility remains active and material.",capital-flow-pbf-abl-availability-collateral-pass-1.md,"PBF has revolver movement, not ABL exit proof."
CFDRBUQ-014,PBF Energy Inc.,refining liquidity bridge,14,2028-to-2034 note economics,parse-local-and-search,"2034 indenture, 2028 redemption notice, make-whole/premium detail, fees, and pro forma interest schedule","SEC 8-K/10-Q exhibits, debt footnote, offering memorandum, redemption notices","analysis/company-first-principles/data/capital-flow-pbf-note-refinancing-economics-pass-1.csv",executed-local-pass-1,"old coupon; new coupon; maturity; proceeds; fees; premium; loss; cash interest; annualized interest; debt-service profile","Pass result: note-refinancing mechanics are visible; 500.0M USD of 2034 notes and 492.1M USD of net proceeds plus available cash redeemed 801.6M USD of 2028 notes, with about 11.846M USD of simple annual coupon relief before full economics.","Hold result: refinancing value creation remains unproven without redemption settlement detail, pro forma interest, fee amortization, tax, liquidity opportunity cost, ABL availability, and normalized recurring cash flow.",capital-flow-pbf-note-refinancing-economics-pass-1.md,"PBF now has measured note-refinancing mechanics, not proven refinancing value creation."
CFDRBUQ-015,PBF Energy Inc.,refining liquidity bridge,15,insurance-normalized recurring cash flow,parse-local-and-search,"Insurance recovery schedule, outage detail, adjusted OCF bridge, and recurring refining cash context","PBF 10-Q/10-K notes, MD&A, refinery incident disclosures, insurance-recovery tables","analysis/company-first-principles/data/capital-flow-pbf-insurance-normalized-cash-flow-pass-1.csv",executed-local-pass-1,"insurance proceeds; operating component; investing component; outage; LCM adjustment; OCF; EBITDA; recurring margin; working capital","Pass result: a bounded company-level insurance-normalized cash proxy is visible; reported OCF of 1.2651B USD less 111.3M USD of operating insurance proceeds leaves 1.1538B USD before broader working-capital, LCM, tax, and refinery-allocation normalizations.","Hold result: recurring refinery-level return remains unproven because insurance recovery categories, outage effects, adjusted OCF reconciliation, refinery-level cash contribution, and pro forma debt-service schedule are not complete.",capital-flow-pbf-insurance-normalized-cash-flow-pass-1.md,"PBF now has insurance-bounded company-level cash-quality evidence, not recurring refinery-level return proof."
CFDRBUQ-016,PBF Energy Inc.,refining liquidity bridge,16,refinery-level output and capex return,search-and-fetch,"Refinery-level throughput, turnaround, capex, margin, operating income, and cash contribution tables","PBF investor supplement, refinery segment data, state disclosures, company presentations","analysis/company-first-principles/data/capital-flow-pbf-refinery-output-cash-return-pass-1.csv",route-visible-not-local,"refinery; throughput; capex; turnaround; gross margin; operating expense; operating income; cash contribution; outage","Pass if capex/turnaround spending connects to refinery output and cash contribution.","Hold if only company-level refining metrics are visible; disprove refinery-level return if assets cannot be separated.",capital-flow-pbf-refinery-output-cash-return-pass-1.md,"PBF is not refinery-return proof without refinery-level metrics."
CFDRBUQ-017,Devon Energy Corporation,merger-period allocation bridge,17,treasury funds-flow allocation,parse-local-and-search,"Cash-flow rollforward separating OCF, cash balances, assumed debt, exchanged notes, stock consideration, capex, lease acquisition, debt retirement, dividends, and buybacks","Devon 10-Q, merger agreement, exchange offer docs, treasury/MD&A allocation tables","analysis/company-first-principles/data/capital-flow-devon-treasury-funds-flow-pass-1.csv",executed-local-pass-1,"source; amount; period; use; cash balance; OCF; assumed debt; exchanged notes; stock issued; repayment; dividend; buyback","Pass result: statement-level treasury funds-flow reconciliation is visible; 6.451B USD of visible first-half sources equals 6.451B USD of visible first-half uses.","Hold result: dollar-level sequencing, asset-level return, acquisition return, realized synergy, and financing causality remain unproven without daily cash ledger, closing statements, repayment notices, and asset contribution.",capital-flow-devon-treasury-funds-flow-pass-1.md,"Devon now has statement-level treasury funds-flow reconciliation, not source-specific allocation or return proof."
CFDRBUQ-018,Devon Energy Corporation,merger-period allocation bridge,18,Coterra realized synergy and contribution,monitor-and-fetch,"Post-Q2 2026 integration reporting, realized synergy schedule, Coterra asset EBITDA/OCF/capex, and production contribution","Devon 10-Q/10-K after Q2 2026, investor supplements, merger integration updates","analysis/company-first-principles/data/capital-flow-devon-coterra-realized-synergy-pass-1.csv",not-yet-confirmed,"realized synergy; target synergy; revenue; OCF; EBITDA; capex; production; integration costs; timing","Pass if synergy and cash contribution are realized and separable from pro forma targets.","Hold if only forward-looking target remains; disprove synergy-return claim if realized contribution lags or costs offset.",capital-flow-devon-coterra-realized-synergy-pass-1.md,"Devon has target synergy, not realized synergy proof."
CFDRBUQ-019,Devon Energy Corporation,merger-period allocation bridge,19,Permian lease-sale development and cash return,search-and-fetch,"BLM lease-sale records, Devon development plan, capex schedule, wells, reserves, production, and cash contribution","BLM lease sale, Devon filings/supplements, state well records, reserve disclosures","analysis/company-first-principles/data/capital-flow-devon-permian-lease-development-return-pass-1.csv",route-visible-not-local,"lease; acreage; cost; funding source; drilling plan; wells; capex; production; reserves; revenue; OCF","Pass if the 2.6B USD cash-funded lease acquisition links to development output and cash contribution.","Hold if acreage remains undeveloped; disprove acquisition-return claim if no development/cash evidence appears.",capital-flow-devon-permian-lease-development-return-pass-1.md,"Cash-funded acreage acquisition is not acquisition return."
CFDRBUQ-020,Devon Energy Corporation,merger-period allocation bridge,20,debt economics and shareholder-return sustainability,parse-local-and-search,"Exchange offer economics, term-loan retirement, senior-note redemption, make-whole cost, pro forma interest, free cash flow, payout policy, and commodity sensitivity","Devon debt notes, exchange offers, redemption notices, MD&A, investor supplement, free-cash-flow bridge","analysis/company-first-principles/data/capital-flow-devon-debt-payout-sustainability-pass-1.csv",executed-local-pass-1,"coupon; maturity; repayment; make-whole; interest; FCF; dividends; buybacks; commodity sensitivity; leverage; payout ratio","Pass result: proxy-grade same-period debt/payout sustainability is visible; first-half OCF of 5.329B USD less capex of 2.157B USD leaves a 3.172B USD simple post-capex cash proxy that covered dividends plus buybacks about 4.03x and interest based on debt outstanding about 12.11x.","Hold result: full-cycle sustainability remains unproven without commodity stress, pro forma debt service after July term-loan retirement, make-whole economics, exact source priority, asset-level return, and realized Coterra synergy.",capital-flow-devon-debt-payout-sustainability-pass-1.md,"Devon now has proxy-grade same-period debt/payout sustainability evidence, not full-cycle proof."
