candidate_id,part3_page,part3_source_y,part3_name,disposal_consideration,part3_row_rank,candidate_rank,candidate_source,candidate_page,candidate_row_id,candidate_cusip,candidate_name,overlap_tokens,coverage_score,jaccard_score,candidate_status,boundary
CFAASBANC-0014,5830,342.5,NB Secondary Opportunities Offshore Fund IV DE......... LP Wilmington,"480,538",4,1,part1,5813,CFAASBACP-0031,,NB Secondary Opportunities Offshore Fund IV LP,offshore;opportunities;secondary,1.0000,1.0000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0015,5830,342.5,NB Secondary Opportunities Offshore Fund IV DE......... LP Wilmington,"480,538",4,2,part2,5826,CFAASBACP2-0015,,"Cibus Fund L.P, NB Secondary Opportunities Offshore Fund IV LP Wilmington",offshore;opportunities;secondary,1.0000,0.7500,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0016,5830,342.5,NB Secondary Opportunities Offshore Fund IV DE......... LP Wilmington,"480,538",4,3,part1,5814,CFAASBACP-0045,,Stepstone Secondary Opportunities Fund III Offshore SCSp,offshore;opportunities;secondary,1.0000,0.6000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0017,5830,342.5,NB Secondary Opportunities Offshore Fund IV DE......... LP Wilmington,"480,538",4,4,part2,5826,CFAASBACP2-0016,,"NB Secondary Opportunities Offshore Fund IV LP Wilmington Spiritus Aggregator, LP Wilmington",offshore;opportunities;secondary,1.0000,0.6000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0018,5830,342.5,NB Secondary Opportunities Offshore Fund IV DE......... LP Wilmington,"480,538",4,5,part2,5826,CFAASBACP2-0017,,"Spiritus Aggregator, LP Wilmington Stepstone Secondary Opportunities Fund III Offshore SCSp",offshore;opportunities;secondary,1.0000,0.4286,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0019,5830,350.6,"LP Wilmington DE......... Riverside Micro-Cap Fund IV, L.P. Wilmington","2,805,196",5,1,part1,5814,CFAASBACP-0040,,"Riverside Micro-Cap Fund IV, L.P. SCHF US, LP",cap;micro;riverside,1.0000,0.7500,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0020,5830,350.6,"LP Wilmington DE......... Riverside Micro-Cap Fund IV, L.P. Wilmington","2,805,196",5,2,part1,5814,CFAASBACP-0039,,"Reservoir Strategic Partners Fund, L.P. Riverside Micro-Cap Fund IV, L.P.",cap;micro;riverside,1.0000,0.5000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0021,5830,364.2,Stepstone Secondary Opportunities Fund III DE......... Offshore SCSp Wilmington,"469,444",6,1,part1,5814,CFAASBACP-0045,,Stepstone Secondary Opportunities Fund III Offshore SCSp,iii;offshore;opportunities;secondary;stepstone,1.0000,1.0000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0022,5830,364.2,Stepstone Secondary Opportunities Fund III DE......... Offshore SCSp Wilmington,"469,444",6,2,part2,5826,CFAASBACP2-0017,,"Spiritus Aggregator, LP Wilmington Stepstone Secondary Opportunities Fund III Offshore SCSp",iii;offshore;opportunities;secondary;stepstone,1.0000,0.7143,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0023,5830,364.2,Stepstone Secondary Opportunities Fund III DE......... Offshore SCSp Wilmington,"469,444",6,3,part1,5813,CFAASBACP-0031,,NB Secondary Opportunities Offshore Fund IV LP,offshore;opportunities;secondary,1.0000,0.6000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0024,5830,364.2,Stepstone Secondary Opportunities Fund III DE......... Offshore SCSp Wilmington,"469,444",6,4,part2,5826,CFAASBACP2-0015,,"Cibus Fund L.P, NB Secondary Opportunities Offshore Fund IV LP Wilmington",offshore;opportunities;secondary,0.7500,0.5000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0025,5830,364.2,Stepstone Secondary Opportunities Fund III DE......... Offshore SCSp Wilmington,"469,444",6,5,part1,5813,CFAASBACP-0024,,"Hollyport Secondary Opportunities VI, L.P.",opportunities;secondary,0.6667,0.3333,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0026,5830,377.9,Warwick European Opportunities Fund III .........CYM........ (USD) Limited,"2,011,338",7,1,part1,5814,CFAASBACP-0048,,Warwick European Opportunities Fund III (USD) Limited,european;iii;opportunities;usd;warwick,1.0000,1.0000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0027,5830,377.9,Warwick European Opportunities Fund III .........CYM........ (USD) Limited,"2,011,338",7,2,part1,5814,CFAASBACP-0046,,Warwick European Opportunities Fund II (USD) LP,european;opportunities;usd;warwick,1.0000,0.8000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0028,5830,377.9,Warwick European Opportunities Fund III .........CYM........ (USD) Limited,"2,011,338",7,3,part1,5814,CFAASBACP-0047,,Warwick European Opportunities Fund II (USD) LP,european;opportunities;usd;warwick,1.0000,0.8000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0029,5830,377.9,Warwick European Opportunities Fund III .........CYM........ (USD) Limited,"2,011,338",7,4,part1,5814,CFAASBACP-0045,,Stepstone Secondary Opportunities Fund III Offshore SCSp,iii;opportunities,0.4000,0.2500,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0030,5830,377.9,Warwick European Opportunities Fund III .........CYM........ (USD) Limited,"2,011,338",7,5,part1,5816,CFAASBACP-0135,,"HPS Mezzanine Partners III, L.P. Insight Partners Opportunities Fund I",iii;opportunities,0.4000,0.2222,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0031,5830,403.0,".........CYM........ A-A Funding Holdco Offshore II, LLC","1,775,520",8,1,part1,5814,CFAASBACP-0052,,"AA Direct, L.P. A-A Funding Holdco Offshore I, LLC",funding;holdco;offshore,1.0000,1.0000,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0032,5830,403.0,".........CYM........ A-A Funding Holdco Offshore II, LLC","1,775,520",8,2,part1,5814,CFAASBACP-0053,,"A-A Funding Holdco Offshore I, LLC A-A Funding Holdco Offshore II, LLC",funding;holdco;offshore,1.0000,1.0000,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0033,5830,403.0,".........CYM........ A-A Funding Holdco Offshore II, LLC","1,775,520",8,3,part1,5814,CFAASBACP-0054,,"A-A Funding Holdco Offshore II, LLC AA Net Lease, L.P.",funding;holdco;offshore,1.0000,0.6000,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0034,5830,411.0,"A-A Funding Holdco Offshore II, LLC DE......... A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. Wilmington","1,541,807",9,1,part1,5814,CFAASBACP-0052,,"AA Direct, L.P. A-A Funding Holdco Offshore I, LLC",funding;holdco;offshore,1.0000,0.5000,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0035,5830,411.0,"A-A Funding Holdco Offshore II, LLC DE......... A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. Wilmington","1,541,807",9,2,part1,5814,CFAASBACP-0053,,"A-A Funding Holdco Offshore I, LLC A-A Funding Holdco Offshore II, LLC",funding;holdco;offshore,1.0000,0.5000,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0036,5830,411.0,"A-A Funding Holdco Offshore II, LLC DE......... A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. Wilmington","1,541,807",9,3,part1,5814,CFAASBACP-0065,,"A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. A-A SPN-20 (AIFX) L.P.",aifx;iagemd1pr6;spn,1.0000,0.5000,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0037,5830,411.0,"A-A Funding Holdco Offshore II, LLC DE......... A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. Wilmington","1,541,807",9,4,part2,5826,CFAASBACP2-0018,,"A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. Wilmington",aifx;iagemd1pr6;spn,1.0000,0.5000,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0038,5830,411.0,"A-A Funding Holdco Offshore II, LLC DE......... A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. Wilmington","1,541,807",9,5,part1,5814,CFAASBACP-0054,,"A-A Funding Holdco Offshore II, LLC AA Net Lease, L.P.",funding;holdco;offshore,0.6000,0.3750,ambiguous-or-partial-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0039,5830,419.1,"A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. Wilmington .........CYM........ A-A SPN-7 (RRH IAFAMD), L.P.","19,596,928",10,1,part2,5826,CFAASBACP2-0019,,"A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. Wilmington A-A SPN-7 (RRH IAFAMD), L.P.",aifx;iafamd;iagemd1pr6;rrh;spn,1.0000,1.0000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0040,5830,419.1,"A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. Wilmington .........CYM........ A-A SPN-7 (RRH IAFAMD), L.P.","19,596,928",10,2,part1,5814,CFAASBACP-0065,,"A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. A-A SPN-20 (AIFX) L.P.",aifx;iagemd1pr6;spn,1.0000,0.6000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0041,5830,419.1,"A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. Wilmington .........CYM........ A-A SPN-7 (RRH IAFAMD), L.P.","19,596,928",10,3,part2,5826,CFAASBACP2-0018,,"A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. Wilmington",aifx;iagemd1pr6;spn,1.0000,0.6000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0042,5830,419.1,"A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. Wilmington .........CYM........ A-A SPN-7 (RRH IAFAMD), L.P.","19,596,928",10,4,part1,5814,CFAASBACP-0068,,"A-A SPN-23 (S3ESH1-AAA), L.P. A-A SPN-7 (RRH IAFAMD), L.P.",iafamd;rrh;spn,0.6000,0.4286,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0043,5830,419.1,"A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. Wilmington .........CYM........ A-A SPN-7 (RRH IAFAMD), L.P.","19,596,928",10,5,part1,5814,CFAASBACP-0069,,"A-A SPN-7 (RRH IAFAMD), L.P. A-A SPN-8 (AIOFII AAA), L.P.",iafamd;rrh;spn,0.6000,0.4286,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0044,5830,427.1,"A-A SPN-7 (RRH IAFAMD), L.P. .........CYM........ AltsCo Core (A-A Offshore AAA)",,11,1,part2,5826,CFAASBACP2-0020,,"A-A SPN-7 (RRH IAFAMD), L.P. AltsCo Core (A-A Offshore AAA)",aaa;altsco;core;iafamd;offshore;rrh;spn,1.0000,1.0000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0045,5830,427.1,"A-A SPN-7 (RRH IAFAMD), L.P. .........CYM........ AltsCo Core (A-A Offshore AAA)",,11,2,part1,5814,CFAASBACP-0074,,AltsCo Core (A-A Offshore AAA),aaa;altsco;core;offshore,1.0000,0.5714,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0046,5830,427.1,"A-A SPN-7 (RRH IAFAMD), L.P. .........CYM........ AltsCo Core (A-A Offshore AAA)",,11,3,part1,5814,CFAASBACP-0068,,"A-A SPN-23 (S3ESH1-AAA), L.P. A-A SPN-7 (RRH IAFAMD), L.P.",aaa;iafamd;rrh;spn,0.8000,0.5000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0047,5830,427.1,"A-A SPN-7 (RRH IAFAMD), L.P. .........CYM........ AltsCo Core (A-A Offshore AAA)",,11,4,part1,5814,CFAASBACP-0069,,"A-A SPN-7 (RRH IAFAMD), L.P. A-A SPN-8 (AIOFII AAA), L.P.",aaa;iafamd;rrh;spn,0.8000,0.5000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0048,5830,427.1,"A-A SPN-7 (RRH IAFAMD), L.P. .........CYM........ AltsCo Core (A-A Offshore AAA)",,11,5,part2,5826,CFAASBACP2-0021,,AltsCo Core (A-A Offshore AAA) AltsCo Core (AAA Aggregator),aaa;altsco;core;offshore,0.8000,0.5000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0049,5830,435.2,AltsCo Core (A-A Offshore AAA) .........CYM........ AltsCo Core (A-A Offshore AAA),,12,1,part1,5814,CFAASBACP-0074,,AltsCo Core (A-A Offshore AAA),aaa;altsco;core;offshore,1.0000,1.0000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0050,5830,435.2,AltsCo Core (A-A Offshore AAA) .........CYM........ AltsCo Core (A-A Offshore AAA),,12,2,part2,5826,CFAASBACP2-0021,,AltsCo Core (A-A Offshore AAA) AltsCo Core (AAA Aggregator),aaa;altsco;core;offshore,1.0000,0.8000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0051,5830,435.2,AltsCo Core (A-A Offshore AAA) .........CYM........ AltsCo Core (A-A Offshore AAA),,12,3,part2,5826,CFAASBACP2-0020,,"A-A SPN-7 (RRH IAFAMD), L.P. AltsCo Core (A-A Offshore AAA)",aaa;altsco;core;offshore,1.0000,0.5714,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0052,5830,435.2,AltsCo Core (A-A Offshore AAA) .........CYM........ AltsCo Core (A-A Offshore AAA),,12,4,part1,5814,CFAASBACP-0075,,AltsCo Core (AAA Aggregator),aaa;altsco;core,0.7500,0.6000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0053,5830,435.2,AltsCo Core (A-A Offshore AAA) .........CYM........ AltsCo Core (A-A Offshore AAA),,12,5,part1,5814,CFAASBACP-0076,,"AltsCo Core (AAA Aggregator) AP CADMA HOLDINGS, L.P.",aaa;altsco;core,0.7500,0.4286,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0054,5830,443.2,"AltsCo Core (A-A Offshore AAA) DE......... AP Highlands Co-Invest, L.P. Wilmington","3,204,735",13,1,part1,5814,CFAASBACP-0074,,AltsCo Core (A-A Offshore AAA),aaa;altsco;core;offshore,1.0000,0.6667,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0055,5830,443.2,"AltsCo Core (A-A Offshore AAA) DE......... AP Highlands Co-Invest, L.P. Wilmington","3,204,735",13,2,part1,5815,CFAASBACP-0077,,"AP Highlands Co-Invest, L.P.",highlands;invest,1.0000,0.3333,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0056,5830,443.2,"AltsCo Core (A-A Offshore AAA) DE......... AP Highlands Co-Invest, L.P. Wilmington","3,204,735",13,3,part2,5826,CFAASBACP2-0021,,AltsCo Core (A-A Offshore AAA) AltsCo Core (AAA Aggregator),aaa;altsco;core;offshore,0.8000,0.5714,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0057,5830,443.2,"AltsCo Core (A-A Offshore AAA) DE......... AP Highlands Co-Invest, L.P. Wilmington","3,204,735",13,4,part1,5814,CFAASBACP-0075,,AltsCo Core (AAA Aggregator),aaa;altsco;core,0.7500,0.4286,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0058,5830,443.2,"AltsCo Core (A-A Offshore AAA) DE......... AP Highlands Co-Invest, L.P. Wilmington","3,204,735",13,5,part2,5826,CFAASBACP2-0020,,"A-A SPN-7 (RRH IAFAMD), L.P. AltsCo Core (A-A Offshore AAA)",aaa;altsco;core;offshore,0.6667,0.4444,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0059,5830,458.1,"Apollo Total Return Fund Inv Wilmington DE......... Motive Capital Fund II-B, LP Wilmington","1,118,064",14,1,part2,5826,CFAASBACP2-0023,,"Apollo Total Return Fund Inv Wilmington Motive Capital Fund II-B, LP Wilmington",apollo;capital;inv;motive;return;total,1.0000,1.0000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0060,5830,458.1,"Apollo Total Return Fund Inv Wilmington DE......... Motive Capital Fund II-B, LP Wilmington","1,118,064",14,2,part1,5815,CFAASBACP-0093,,"Motive Capital Fund II-A, LP Motive Capital Fund II-B, LP",capital;motive,1.0000,0.3333,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0061,5830,458.1,"Apollo Total Return Fund Inv Wilmington DE......... Motive Capital Fund II-B, LP Wilmington","1,118,064",14,3,part2,5826,CFAASBACP2-0022,03765#-AA-3,AltsCo Core (AAA Aggregator) Apollo Total Return Fund Inv Wilmington,apollo;inv;return;total,0.6667,0.4000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0062,5830,458.1,"Apollo Total Return Fund Inv Wilmington DE......... Motive Capital Fund II-B, LP Wilmington","1,118,064",14,4,part1,5815,CFAASBACP-0092,,"MidCap FinCo LLC Motive Capital Fund II-A, LP",capital;motive,0.5000,0.2500,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0063,5830,458.1,"Apollo Total Return Fund Inv Wilmington DE......... Motive Capital Fund II-B, LP Wilmington","1,118,064",14,5,part1,5815,CFAASBACP-0094,,"Motive Capital Fund II-B, LP Motive Early Stage, LP",capital;motive,0.5000,0.2500,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0064,5830,475.1,"CA......... Shattuck Owner, LLC Berkeley","4,331,000",15,1,part2,5826,CFAASBACP2-0024,,"Shattuck Owner, LLC Berkeley",owner;shattuck,1.0000,1.0000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0065,5830,475.1,"CA......... Shattuck Owner, LLC Berkeley","4,331,000",15,2,part2,5826,CFAASBACP2-0025,,"Shattuck Owner, LLC Berkeley Times Square Equity New",owner;shattuck,1.0000,0.4000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0066,5830,483.2,"Shattuck Owner, LLC Berkeley IA......... AAIA RML, LLC. West Des Moines","18,086,645",16,1,part2,5826,CFAASBACP2-0024,,"Shattuck Owner, LLC Berkeley",owner;shattuck,1.0000,0.5000,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
CFAASBANC-0067,5830,483.2,"Shattuck Owner, LLC Berkeley IA......... AAIA RML, LLC. West Des Moines","18,086,645",16,2,part1,5815,CFAASBACP-0114,,"A-A SPN-5 (USREIII AAA), L.P. AAIA RML, LLC",aaia;rml,0.5000,0.2857,unique-high-coverage-name-candidate,Candidate-only fuzzy name bridge; requires page/row inspection and lot/transaction evidence before continuity promotion.
