bridge_id,company,ticker,period,source_file,source_section,evidence_type,metric_or_term,value,unit,what_it_says,what_it_does_not_say,next_required_source,safe_claim
CFLBHR-011,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Margin Loan Facility note,Facility availability,Margin Loan Facility available draw,218.000,USD millions,"At June 30 2026, about 218M USD was available to be drawn under the Margin Loan Agreement, subject to funding conditions.","This does not prove liquidity sufficiency or absence of margin-call risk.","Funding conditions, LTV tests, and collateral value schedule.","Liberty had some visible unused margin-loan availability."
CFLBHR-012,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Margin Loan Facility note,Collateral,SPV obligations secured by Charter shares,Charter shares pledged,qualitative,"The 10-Q says SPV's obligations under the Margin Loan Facility are secured by Charter shares owned by SPV.","This does not quantify pledged shares or collateral cushion in this pass.","Pledged-share schedule and loan-to-value test.","Liberty's debt is collateral-linked to Charter equity."
CFLBHR-013,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Margin Loan Facility note,Maturity,Margin Loan Facility maturity,Jun. 30 2027,date,"The margin-loan maturity date is June 30 2027 and the facility was classified as current.","This does not prove refinancing or repayment path after the merger timeline.","Merger close timing and debt repayment schedule.","Liberty's margin debt had a near-term maturity profile."
CFLBHR-014,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Transaction note,Charter loan use,Charter term loan advanced to repay margin loan,359.000,USD millions,"On May 12 2026, Charter advanced a term loan of about 359M USD to Liberty Broadband to repay borrowings under the Margin Loan Facility.","This is not operating return; it is transaction-linked debt substitution.","Charter loan agreement and repayment mechanics.","Liberty has explicit source/use evidence: Charter loan proceeds repaid margin-loan borrowings."
CFLBHR-015,Liberty Broadband Corporation,LBRDK/LBRDA,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Cash-flow statement,Operating cash flow,Net cash used in operating activities,118.000,USD millions,"Liberty Broadband used 118M USD of cash in operating activities during the first half of 2026.","This is negative operating cash flow and does not support operating-return proof.","Cash-use detail and recurring corporate expense schedule.","Liberty is a holding-company cash-use case, not an operating cash-generating company."
CFLBHR-016,Liberty Broadband Corporation,LBRDK/LBRDA,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Cash-flow statement,Asset monetization,Cash received for Charter shares repurchased by Charter,595.000,USD millions,"Liberty Broadband received 595M USD from Charter share repurchases in the first half of 2026.","This is asset monetization, not operating cash return from Liberty's own operations.","Share repurchase schedule and per-share pricing detail.","Liberty's liquidity bridge is partly funded by Charter share monetization."
CFLBHR-017,Liberty Broadband Corporation,LBRDK/LBRDA,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Cash-flow statement,Debt movement,Borrowings of debt,1239.000,USD millions,"Liberty Broadband had 1.239B USD of debt borrowings in the first half of 2026.","This does not show durable cash generation or shareholder realization.","Debt rollforward and instrument-level borrowing schedule.","Liberty has visible holding-company financing inflows."
CFLBHR-018,Liberty Broadband Corporation,LBRDK/LBRDA,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Cash-flow statement,Debt movement,Repayments of debt,1771.000,USD millions,"Liberty Broadband repaid 1.771B USD of debt in the first half of 2026.","This does not prove net value creation; it is debt restructuring and repayment activity.","Debt settlement details by instrument.","Liberty has visible repayment activity larger than borrowings."
CFLBHR-019,Liberty Broadband Corporation,LBRDK/LBRDA,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,MD&A liquidity,Debenture settlement,3.125% Exchangeable Senior Debentures due 2053 settlement,965.000,USD millions,"Management says first-half financing cash use was primarily to settle the 3.125% Exchangeable Senior Debentures due 2053 for 965M USD.","This does not prove shareholder cash realization or favorable refinancing economics.","Debenture settlement detail and fair-value reconciliation.","Liberty's debt movement includes a major exchangeable-debenture settlement."
CFLBHR-020,Liberty Broadband Corporation,LBRDK/LBRDA,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,MD&A liquidity,Charter loan source,Charter term loan advancement,359.000,USD millions,"Management says financing cash use was partially offset by a 359M USD term loan advanced by Charter.","This does not prove all margin-loan repayment economics or final merger settlement.","Charter loan agreement and maturity/interest terms.","Charter provided a visible transaction-linked funding source."
CFLBHR-021,Liberty Broadband Corporation,LBRDK/LBRDA,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,MD&A liquidity,Margin loan movement,Net borrowings on Margin Loan Facility,74.000,USD millions,"Management says first-half financing cash use was partially offset by 74M USD of net borrowings on the Margin Loan Facility.","This does not show gross draw timing or collateral cushion.","Margin loan borrowing detail and LTV test.","Liberty had visible margin-loan activity during the period."
CFLBHR-022,Liberty Broadband Corporation,LBRDK/LBRDA,2026 onward,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Stockholders and Letter Agreement Amendment,Liquidity mechanism,Monthly Charter repurchase rule after April 6 2026,"lesser of 100M USD and liquidity-plus-margin-loan formula",qualitative,"After the 2053 debentures were no longer outstanding, monthly Charter repurchases are capped by the lesser of 100M USD and an amount tied to minimum liquidity requirements plus Margin Loan Facility principal outstanding.","This is a liquidity mechanism, not a guarantee of final shareholder cash realization.","Stockholders/letter amendment and monthly repurchase notices.","Liberty's cash path is governed by Charter repurchase and liquidity mechanics."
CFLBHR-023,Liberty Broadband Corporation,LBRDK/LBRDA,2026 onward,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Stockholders and Letter Agreement Amendment,Repurchase limitation,Minimum Charter equity interest floor,25.25,percent,"If a repurchase would reduce Liberty Broadband's Charter equity interest below 25.25%, Charter may instead loan funds to Liberty Broadband subject to the agreement.","This does not prove final ownership percentage or loan amount at closing.","Repurchase notices, equity ownership schedule, and merger closing documents.","Liberty's debt/liquidity mechanics are constrained by Charter ownership thresholds."
CFLBHR-024,Liberty Broadband Corporation,LBRDK/LBRDA,Rest of 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,MD&A liquidity,Projected uses of cash,Interest payments on outstanding debt,40.000,USD millions,"Projected uses of cash for the remainder of 2026 include about 40M USD for interest payments on outstanding debt.","This is a projected cash use, not realized debt-service coverage.","Subsequent cash-flow statement and interest-payment detail.","Liberty has visible near-term debt-service cash needs."
CFLBHR-025,Liberty Broadband Corporation,LBRDK/LBRDA,Rest of 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,MD&A liquidity,Projected uses of cash,Preferred stock dividends,5.000,USD millions,"Projected uses of cash for the remainder of 2026 include about 5M USD for preferred stock dividends.","This is not common shareholder realization.","Preferred stock terms and subsequent payment detail.","Liberty has visible near-term preferred dividend cash needs."
