detail_row_id,coordinate_row_id,schedule_part,page,cusip,cusip_marker_type,book_adjusted_carrying_value,interest_income_due_accrued,interest_received_during_year,payment_due_at_maturity,simple_interest_received_on_book_pct,proof_use,boundary,next_action
CFKKRGACOBIBD-011,CFKKRGACEDCOB-0946,Schedule D Part 1 Section 1 issuer-credit obligations owned,239,91324P-DV-1,standard-cusip-like,32819338,465517,1232250,22222375,3.754646,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-012,CFKKRGACEDCOB-0243,Schedule D Part 1 Section 1 issuer-credit obligations owned,223,0778FP-AN-9,standard-cusip-like,18180937,407173,1077810,19958905,5.928242,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-013,CFKKRGACEDCOB-0357,Schedule D Part 1 Section 1 issuer-credit obligations owned,226,202795-JY-7,standard-cusip-like,20041083,441645,1060000,20528974,5.289135,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-014,CFKKRGACEDCOB-0801,Schedule D Part 1 Section 1 issuer-credit obligations owned,236,747525-BT-9,standard-cusip-like,17379814,112771,990180,,5.697299,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-015,CFKKRGACEDCOB-1150,Schedule D Part 1 Section 2 asset-backed securities owned,245,26362#-AA-1,statutory-private-marker-cusip,10271213,29102,988654,10271213,9.625484,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-016,CFKKRGACEDCOB-0236,Schedule D Part 1 Section 1 issuer-credit obligations owned,223,07274N-BH-5,standard-cusip-like,23304235,454401,985449,20801387,4.228626,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-017,CFKKRGACEDCOB-0353,Schedule D Part 1 Section 1 issuer-credit obligations owned,226,20268J-AD-5,standard-cusip-like,25635000,244622,978488,26124244,3.817000,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-018,CFKKRGACEDCOB-0909,Schedule D Part 1 Section 1 issuer-credit obligations owned,238,89153V-AV-1,standard-cusip-like,28256486,86514,973279,63223279,3.444445,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-019,CFKKRGACEDCOB-1147,Schedule D Part 1 Section 2 asset-backed securities owned,245,047698-AB-1,standard-cusip-like,15547217,13496,971701,,6.250000,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-020,CFKKRGACEDCOB-0624,Schedule D Part 1 Section 1 issuer-credit obligations owned,232,546676-AY-3,standard-cusip-like,23364177,235684,942735,15924351,4.034959,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-021,CFKKRGACEDCOB-0093,Schedule D Part 1 Section 1 issuer-credit obligations owned,220,00206R-KA-9,standard-cusip-like,24157343,78171,938050,42155550,3.883084,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-022,CFKKRGACEDCOB-0493,Schedule D Part 1 Section 1 issuer-credit obligations owned,229,36264F-AN-1,standard-cusip-like,18841509,251823,934600,23832300,4.960325,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-023,CFKKRGACEDCOB-0255,Schedule D Part 1 Section 1 issuer-credit obligations owned,223,097023-AX-3,standard-cusip-like,16497483,273787,929844,13989922,5.636278,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-024,CFKKRGACEDCOB-0539,Schedule D Part 1 Section 1 issuer-credit obligations owned,230,437076-BX-9,standard-cusip-like,24004747,64500,928800,,3.869235,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-025,CFKKRGACEDCOB-0089,Schedule D Part 1 Section 1 issuer-credit obligations owned,220,00206R-DK-5,standard-cusip-like,19797005,283111,910000,20455000,4.596655,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-026,CFKKRGACEDCOB-0751,Schedule D Part 1 Section 1 issuer-credit obligations owned,234,685218-AB-5,standard-cusip-like,19337902,364967,906125,,4.685746,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-027,CFKKRGACEDCOB-0146,Schedule D Part 1 Section 1 issuer-credit obligations owned,221,031162-BZ-2,standard-cusip-like,19983688,159507,906026,22229522,4.533828,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-028,CFKKRGACEDCOB-0115,Schedule D Part 1 Section 1 issuer-credit obligations owned,220,012725-AD-9,standard-cusip-like,17795665,74597,895163,16872581,5.030231,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-029,CFKKRGACEDCOB-0472,Schedule D Part 1 Section 1 issuer-credit obligations owned,228,30303M-8J-4,standard-cusip-like,17531312,336222,890000,20445000,5.076631,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-030,CFKKRGACEDCOB-1155,Schedule D Part 1 Section 2 asset-backed securities owned,245,45033@-AA-2,statutory-private-marker-cusip,18322566,12342,888997,34834073,4.851924,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-031,CFKKRGACEDCOB-0224,Schedule D Part 1 Section 1 issuer-credit obligations owned,223,06051G-HS-1,standard-cusip-like,26129738,254989,866000,,3.314231,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-032,CFKKRGACEDCOB-0132,Schedule D Part 1 Section 1 issuer-credit obligations owned,221,023135-BM-7,standard-cusip-like,19924698,304583,850000,20425000,4.266062,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-033,CFKKRGACEDCOB-1148,Schedule D Part 1 Section 2 asset-backed securities owned,245,047698-AC-9,standard-cusip-like,12919523,12650,848268,28550316,6.565784,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-034,CFKKRGACEDCOB-0474,Schedule D Part 1 Section 1 issuer-credit obligations owned,228,30303M-8W-5,standard-cusip-like,14937842,314500,846375,15416250,5.665979,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-035,CFKKRGACEDCOB-0067,Schedule D Part 1 Section 1 issuer-credit obligations owned,219,00151@-AA-3,statutory-private-marker-cusip,27000000,261000,839980,,3.111037,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-036,CFKKRGACEDCOB-0541,Schedule D Part 1 Section 1 issuer-credit obligations owned,230,437076-CD-2,standard-cusip-like,47205182,353625,837534,101679067,1.774242,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-037,CFKKRGACEDCOB-0862,Schedule D Part 1 Section 1 issuer-credit obligations owned,237,84756N-AE-9,standard-cusip-like,14822873,221562,830858,14379429,5.605243,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-038,CFKKRGACEDCOB-0352,Schedule D Part 1 Section 1 issuer-credit obligations owned,226,20030N-CZ-2,standard-cusip-like,23949406,345000,828000,24414000,3.457288,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-039,CFKKRGACEDCOB-0882,Schedule D Part 1 Section 1 issuer-credit obligations owned,237,87264A-BN-4,standard-cusip-like,20863073,311667,825000,50825000,3.954355,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
CFKKRGACOBIBD-040,CFKKRGACEDCOB-0982,Schedule D Part 1 Section 1 issuer-credit obligations owned,240,95000U-2M-4,standard-cusip-like,19002512,195605,809399,,4.259432,ranked named owned-bond cash-back proxy row,"ranked row shows statutory interest received, not borrower receipt/use, remittance waterfall, liability spread, or final return",map high-interest CUSIP to issuer/wrapper documents and test income/proceeds continuity
