inspection_id,page,source_parser_row_id,cusip,issuer_or_description,page_priority_status,parser_actual_cost,parser_fair_value,parser_book_adjusted_carrying_value,parser_interest_income,parser_interest_received_during_year,raw_line_excerpt,raw_numeric_tokens,blank_marker_count_before_first_number,diagnosis,current_status,next_action
CFAASDHP-022,5939,CFAASDFR-4573,25151U-AB-3,Deutsche Alt-A Securities Mort DBALT 2007-AR2 A2 .,high-priority-column-correction,,,,"6,548","1,320","25151U-AB-3 ..... Deutsche Alt-A Securities Mort DBALT 2007-AR2 A2 . ................ ....6. * ... .......................... ...............233,807 ........................ .......................... .................. .................. .................. .................. ......4.186 ......0.000 MON ..... ....................... .................6,548 ....01/31/2023 ... ....03/25/2037 ... ........... 1,320 ............","233,807; 6,548; 1,320",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-023,5939,CFAASDFR-4574,25151U-AF-4,Deutsche Alt-A Securities Mort DBALT 2007-AR2 A6 .,high-priority-column-correction,,,,,"35,550","25151U-AF-4 ..... Deutsche Alt-A Securities Mort DBALT 2007-AR2 A6 . ................ ....6. * ... .......................... ................ 35,550 ........................ .......................... .................. .................. .................. .................. ......4.146 ......0.000 MON ..... ....................... ...................974 ....01/31/2023 ... ....03/25/2037 ... ..............246 ............","35,550",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-024,5939,CFAASDFR-4587,30246Q-AN-3,FBR Securitization Trust 2005- FBRSI 2005-2 M7,high-priority-column-correction,,10,,"16,000,000","159,632","30246Q-AN-3 ..... FBR Securitization Trust 2005- FBRSI 2005-2 M7 .... ................ ...6. FM .. .......................... ...........16,000,000 ..................... 10 .......................... .................. .................. .................. .................. ......5.721 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....09/25/2035 ... .........159,632 ............","16,000,000; 159,632",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-025,5939,CFAASDFR-4560,24381Y-AA-2,Deephaven Residential Mortgage DRMT 2022-3 A1,high-priority-column-correction,"3,724,376","3,747,311","3,724,376","32,837","3,451,107","24381Y-AA-2 ..... Deephaven Residential Mortgage DRMT 2022-3 A1 ...... ................ .... 1.A .... ...............3,724,376 ............ 3,733,710 ............ 3,747,311 ..............3,724,376 .................. .................. .................. .................. ......5.300 ......5.174 MON ..... ............... 16,491 ............... 32,837 ....10/07/2025 ... ....07/25/2067 ... ...... 3,451,107 ............","3,724,376; 3,733,710; 3,747,311; 3,724,376; 16,491; 32,837; 3,451,107",0,parser has book value on a high-priority page; use as control row,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-026,5940,CFAASDFR-4605,31659T-BU-8,Fieldstone Mortgage Investment FMIC 2004-3 M7,high-priority-column-correction,,"74,737",,"74,737","20,138","31659T-BU-8 ..... Fieldstone Mortgage Investment FMIC 2004-3 M7 ..... ................ ...6. FM .. .......................... ............ 1,972,596 ................ 74,737 .......................... .................. .................. .................. .................. ......7.071 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....08/25/2034 ... ..........20,138 ............","1,972,596; 74,737; 20,138",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-027,5940,CFAASDFR-4606,31659T-CF-0,Fieldstone Mortgage Investment FMIC 2004-4 M5,high-priority-column-correction,,4,,"6,295,000","62,112","31659T-CF-0 ..... Fieldstone Mortgage Investment FMIC 2004-4 M5 ..... ................ ...6. FM .. .......................... ............ 6,295,000 .......................4 .......................... .................. .................. .................. .................. ......6.546 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....10/25/2035 ... ..........62,112 ............","6,295,000; 62,112",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-028,5940,CFAASDFR-4608,31659T-DH-5,Fieldstone Mortgage Investment FMIC 2005-1 M8,high-priority-column-correction,,1,,"2,000,000","20,225","31659T-DH-5 ..... Fieldstone Mortgage Investment FMIC 2005-1 M8 ..... ................ ...6. FM .. .......................... ............ 2,000,000 .......................1 .......................... .................. .................. .................. .................. ......5.871 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....03/25/2035 ... .......... 20,225 ............","2,000,000; 20,225",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-029,5940,CFAASDFR-4609,31659T-DJ-1,Fieldstone Mortgage Investment FMIC 2005-1 M9,high-priority-column-correction,,5,,"7,500,000","75,844","31659T-DJ-1 ..... Fieldstone Mortgage Investment FMIC 2005-1 M9 ..... ................ ...6. FM .. .......................... ............ 7,500,000 .......................5 .......................... .................. .................. .................. .................. ......6.846 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....03/25/2035 ... ..........75,844 ............","7,500,000; 75,844",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-030,5940,CFAASDFR-4607,31659T-DF-9,Fieldstone Mortgage Investment FMIC 2005-1 M6,high-priority-column-correction,"696,550","858,332","786,250","6,284","6,447","31659T-DF-9 ..... Fieldstone Mortgage Investment FMIC 2005-1 M6 ..... ................ .. 1.A FM .. .................696,550 ............ 1,005,476 ...............858,332 .................786,250 .................. .......... 35,154 .................. .................. ......5.016 ......9.566 MON ..... ...................841 .................6,284 ....07/31/2024 ... ....03/25/2035 ... ........... 6,447 ............","696,550; 1,005,476; 858,332; 786,250; 35,154; 6,284; 6,447",0,parser has book value on a high-priority page; use as control row,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-031,5962,CFAASDFR-5604,785778-PH-8,SACO I Trust 2006-2 SACO 2006-2 1M,high-priority-column-correction,,,,,"20,934","785778-PH-8 ..... SACO I Trust 2006-2 SACO 2006-2 1M ................... ................ ....6. * ... .......................... ................ 20,934 ........................ .......................... .................. .................. .................. .................. ......5.121 ......0.000 MON ..... ....................... ......................3 ....01/31/2023 ... ....06/25/2036 ... ..............163 ............","20,934",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-032,5962,CFAASDFR-5607,80382S-AG-3,Sasco Net Interest Margin Trus SASNM 2003-BC2 N2 .,high-priority-column-correction,,,,"353,928","4,334","80382S-AG-3 ..... Sasco Net Interest Margin Trus SASNM 2003-BC2 N2 . ................ .. 1.A FM .. .......................... ...............353,928 ........................ .......................... .................. .................. .................. .................. ......8.500 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....02/27/2033 ... ............4,334 ............","353,928; 4,334",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-033,5962,CFAASDFR-5610,80556A-AF-4,Saxon Asset Securities Trust 2 SAST 2006-3 M2,high-priority-column-correction,,1,,"2,000,000","16,255","80556A-AF-4 ..... Saxon Asset Securities Trust 2 SAST 2006-3 M2 ..... ................ ...6. FM .. .......................... ............ 2,000,000 .......................1 .......................... .................. .................. .................. .................. ......4.326 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....10/25/2046 ... ..........16,255 ............","2,000,000; 16,255",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-034,5962,CFAASDFR-5611,80556A-AG-2,Saxon Asset Securities Trust 2 SAST 2006-3 M3,high-priority-column-correction,,3,,"4,000,000","32,509","80556A-AG-2 ..... Saxon Asset Securities Trust 2 SAST 2006-3 M3 ..... ................ ...6. FM .. .......................... ............ 4,000,000 .......................3 .......................... .................. .................. .................. .................. ......4.356 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....10/25/2046 ... .......... 32,509 ............","4,000,000; 32,509",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-035,5962,CFAASDFR-5588,762009-BB-3,RFMSI Series 2007-S6 Trust RFMSI 2007-S6 2A4,high-priority-column-correction,"245,580","240,216","244,482","1,431","17,166","762009-BB-3 ..... RFMSI Series 2007-S6 Trust RFMSI 2007-S6 2A4 ...... ................ .. 5.C FM .. .................245,580 ...............286,109 ...............240,216 .................244,482 .................. ........... 1,173 .................. .................. ......6.000 ......7.028 MON ..... .................1,431 ...............17,166 ....12/31/2011 ... ....06/25/2037 ... ............... 52 ............","245,580; 286,109; 240,216; 244,482; 1,173; 1,431; 17,166",0,parser has book value on a high-priority page; use as control row,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-036,5969,CFAASDFR-5918,94986L-AK-0,Wells Fargo Mortgage Backed Se WFMBS 2007-16 2A1 .,high-priority-column-correction,,,,,,94986L-AK-0 ..... Wells Fargo Mortgage Backed Se WFMBS 2007-16 2A1 . ................ ....6. * ... .......................... .......................5 ........................ .......................... .................. .................. .................. .................. ......6.000 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....12/28/2037 ... .................. ............,,2,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-037,5969,CFAASDFR-5922,BCC0YF-7J-1,Chevy Chase Funding LLC Mortga CCMFC 2007-2X B1,high-priority-column-correction,,,,,,BCC0YF-7J-1 ..... Chevy Chase Funding LLC Mortga CCMFC 2007-2X B1 ... ................ ....6. * ... .......................... ..................... 10 ........................ .......................... .................. .................. .................. .................. ......5.290 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....05/25/2048 ... .................. ............,,2,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-038,5969,CFAASDFR-5930,000778-BM-1,ABSC NIM 2005-KS4 Trust ABSN 2005-KS4 NOTE,high-priority-column-correction,,,,"1,531,263","13,637","000778-BM-1 ..... ABSC NIM 2005-KS4 Trust ABSN 2005-KS4 NOTE ......... ................ .. 1.A FM .. .......................... ............ 1,531,263 ........................ .......................... .................. .................. .................. .................. ......4.750 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....05/25/2035 ... ..........13,637 ............","1,531,263; 13,637",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-039,5969,CFAASDFR-5931,000778-BR-0,ABSC NIMs Trust 2005-HE3 ABSN 2005-HE5 A,high-priority-column-correction,,,,"1,858,569","16,745","000778-BR-0 ..... ABSC NIMs Trust 2005-HE3 ABSN 2005-HE5 A ............ ................ ...6. FM .. .......................... ............ 1,858,569 ........................ .......................... .................. .................. .................. .................. ......5.250 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....06/27/2035 ... ..........16,745 ............","1,858,569; 16,745",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-040,5969,CFAASDFR-5903,94983R-AD-6,Wells Fargo Mortgage Backed Se WFMBS 2006-AR5 2A1,high-priority-column-correction,"285,191","309,178","286,081","1,777","21,169","94983R-AD-6 ..... Wells Fargo Mortgage Backed Se WFMBS 2006-AR5 2A1 ................ .. 1.A FM .. .................285,191 ...............319,659 ...............309,178 ................ 286,081 .................. ..........(4,010) .................. .................. ......6.673 .....10.816 MON ..... ................ 1,777 ............... 21,169 ....04/07/2020 ... ....04/25/2036 ... ..............115 ............","285,191; 319,659; 309,178; 286,081; (4,010); 1,777; 21,169",0,parser has book value on a high-priority page; use as control row,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
CFAASDHP-041,5970,CFAASDFR-5946,149754-AQ-6,Cayman ABSC NIMs 2004-HE9 ABSN 2004-HE9 A2,high-priority-column-correction,,,,"406,798","3,766","149754-AQ-6 ..... Cayman ABSC NIMs 2004-HE9 ABSN 2004-HE9 A2 ......... ................ .. 1.A FM .. .......................... ...............406,798 ........................ .......................... .................. .................. .................. .................. ......5.000 ......0.000 MON ..... ....................... ....................... ....01/31/2023 ... ....12/25/2034 ... ........... 3,766 ............","406,798; 3,766",1,raw row contains repeated blank-column dot markers; positional numeric parser likely shifted fields left,raw-row-inspection-visible,add ABS parser logic that preserves blank numeric columns instead of compacting numeric tokens
