parser_row_id,schedule,population,page,cusip_or_identifier,name_and_raw_terms,naic_designation_detected,asset_type_guess,first_numeric_values,current_status,proof_use,boundary
CFAASBAFR-00011,Schedule BA Part 1,year-end-owned-assets,5817,29226R-AA-5,"Employers Mutual Casualty Co SUB 5.750% 08/20/39 .............................................. .......... Des Moines .......................... ......... IA......... ................................................. ....... 2.A ........ ....05/17/2023 ... ....... ....... ........9,389,013 ........9,422,352 ........9,401,252 ................... ........(53,973)................. ................. ................. ........163,875 ................. ......0.000",2.A,other-invested-asset,"9,389,013; 9,422,352; 9,401,252; (53,973); 163,875",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00012,Schedule BA Part 1,year-end-owned-assets,5817,30958P-AA-1,"Farmers Exchange Capital II Subordinated 6.151% 11/01/53 ..................................... .......... Los Angeles ........................ ......... DE......... ................................................. ....... 2.A ........ ....07/25/2016 ... ....... ....... ...... 12,082,992 ...... 10,963,230 ...... 11,683,459 ................... ...... (228,917)................. ................. ................. ........686,083 ................. ......0.000",2.A,other-invested-asset,"12,082,992; 10,963,230; 11,683,459; (228,917); 686,083",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00013,Schedule BA Part 1,year-end-owned-assets,5817,30958Q-AA-9,"Farmers Exchange Capital III Subordinated 5.454% 10/15/54 ..................................... .......... Los Angeles ........................ ......... CA......... ................................................. ....... 2.A ........ ....08/30/2016 ... ....... ....... ....... 3,720,800 ........3,604,746 ........3,696,885 ................... ........(24,321)................. ................. ................. ........142,940 ................. ......0.000",2.A,other-invested-asset,"3,720,800; 3,604,746; 3,696,885; (24,321); 142,940",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00014,Schedule BA Part 1,year-end-owned-assets,5817,309601-AE-2,"Farmers Insurance Exchange Subordinated 4.747% 11/01/57 ..................................... .......... Los Angeles ........................ ......... CA......... ................................................. ....... 2.A ........ ....10/10/2017 ... ....... ....... ....... 4,000,000 ........3,398,578 ....... 4,000,000 ................... ................. ................. ................. ................. ........141,883 ................. ......0.000",2.A,other-invested-asset,"4,000,000; 3,398,578; 4,000,000; 141,883",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00015,Schedule BA Part 1,year-end-owned-assets,5817,401378-AC-8,"Guardian Life Insurance Co of Subordinated 4.850% 01/24/77 ..................................... .......... New York ............................ ......... NY......... ................................................. ....... 1.D ........ ....01/17/2017 ... ....... ....... ......12,018,830 ........9,862,337 ...... 12,017,929 ................... ........(18,717) ................. ................. ................. ........144,961 ................. ......0.000",1.D,other-invested-asset,"12,018,830; 9,862,337; 12,017,929; (18,717); 144,961",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00016,Schedule BA Part 1,year-end-owned-assets,5817,401378-AB-0,"Guardian Life Insurance Co of Subordinated 4.875% 06/19/64 ..................................... .......... New York ............................ ......... NY......... ................................................. ....... 1.D ........ ....01/26/2017 ... ....... ....... ........9,939,699 ........8,474,927 ........9,937,749 ................... ........(16,737)................. ................. ................. ........396,825 ................. ......0.000",1.D,other-invested-asset,"9,939,699; 8,474,927; 9,937,749; (16,737); 396,825",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00017,Schedule BA Part 1,year-end-owned-assets,5817,401378-AA-2,"Guardian Life Insurance Co of Subordinated 7.375% 09/30/39 ..................................... .......... New York ............................ ......... NY......... Direct ......................................... ....... 1.D ........ ....03/07/2018 ... ....... ....... ........4,170,245 ........3,471,949 ........3,852,349 ................... ........(34,185)................. ................. ................. ........192,180 ................. ......0.000",1.D,other-invested-asset,"4,170,245; 3,471,949; 3,852,349; (34,185); 192,180",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00018,Schedule BA Part 1,year-end-owned-assets,5817,575767-AR-9,"Massachusetts Mutual Life Insu Subordinated 3.200% 12/01/61 ..................................... .......... Springfield ........................ ......... MA......... Credit Suisse ................................ ....... 1.D ........ ....11/18/2021 ... ....... ....... ........3,615,990 ........2,693,896 ........3,632,231 ................... ..........8,064 ................. ................. ................. ........144,000 ................. ......0.000",1.D,other-invested-asset,"3,615,990; 2,693,896; 3,632,231; 8,064; 144,000",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00019,Schedule BA Part 1,year-end-owned-assets,5817,575767-AN-8,"Massachusetts Mutual Life Insu Subordinated 3.729% 10/15/70 ..................................... .......... Springfield ........................ ......... MA......... ................................................. ....... 1.D ........ ....10/10/2019 ... ....... ....... ........3,799,801 ........2,483,539 ....... 3,801,171 ................... .........(2,985)................. ................. ................. .........54,692 ................. ......0.000",1.D,other-invested-asset,"3,799,801; 2,483,539; 3,801,171; (2,985); 54,692",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00020,Schedule BA Part 1,year-end-owned-assets,5817,575767-AK-4,"Massachusetts Mutual Life Insu Subordinated 4.500% 04/15/65 ..................................... .......... Springfield ........................ ......... MA......... ................................................. ....... 1.D ........ ....08/14/2024 ... ....... ....... ........1,412,644 ........1,332,956 ........1,415,857 ................... .........(3,912)................. ................. ................. .........78,930 ................. ......0.000",1.D,other-invested-asset,"1,412,644; 1,332,956; 1,415,857; (3,912); 78,930",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00021,Schedule BA Part 1,year-end-owned-assets,5817,575767-AL-2,"Massachusetts Mutual Life Insu Subordinated 4.900% 04/01/77 ..................................... .......... Springfield ........................ ......... MA......... ................................................. ....... 1.D ........ ....03/20/2017 ... ....... ....... ...... 22,144,001 ......16,510,028 ...... 22,103,118 ................... ........(20,182)................. ................. ................. ........475,981 ................. ......0.000",1.D,other-invested-asset,"22,144,001; 16,510,028; 22,103,118; (20,182); 475,981",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00022,Schedule BA Part 1,year-end-owned-assets,5817,575767-AM-0,"Massachusetts Mutual Life Insu SUBORDINATED 5.077% 02/15/69 ..................................... .......... Springfield ........................ ......... MA......... ................................................. ....... 1.D ........ ....03/26/2021 ... ....... ....... ......18,000,000 ...... 16,013,221 ......18,000,000 ................... ................. ................. ................. ................. ........425,057 ................. ......0.000",1.D,other-invested-asset,"18,000,000; 16,013,221; 18,000,000; 425,057",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00023,Schedule BA Part 1,year-end-owned-assets,5817,575767-AT-5,"Massachusetts Mutual Life Insu Subordinated 5.672% 12/01/52 ..................................... .......... Springfield ........................ ......... MA......... Morgan Stanley ............................... ....... 1.D ........ ....09/09/2025 ... ....... ....... ...... 18,103,289 ...... 17,646,969 ...... 18,105,598 ................... .........(1,615)................. ................. ................. ........309,861 ................. ......0.000",1.D,other-invested-asset,"18,103,289; 17,646,969; 18,105,598; (1,615); 309,861",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00024,Schedule BA Part 1,year-end-owned-assets,5817,628312-AA-8,"Mutual of Omaha Insurance Co Subordinated 6.800% 06/15/36 ..................................... .......... Omaha ................................ ......... NE......... Jefferies & Co (PFI) ....................... ....... 1.G ........ ....03/15/2019 ... ....... ....... ....... 3,750,600 ........3,321,410 ........3,523,849 ................... ........(60,003)................. ................. ................. ........680,000 ................. ......0.000",1.G,other-invested-asset,"3,750,600; 3,321,410; 3,523,849; (60,003); 680,000",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00025,Schedule BA Part 1,year-end-owned-assets,5817,636792-AB-9,"National Life Insurance Co Subordinated 5.250% 07/19/68 ..................................... .......... Springfield ........................ ......... VT......... Credit Suisse ................................ ....... 1.G ........ ....07/10/2018 ... ....... ....... ...... 30,872,440 ......25,761,000 ...... 30,877,455 ................... ........(60,707) ................. ................. ................. ........285,104 ................. ......0.000",1.G,other-invested-asset,"30,872,440; 25,761,000; 30,877,455; (60,707); 285,104",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00026,Schedule BA Part 1,year-end-owned-assets,5817,64952G-AQ-1,"New York Life Insurance Co SUB 4.450% 05/15/69 .............................................. .......... New York ............................ ......... NY......... ................................................. ....... 1.D ........ ....04/01/2019 ... ....... ....... ........5,361,012 ........4,207,709 ........5,363,012 ................... ........(15,657)................. ................. ................. ........240,300 ................. ......0.000",1.D,other-invested-asset,"5,361,012; 4,207,709; 5,363,012; (15,657); 240,300",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00027,Schedule BA Part 1,year-end-owned-assets,5817,64952G-AT-5,"New York Life Insurance Co SUBORDINATED 3.750% 05/15/50 ..................................... .......... New York ............................ ......... NY......... ................................................. ....... 1.D ........ ....05/27/2020 ... ....... ....... ........4,542,452 ........2,973,327 ........4,473,715 ................... ..........7,118 ................. ................. ................. .........12,675 ................. ......0.000",1.D,other-invested-asset,"4,542,452; 2,973,327; 4,473,715; 7,118; 12,675",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00028,Schedule BA Part 1,year-end-owned-assets,5817,64952G-AF-5,"New York Life Insurance Co Subordinated 6.750% 11/15/39 ..................................... SD....... New York ............................ ......... NY......... Direct ......................................... ....... 1.D ........ ....03/07/2018 ... ....... ....... .......... 272,229 ..........228,751 .......... 253,292 ................... ........(45,379)................. ................. ................. .........13,500 ................. ......0.000",1.D,other-invested-asset,"272,229; 228,751; 253,292; (45,379); 13,500",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00029,Schedule BA Part 1,year-end-owned-assets,5817,64952G-AF-5,"New York Life Insurance Co Subordinated 6.750% 11/15/39 ..................................... .......... New York ............................ ......... NY......... Direct ......................................... ....... 1.D ........ ....09/09/2025 ... ....... ....... ...... 22,497,943 ...... 22,451,928 ...... 22,457,240 ................... ........(45,379)................. ................. ................. ........662,513 ................. ......0.000 ................ Ngm Insurance Co Surplus Notes 7.250% 11/02/36 .............................................. .......... Jacksonville ....................... ......... FL......... ................................................. ....... 1.G ........ ....10/28/2016 ... ....... ....... ......50,000,000 ...... 50,375,000 ......50,000,000 ................... ................. ................. ................. ................. .....2,900,000 ................. ......0.000",1.D,transferred-or-debt-style-asset,"22,497,943; 22,451,928; 22,457,240; (45,379); 662,513; 50,000,000; 50,375,000; 50,000,000; 2,900,000",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00030,Schedule BA Part 1,year-end-owned-assets,5817,668138-AC-4,"Northwestern Mutual Life Insur Subordinated 3.625% 09/30/59 ..................................... .......... Milwaukee ........................... ......... WI......... ................................................. ....... 1.D ........ ....09/12/2019 ... ....... ....... ...... 22,421,929 ...... 13,259,587 ...... 22,054,514 ................... ........(27,872)................. ................. ................. .........81,865 ................. ......0.000 E07.4",1.D,other-invested-asset,"22,421,929; 13,259,587; 22,054,514; (27,872); 81,865",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00031,Schedule BA Part 1,year-end-owned-assets,5818,69448F-AA-9,"Pacific Life Insurance Co Subordinated 4.300% 10/24/67 ..................................... .......... Newport Beach ...................... ......... CA......... ................................................. ....... 1.F ........ ....10/17/2017 ... ....... ....... ...... 15,944,770 ...... 12,860,395 ...... 15,947,841 ................... ........(26,105)................. ................. ................. ........401,333 ................. ......0.000 7620ET-AA-7 . RGA Reinsurance Co Sr Subordinated 4.000% 12/13/51 .............................................. C........ Springfield ........................ ......... MA......... Direct ......................................... ....... 1.F ........ ....11/29/2021 ... ....... ....... .....145,000,000 .....105,269,145 .....145,000,000 ................... ................. ................. ................. ................. .....3,815,789 ................. ......0.000 7620ET-AA-7 . RGA Reinsurance Co Sr Subordinated 4.000% 12/13/51 .............................................. .......... Springfield ........................ ......... MA......... Direct ......................................... ....... 1.F ........ ....11/29/2021 ... ....... ....... ......45,000,000 ...... 32,669,735 ......45,000,000 ................... ................. ................. ................. ................. .....1,184,211 ................. ...",1.F,other-invested-asset,"15,944,770; 12,860,395; 15,947,841; (26,105); 401,333; 145,000,000; 105,269,145; 145,000,000; 3,815,789; 45,000,000; 32,669,735; 45,000,000; 1,184,211",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00032,Schedule BA Part 1,year-end-owned-assets,5818,81372W-AB-5,"Secura Insurance Co Secura Insurance Co 8.670% 03/14/39 ..................................... .......... Neenah ............................... ......... WI......... Tax Free Exchange ........................... ....... 2.A ........ ....04/15/2024 ... ....... ....... ......65,000,000 ...... 65,975,000 ......65,000,000 ................... ................. ................. ................. ................. .....1,083,750 ................. ......0.000 878091-BG-1 . Teachers Insurance & Annuity A SUB 3.300% 05/15/50 .............................................. .......... New York ............................ ......... NY......... Citigroup ...................................... ....... 1.D ........ ....05/27/2020 ... ....... ....... ........4,380,819 ........2,922,419 ........4,365,054 ................... .........(3,977)................. ................. ................. .......... 9,304 ................. ......0.000",2.A,other-invested-asset,"65,000,000; 65,975,000; 65,000,000; 1,083,750; 4,380,819; 2,922,419; 4,365,054; (3,977); 9,304",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00033,Schedule BA Part 1,year-end-owned-assets,5818,878091-BF-3,"Teachers Insurance & Annuity A Subordinated 4.270% 05/15/47 ..................................... .......... New York ............................ ......... NY......... ................................................. ....... 1.D ........ ....05/03/2017 ... ....... ....... ...... 28,276,829 ...... 22,854,941 ...... 28,208,226 ................... ........(60,009)................. ................. ................. ........648,106 ................. ......0.000",1.D,other-invested-asset,"28,276,829; 22,854,941; 28,208,226; (60,009); 648,106",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00034,Schedule BA Part 1,year-end-owned-assets,5818,878091-BD-8,"Teachers Insurance & Annuity A Subordinated 4.900% 09/15/44 ..................................... .......... New York ............................ ......... NY......... ................................................. ....... 1.D ........ ....01/10/2017 ... ....... ....... ....... 9,885,860 ....... 8,190,661 ........9,702,976 ................... ........(87,414)................. ................. ................. ........245,000 ................. ......0.000",1.D,other-invested-asset,"9,885,860; 8,190,661; 9,702,976; (87,414); 245,000",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00035,Schedule BA Part 1,year-end-owned-assets,5818,878091-BC-0,"Teachers Insurance & Annuity A Subordinated 6.850% 12/16/39 ..................................... .......... New York ............................ ......... NY......... ................................................. ....... 1.D ........ ....07/08/2016 ... ....... ....... ...... 67,586,092 ...... 57,231,613 ...... 62,575,623 ................... ...... (726,622)................. ................. ................. .....1,791,475 ................. ......0.000",1.D,other-invested-asset,"67,586,092; 57,231,613; 62,575,623; (726,622); 1,791,475",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00036,Schedule BA Part 1,year-end-owned-assets,5818,95765P-AA-7,"Western And Southern Life Insu Subordinated 5.150% 01/15/49 ..................................... .......... Cincinnati .......................... ..........OH......... J.P. Morgan Sec .............................. ....... 1.F ........ ....01/17/2019 ... ....... ....... ......17,310,738 ...... 15,785,865 ...... 17,320,990 ................... ...... (170,546)................. ................. ................. ........515,000 ................. ......0.000",1.F,other-invested-asset,"17,310,738; 15,785,865; 17,320,990; (170,546); 515,000",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00037,Schedule BA Part 1,year-end-owned-assets,5818,92264H-AA-8,"Venerable Insurance and Annuity Subordinated 7.750% 06/29/45 ..................................... .......... West Chester ....................... ......... PA......... ................................................. ....... 2.A ........ ....08/28/2025 ... ....... ....... ...... 42,041,843 ......42,000,000 ...... 42,041,632 ................... ............(211)................. ................. ................. .....1,247,005 ................. ......0.000",2.A,other-invested-asset,"42,041,843; 42,000,000; 42,041,632; 1,247,005",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00038,Schedule BA Part 1,year-end-owned-assets,5818,AP4442-22-8,"ASR Nederland NV Subordinated 4.625% Perpet. .......................................................... .......... ...................................... .........NLD......... Goldman Sachs ................................ ....... 2.C ........ ....10/08/2025 ... ....... ....... ........9,762,142 ........9,796,523 ........9,866,303 ................... ................. ................. ................. ........104,161 ........101,301 ................. ......0.000",2.C,other-invested-asset,"9,762,142; 9,796,523; 9,866,303; 104,161; 101,301",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
CFAASBAFR-00039,Schedule BA Part 1,year-end-owned-assets,5818,05254H-AA-2,"Australia & New Zealand Bankin Junior Subordinated 6.750% Perpet. ................... .......... ...................................... .........AUS......... ................................................. ....... 2.B ........ ....01/01/2025 ... ....... ....... ......12,700,000 ...... 12,628,464 ...... 12,564,401 ................... ........(79,031)................. ................. ................. ........417,371 ................. ......0.000",2.B,other-invested-asset,"12,700,000; 12,628,464; 12,564,401; (79,031); 417,371",full-range-schedule-ba-parser-row-visible,repeatable named Schedule BA detail row,"raw row population; Part 1/2/3 layouts differ, blanks are preserved, and row-level numeric columns are not promoted to cash or return proof"
