control_row_id,schedule,page,control_code,raw_control_text,numeric_tokens,current_status,boundary
CFAASBAC-0011,Schedule BA Part 1,5817,2699999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - other - affiliated 13,049,510 8,189,619 2,086,008,422 172,440,192 350,612 1,090,394,204 XXX","13,049,510; 8,189,619; 2,086,008,422; 172,440,192; 350,612; 1,090,394,204",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0012,Schedule BA Part 1,5818,2799999,"Surplus notes - unaffiliated 871,411,534 757,187,174 865,070,377 (1,503,913) 21,194,932 XXX","871,411,534; 757,187,174; 865,070,377; (1,503,913); 21,194,932",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0013,Schedule BA Part 1,5818,2899999,"Surplus notes - affiliated 42,041,843 42,000,000 42,041,632 (211) 1,247,005 XXX","42,041,843; 42,000,000; 42,041,632; 1,247,005",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0014,Schedule BA Part 1,5821,2999999,"Capital notes - unaffiliated 2,769,034,563 2,891,537,992 2,787,803,772 (193,043) (4,853,467) 24,728,598 77,036,088 XXX","2,769,034,563; 2,891,537,992; 2,787,803,772; (193,043); (4,853,467); 24,728,598; 77,036,088",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0015,Schedule BA Part 1,5821,3199999,"Collateral loans - unaffiliated 707,191,618 707,838,860 707,254,420 (62,803) 57,368,399 XXX","707,191,618; 707,838,860; 707,254,420; (62,803); 57,368,399",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0016,Schedule BA Part 1,5821,3799999,"Qualifying federal tax credit investments - unaffiliated 527,481,302 58,974,391 48,603,327 (477,942,606) 287,595,748 XXX","527,481,302; 58,974,391; 48,603,327; (477,942,606); 287,595,748",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0017,Schedule BA Part 1,5821,4499999,"Residual tranches or interests with underlying assets having characteristics of bonds - unaffiliated 3,626,103 4,100,411 3,626,103 XXX","3,626,103; 4,100,411; 3,626,103",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0018,Schedule BA Part 1,5821,4599999,"Residual tranches or interests with underlying assets having characteristics of bonds - affiliated 188,113,508 227,127,514 203,922,769 13,299,554 XXX","188,113,508; 227,127,514; 203,922,769; 13,299,554",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0019,Schedule BA Part 1,5821,4999999,"Residual tranches or interests with underlying assets having characteristics of common stock - affiliated 28,869,790 450,485 XXX","28,869,790; 450,485",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0020,Schedule BA Part 1,5821,5199999,"Residual tranches or interests with underlying assets having characteristics of real estate - affiliated 377,402 263,648 2,862,580 108,127,107 XXX","377,402; 263,648; 2,862,580; 108,127,107",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0021,Schedule BA Part 1,5821,5299999,"Residual tranches or interests with underlying assets having characteristics of mortgage loans - unaffiliated 6,046,624 6,105,601 6,212,353 165,729 XXX","6,046,624; 6,105,601; 6,212,353; 165,729",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0022,Schedule BA Part 1,5822,5399999,"Residual tranches or interests with underlying assets having characteristics of mortgage loans - affiliated 2,586,211 9,084,066 2,732,959 334,906 XXX","2,586,211; 9,084,066; 2,732,959; 334,906",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0023,Schedule BA Part 1,5822,5499999,"Residual tranches or interests with underlying assets having characteristics of other - unaffiliated 21,647,242 10,131,916 XXX","21,647,242; 10,131,916",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0024,Schedule BA Part 1,5822,5599999,"Residual tranches or interests with underlying assets having characteristics of other - affiliated 380,649,195 199,683,622 XXX","380,649,195; 199,683,622",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0025,Schedule BA Part 1,5825,5699999,"Any other class of assets - unaffiliated 6,080,347 5,861,077 630,689,830 (54,166) 2,134,925 XXX","6,080,347; 5,861,077; 630,689,830; (54,166); 2,134,925",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0026,Schedule BA Part 1,5825,5799999,"Any other class of assets - affiliated 505,516,267 (90,930,097) 300,062,128 XXX","505,516,267; (90,930,097); 300,062,128",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0027,Schedule BA Part 1,5825,6899999,"Total - unaffiliated 5,151,503,931 4,670,981,360 6,247,599,030 67,314,293 (483,805,216) 11,809,162 24,894,327 169,312,080 758,824,463 XXX","5,151,503,931; 4,670,981,360; 6,247,599,030; 67,314,293; (483,805,216); 11,809,162; 24,894,327; 169,312,080; 758,824,463",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0028,Schedule BA Part 1,5825,6999999,"Total - affiliated 10,134,457,969 13,053,939,394 11,214,198,532 812,208,863 47,336,883 41,464,995 67,773,926 3,609,226,826 XXX","10,134,457,969; 13,053,939,394; 11,214,198,532; 812,208,863; 47,336,883; 41,464,995; 67,773,926; 3,609,226,826",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0029,Schedule BA Part 1,5825,7099999,"Totals 15,285,961,900 17,724,920,754 17,461,797,562 879,523,157 (436,468,333) 11,809,162 66,359,322 237,086,005 4,368,051,289 XXX","15,285,961,900; 17,724,920,754; 17,461,797,562; 879,523,157; (436,468,333); 11,809,162; 66,359,322; 237,086,005; 4,368,051,289",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0030,Schedule BA Part 2,5826,0499999,"Debt securities that do not qualify as bonds - debt securities that do not reflect a creditor relationship in substance - NAIC Designation not assigned by the SVO - affiliated 115,030,126 XXX","115,030,126",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0031,Schedule BA Part 2,5826,0599999,"Debt securities that do not qualify as bonds - debt securities that lack substantive credit enhancement - NAIC Designation assigned by the SVO - unaffiliated 166,223,236 37,307,589 XXX","166,223,236; 37,307,589",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0032,Schedule BA Part 2,5826,0699999,"Debt securities that do not qualify as bonds - debt securities that lack substantive credit enhancement - NAIC Designation assigned by the SVO - affiliated 430,629,103 33,407,636 XXX","430,629,103; 33,407,636",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0033,Schedule BA Part 2,5826,0799999,"Debt securities that do not qualify as bonds - debt securities that lack substantive credit enhancement - NAIC Designation not assigned by the SVO - unaffiliated 60,861,899 XXX","60,861,899",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0034,Schedule BA Part 2,5826,1999999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - common stocks - unaffiliated 8,479,717 945,545 XXX","8,479,717; 945,545",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0035,Schedule BA Part 2,5826,2099999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - common stocks - affiliated 181,064,552 1,488,756,263 XXX","181,064,552; 1,488,756,263",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0036,Schedule BA Part 2,5826,2299999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - real estate - affiliated 24,487,882 104,593,836 XXX","24,487,882; 104,593,836",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0037,Schedule BA Part 2,5826,2499999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - mortgage loans - affiliated 54,002,272 XXX","54,002,272",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0038,Schedule BA Part 2,5826,2699999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - other - affiliated 624,098 XXX","624,098",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0039,Schedule BA Part 2,5827,2799999,"Surplus notes - unaffiliated 403,068,242 XXX","403,068,242",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0040,Schedule BA Part 2,5827,2899999,"Surplus notes - affiliated 42,041,843 XXX","42,041,843",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0041,Schedule BA Part 2,5828,2999999,"Capital notes - unaffiliated 4,381,967,133 1,284,011,270 XXX","4,381,967,133; 1,284,011,270",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0042,Schedule BA Part 2,5829,3199999,"Collateral loans - unaffiliated 141,415,561 XXX","141,415,561",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0043,Schedule BA Part 2,5829,3799999,"Qualifying federal tax credit investments - unaffiliated 130,500,000 326,315,836 XXX","130,500,000; 326,315,836",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0044,Schedule BA Part 2,5829,4499999,"Residual tranches or interests with underlying assets having characteristics of bonds - unaffiliated 2,141,680 302 XXX","2,141,680",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0045,Schedule BA Part 2,5829,4599999,"Residual tranches or interests with underlying assets having characteristics of bonds - affiliated 324,542,121 89,690,118 XXX","324,542,121; 89,690,118",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0046,Schedule BA Part 2,5829,5299999,"Residual tranches or interests with underlying assets having characteristics of mortgage loans - unaffiliated 15,505,795 XXX","15,505,795",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0047,Schedule BA Part 2,5829,5399999,"Residual tranches or interests with underlying assets having characteristics of mortgage loans - affiliated 5,666,538 143,869 XXX","5,666,538; 143,869",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0048,Schedule BA Part 2,5829,5699999,"Any other class of assets - unaffiliated 47,712 XXX","47,712",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0049,Schedule BA Part 2,5829,6899999,"Total - unaffiliated 4,907,142,734 2,051,648,784 XXX","4,907,142,734; 2,051,648,784",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0050,Schedule BA Part 2,5829,6999999,"Total - affiliated 1,123,462,164 1,771,218,092 XXX","1,123,462,164; 1,771,218,092",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0051,Schedule BA Part 2,5829,7099999,"Totals 6,030,604,898 3,822,866,876 XXX","6,030,604,898; 3,822,866,876",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0052,Schedule BA Part 3,5830,0499999,Debt securities that do not qualify as bonds - debt securities that do not reflect a creditor relationship in substance - NAIC Designation,,source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0053,Schedule BA Part 3,5830,0599999,Debt securities that do not qualify as bonds - debt securities that lack substantive credit enhancement - NAIC Designation assigned by,,source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0054,Schedule BA Part 3,5830,0699999,Debt securities that do not qualify as bonds - debt securities that lack substantive credit enhancement - NAIC Designation assigned by,,source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0055,Schedule BA Part 3,5830,0799999,Debt securities that do not qualify as bonds - debt securities that lack substantive credit enhancement - NAIC Designation not assigned,,source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0056,Schedule BA Part 3,5830,1999999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - common stocks -",,source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0057,Schedule BA Part 3,5830,2099999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - common stocks - affiliated 25,764,000 1,225,842 1,225,842 207,054,394 212,330,833 (91,778,484) (91,778,484) 19,371,868","25,764,000; 1,225,842; 1,225,842; 207,054,394; 212,330,833; (91,778,484); (91,778,484); 19,371,868",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0058,Schedule BA Part 3,5830,2299999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - real estate - affiliated 25,123,447 359,543 359,543 25,482,991 23,765,392 (1,717,598) (1,717,598) 51,451","25,123,447; 359,543; 359,543; 25,482,991; 23,765,392; (1,717,598); (1,717,598); 51,451",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0059,Schedule BA Part 3,5830,2499999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - mortgage loans - affiliated 22,552,257 2,215,703 2,215,703 25,110,145 26,191,653 1,081,508 1,081,508","22,552,257; 2,215,703; 2,215,703; 25,110,145; 26,191,653; 1,081,508; 1,081,508",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0060,Schedule BA Part 3,5831,2699999,"Interests in joint ventures, partnerships or limited liability companies (including non-registered private funds) - other - affiliated 3,146,626 (438,513) (438,513) 2,708,113 2,708,113 350,612","3,146,626; (438,513); (438,513); 2,708,113; 2,708,113; 350,612",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0061,Schedule BA Part 3,5832,2799999,"Surplus notes - unaffiliated 415,983,213 (689,411) (689,411) 415,983,213 413,848,639 (2,134,574) (2,134,574) 5,551,470","415,983,213; (689,411); (689,411); 415,983,213; 413,848,639; (2,134,574); (2,134,574); 5,551,470",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0062,Schedule BA Part 3,5832,2899999,"Surplus notes - affiliated 211 211 1,247,005","1,247,005",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0063,Schedule BA Part 3,5834,2999999,"Capital notes - unaffiliated 18 (2,139,275) (2,139,258) 2,902,710,186 2,923,145,210 647,474 20,435,024 21,082,498 70,087,915","(2,139,275); (2,139,258); 2,902,710,186; 2,923,145,210; 647,474; 20,435,024; 21,082,498; 70,087,915",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0064,Schedule BA Part 3,5834,3199999,"Collateral loans - unaffiliated 321,609,499 (5,574) (5,574) 334,161,140 334,161,140 49,194,174","321,609,499; (5,574); (5,574); 334,161,140; 334,161,140; 49,194,174",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0065,Schedule BA Part 3,5834,3799999,"Qualifying federal tax credit investments - unaffiliated (322,113) (5,053,248) (5,053,248) (322,113) (1,299,339) (977,225) (977,225)","(322,113); (5,053,248); (5,053,248); (322,113); (1,299,339); (977,225); (977,225)",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0066,Schedule BA Part 3,5834,4499999,"Residual tranches or interests with underlying assets having characteristics of bonds - unaffiliated 1,033,239 (399) (11,588) (11,987) 1,032,840 1,032,840 279,698","1,033,239; (11,588); (11,987); 1,032,840; 1,032,840; 279,698",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0067,Schedule BA Part 3,5835,4599999,"Residual tranches or interests with underlying assets having characteristics of bonds - affiliated (2,430,691) (2,430,691) 264,361,797 264,775,238 413,441 413,441 7,361,593","(2,430,691); (2,430,691); 264,361,797; 264,775,238; 413,441; 413,441; 7,361,593",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0068,Schedule BA Part 3,5835,5199999,"Residual tranches or interests with underlying assets having characteristics of real estate - affiliated 377,401 377,401 377,401 867,544","377,401; 377,401; 377,401; 867,544",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0069,Schedule BA Part 3,5835,5299999,"Residual tranches or interests with underlying assets having characteristics of mortgage loans - unaffiliated (28,404) (28,404) 9,459,171 9,459,171 18,800 18,800 65,744","(28,404); (28,404); 9,459,171; 9,459,171; 18,800; 18,800; 65,744",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0070,Schedule BA Part 3,5835,5399999,"Residual tranches or interests with underlying assets having characteristics of mortgage loans - affiliated 2,377,365 (86,710) (86,710) 6,128,964 6,128,964 (27,185) (27,185) 218,267","2,377,365; (86,710); (86,710); 6,128,964; 6,128,964; (27,185); (27,185); 218,267",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0071,Schedule BA Part 3,5835,5699999,"Any other class of assets - unaffiliated 850,854 (6,003) (6,003) 892,563 601,106 (291,456) (291,456) 321,188","850,854; (6,003); (6,003); 892,563; 601,106; (291,456); (291,456); 321,188",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0072,Schedule BA Part 3,5835,6899999,"Total - unaffiliated 745,534,903 (128,872) (7,891,383) (8,020,255) 3,768,529,514 3,785,561,282 666,274 17,031,768 17,698,043 126,545,537","745,534,903; (128,872); (7,891,383); (8,020,255); 3,768,529,514; 3,785,561,282; 666,274; 17,031,768; 17,698,043; 126,545,537",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0073,Schedule BA Part 3,5835,6999999,"Total - affiliated 79,341,097 3,349,071 (2,536,209) 812,863 626,382,430 631,629,338 1,054,323 (92,719,158) (91,664,834) 29,492,420","79,341,097; 3,349,071; (2,536,209); 812,863; 626,382,430; 631,629,338; 1,054,323; (92,719,158); (91,664,834); 29,492,420",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
CFAASBAC-0074,Schedule BA Part 3,5835,7099999,"Totals 824,875,999 3,220,200 (10,427,592) (7,207,392) 4,394,911,944 4,417,190,620 1,720,598 (75,687,389) (73,966,791) 156,037,957","824,875,999; 3,220,200; (10,427,592); (7,207,392); 4,394,911,944; 4,417,190,620; 1,720,598; (75,687,389); (73,966,791); 156,037,957",source-visible-control-row,visible statutory Schedule BA subtotal/control row; column meaning requires schedule header and verification-page mapping
