claim_id,claim_text,company,cluster,capital_source,routing_platform,funding_instrument,real_economy_destination,operating_beneficiary,bottleneck,proof_metric_needed,disproof_metric_needed,source_target,source_file,period,metric_name,metric_value,units,interpretation,confidence,status
CF-002,"Giant platforms are converting retirement, insurance, institutional, sovereign, ETF, and wealth money into private credit, infrastructure, power, data centers, real assets, private-company financing, secondaries, and wealth alternatives.",Blackstone,capital platforms,"pensions; sovereigns; insurers; endowments; wealth clients; perpetual funds",Blackstone,"private equity; private credit; real estate; infrastructure","private assets; credit; real assets","private companies; infrastructure operators","weak exits; valuation pressure","realizations","weak realizations; valuation marks","Blackstone 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/blackstone-inc/company-analysis.md",FY2025,realizations,125.6,B USD,"Realizations support the claim that private markets are a capital circulation system.",medium,analysis-derived-needs-primary-source
CF-004,"Insurance and retirement liabilities are being converted into private-credit origination power.",Apollo,capital platforms,"retirement savers; insurance liabilities; Athene-related assets; institutions; credit allocators",Apollo,"private credit; asset-backed finance; investment-grade origination; retirement-yield assets","borrowers needing nonbank capital; insurance portfolios","private borrowers; retirement-yield asset pools","credit quality; spread compression; insurance regulation; liquidity mismatch","originations; inflows; fee-generating AUM; SRE","credit losses; lower originations; spread compression","Apollo 10-K; quarterly supplement; Athene disclosures","analysis/company-first-principles/financial/asset-management/apollo-global-management-inc/company-analysis.md",FY2025,originations,300,B USD,"Origination above $300B is direct support for credit manufacturing scale.",medium,analysis-derived-needs-primary-source
CF-004,"Insurance and retirement liabilities are being converted into private-credit origination power.",Apollo,capital platforms,"retirement savers; insurance liabilities; Athene-related assets; institutions; credit allocators",Apollo,"private credit; asset-backed finance; investment-grade origination; retirement-yield assets","borrowers needing nonbank capital; insurance portfolios","private borrowers; retirement-yield asset pools","credit quality; spread compression; insurance regulation; liquidity mismatch","inflows","lower inflows; funding pressure","Apollo 10-K; quarterly supplement; Athene disclosures","analysis/company-first-principles/financial/asset-management/apollo-global-management-inc/company-analysis.md",FY2025,inflows,225,B USD,"Large inflows show demand for Apollo's credit and retirement platform.",medium,analysis-derived-needs-primary-source
CF-004,"Insurance and retirement liabilities are being converted into private-credit origination power.",Apollo,capital platforms,"retirement savers; insurance liabilities; Athene-related assets; institutions; credit allocators",Apollo,"management fees; spread earnings","private credit; retirement-yield assets","retirement savers; insurance balance sheets","spread compression; credit impairment","FRE; SRE; adjusted net income","spread compression; credit losses","Apollo 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/apollo-global-management-inc/company-analysis.md",FY2025,spread-related earnings,3.4,B USD,"SRE supports the thesis that Apollo is both fee manager and liability-backed spread engine.",medium,analysis-derived-needs-primary-source
CF-004,"Insurance and retirement liabilities are being converted into private-credit origination power.",Apollo,capital platforms,"retirement savers; insurance liabilities; Athene-related assets; institutions; credit allocators",Apollo,"private credit; retirement services","private credit; retirement-yield assets","retirement savers; insurance balance sheets","spread compression; credit impairment","AUM; fee-generating AUM","AUM decline; FGAUM decline","Apollo Q2 2026 supplement; earnings release","analysis/company-first-principles/financial/asset-management/apollo-global-management-inc/company-analysis.md",Q2 2026,AUM,1.05,T USD,"Trillion-dollar AUM supports Apollo's scale in the retirement/private-credit channel.",medium,analysis-derived-needs-primary-source
CF-004,"Insurance and retirement liabilities are being converted into private-credit origination power.",Apollo,capital platforms,"retirement savers; insurance liabilities; Athene-related assets; institutions; credit allocators",Apollo,"private credit; retirement services","private credit; retirement-yield assets","retirement savers; insurance balance sheets","spread compression; credit impairment","fee-generating AUM","FGAUM decline","Apollo Q2 2026 supplement; earnings release","analysis/company-first-principles/financial/asset-management/apollo-global-management-inc/company-analysis.md",Q2 2026,fee-generating AUM,858,B USD,"Fee-generating AUM indicates monetizable capital base.",medium,analysis-derived-needs-primary-source
CF-005,"Private credit is replacing part of bank lending.",Ares,capital platforms,"institutions; credit allocators; private-wealth channels; insurers",Ares,"direct lending; private credit; real estate; infrastructure; secondaries","middle-market and private borrowers; real estate; infrastructure","private borrowers; sponsor-backed companies","crowded spreads; credit losses; unattractive deployment","AUM; FPAUM; available capital; fundraising; deployment","non-accruals; fundraising slowdown; spread compression","Ares 10-K; quarterly supplement; credit disclosures","analysis/company-first-principles/financial/asset-management/ares-management-corporation/company-analysis.md",FY2025,AUM,622.5,B USD,"AUM scale supports Ares as a major nonbank credit and alternatives platform.",medium,analysis-derived-needs-primary-source
CF-005,"Private credit is replacing part of bank lending.",Ares,capital platforms,"institutions; credit allocators; private-wealth channels; insurers",Ares,"direct lending; private credit; alternatives","middle-market and private borrowers; real estate; infrastructure","private borrowers; sponsor-backed companies","crowded spreads; credit losses; unattractive deployment","FPAUM","FPAUM decline","Ares 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/ares-management-corporation/company-analysis.md",FY2025,FPAUM,384.9,B USD,"Fee-paying AUM supports recurring private-credit fee engine claim.",medium,analysis-derived-needs-primary-source
CF-005,"Private credit is replacing part of bank lending.",Ares,capital platforms,"institutions; credit allocators; private-wealth channels; insurers",Ares,"direct lending; private credit; alternatives","middle-market and private borrowers; real estate; infrastructure","private borrowers; sponsor-backed companies","crowded spreads; credit losses; unattractive deployment","available capital; dry powder","unattractive deployment; lower available capital","Ares 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/ares-management-corporation/company-analysis.md",FY2025,available capital,156,B USD,"Available capital indicates future lending and deployment capacity.",medium,analysis-derived-needs-primary-source
CF-005,"Private credit is replacing part of bank lending.",Ares,capital platforms,"institutions; credit allocators; private-wealth channels; insurers",Ares,"direct lending; private credit; alternatives","middle-market and private borrowers; real estate; infrastructure","private borrowers; sponsor-backed companies","crowded spreads; credit losses; unattractive deployment","gross fundraising; net inflows; deployment","fundraising slowdown; weak deployment","Ares 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/ares-management-corporation/company-analysis.md",FY2025,gross fundraising,113.2,B USD,"Gross fundraising shows investor demand for Ares-managed private assets.",medium,analysis-derived-needs-primary-source
CF-005,"Private credit is replacing part of bank lending.",Ares,capital platforms,"institutions; credit allocators; private-wealth channels; insurers",Ares,"direct lending; private credit; alternatives","middle-market and private borrowers; real estate; infrastructure","private borrowers; sponsor-backed companies","crowded spreads; credit losses; unattractive deployment","deployment","weak deployment","Ares 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/ares-management-corporation/company-analysis.md",FY2025,deployment,145.8,B USD,"Deployment shows Ares capital moving into private assets at scale.",medium,analysis-derived-needs-primary-source
CF-005,"Private credit is replacing part of bank lending.",Ares,capital platforms,"institutions; credit allocators; private-wealth channels; insurers",Ares,"direct lending; private credit; alternatives","middle-market and private borrowers; real estate; infrastructure","private borrowers; sponsor-backed companies","crowded spreads; credit losses; unattractive deployment","AUM; FPAUM; available capital; gross fundraising","AUM decline; fundraising slowdown","Ares Q2 2026 supplement; earnings release","analysis/company-first-principles/financial/asset-management/ares-management-corporation/company-analysis.md",Q2 2026,AUM,671.3,B USD,"Q2 2026 AUM shows continued scale growth.",medium,analysis-derived-needs-primary-source
CF-005,"Private credit is replacing part of bank lending.",Ares,capital platforms,"institutions; credit allocators; private-wealth channels; insurers",Ares,"direct lending; private credit; alternatives","middle-market and private borrowers; real estate; infrastructure","private borrowers; sponsor-backed companies","crowded spreads; credit losses; unattractive deployment","available capital","available capital decline; unattractive deployment","Ares Q2 2026 supplement; earnings release","analysis/company-first-principles/financial/asset-management/ares-management-corporation/company-analysis.md",Q2 2026,available capital,170,B USD,"Record dry powder indicates future lending and investment pipeline.",medium,analysis-derived-needs-primary-source
CF-001,"The next investment cycle is a capital-routing cycle, not just AI, private credit, or infrastructure in isolation.",KKR,capital platforms,"institutions; insurance capital; private wealth; strategic partners",KKR,"private equity; credit; infrastructure; ABF; insurance-linked investments; wealth products","private companies; infrastructure; ABF; insurance assets","private companies; infrastructure borrowers","exit weakness; credit deterioration; deployment mistakes","AUM; FPAUM; capital raised; capital invested; uncalled commitments","monetization slowdown; deployment discipline failure","KKR 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/kkr-co-inc/company-analysis.md",FY2025,AUM,744,B USD,"KKR AUM shows broad capital base across multiple private-market engines.",medium,analysis-derived-needs-primary-source
CF-001,"The next investment cycle is a capital-routing cycle, not just AI, private credit, or infrastructure in isolation.",KKR,capital platforms,"institutions; insurance capital; private wealth; strategic partners",KKR,"private equity; credit; infrastructure; ABF; insurance-linked investments; wealth products","private companies; infrastructure; ABF; insurance assets","private companies; infrastructure borrowers","exit weakness; credit deterioration; deployment mistakes","capital raised","capital raise slowdown","KKR 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/kkr-co-inc/company-analysis.md",FY2025,capital raised,129,B USD,"Capital raised supports KKR's role as a private-capital routing platform.",medium,analysis-derived-needs-primary-source
CF-001,"The next investment cycle is a capital-routing cycle, not just AI, private credit, or infrastructure in isolation.",KKR,capital platforms,"institutions; insurance capital; private wealth; strategic partners",KKR,"private equity; credit; infrastructure; ABF; insurance-linked investments; wealth products","private companies; infrastructure; ABF; insurance assets","private companies; infrastructure borrowers","exit weakness; credit deterioration; deployment mistakes","capital invested","weak deployment","KKR 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/kkr-co-inc/company-analysis.md",FY2025,capital invested,95,B USD,"Capital invested shows KKR converting fundraising into deployed assets.",medium,analysis-derived-needs-primary-source
CF-001,"The next investment cycle is a capital-routing cycle, not just AI, private credit, or infrastructure in isolation.",KKR,capital platforms,"institutions; insurance capital; private wealth; strategic partners",KKR,"private equity; credit; infrastructure; ABF; insurance-linked investments; wealth products","private companies; infrastructure; ABF; insurance assets","private companies; infrastructure borrowers","exit weakness; credit deterioration; deployment mistakes","uncalled commitments","dry powder decline; unattractive deployment","KKR 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/kkr-co-inc/company-analysis.md",FY2025,uncalled commitments,118,B USD,"Uncalled commitments indicate future purchasing power.",medium,analysis-derived-needs-primary-source
CF-001,"The next investment cycle is a capital-routing cycle, not just AI, private credit, or infrastructure in isolation.",KKR,capital platforms,"institutions; insurance capital; private wealth; strategic partners",KKR,"private equity; credit; infrastructure; ABF; insurance-linked investments; wealth products","private companies; infrastructure; ABF; insurance assets","private companies; infrastructure borrowers","exit weakness; credit deterioration; deployment mistakes","AUM; FPAUM; uncalled commitments","AUM decline; dry powder decline","KKR Q2 2026 supplement; earnings release","analysis/company-first-principles/financial/asset-management/kkr-co-inc/company-analysis.md",Q2 2026,AUM,796,B USD,"Q2 AUM indicates continuing scale growth.",medium,analysis-derived-needs-primary-source
CF-001,"The next investment cycle is a capital-routing cycle, not just AI, private credit, or infrastructure in isolation.",KKR,capital platforms,"institutions; insurance capital; private wealth; strategic partners",KKR,"private equity; credit; infrastructure; ABF; insurance-linked investments; wealth products","private companies; infrastructure; ABF; insurance assets","private companies; infrastructure borrowers","exit weakness; credit deterioration; deployment mistakes","uncalled commitments","dry powder decline; unattractive deployment","KKR Q2 2026 supplement; earnings release","analysis/company-first-principles/financial/asset-management/kkr-co-inc/company-analysis.md",Q2 2026,uncalled commitments,143,B USD,"Higher uncalled commitments show larger future deployment capacity.",medium,analysis-derived-needs-primary-source
CF-004,"Insurance and retirement liabilities are being converted into private-credit origination power.",Brookfield,capital platforms,"institutions; sovereigns; insurance capital; wealth solutions; real-asset allocators",Brookfield,"infrastructure funds; operating assets; renewables; insurance assets; Oaktree credit","power; renewables; transport; real estate; operating infrastructure; AI-linked infrastructure","utilities; infrastructure operators; real assets","valuation pressure; leverage; project execution; weak monetizations","insurance capital raised; insurance assets; fundraising","insurance underperformance; fundraising slowdown","Brookfield 10-K; quarterly supplement; insurance disclosures","analysis/company-first-principles/financial/asset-management/brookfield-corporation/company-analysis.md",Q1 2026,capital raised since prior quarter,67,B USD,"Fundraising supports Brookfield's real-asset capital routing role.",medium,analysis-derived-needs-primary-source
CF-004,"Insurance and retirement liabilities are being converted into private-credit origination power.",Brookfield,capital platforms,"institutions; sovereigns; insurance capital; wealth solutions; real-asset allocators",Brookfield,"insurance assets; real assets; private credit","power; renewables; real estate; operating infrastructure","utilities; infrastructure operators; real assets","insurance execution; leverage; valuation pressure","insurance capital raised","insurance fundraising slowdown","Brookfield 10-K; quarterly supplement; insurance disclosures","analysis/company-first-principles/financial/asset-management/brookfield-corporation/company-analysis.md",Q1 2026,insurance capital raised,44,B USD,"Insurance capital raised directly supports the insurance-liability funding channel claim.",medium,analysis-derived-needs-primary-source
CF-004,"Insurance and retirement liabilities are being converted into private-credit origination power.",Brookfield,capital platforms,"institutions; sovereigns; insurance capital; wealth solutions; real-asset allocators",Brookfield,"insurance assets; real assets; private credit","power; renewables; real estate; operating infrastructure","utilities; infrastructure operators; real assets","insurance execution; leverage; valuation pressure","total insurance assets","insurance asset decline; regulatory pressure","Brookfield 10-K; quarterly supplement; insurance disclosures","analysis/company-first-principles/financial/asset-management/brookfield-corporation/company-analysis.md",Q1 2026,total insurance assets,180,B USD,"Insurance asset scale shows retirement/insurance demand feeding real-asset allocation.",medium,analysis-derived-needs-primary-source
CF-003,"The deeper beneficiaries are operating companies that own bottleneck assets, supply funded buildouts, convert capital into physical capacity, or control recurring maintenance and service layers.",Brookfield,capital platforms,"institutions; sovereigns; insurance capital; real-asset allocators",Brookfield,"infrastructure; real estate; operating assets","power; renewables; real estate; operating infrastructure","utilities; real-asset operators","valuation pressure; leverage; project execution","distributable earnings; monetizations; net income","earnings decline; weak monetizations","Brookfield 10-K; quarterly supplement","analysis/company-first-principles/financial/asset-management/brookfield-corporation/company-analysis.md",FY2025,distributable earnings before realizations,5.4,B USD,"Recurring distributable earnings support the claim that operating real assets generate platform economics.",medium,analysis-derived-needs-primary-source
CF-016,"Secondaries are becoming a structural liquidity layer because private assets stay private longer.",Carlyle,capital platforms,"institutions; private wealth; credit clients; secondaries allocators",Carlyle,"private equity; global credit; AlpInvest secondaries; co-investment","private companies; credit assets; secondaries liquidity","private-market investors needing liquidity","carry volatility; weak exits; underperformance","AUM; fee-earning AUM; available capital; inflows; deployment; AlpInvest metrics","weak fundraising; weak exits; low secondary volume","Carlyle 10-K; quarterly supplement; AlpInvest disclosures","analysis/company-first-principles/financial/asset-management/the-carlyle-group-inc/company-analysis.md",FY2025,AUM,477,B USD,"Carlyle scale supports diversified alternatives and secondaries relevance.",medium,analysis-derived-needs-primary-source
CF-016,"Secondaries are becoming a structural liquidity layer because private assets stay private longer.",Carlyle,capital platforms,"institutions; private wealth; credit clients; secondaries allocators",Carlyle,"private equity; global credit; AlpInvest secondaries; co-investment","private companies; credit assets; secondaries liquidity","private-market investors needing liquidity","carry volatility; weak exits; underperformance","available capital; inflows; deployment","weak fundraising; weak deployment","Carlyle 10-K; quarterly supplement; AlpInvest disclosures","analysis/company-first-principles/financial/asset-management/the-carlyle-group-inc/company-analysis.md",FY2025,available capital,88,B USD,"Available capital supports future deployment and private-market liquidity capacity.",medium,analysis-derived-needs-primary-source
CF-016,"Secondaries are becoming a structural liquidity layer because private assets stay private longer.",Carlyle,capital platforms,"institutions; private wealth; credit clients; secondaries allocators",Carlyle,"private equity; global credit; AlpInvest secondaries; co-investment","private companies; credit assets; secondaries liquidity","private-market investors needing liquidity","carry volatility; weak exits; underperformance","inflows","weak fundraising","Carlyle 10-K; quarterly supplement; AlpInvest disclosures","analysis/company-first-principles/financial/asset-management/the-carlyle-group-inc/company-analysis.md",FY2025,inflows,53.7,B USD,"Inflows show continued allocation to Carlyle's diversified private-market platform.",medium,analysis-derived-needs-primary-source
CF-016,"Secondaries are becoming a structural liquidity layer because private assets stay private longer.",Carlyle,capital platforms,"institutions; private wealth; credit clients; secondaries allocators",Carlyle,"private equity; global credit; AlpInvest secondaries; co-investment","private companies; credit assets; secondaries liquidity","private-market investors needing liquidity","carry volatility; weak exits; underperformance","deployment","weak deployment","Carlyle 10-K; quarterly supplement; AlpInvest disclosures","analysis/company-first-principles/financial/asset-management/the-carlyle-group-inc/company-analysis.md",FY2025,deployment,54.5,B USD,"Deployment shows Carlyle still investing across alternatives.",medium,analysis-derived-needs-primary-source
CF-015,"Wealth clients are being pulled into private markets through advisor-distributed and semi-liquid products.",Carlyle,capital platforms,"institutions; private wealth; credit clients; secondaries allocators",Carlyle,"perpetual capital; private-market funds","private equity; credit; secondaries","wealth alternatives; private-market investors","liquidity mismatch; advisor trust","perpetual capital fee-earning AUM","redemption pressure; lower perpetual capital","Carlyle Q2 2026 supplement; product filings","analysis/company-first-principles/financial/asset-management/the-carlyle-group-inc/company-analysis.md",Q2 2026,perpetual capital fee-earning AUM,113,B USD,"Perpetual fee-earning AUM supports the claim that alternatives are pushing toward durable capital.",medium,analysis-derived-needs-primary-source
CF-007,"Power is the cleanest test case because the capital-flow story links directly to a physical bottleneck.",Constellation,power and grid,"corporate buyers; institutions; infrastructure capital; public markets",Constellation,"PPAs; public equity/debt; infrastructure-style power contracts","clean baseload power; nuclear; customer-specific power agreements","large power buyers; data centers; industrial customers","nuclear availability; regulatory approval; PPA durability","MW fleet; PPAs; MW contracted; adjusted operating earnings","nuclear outage; weak PPA demand; regulatory block","Constellation 10-K; 10-Q; earnings deck; transcript; NRC materials","analysis/company-first-principles/utilities/diversified-utilities/constellation-energy-corporation/company-analysis.md",Q2 2026,generation fleet,55,GW,"Fleet scale supports Constellation's scarce clean-reliability platform role.",medium,analysis-derived-needs-primary-source
CF-008,"Constellation is a scarce clean-baseload power owner and direct contract beneficiary.",Constellation,power and grid,"corporate buyers; institutions; infrastructure capital; public markets",Constellation,"long-term clean-power PPAs","clean baseload power; customer-specific power infrastructure","large power buyers; data centers; industrial customers","nuclear availability; regulatory approval; PPA durability","MW contracted in PPAs","weaker PPA demand; failed contract economics","Constellation 10-K; 10-Q; earnings deck; transcript","analysis/company-first-principles/utilities/diversified-utilities/constellation-energy-corporation/company-analysis.md",Q2 2026,additional long-term clean-power PPAs,920,MW,"Additional PPAs show large buyers locking in clean reliable power.",medium,analysis-derived-needs-primary-source
CF-008,"Constellation is a scarce clean-baseload power owner and direct contract beneficiary.",Constellation,power and grid,"corporate buyers; institutions; infrastructure capital; public markets",Constellation,"customer-specific power agreement","data-center power campus; clean baseload power","CyrusOne and similar large-load buyers","regulatory approval; execution; PPA durability","MW contracted; expansion option","customer-specific projects fail to close","Constellation 10-Q; earnings deck; transcript","analysis/company-first-principles/utilities/diversified-utilities/constellation-energy-corporation/company-analysis.md",Q1 2026,CyrusOne agreement phase 1,380,MW,"The CyrusOne agreement supports the thesis that generation sites can become customer-specific power campuses.",medium,analysis-derived-needs-primary-source
CF-008,"Constellation is a scarce clean-baseload power owner and direct contract beneficiary.",Constellation,power and grid,"corporate buyers; institutions; infrastructure capital; public markets",Constellation,"customer-specific power agreement","data-center power campus; clean baseload power","CyrusOne and similar large-load buyers","regulatory approval; execution; PPA durability","MW expansion path","phase 2 does not proceed","Constellation 10-Q; earnings deck; transcript","analysis/company-first-principles/utilities/diversified-utilities/constellation-energy-corporation/company-analysis.md",Q1 2026,CyrusOne exclusive phase 2 path,380,MW,"The phase 2 path indicates potential repeat customer-specific power demand.",medium,analysis-derived-needs-primary-source
CF-007,"Power is the cleanest test case because the capital-flow story links directly to a physical bottleneck.",Constellation,power and grid,"corporate buyers; institutions; infrastructure capital; public markets",Constellation,"power contracts; generation fleet","clean baseload and dispatchable power","large-load customers; public investors","nuclear availability; integration; regulation","adjusted operating EPS; guidance","earnings decline; weak guidance","Constellation Q2 2026 earnings release; 10-Q","analysis/company-first-principles/utilities/diversified-utilities/constellation-energy-corporation/company-analysis.md",Q2 2026,adjusted operating earnings per share,2.55,USD/share,"Improved adjusted operating earnings show scarce power assets translating into financial output.",medium,analysis-derived-needs-primary-source
CF-009,"NextEra is a capital-deployment platform for electricity growth.",NextEra,power and grid,"public investors; debt markets; infrastructure capital; utility customers",NextEra,"regulated utility capital; renewables; storage; transmission; large-load solutions","FPL rate base; renewables; storage; transmission; generation development","large-load customers; Florida utility customers; clean-power buyers","interconnection; project execution; rate outcomes; capital cost","customers served; EPS growth; rate base; backlog; origination GW","backlog conversion slows; adverse rate outcomes","NextEra 10-K; 10-Q; investor deck; transcript; FERC/EIA","analysis/company-first-principles/utilities/electric-utilities/nextera-energy-inc/company-analysis.md",FY2025,FPL population served,12,M people,"Large regulated service base supports the utility cash-flow layer of NextEra's capital deployment model.",medium,analysis-derived-needs-primary-source
CF-009,"NextEra is a capital-deployment platform for electricity growth.",NextEra,power and grid,"public investors; debt markets; infrastructure capital; utility customers",NextEra,"regulated utility capital; renewables; storage; transmission; large-load solutions","FPL rate base; renewables; storage; transmission; generation development","large-load customers; Florida utility customers; clean-power buyers","interconnection; project execution; rate outcomes; capital cost","adjusted EPS; EPS CAGR target","EPS growth misses; guidance cut","NextEra 10-K; earnings deck; transcript","analysis/company-first-principles/utilities/electric-utilities/nextera-energy-inc/company-analysis.md",FY2025,adjusted EPS,3.71,USD/share,"Adjusted EPS growth supports long-duration capital compounding claim.",medium,analysis-derived-needs-primary-source
