gate_id,target,company,proof_channel,chain_step,required_evidence,current_evidence_metric_ids,current_status,current_evidence_summary,blocking_gap,pass_standard,next_source_or_extraction,safe_claim
CFPGW-011,NextEra/Meta contracted projects,"NextEra Energy, Inc.",named customer contract,project/output denominator,"MW/GW, project count, market, technology, and online window.",CFPGFM-019; CFPGFM-021; CFPGFM-022; CFPGFM-023; CFPGFM-024,pass-bridge,"2.5 GW, 13 projects, 2.1 GW across nine solar projects, 190 MW solar, 168 MW battery, and 2026-2028 online window are visible.","Individual project names, nameplate splits, and exact in-service dates are mostly absent.","Each project group has MW, technology, market, and expected/actual online date.","Extract project-level data from interconnection queues, EIA-860, PNM filings, and local permits.",NextEra/Meta has contracted-output denominators.
CFPGW-012,NextEra/Meta contracted projects,"NextEra Energy, Inc.",named customer contract,portfolio/backlog context,Backlog additions or operating base that contextualizes the customer contracts.,CFPGFM-015; CFPGFM-016; CFPGFM-024,pass-bridge,"Q1 2026 added 4 GW to backlog including 1.3 GW storage; Energy Resources had 33,410 MW operating capacity at year-end 2024.",The Meta contracts are not reconciled to the backlog roll-forward.,"Backlog additions, removals, in-service conversion, and Meta contract group are reconciled by technology and period.",Parse Energy Resources backlog tables across Q1/Q2 2026 and customer release timing.,NextEra/Meta improves backlog quality but not backlog-to-cash conversion.
CFPGW-013,NextEra/Meta contracted projects,"NextEra Energy, Inc.",named customer contract,capital/cost denominator,"Project capex, financing, tax-credit, debt, or sponsor equity tied to project group.",,missing,No public project capex or financing row is extracted for the Meta project group.,Project economics cannot be modeled without capex/financing.,Capex and financing source are visible for project group or proxy project set.,"Search project finance filings, tax equity disclosures, EIA/project pages, county permits, and NextEra financing notes.",Meta output is visible; capital source/use is not.
CFPGW-014,NextEra/Meta contracted projects,"NextEra Energy, Inc.",named customer contract,cash return,"PPA price, ESA revenue, tariff recovery, margin, or EBITDA contribution.",,missing,"No price, margin, or contribution row is extracted.",Return cannot be inferred from GW and project count.,"Contract price or contribution evidence exists, or a bounded regulated tariff mechanism supplies revenue model.","Search regulatory approvals, customer sustainability filings, utility tariff documents, and project-level offtake summaries.",Meta contracts are not return-grade.
CFPGW-015,NextEra/Meta contracted projects,"NextEra Energy, Inc.",named customer contract,execution and durability risk,"Interconnection, supply-chain, permitting, contract cancellation, or capital-cost risk controls.",CFPGFM-023,partial,Online window is visible and construction-job context exists.,"Interconnection status, permitting, supply-chain risk, and contract termination economics are not extracted.",Risk controls and delay/cancellation terms are visible for the project group.,"Search interconnection queues, ISO/RTO project status, permits, and contract risk disclosures.","Project timing is visible, but durability risk remains open."
CFPGW-016,NextEra/Meta contracted projects,"NextEra Energy, Inc.",named customer contract,full pass decision,"Customer, contract, project, capex, financing, output, price/cash, and risk all align.",CFPGFM-019; CFPGFM-020; CFPGFM-021; CFPGFM-022; CFPGFM-023; CFPGFM-024,partial,"The customer/output side is strong, but economics are absent.","No capex, financing, price, margin, or debt-service waterfall.","Full pass when one project set has customer, contract, MW, capex, financing, pricing/cash, and in-service/risk evidence.",Run project-level customer-contract source search and interconnection/regulatory reconciliation.,"NextEra/Meta is named-customer contracted-output-visible, not project-return-grade."
CFPGW-017,Plains Cactus III route,"Plains All American Pipeline, L.P.",tariffed movement,asset/control selected,"Asset, operator, ownership, and transaction denominator are identified.",CFPGPM-007; CFPGPM-009; CFPGPM-011; CFPGPM-013; CFPGPM-014; CFPGPM-015,pass-bridge,"Cactus III capacity, 100% ownership/operator status, acquisition consideration, debt assumed, property/equipment acquired, and Ares-seller link are visible.",Acquisition price is not project capex or return denominator by itself.,Asset/control and relevant capital base are defined for the route being tested.,"Reconcile acquisition consideration, property/equipment, assumed debt, and expansion capex into denominator options.",Plains Cactus III has asset/control and acquisition-stack evidence.
CFPGW-018,Plains Cactus III route,"Plains All American Pipeline, L.P.",tariffed movement,tariff route,Tariffed origin/destination route tied to Cactus III.,CFPGPM-001; CFPGPM-002; CFPGPM-003,pass-bridge,"RRC tariff TX 3.6.0, effective July 1, 2026, lists Karnes County to Cactus III Crude Pipeline Hobson Terminal.","Route is an Eagle Ford/Karnes movement, not the full Permian-to-Corpus Cactus III long-haul economics.",Exact route and tariff authority are visible for the movement being tested.,Find additional Cactus III/EPIC/Corpus Christi tariffs for broader route coverage.,Plains has an exact Cactus III-linked tariff route.
CFPGW-019,Plains Cactus III route,"Plains All American Pipeline, L.P.",tariffed movement,posted tariff rate,Base rate or tariff formula tied to the route.,CFPGPM-004; CFPGPM-006,pass-bridge,RRC tariff shows 178.98 cents per barrel and FERC-index escalation mechanic.,Posted tariff may differ from negotiated term rates or realized average rate.,"Rate, escalation, and applicability are tied to volume category and period.",Search for committed/uncommitted rate schedules and later tariff revisions.,Plains has posted tariff-rate evidence.
CFPGW-020,Plains Cactus III route,"Plains All American Pipeline, L.P.",tariffed movement,term agreement / shipper support,"Executed term agreements, minimum volume commitments, or committed-rate evidence.",CFPGPM-005; CFPGPM-008,partial,Tariff says negotiated rates may be given to term-agreement shippers; SEC 10-K says Permian long-haul pipelines are supported by long-term commitments.,"No Cactus III-specific shipper, committed volume, or contract tenor is identified.",Cactus III-specific committed shipper/volume/rate evidence is extracted.,"Search open-season results, transportation agreement exhibits, committed-rate tariffs, shipper releases, and 10-K contract language.","Plains has term-agreement mechanics and system commitment context, not committed Cactus III shipper proof."
CFPGW-021,Plains Cactus III route,"Plains All American Pipeline, L.P.",tariffed movement,volume/utilization,"Actual throughput, committed volume, or utilization tied to Cactus III route.",CFPGM-015; CFPGPM-007,partial,"Cactus III capacity over 600,000 bpd and expansion capacity target are visible.",Actual route throughput and utilization are not extracted.,Actual volumes or committed volumes are matched to route capacity.,"Search Plains crude detail, tariff volume by region, FERC/RRC throughput data, and shipper nominations if public.","Cactus III has capacity evidence, not utilization evidence."
CFPGW-022,Plains Cactus III route,"Plains All American Pipeline, L.P.",tariffed movement,revenue/cash contribution,"Tariff revenue, EBITDA contribution, synergy realization, or cash margin tied to Cactus III.",CFPGM-016,partial,Management disclosed a 50M USD Cactus III synergy target in 2026.,"Actual Cactus III revenue, EBITDA, contribution, or realized synergy is not extracted.",Contribution or realized revenue/cash is tied to Cactus III or the selected route.,"Parse later 10-Q/10-K segment discussion, MD&A, and acquisition integration disclosures.","Plains has synergy target evidence, not realized return."
CFPGW-023,Plains Cactus III route,"Plains All American Pipeline, L.P.",tariffed movement,financing/debt service,"Debt assumed, refinancing, proceeds, interest cost, or maturity tied to Cactus III acquisition/expansion.",CFPGPM-009; CFPGPM-011,partial,"The 55% and 45% transactions included 613M and 501M of debt assumed, respectively.","Refinancing, repayment, interest cost, and acquisition financing source are not reconciled.",Debt service or refinancing path is tied to acquisition/expansion economics.,"Extract 2026 10-Q debt footnote, term loan payoff, notes use of proceeds, and commercial-paper repayment evidence.","Plains has assumed-debt evidence, not debt-service proof."
CFPGW-024,Plains Cactus III route,"Plains All American Pipeline, L.P.",tariffed movement,full pass decision,"Asset, tariff, rate, shipper/volume, revenue, capex/acquisition base, financing, and cash return align.",CFPGM-015; CFPGM-016; CFPGPM-001; CFPGPM-002; CFPGPM-003; CFPGPM-004; CFPGPM-005; CFPGPM-006; CFPGPM-007; CFPGPM-009; CFPGPM-011; CFPGPM-013; CFPGPM-014; CFPGPM-015,partial,Plains has the strongest tariff/acquisition-stack bridge in the pilot.,"Committed shipper, realized revenue, financing/debt-service, and actual return remain missing.",Full pass when tariffed route volume and realized revenue can be compared with capital/acquisition and financing base.,Execute committed-shipper and realized-volume/revenue search; reconcile with acquisition/debt table.,"Plains Cactus III is tariff/acquisition-stack-visible, not project-return-grade."
