term_id,linked_rows,company,ticker,theme,subtheme,source_file,source_type,agreement_section,period,term_metric,value,unit,agreement_text_basis,evidence_grade,what_it_proves,what_it_does_not_prove,next_source
SATX-011,"FTH-004; FTH-009",Sterling Infrastructure,STRL,Capital-intensive buildout,Incremental capacity,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Definition of Available Incremental Amount and Section 2.18,Closing date 2026,Base incremental amount,500M,USD,"Available Incremental Amount includes the greater of 500M USD and 100% of EBITDA, plus an unlimited amount if pro forma Total Net Leverage Ratio is less than or equal to 2.00x under specified assumptions.",agreement-term-visible,"Shows the agreement contains a growth/acquisition expansion mechanism beyond the headline 1.5B USD revolver.","Does not prove Sterling can satisfy the pro forma leverage test at any future acquisition date.","Pro forma leverage calculations and acquisition financing disclosures"
SATX-012,"FTH-004; FTH-009",Sterling Infrastructure,STRL,Capital-intensive buildout,Permitted acquisition guardrails,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Definition of Permitted Acquisition,Closing date 2026,Material Acquisition threshold,250M,USD,"Material Acquisition means a Permitted Acquisition having Total Consideration in excess of 250M USD; Permitted Acquisitions require no default and pro forma compliance with financial covenants plus leverage cushion rules.",agreement-term-visible,"Shows acquisitions are contemplated but covenant-gated, which is exactly the platform funding question.","Does not prove a future deal will qualify or be debt-funded.","Acquisition announcements, purchase agreements, and compliance certificates"
SATX-013,"FTH-004",Sterling Infrastructure,STRL,Capital-intensive buildout,Leverage covenant,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Section 7.12(a),Closing date 2026,Maximum Total Net Leverage Ratio,3.50x,ratio,"Borrower shall not permit Total Net Leverage Ratio to be greater than 3.50 to 1.00 as of each fiscal-quarter end.",agreement-term-visible,"Adds the actual leverage ceiling that was missing from filed-summary evidence.","Does not provide current covenant cushion without EBITDA, debt, and unrestricted cash calculation.","Compliance certificate Schedule I"
SATX-014,"FTH-004; FTH-009",Sterling Infrastructure,STRL,Capital-intensive buildout,Acquisition covenant holiday,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Section 7.12(a),Closing date 2026,Acquisition holiday leverage ceiling,4.00x,ratio,"Borrower may elect up to two covenant holiday periods during the term to increase maximum Total Net Leverage Ratio to 4.00x for four fiscal quarters in connection with a Material Acquisition, subject to conditions and spacing.",agreement-term-visible,"Shows the agreement is explicitly designed to flex around material acquisitions.","Does not prove management will use the holiday or that acquisitions will create value.","Acquisition financing events and covenant election notices"
SATX-015,"FTH-004",Sterling Infrastructure,STRL,Capital-intensive buildout,Interest coverage covenant,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Section 7.12(b),Closing date 2026,Minimum Interest Coverage Ratio,3.00x,ratio,"Borrower shall maintain Interest Coverage Ratio of not less than 3.00 to 1.00 as of each fiscal-quarter end.",agreement-term-visible,"Adds the second core financial covenant and a downside cash-flow discipline test.","Does not provide actual covenant cushion without cash interest and EBITDA calculations.","Compliance certificate Schedule I and interest expense footnote"
SATX-016,"FTH-004",Sterling Infrastructure,STRL,Capital-intensive buildout,Net leverage definition,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Definition of Total Net Leverage Ratio,Closing date 2026,Unrestricted cash netting cap,50% of EBITDA,percent of EBITDA,"Total Net Leverage Ratio nets unrestricted cash only up to an amount equal to 50% of EBITDA for the four fiscal-quarter period.",agreement-term-visible,"Shows the leverage covenant is not a simple gross-debt ratio; cash netting is allowed but capped.","Does not compute actual net leverage.","Compliance certificate Schedule I"
SATX-017,"FTH-004",Sterling Infrastructure,STRL,Capital-intensive buildout,Guarantee package,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Section 6.12(a) and signatures,Closing date 2026,Guarantor coverage,most direct and indirect subsidiaries,text,"Obligations shall be guaranteed by each direct and indirect subsidiary other than excluded subsidiaries; signature pages include multiple named guarantors including CEC Facilities LLC and Stone Ridge Infrastructure LLC.",agreement-term-visible,"Shows the credit wrapper reaches operating subsidiaries and acquired entities, not only parent-level credit.","Does not map each project or customer contract to a guarantor.","Subsidiary schedule and collateral documents"
SATX-018,"FTH-004",Sterling Infrastructure,STRL,Capital-intensive buildout,Collateral package,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Section 6.12(b),Closing date 2026,Collateral scope,all personal property of borrower and guarantors,text,"Obligations are secured by valid perfected enforceable liens on all right title and interest of Borrower and each Guarantor in all personal property, subject to Section 11.29 and collateral documents.",agreement-term-visible,"Confirms the revolver is secured by broad personal-property collateral, supporting the credit-wrapper hypothesis.","Does not quantify collateral value, priority exceptions, excluded assets, or borrowing availability.","Collateral documents, UCC filings, and lender collateral schedules"
SATX-019,"FTH-004; FTH-006",Sterling Infrastructure,STRL,Capital-intensive buildout,Excluded subsidiary and JV boundary,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,SEC Exhibit 10.1,Definition of Excluded Subsidiary and Section 7.3(m),Closing date 2026,Project Specific JV exclusion and investment basket,360M USD or 30% of Net Worth,USD or percent,"Excluded subsidiaries include Project Specific JVs; investments in Project Specific JVs are permitted up to greater of 360M USD and 30% of Net Worth outstanding at any time, calculated net of distributions.",agreement-term-visible,"Adds nuance: some project-specific structures may sit outside the main guarantor/collateral package.","Does not identify which backlog projects are in excluded JVs or how customer funding flows through them.","Project JV agreements and backlog/customer schedules"
SATX-020,"FTH-010",Sterling Infrastructure,STRL,Capital-intensive buildout,Funding-container hypothesis test,raw/primary-sources/capital-flow/capital-intensive-credit-agreements/sterling/exhibit101-secondamended.htm,research synthesis,Current pass,Current pass,Evidence grade after agreement extraction,agreement-term-visible,status,"The actual agreement supports the hypothesis that Sterling's funding container is a flexible secured platform revolver with L/C, swing-line, acquisition, capex, refinancing, covenant, guaranty, and collateral mechanics.",agreement-term-visible,"Sterling can be described as agreement-term-visible for the credit wrapper.","It still cannot be described as project-source-of-funds-grade or customer-funded-backlog-proof.","Sterling backlog contract funding pass and covenant-cushion pass"
