claim_id,derived_metric_id,platform,period,formula,input_values,result_value,result_unit,derived_claim,claim_boundary,source_tables,status
CF-004,DCF-012,Brookfield Wealth Solutions,Q2 2026,"invested insurance assets * private-funds allocation","167.297 * 5%",8.365,USD billions,"Brookfield's disclosed 5% private-funds allocation implies about 8.4B USD of private-fund exposure on Q2 2026 invested insurance assets.","This does not identify underlying fund strategies or related-party exposure.","capital-flow-brookfield-wealth-solutions-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-013,Brookfield Wealth Solutions,Q2 2026,"private credit allocation + private funds allocation","33% + 5%",38.00,percent,"Brookfield's private credit plus private funds allocation equals 38% of the disclosed insurance investment portfolio mix.","This is a private-assets proxy, not a statutory Schedule BA number.","capital-flow-brookfield-wealth-solutions-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-014,Brookfield Wealth Solutions,Q2 2026,"invested insurance assets * (private credit + private funds allocation)","167.297 * 38%",63.573,USD billions,"Brookfield's private-credit plus private-funds allocation implies about 63.6B USD of private-asset exposure on Q2 2026 invested insurance assets.","This still needs borrower/asset-pool holdings and valuation-level evidence.","capital-flow-brookfield-wealth-solutions-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-015,Brookfield Wealth Solutions,Q2 2026,"private credit implied dollars / total insurance assets","55.208 / 190.715",28.95,percent,"Brookfield's implied private-credit exposure equals about 29.0% of total insurance assets.","This combines allocation and balance-sheet measures and should be treated as directional until reconciled to statutory schedules.","capital-flow-brookfield-wealth-solutions-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-016,Brookfield Wealth Solutions,Q2 2026,"LTM distributable earnings / average invested insurance assets","1.790 / 165.855",1.08,percent,"Brookfield Wealth Solutions generated LTM distributable earnings equal to about 1.1% of average invested insurance assets.","This is not the same as investment yield or spread; Brookfield separately discloses net yield and cost of funds.","capital-flow-brookfield-wealth-solutions-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-017,KKR / Global Atlantic,Q2 2026,"Global Atlantic credit AUM / Global Atlantic AUM","164 / 220",74.55,percent,"About 74.5% of Global Atlantic AUM was identified as credit AUM in the extracted Q2 2026 KKR release metrics.","This does not separate public credit from private credit or show borrower destinations.","capital-flow-kkr-global-atlantic-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-018,KKR / Global Atlantic,Q2 2026,"Ivy and sponsored reinsurance vehicles AUM / Global Atlantic AUM","62 / 220",28.18,percent,"Ivy and sponsored reinsurance vehicle AUM equaled about 28.2% of Global Atlantic AUM.","This shows reinsurance-vehicle scale but not the asset mix inside those vehicles.","capital-flow-kkr-global-atlantic-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-019,KKR / Global Atlantic,Q2 2026,"Global Atlantic AUM / KKR total AUM","220 / 796",27.64,percent,"Global Atlantic AUM equaled about 27.6% of KKR total AUM in Q2 2026.","This is platform-scale context and should not be read as all KKR insurance AUM being private credit.","capital-flow-kkr-global-atlantic-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-001,DCF-020,KKR,Q2 2026,"quarterly capital invested / quarterly new capital raised","24 / 34",70.59,percent,"KKR invested about 70.6 cents for every dollar of new capital raised in Q2 2026.","This is a same-quarter activity ratio, not proof that the same dollars raised were invested in the same quarter.","capital-flow-kkr-global-atlantic-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-001,DCF-021,KKR,LTM Q2 2026,"LTM capital invested / LTM new capital raised","104 / 133",78.20,percent,"KKR's LTM capital invested equaled about 78.2% of LTM new capital raised.","This indicates strong deployment relative to fundraising but not strategy-level destination by itself.","capital-flow-kkr-global-atlantic-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-022,Blackstone Credit & Insurance,Q2 2026,"Credit & Insurance AUM / total Blackstone AUM","469.3 / 1346.3",34.86,percent,"Blackstone Credit & Insurance represented about 34.9% of Blackstone total AUM in Q2 2026.","This is segment scale, not evidence of owned insurance liabilities.","capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-023,Blackstone Credit & Insurance,Q2 2026,"Credit & Insurance fee-earning AUM / Credit & Insurance AUM","318.241 / 469.3",67.82,percent,"About 67.8% of Blackstone Credit & Insurance AUM was fee-earning AUM.","This does not measure fee rate, realization earnings, or credit risk.","capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-024,Blackstone Credit & Insurance,Q2 2026,"global direct-lending inflows / Credit & Insurance quarterly inflows","13.3 / 31.0",42.90,percent,"Direct lending accounted for about 42.9% of Blackstone Credit & Insurance Q2 2026 inflows.","This is inflow mix, not asset balance or borrower-level destination.","capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-025,Blackstone Credit & Insurance,Q2 2026,"infrastructure and asset-based credit inflows / Credit & Insurance quarterly inflows","9.9 / 31.0",31.94,percent,"Infrastructure and asset-based credit strategies accounted for about 31.9% of Blackstone Credit & Insurance Q2 2026 inflows.","This does not reveal the underlying collateral pools or insurers' final asset allocation.","capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-026,Blackstone Credit & Insurance,Q2 2026,"insurance SMA inflows / infrastructure and asset-based credit inflows","7.5 / 9.9",75.76,percent,"Insurance SMA inflows represented about 75.8% of Blackstone's infrastructure and asset-based credit strategy inflows cited in the Q2 2026 extraction.","This supports insurer-client importance in this flow bucket but not Blackstone-owned insurance liabilities.","capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-027,Blackstone Credit & Insurance,Q2 2026,"insurance SMA inflows / Credit & Insurance quarterly inflows","7.5 / 31.0",24.19,percent,"Insurance SMA inflows represented about 24.2% of Blackstone Credit & Insurance quarterly inflows.","This is one-quarter flow evidence and should not be annualized without more periods.","capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-028,Blackstone Credit & Insurance,LTM Q2 2026,"Credit & Insurance LTM capital deployed / Credit & Insurance LTM inflows","65.4 / 143.0",45.73,percent,"Blackstone Credit & Insurance LTM capital deployed equaled about 45.7% of LTM inflows.","This is a deployment-to-inflow activity ratio, not proof that the same capital was deployed or that undeployed capital has no destination.","capital-flow-blackstone-credit-insurance-q2-2026-extractions.csv",derived-from-primary-source-extractions
CF-004,DCF-029,KKR / Global Atlantic,Q2 2026,"insurance investments / insurance policy liabilities","189.204380 / 205.499130",92.07,percent,"Global Atlantic insurance investments equaled about 92.1% of insurance policy liabilities at Q2 2026.","This is a GAAP balance-sheet ratio, not a statutory capital adequacy ratio.","capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv",derived-from-sec-10q-extractions
CF-004,DCF-030,KKR / Global Atlantic,Q2 2026,"AFS fixed maturity securities / insurance investments","88.056662 / 189.204380",46.54,percent,"AFS fixed maturity securities represented about 46.5% of Global Atlantic insurance investments.","This does not split investment grade from below investment grade or public from private credit.","capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv",derived-from-sec-10q-extractions
CF-004,DCF-031,KKR / Global Atlantic,Q2 2026,"mortgage and other loan receivables net / insurance investments","48.754106 / 189.204380",25.77,percent,"Mortgage and other loan receivables represented about 25.8% of Global Atlantic insurance investments.","This loan bucket includes commercial mortgage residential mortgage consumer and other loans; it is not all corporate private credit.","capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv",derived-from-sec-10q-extractions
CF-004,DCF-032,KKR / Global Atlantic,Q2 2026,"real assets / insurance investments","15.313257 / 189.204380",8.09,percent,"Real assets represented about 8.1% of Global Atlantic insurance investments.","This does not identify underlying real-asset sectors or valuation risk.","capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv",derived-from-sec-10q-extractions
CF-004,DCF-033,KKR / Global Atlantic,Q2 2026,"mortgage and other loan allowance for credit losses / gross mortgage and other loan receivables","0.671094 / 49.425200",1.36,percent,"The mortgage-and-other-loan allowance equaled about 1.36% of gross mortgage and other loan receivables.","This is an allowance ratio, not a forward default forecast.","capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv",derived-from-sec-10q-extractions
CF-004,DCF-034,KKR / Global Atlantic,Q2 2026,"mortgage loans 90 days or foreclosure / total mortgage loans gross","0.2964 / 45.202791",0.66,percent,"Mortgage loans 90 days or more past due or in foreclosure were about 0.66% of total mortgage loans by property type.","This uses the disclosed non-income-producing amount and total mortgage-loan property-type denominator; it does not include consumer loans.","capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv",derived-from-sec-10q-extractions
CF-004,DCF-035,KKR / Global Atlantic,Q2 2026,"commercial mortgage loans LTV over 90% / commercial mortgage loans gross","0.507010 / 24.731728",2.05,percent,"Commercial mortgage loans with LTV over 90% were about 2.1% of commercial mortgage loans.","This only covers the CML LTV table, not residential mortgage or consumer loan risk.","capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv",derived-from-sec-10q-extractions
CF-004,DCF-036,KKR / Global Atlantic,Q2 2026,"FHLB funding-agreement pledged assets / insurance investments","9.2 / 189.204380",4.86,percent,"FHLB funding-agreement pledged assets equaled about 4.9% of Global Atlantic insurance investments.","This shows bank-adjacent funding interaction, not bank displacement.","capital-flow-kkr-global-atlantic-q2-2026-10q-extractions.csv",derived-from-sec-10q-extractions
CF-004,DCF-037,Brookfield Wealth Solutions,FY2025,"total investments / total assets","114.833 / 157.181",73.06,percent,"Brookfield Wealth Solutions total investments represented about 73.1% of total assets at FY2025 year-end.","This is audited annual balance-sheet mix, not a private-credit allocation; the private-credit percent comes from the Q2 2026 supplement.","capital-flow-brookfield-wealth-solutions-fy2025-20f-extractions.csv",derived-from-sec-20f-extractions
CF-004,DCF-038,Brookfield Wealth Solutions,FY2025,"policyholders account balances / total assets","92.992 / 157.181",59.16,percent,"Policyholder account balances represented about 59.2% of total assets at FY2025 year-end.","This is a liability-base ratio, not proof that a specific liability funded a specific loan.","capital-flow-brookfield-wealth-solutions-fy2025-20f-extractions.csv",derived-from-sec-20f-extractions
CF-004,DCF-039,Brookfield Wealth Solutions,FY2025,"total liabilities / total assets","139.264 / 157.181",88.60,percent,"Total liabilities represented about 88.6% of Brookfield Wealth Solutions total assets at FY2025 year-end.","This is GAAP/IFRS balance-sheet leverage context, not a regulatory capital adequacy ratio.","capital-flow-brookfield-wealth-solutions-fy2025-20f-extractions.csv",derived-from-sec-20f-extractions
CF-004,DCF-040,Brookfield Wealth Solutions,FY2025,"total equity / total assets","17.917 / 157.181",11.40,percent,"Total equity represented about 11.4% of total assets at FY2025 year-end.","This is an accounting ratio, not a statutory solvency measure.","capital-flow-brookfield-wealth-solutions-fy2025-20f-extractions.csv",derived-from-sec-20f-extractions
CF-004,DCF-041,Brookfield Wealth Solutions,FY2025,"total unfunded investment commitments / total investments","12.3 / 114.833",10.71,percent,"Unfunded investment commitments equaled about 10.7% of FY2025 total investments, adding a forward-deployment lens to the insurance balance sheet.","Commitments are not funded assets yet and may fund across mortgage loans private loans funds real estate and other invested assets.","capital-flow-brookfield-wealth-solutions-fy2025-20f-extractions.csv",derived-from-sec-20f-extractions
CF-004,DCF-042,Brookfield Wealth Solutions,FY2025,"reinsurance recoverables and deposit assets / total assets","12.151 / 157.181",7.73,percent,"Reinsurance recoverables and deposit assets represented about 7.7% of total assets at FY2025 year-end.","This is exposure/context for reinsurance complexity, not a counterparty-risk conclusion.","capital-flow-brookfield-wealth-solutions-fy2025-20f-extractions.csv",derived-from-sec-20f-extractions
CF-004,DCF-043,Brookfield Wealth Solutions,FY2025,"corporate borrowings plus non-recourse borrowings / total assets","(0.628 + 4.857) / 157.181",3.49,percent,"Corporate and non-recourse borrowings together represented about 3.5% of FY2025 total assets.","This omits policyholder liabilities and reinsurance liabilities, so it is not a full liability ratio.","capital-flow-brookfield-wealth-solutions-fy2025-20f-extractions.csv",derived-from-sec-20f-extractions
CF-005,DCF-044,Ares,Q2 2026,"credit group AUM / total AUM","440.544 / 671.319",65.62,percent,"Ares Credit Group represented about 65.6% of total Ares AUM at Q2 2026.","This is credit-platform scale, not proof that all credit AUM is private credit or direct lending.","capital-flow-ares-q2-2026-platform-credit-extractions.csv",derived-from-sec-10q-extractions
CF-005,DCF-045,Ares,Q2 2026,"credit group FPAUM / total FPAUM","266.120 / 409.922",64.92,percent,"Ares Credit Group represented about 64.9% of fee-paying AUM at Q2 2026.","This measures fee-paying credit scale, not borrower-level use of proceeds.","capital-flow-ares-q2-2026-platform-credit-extractions.csv",derived-from-sec-10q-extractions
CF-005,DCF-046,Ares,Q2 2026,"credit group FPAUM / credit group AUM","266.120 / 440.544",60.41,percent,"About 60.4% of Ares Credit Group AUM was fee-paying at Q2 2026.","The rest includes non-fee-paying and not-yet-fee-paying AUM; it does not mean unused cash.","capital-flow-ares-q2-2026-platform-credit-extractions.csv",derived-from-sec-10q-extractions
CF-005,DCF-047,Ares,Q2 2026,"U.S. direct lending AUM + European direct lending AUM","196.740 + 88.985",285.725,USD billions,"Ares disclosed about 285.7B USD of U.S. and European direct lending AUM at Q2 2026.","This excludes APAC credit and other credit strategies and does not identify individual borrowers.","capital-flow-ares-q2-2026-platform-credit-extractions.csv",derived-from-sec-10q-extractions
CF-005,DCF-048,Ares,Q2 2026,"U.S. and European direct lending AUM / credit group AUM","285.725 / 440.544",64.86,percent,"U.S. and European direct lending represented about 64.9% of Ares Credit Group AUM.","This is a strategy mix ratio, not a bank-displacement ratio.","capital-flow-ares-q2-2026-platform-credit-extractions.csv",derived-from-sec-10q-extractions
CF-005,DCF-049,Ares,Q2 2026,"U.S. and European direct lending AUM / total AUM","285.725 / 671.319",42.56,percent,"U.S. and European direct lending represented about 42.6% of total Ares AUM.","This does not include all direct lending geographies and does not show borrower source-of-funds.","capital-flow-ares-q2-2026-platform-credit-extractions.csv",derived-from-sec-10q-extractions
CF-005,DCF-050,Ares,Q2 2026,"credit Q2 new commitments / total Q2 new commitments","(12.887 + 10.799) / (22.208 + 14.216)",65.03,percent,"Credit represented about 65.0% of Ares Q2 2026 new AUM commitments.","This combines par/equity and debt commitments and should not be read as funded deployment.","capital-flow-ares-q2-2026-platform-credit-extractions.csv",derived-from-sec-10q-extractions
CF-005,DCF-051,Ares,Q2 2026,"credit FPAUM deployment/increase in leverage / total FPAUM deployment/increase in leverage","10.058 / 14.336",70.16,percent,"Credit represented about 70.2% of Ares Q2 2026 FPAUM deployment and increase in leverage.","This measures fee-paying rollforward activity, not direct borrower originations.","capital-flow-ares-q2-2026-platform-credit-extractions.csv",derived-from-sec-10q-extractions
CF-005,DCF-052,Ares,Q2 2026,"AUM not yet paying fees available for future deployment / total AUM","92.6 / 671.319",13.79,percent,"Ares disclosed future-deployment AUM not yet paying fees equal to about 13.8% of total AUM.","This is future deployment runway, not already invested capital.","capital-flow-ares-q2-2026-platform-credit-extractions.csv",derived-from-sec-10q-extractions
