claim_id,company,manager,vehicle,period,industry,borrower,business_description,investment_type,principal_or_shares,amortized_cost_usd_m,fair_value_usd_m,source_file,source_table_index,status
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Banyan Software Holdings, LLC and Banyan Software Intermediate, Inc. (13)(14)",Vertical software businesses holding company,First lien senior secured loan,21.3,21.3,21.3,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Banyan Software Holdings, LLC and Banyan Software Intermediate, Inc. (13)(14)",Vertical software businesses holding company,First lien senior secured loan,3.5,3.5,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Banyan Software Holdings, LLC and Banyan Software Intermediate, Inc. (13)(14)",Vertical software businesses holding company,Series A preferred shares,105.9,105.9,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"BCTO Ignition Purchaser, Inc.",Enterprise software provider,Senior subordinated loan,4.7,4.7,4.7,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"BCTO Ignition Purchaser, Inc.",Enterprise software provider,Senior subordinated loan,2.7,2.7,2.7,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Bobcat Purchaser, LLC and Bobcat Topco, L.P. (13)",Healthcare software provider,First lien senior secured loan,15.4,15.4,15.4,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Bobcat Purchaser, LLC and Bobcat Topco, L.P. (13)",Healthcare software provider,Class A-1 units,1729228.0,1.7,1.3,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,Borrower R365 Holdings LLC (13),Provider of restaurant enterprise resource planning systems,First lien senior secured loan,1.9,1.9,1.9,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,Borrower R365 Holdings LLC (13),Provider of restaurant enterprise resource planning systems,First lien senior secured loan,15.9,15.9,15.9,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Bottomline Technologies, Inc. (13)",Provider of payment automation solutions,First lien senior secured loan,16.5,16.5,16.5,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Businessolver.com, Inc. (13)",Provider of SaaS-based benefits solutions for employers and employees,First lien senior secured loan,28.0,28.0,27.7,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (13)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured loan,16.5,16.2,14.5,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (13)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Second lien senior secured loan,71.6,71.3,63.8,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (13)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Series A preferred shares,45.9,39.0,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (13)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Series A-2 preferred shares,16.3,13.9,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (13)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Series A-3 preferred shares,19.7,16.7,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,10,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (13)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured loan,29.8,29.8,29.5,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,11,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (13)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Senior subordinated loan,26.1,25.7,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,11,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (13)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Limited partnership interests,5.3,5.8,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,11,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (13)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured loan,144.0,144.0,144.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,11,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (13)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Series A preferred stock,115.3,115.5,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,11,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Clearwater Analytics, LLC and Clearwater Analytics Holdings, Inc. (13)","Provider of integrated cloud-based investment portfolio management, accounting, reporting and analytics software",First lien senior secured loan,130.7,130.7,130.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,11,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cloud Software Group, Inc., Picard Parent, Inc., Cloud Software Group Holdings, Inc., Picard HoldCo, LLC and Elliott Alto Co-Investor Aggregator L.P. (13)","Provider of server, application and desktop virtualization, networking, software as a service, and cloud computing technologies",Limited partnership interests,12.3,30.5,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,11,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Community Brands ParentCo, LLC",Software and payment services provider to non-profit institutions,Class A units,5.0,1.1,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,11,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Computer Services, Inc. (13)",Infrastructure software provider to community banks,First lien senior secured loan,50.2,50.2,49.2,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,11,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",Provider of sales software for the interior design industry,Common units,483584.0,4.8,9.4,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,11,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.",Provider of sales software for the interior design industry,Series A common units,23340.0,0.2,0.5,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,11,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP (13)","Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",First lien senior secured revolving loan,12.6,12.5,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,11,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP (13)","Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",Second lien senior secured loan,155.7,155.7,152.9,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,11,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP (13)","Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",Limited partnership units,59.7,53.0,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,11,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc. (13)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan,61.7,61.7,59.8,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,11,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc. (13)","Provider of environmental, health and safety software to track compliance data",Preferred equity,198.0,0.4,0.7,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,11,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (13)","Provider of a cloud-based, SaaS platform for talent management",First lien senior secured revolving loan,9.8,9.8,6.2,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (13)","Provider of a cloud-based, SaaS platform for talent management",First lien senior secured loan,16.4,15.2,10.3,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (13)","Provider of a cloud-based, SaaS platform for talent management",Second lien senior secured loan,137.5,137.5,88.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (13)","Provider of a cloud-based, SaaS platform for talent management",Series A preferred shares,188.5,113.1,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (13)","Provider of a cloud-based, SaaS platform for talent management",Class A-1 common stock,13.6,14.7,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Coupa Holdings, LLC and Coupa Software Incorporated",Provider of Business Spend Management software,First lien senior secured loan,9.7,9.7,9.2,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Databricks, Inc. (13)",Cloud-based data and AI platform that helps companies scale and manage data,First lien senior secured loan,0.1,0.1,0.1,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Datix Bidco Limited and RL Datix Holdings (USA), Inc. (13)",Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan,104.6,104.6,103.5,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Datix Bidco Limited and RL Datix Holdings (USA), Inc. (13)",Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan,56.2,53.1,55.7,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Digicert, Inc., Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P. (13)",Provider of internet security tools and solutions,First lien senior secured loan,124.1,123.0,121.6,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Digicert, Inc., Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P. (13)",Provider of internet security tools and solutions,Second lien senior secured loan,20.5,19.1,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Digicert, Inc., Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P. (13)",Provider of internet security tools and solutions,Series A preferred shares,218.8,175.0,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Digicert, Inc., Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P. (13)",Provider of internet security tools and solutions,Series A units,13.3,12.2,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Diligent Corporation and Diligent Preferred Issuer, Inc. (13)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured revolving loan,0.9,0.9,0.9,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Diligent Corporation and Diligent Preferred Issuer, Inc. (13)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured loan,3.4,3.4,3.3,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Diligent Corporation and Diligent Preferred Issuer, Inc. (13)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured loan,20.1,20.0,19.4,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Diligent Corporation and Diligent Preferred Issuer, Inc. (13)",Provider of secure SaaS solutions for board and leadership team documents,Preferred stock,21.6,20.8,-2.0,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
"CF-004, CF-005",Ares Capital Corporation,Ares,ARCC,Q2 2026 / June 30 2026,Software and Services,"Diligent Corporation and Diligent Preferred Issuer, Inc. (13)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured loan,84.3,84.3,84.3,raw/primary-sources/capital-flow/ares-capital/q2-2026/arcc-2026-q2-10q.html,12,parser-derived-needs-reconciliation
