row_id,company,ticker,period,source_file,source_section,evidence_type,metric_or_term,value,unit,calculation,what_it_says,what_it_does_not_say,pass_or_hold,next_required_source,safe_claim
CFLBDSE-011,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt note,Fair-value accounting policy,Exchangeable senior debentures carried at fair value before redemption,explicit,text,reported,"Liberty Broadband elected to account for exchangeable senior debentures at fair value before redemption, with fair-value changes recognized in realized and unrealized gains or losses.","This prevents treating carrying-value movement as simple amortized debt economics.",visible,fair-value reconciliation by instrument,"Debenture economics require fair-value-accounting interpretation."
CFLBDSE-012,Liberty Broadband Corporation,LBRDK/LBRDA,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Cash flow statement,Debt borrowings,Borrowings of debt,1239.000,USD millions,reported,"Liberty Broadband reported 1.239B USD of debt borrowings in the first half of 2026.","Aggregate borrowings do not identify each instrument's exact use.",visible,debt rollforward by instrument,"The restructuring had large financing inflows."
CFLBDSE-013,Liberty Broadband Corporation,LBRDK/LBRDA,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Cash flow statement,Debt repayments,Repayments of debt,1771.000,USD millions,reported,"Liberty Broadband reported 1.771B USD of debt repayments in the first half of 2026.","Aggregate repayments do not prove final shareholder realization or value creation.",visible,debt repayment schedule by instrument,"The restructuring had repayment activity larger than borrowings."
CFLBDSE-014,Liberty Broadband Corporation,LBRDK/LBRDA,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Cash flow statement,Net financing debt movement,Debt repayments less borrowings,532.000,USD millions,1771.000 - 1239.000,"Debt repayments exceeded debt borrowings by 532M USD in the first half of 2026.","This is not a shareholder-return number because it excludes investing cash, cash balances, and non-debt items.",calculated-visible,full cash-flow reconciliation,"Liberty's debt stack contracted on a net financing-cash basis."
CFLBDSE-015,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt table,Total debt at Dec. 31 2025,Total debt prior period,1746.000,USD millions,reported,"Total debt was 1.746B USD at December 31 2025.","This does not identify fair-value or maturity risk by itself.",visible,debt table,"The starting debt stack is visible."
CFLBDSE-016,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt table,Total debt at Jun. 30 2026,Total debt current period,1223.000,USD millions,reported,"Total debt was 1.223B USD at June 30 2026.","This does not prove lower risk without collateral and maturity analysis.",visible,debt table and maturity schedule,"The ending debt stack is visible."
CFLBDSE-017,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt table,Total debt reduction,Total debt decrease,523.000,USD millions,1746.000 - 1223.000,"Total debt fell by 523M USD from December 31 2025 to June 30 2026.","This is not equivalent to economic gain or shareholder realization.",calculated-visible,debt stack and fair-value rollforward,"The holding-company debt balance decreased during the settlement period."
CFLBDSE-018,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Debt table,Instrument rollforward check,Debenture retirement plus margin-loan increase plus Charter loan addition,-523.000,USD millions,-956.000 + 74.000 + 359.000,"The debt-table instrument movement reconciles to the 523M USD total-debt decrease: the 956M USD debenture retirement was partly offset by 74M USD more margin-loan debt and a new 359M USD Charter loan.","This does not allocate cash sources beyond the period-level debt table.",calculated-visible,instrument-level debt rollforward,"The visible debt-stack movements internally reconcile."
CFLBDSE-019,Liberty Broadband Corporation,LBRDK/LBRDA,YTD 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Cash flow statement,Charter share monetization,Cash received for Charter shares repurchased by Charter,595.000,USD millions,reported,"Liberty Broadband received 595M USD for Charter shares repurchased by Charter in the first half of 2026.","This is investment monetization, not operating cash flow or debenture-specific funding allocation.",visible,Charter share repurchase schedule,"Charter share monetization supported the liquidity picture."
CFLBDSE-020,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Margin Loan Facility note,Collateral shares,Charter shares held in collateral accounts,19.100,million shares,reported,"At June 30 2026, 19.1M Charter shares were held in collateral accounts related to the Margin Loan Agreement.","This does not prove all LTV tests or margin-call cushion without agreement calculations.",visible,pledged-share schedule and LTV certificate,"The margin-loan collateral share count is visible."
CFLBDSE-021,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Margin Loan Facility note,Collateral value,Value of Charter shares in collateral accounts,2700.000,USD millions,reported,"The collateral account shares had a disclosed value of 2.7B USD at June 30 2026.","The disclosed value does not by itself prove covenant cushion or lender haircuts.",visible,LTV certificate and margin-loan agreement,"The collateral value denominator is visible."
CFLBDSE-022,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Margin Loan Facility note,Simple collateral ratio,Margin Loan Facility debt divided by disclosed collateral value,32.000,percent,864.000 / 2700.000,"A simple ratio of margin-loan debt to disclosed collateral-account value is about 32.0%.","This is not the contractual LTV Ratio because the agreement may apply definitions, haircuts, timing, and cure mechanics.",calculated-boundary,LTV certificate and agreement definitions,"A simple collateral context ratio is calculable but not claim-grade LTV."
CFLBDSE-023,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Stockholders and Letter Agreement Amendment,LTV trigger,Margin loan LTV trigger for Charter support,50.000,percent,reported,"If the Margin Loan Facility LTV Ratio equaled or exceeded 50%, Charter had to repurchase stock, loan cash, or permit additional pledged shares to reduce the LTV Ratio to 30% or in some loan cases 40%.","This does not prove the June 30 contractual LTV calculation.",visible,margin loan agreement and LTV certificate,"The support trigger and target thresholds are visible."
CFLBDSE-024,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Stockholders and Letter Agreement Amendment,Charter loan trigger,May 12 2026 Charter loan triggered by LTV exceeding 50%,359.000,USD millions,reported,"Due to the Margin Loan Facility LTV Ratio exceeding 50%, Charter advanced approximately 359M USD to repay borrowings under the Margin Loan Facility.","This is a collateral/liquidity support mechanism, not operating return.",visible,Charter loan agreement and LTV certificate,"The Charter loan was connected to margin-loan LTV support."
CFLBDSE-025,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Charter Loan Facility,Charter loan interest rate,Interest rate at Jun. 30 2026,5.700,percent,reported,"The Charter Loan Facility interest rate was 5.7% at June 30 2026.","This does not prove total debt-service quality without a full schedule.",visible,Charter loan agreement and interest schedule,"Charter loan pricing is visible."
CFLBDSE-026,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Charter Loan Facility,Prepayment term,Charter loan prepayable without penalty or premium,explicit,text,reported,"Loans under the Charter Loan Facility may be prepaid without penalty or premium upon three business days prior notice to Charter.","This does not prove actual repayment timing or merger-close treatment.",visible,Charter loan agreement,"Charter loan repayment flexibility is visible."
CFLBDSE-027,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/liberty-broadband/q2-2026/lbrda-20260630-10q.htm,Charter Loan Facility,Maturity term,Earlier of six months after Drop Dead Date or six months after merger termination,explicit,text,reported,"The Charter Loan Facility matures on the earlier of six months after the Drop Dead Date or six months after merger-agreement termination.","The final merger outcome and debt treatment are still not visible.",visible,merger close documents,"The Charter loan is transaction-timeline-linked."
CFLBDSE-028,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,derived from CFLBDSE-001 through CFLBDSE-027,Research classification,Pass result,Debenture retirement and funding mechanics visible but settlement economics incomplete,decision,text,synthesis,"The pass upgrades Liberty from a generic holdco restructuring bridge to a measured debenture-retirement bridge: the 2053 debentures were put back and retired for 966M USD including accrued interest, funded with Margin Loan Facility proceeds and restricted cash, while debt-table movements reconcile to a 523M USD total-debt reduction.","It does not prove favorable settlement economics, shareholder realization, tax impact, final merger funds-flow, or contractual LTV cushion.",pass-with-boundary,"settlement notice; fair-value rollforward; accrued-interest detail; tax note; LTV certificate; final merger funds-flow","Liberty has visible debenture-retirement mechanics, not proven value creation."
CFLBDSE-029,Liberty Broadband Corporation,LBRDK/LBRDA,Q2 2026,derived from CFLBDSE-001 through CFLBDSE-027,Boundary,Research boundary,Do-not-claim boundary,explicit,text,synthesis,"The evidence supports a bounded debt retirement claim with funding-source and collateral context.","Do not claim shareholder cash realization, favorable refinancing economics, collateral sufficiency, final merger value, or operating return from this pass.",hold-boundary,"debenture settlement statement; fair-value reconciliation; Charter loan agreement; margin-loan LTV certificate; final merger closing statement","The safe answer is debt retirement visible, economics and realization still open."
