batch_id,pilot_id,lane,company,ticker,bridge_model,cash_realization_source_family,first_source_action,expected_cash_fields,current_proof_level,cash_realization_upgrade_test,disproof_test,next_artifact,safe_claim
CF519CR-012,CF519P2-012,power_grid_and_project_finance,Plains All American Pipeline Lp,PAA,source-use-output-return bridge,tariff rate route and shipper cash durability evidence,extract tariff rates Cactus III route acquisition economics and volume/revenue support,tariff; route; rate; volume; shipper cue; acquisition price; segment cash,source-table/proxy-visible,Upgrade if tariff/shipper evidence ties Cactus III output to cash durability,Treating tariff rate as committed shipper economics or full project return,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Plains as tariff/commercial durability candidate.
CF519CR-013,CF519P2-013,power_grid_and_project_finance,Targa Resources Corp.,TRGP,source-use-output-return bridge,NGL project capex contracts and throughput cash support,extract named project capex in-service status volumes contract duration and EBITDA contribution,project; capex; in-service; throughput; contract; EBITDA; debt/cash source,lane-queue-candidate,Upgrade if named project joins source/use/output/customer cash,Treating company growth capex as project cash return,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Targa as project-cash candidate until source table extraction.
CF519CR-014,CF519P2-014,power_grid_and_project_finance,Nextera Energy Inc.,NEE,approved-recovery bridge,utility recovery customer receipt and source allocation evidence,continue FPL category receipt/source pursuit and NextEra project economics extraction,category receipt; billing determinant; factor; source of funds; customer contract; project cash,recovery-bridge-visible,Upgrade if category/customer cash or project contract economics are same-period visible,Treating aggregate SPPCRC revenue or backlog as project cash,capital-flow-fpl-distribution-inspection-customer-receipt-source-acquisition-pass-1.md,Use NEE/FPL as strongest recovery bridge with cash-source gap.
CF519CR-015,CF519P2-015,debt_refinancing_and_facilities,Pbf Energy,PBF,before-after capital-stack bridge,debt maturity refinancing and liquidity use evidence,extract debt table maturity schedule facility size use of proceeds and repayment language,debt amount; maturity; rate; revolver; use of proceeds; repayment; liquidity,lane-queue-candidate,Upgrade if refinancing source/use and cash/liquidity impact are visible,Treating refinancing as growth investment without use evidence,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use PBF as refinancing/facility candidate.
CF519CR-016,CF519P2-016,debt_refinancing_and_facilities,Devon Energy Corporation,DVN,before-after capital-stack bridge,debt refinancing capex and cash-return bridge,extract debt changes maturities capex funding free cash flow and shareholder return context,debt; maturity; capex; FCF; buybacks/dividends; refinancing use,lane-queue-candidate,Upgrade if capital-stack change ties to capex funding or cash-return mechanism,Treating debt capacity as productive investment by itself,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Devon as before/after capital-stack candidate.
CF519CR-017,CF519P2-017,debt_refinancing_and_facilities,Matador Resources Co.,MTDR,before-after capital-stack bridge,credit facility debt maturity and production/cash bridge,extract facility amendments debt table capex production cash flow and acquisition funding,facility; lender; borrowing; debt; capex; production; operating cash,lane-queue-candidate,Upgrade if facility/debt changes tie to production/cash or acquisition use,Treating facility size as drawn cash or return,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Matador as facility-to-output candidate.
CF519CR-018,CF519P2-018,debt_refinancing_and_facilities,Liberty Broadband Corporation,,before-after capital-stack bridge,holding-company debt and transaction/liquidity bridge,extract debt maturity exchange transaction proceeds and liquidity use,debt; maturity; exchange; transaction proceeds; liquidity; collateral,lane-queue-candidate,Upgrade if capital-stack change has explicit cash use and repayment/return path,Treating holding-company debt as operating output,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Liberty Broadband as capital-stack restructuring candidate.
CF519CR-019,CF519P2-019,debt_refinancing_and_facilities,Wheaton Precious Metals Corp.,WPM,before-after capital-stack bridge,streaming contract funding and cash receipt bridge,extract upfront payments stream contracts production deliveries and operating cash,upfront payment; stream asset; production; deliveries; cash flow; debt/liquidity,lane-queue-candidate,Upgrade if streaming capital outlay links to deliveries and cash realization,Treating liquidity or contract notional as cash return without deliveries,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Wheaton as streaming/cash contract candidate.
CF519CR-020,CF519P2-020,acquisition_finance,Core Main Inc.,CNM,deal-source-use-integration bridge,acquisition funding integration and cash contribution evidence,extract deal price funding source acquired revenue EBITDA working capital and synergy/cash contribution,purchase price; funding; acquired revenue; EBITDA; working capital; integration,lane-queue-candidate,Upgrade if acquisition funding joins to acquired asset/cash contribution,Treating deal value as organic growth or cash return,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Core Main as acquisition-to-cash candidate.
CF519CR-021,CF519P2-021,acquisition_finance,Verizon Communications Inc.,VZ,deal-source-use-integration bridge,large acquisition financing debt and cash-flow bridge,extract deal funding source debt issuance repayment target acquired subscribers EBITDA/cash contribution,deal value; debt issuance; use; acquired cash flow; subscribers; synergies,lane-queue-candidate,Upgrade if financing source and acquired cash contribution are visible,Treating acquisition financing as new productive capacity without integration proof,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Verizon as deal-source/integration candidate.
CF519CR-022,CF519P2-022,acquisition_finance,The Sherwin Williams Company,SHW,deal-source-use-integration bridge,acquisition funding and segment integration evidence,extract purchase price funding debt/cash use acquired sales margin and integration costs,purchase price; debt/cash source; acquired sales; margin; synergies; integration,lane-queue-candidate,Upgrade if acquisition source/use links to margin/cash contribution,Treating acquisition spend as high-return without post-close evidence,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Sherwin Williams as acquisition integration candidate.
CF519CR-023,CF519P2-023,acquisition_finance,Lowes Companies Inc.,LOW,deal-source-use-integration bridge,acquisition or buyback funding and operating cash bridge,extract acquisition funding acquired revenue operating cash capex and shareholder return context,deal value; source; acquired revenue; operating cash; capex; buybacks,lane-queue-candidate,Upgrade if deal funding links to acquired cash contribution or operating improvement,Treating corporate cash use as productive acquisition without evidence,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Lowes as acquisition/cash-use candidate.
CF519CR-024,CF519P2-024,acquisition_finance,Roblox Corp.,RBLX,deal-source-use-integration bridge,investment/acquisition funding and monetization bridge,extract cash investments acquisitions developer economics bookings and operating cash,investment; acquisition; bookings; developer exchange fees; operating cash; capex,lane-queue-candidate,Upgrade if capital use ties to monetization and cash conversion,Treating user/growth metrics as cash return without unit economics,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Roblox as monetization/cash conversion candidate.
CF519CR-025,CF519P2-025,asset_backed_and_securitization,Zebra Technologies Corp.,ZBRA,operations-to-collateral bridge,receivables inventory and cash conversion collateral evidence,extract receivables inventory cash conversion credit facility/AR program and working capital,receivables; inventory; DSO; cash conversion; AR facility; eligible collateral,lane-queue-candidate,Upgrade if operating assets become collateral/cash with performance metrics,Treating receivables or inventory as monetized collateral without facility proof,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Zebra as operations-to-collateral candidate.
CF519CR-026,CF519P2-026,asset_backed_and_securitization,Target Corp.,TGT,operations-to-collateral bridge,inventory receivables card/credit and cash conversion evidence,extract inventory turns receivables card economics cash flow and credit facility support,inventory; receivables; card income; operating cash; revolver; collateral,lane-queue-candidate,Upgrade if operating assets or customer receivables tie to cash/collateral performance,Treating retail inventory as asset-backed finance without securitization evidence,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Target as working-capital/collateral candidate.
CF519CR-027,CF519P2-027,asset_backed_and_securitization,Msc Industrial Direct Co. Inc.,MSM,operations-to-collateral bridge,receivables inventory cash conversion and facility evidence,extract AR inventory working capital cash conversion and credit facility terms,AR; inventory; working capital; operating cash; facility; covenant,lane-queue-candidate,Upgrade if operations-to-collateral or cash conversion support is visible,Treating working capital as financed collateral without document support,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use MSC Industrial as working-capital finance candidate.
CF519CR-028,CF519P2-028,asset_backed_and_securitization,Global Industrial Company,GIC,operations-to-collateral bridge,inventory receivables and cash conversion source evidence,extract inventory AR payables operating cash and credit facility availability,inventory; AR; payables; OCF; facility availability; collateral,lane-queue-candidate,Upgrade if operating asset cycle links to cash and financing support,Treating distributor assets as collateral pool without agreement proof,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Global Industrial as operations-to-cash candidate.
CF519CR-029,CF519P2-029,asset_backed_and_securitization,Pool Corp.,POOL,operations-to-collateral bridge,inventory seasonality receivables and facility cash bridge,extract seasonal inventory AR operating cash revolver use and working-capital timing,inventory; AR; seasonality; revolver; OCF; cash conversion,lane-queue-candidate,Upgrade if seasonal working-capital assets tie to cash conversion and facility use,Treating seasonal inventory build as durable cash return,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Pool as seasonal working-capital/cash candidate.
CF519CR-030,CF519P2-030,capital_intensity_and_capex,Jacobs Solutions Inc.,,capital-to-output-to-cash bridge,backlog project revenue and cash conversion evidence,extract backlog segment revenue margin OCF and contract risk/backlog conversion,backlog; revenue; margin; OCF; contract risk; customer funding,lane-queue-candidate,Upgrade if backlog/capex support converts to project cash and margin,Treating backlog as funded cash without collection/margin evidence,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Jacobs as professional/project backlog cash candidate.
CF519CR-031,CF519P2-031,capital_intensity_and_capex,Steel Dynamics Inc.,STLD,capital-to-output-to-cash bridge,plant capex volume margin and cash return evidence,extract growth project capex volume capacity EBITDA/cash and ramp status,capex; capacity; shipments; margin; EBITDA; OCF; ramp,lane-queue-candidate,Upgrade if capex links to production volume margin and cash contribution,Treating capex as return without ramp/output evidence,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Steel Dynamics as capex-to-output/cash candidate.
CF519CR-032,CF519P2-032,capital_intensity_and_capex,Eaton Corporation,ETN,capital-to-output-to-cash bridge,capacity expansion backlog and margin/cash evidence,extract electrical backlog capex capacity revenue margin and cash conversion,capex; capacity; backlog; revenue; margin; cash conversion,lane-queue-candidate,Upgrade if capacity investment links to backlog conversion and cash/margin,Treating electrification demand as realized cash without output/cash proof,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Eaton as electrification backlog/capex candidate.
CF519CR-033,CF519P2-033,capital_intensity_and_capex,Energy Transfer Lp,ET,source-use-output-return bridge,named project source/use tariff and cash bridge,extract project capex funding tariff shipper volume completion and debt/cash economics,project; capex; funding; tariff; shipper; volume; DCF; debt service,company-level-visible,Upgrade if named project links funding asset build shipper/customer revenue output and debt/cash,Treating company DCF or growth capex as named-project return,capital-flow-et-midstream-project-cash-source-target-pass-1.md,Use ET as company-funding visible not named-project cash proof.
CF519CR-034,CF519P2-034,capital_intensity_and_capex,Sterling Infrastructure Inc.,STRL,backlog return/risk bridge,project owner funding retainage L/C surety and cash collection evidence,extract project/backlog burn retainage L/C/surety use owner funding and margin,RPO; revenue; retainage; L/C; surety; owner funding; margin; OCF,conversion-supported-proxy,Upgrade if backlog conversion ties to owner-funded project cash and risk support,Treating backlog as fully funded risk-free cash,capital-flow-sterling-project-cash-collection-source-target-pass-1.md,Use Sterling as conversion-supported with project-cash gap.
CF519CR-035,CF519P2-035,capital_intensity_and_capex,Teledyne Technologies Inc.,TDY,capital-to-output-to-cash bridge,capex acquisition backlog and cash conversion evidence,extract segment backlog orders capex acquisition funding margin and OCF,orders; backlog; capex; acquisition funding; margin; OCF; integration,lane-queue-candidate,Upgrade if capital use links to orders/backlog conversion margin and cash,Treating specialized industrial demand as cash return without conversion proof,capital-flow-519-company-cash-realization-source-table-pass-1.md,Use Teledyne as capital-to-output/cash candidate.
