workbench_id,priority,theme,company_or_lane,current_state,source_to_pull_next,fields_to_extract,claim_it_would_support,failure_or_boundary,output_artifact_needed,status
ARTEW-011,2,Value retail,Target discretionary stress packet,discretionary-stress-extracted-with-boundary,"First-pass value-retail company packet completed for Costco, Walmart, Target, Dollar General, and Burlington; next pull is cash-quality detail rather than another first-pass company.","Next fields: traffic versus ticket, membership renewal, grocery/general-merchandise mix, discretionary mix, merchandise margin, markdowns, shrink, inventory turn, fulfillment cost, store productivity, operating cash flow, free cash flow.","Value retail has source-visible first-pass evidence across paid-access value, basket consolidation, pressured-middle repair, neighborhood replenishment, and off-price bargain discovery.","The completed packet still does not prove durable cohort quality, channel-level cash conversion, shrink control, inventory quality, membership renewal durability, fulfillment economics, or long-term margin durability.",annual-report-target-discretionary-stress-extraction-pass-1.md,completed-first-pass-value-retail-packet-hold-for-cash-quality
ARTEW-012,2,Healthcare access,UnitedHealth payer-care cash packet,payer-care-control-plane-extracted-with-boundary,"UnitedHealth 10-K, 10-Q, earnings supplement, segment tables, medical cost disclosures","Completed first pass: revenue, earnings from operations, net margin, adjusted EPS, expected operating cash flow, affordability/transparency/prior-authorization/pharmacy-pricing/cybersecurity repair themes. Next pass still needs segment premiums, medical care ratio, claims payable, receivables, Optum revenue/margin, care delivery volume, and operating cash-flow bridge.","Healthcare access is routed through payer, data, pharmacy, and care-delivery systems, with trust and regulation as operating variables.","UnitedHealth evidence does not prove better care, fair access, painless claims, transparent pharmacy economics, or full payer-to-provider cash collection.",annual-report-unitedhealth-healthcare-access-extraction-pass-1.md,completed-healthcare-control-plane-hold-for-medical-cost-and-cash-quality
ARTEW-013,2,Healthcare access,Cigna pharmacy and insurance routing packet,benefits-pharmacy-routing-extracted-with-boundary,"Cigna 10-K, 10-Q, Evernorth disclosures, segment tables, claims and cash-flow schedules","Completed first pass: total revenues, revenue growth, shareholders net income, adjusted income from operations, adjusted income per share, debt-to-capitalization, SG&A efficiency, Cigna Healthcare/Evernorth contribution language, and raised 2026 adjusted earnings outlook. Next pass still needs segment revenue/margin, premium revenue, pharmacy-service revenue, medical care ratio, claims payable, receivables, client retention, specialty pharmacy economics, and cash-flow bridge.","Cigna shows healthcare money moving through employer benefits, insurance administration, Evernorth pharmacy services, specialty routing, and operating efficiency.","Cigna evidence does not prove patient affordability, fair access, better outcomes, transparent PBM economics, or full healthcare cash collection.",annual-report-cigna-healthcare-routing-extraction-pass-1.md,completed-benefits-pharmacy-routing-hold-for-segment-cash-quality
ARTEW-014,2,Healthcare access,DaVita chronic-care site economics,first-pass-healthcare-packet-complete-cash-quality-bridge-created,"Completed first-pass healthcare-access extractions for UnitedHealth, Cigna, DaVita, Addus, and Option Care, plus cash-quality bridge pass 1. Next pull is primary cash-quality evidence by company.","Next fields: medical-cost ratio, claims payable, premium receivables, pharmacy-service revenue and margin, dialysis revenue per treatment, patient-care cost per treatment, commercial/government payer mix, home-care billable hours, reimbursement rates, caregiver hiring and retention, infusion therapy mix, drug inventory, receivables, operating cash flow, free cash flow, and quality/outcome measures.",Healthcare access is source-visible across the full first-pass packet and now has a cash-quality bridge separating what money path is shown from what cash proof remains missing.,"The bridge is still a control artifact. It does not itself extract claims payable, receivables, payer-mix tables, treatment-level receipts, billable-hour collections, drug inventory, or quality/outcome proof.",annual-report-healthcare-access-cash-quality-bridge-pass-2.md,completed-healthcare-cash-quality-bridge-pass-1-hold-for-primary-cash-fields
ARTEW-015,2,Digital control,Digital-control first-pass company packet,first-pass-digital-control-packet-complete-cash-quality-bridge-created,"Completed first-pass Cloudflare, Akamai, Zscaler, Fortinet, and Roblox extractions, plus digital-control cash-quality bridge pass 1. Next pull is primary cash-quality evidence by company.",Next fields: Cloudflare retention/current RPO/deferred revenue/infrastructure cost/capex/SBC/FCF bridge; Akamai delivery decline/CIS contract ramp/capex split/segment margin/FCF bridge; Zscaler retention/billings/current RPO/deferred revenue aging/acquisition cost/SBC/FCF bridge; Fortinet renewals/deferred revenue/channel concentration/product-service margin/FCF bridge; Roblox deferred revenue/Robux recognition/monetization per hour/creator payout ratio/infrastructure cost/safety and moderation cost/FCF bridge.,Digital control is source-visible across all five selected mechanisms and now has a cash-quality bridge separating visible money paths from missing proof.,"The bridge is still a control artifact. It does not itself extract retention, current RPO, deferred-revenue aging, segment margins, channel health, creator payout ratios, moderation cost, or full free-cash-flow conversion.",annual-report-digital-control-cash-quality-bridge-pass-2.md,completed-digital-control-cash-quality-bridge-pass-1-hold-for-primary-cash-fields
ARTEW-016,2,Digital control,Zscaler zero-trust subscription proof,zscaler-extracted-with-boundary,Completed in annual-report-zscaler-digital-control-extraction-pass-1.md; next use is cash-quality bridge.,"Completed first pass: revenue, ARR, RPO, deferred revenue, large customers, operating cash flow, free cash flow, non-GAAP margin, and AI-transaction framing. Next fields: retention, churn, ARR by product family, billings, current RPO, deferred revenue aging, GAAP loss bridge, stock compensation, acquisition integration, infrastructure cost, and free-cash-flow conversion.",Identity-based security is a control layer for distributed work and cloud applications.,"ARR does not prove durable cash if sales cost, bundling pressure, or churn rises.",annual-report-zscaler-digital-control-extraction-pass-1.md,completed-zscaler-hold-for-cash-quality-bridge
ARTEW-017,2,Broad technology beyond internet software,Microsoft AI capex to paid usage,theme-candidate,"Microsoft 10-K, annual report, segment notes, capex/cash-flow schedules, RPO disclosures","Cloud revenue, Azure growth, capex, depreciation, RPO, operating margin, free cash flow",AI and cloud demand matter only if infrastructure spending becomes paid usage and cash flow.,AI capex can overrun the cash benefit if utilization or pricing disappoints.,annual-report-microsoft-ai-capex-cash-extraction-pass-1.md,queued-open
ARTEW-018,2,Broad technology beyond internet software,NVIDIA demand concentration and cash,theme-candidate,"NVIDIA 10-K, annual report, segment revenue, customer concentration, inventory and gross margin notes","Data-center revenue, gross margin, customer concentration, inventory, supply, cash flow, purchase commitments","AI demand becomes real when chip/system orders convert into revenue, margin, and cash.",Explosive revenue can still be fragile if a few customers overbuild or internal alternatives reduce demand.,annual-report-nvidia-ai-chip-cash-extraction-pass-1.md,queued-open
ARTEW-019,2,Ordinary finance,JPMorgan credit and deposit pressure,jpmorgan-first-pass-source-visible-with-boundary,"Completed JPMorgan first-pass extraction from the local company packet, profile, and source ledger. Next pull is primary credit/deposit schedule detail from annual report, 10-K, Q1/Q2 2026 filings, and earnings supplements.","Next fields: net interest income, net interest margin, average loans, average deposits, deposit cost, credit-card loans, purchase volume, net charge-offs, delinquencies, allowance for credit losses, provision for credit losses, CET1, liquidity, segment revenue, segment income, payment volume, and operating leverage.","JPMorgan is source-visible as the first ordinary-finance anchor: deposits, loans, payments, markets, capital, credit, and consumer/business pressure sit in one institution.","First-pass scale evidence does not prove borrower health, loan-level repayment, deposit stickiness, credit-loss quality, NIM durability, card repayment, or recurring market revenue.",annual-report-jpmorgan-ordinary-finance-extraction-pass-2.md,completed-jpmorgan-first-pass-hold-for-primary-credit-deposit-fields
ARTEW-020,2,Ordinary finance,American Express spend and repayment,amex-first-pass-source-visible-with-boundary,"Completed American Express first-pass extraction from the local company packet, profile, and source ledger. Next pull is primary card-spend, lending, delinquency, write-off, reward-cost, and discount-revenue schedule detail from annual report, 10-K, Q1/Q2 2026 filings, and earnings supplements.","Next fields: billed business by segment, discount revenue, average discount rate, net card fee revenue, net interest income, card loans, card receivables, delinquencies, net write-offs, provision for credit losses, reserve coverage, rewards and card-member services expense, customer acquisition cost, retention, CET1, capital return, and segment profitability.","American Express is source-visible as the premium card, merchant-network, membership, spend, and repayment-quality anchor for ordinary finance.","First-pass spend and membership evidence does not prove repayment quality, net merchant economics, reward-cost durability, benefit-cost control, credit-loss resilience, or through-cycle premium-consumer health.",annual-report-amex-ordinary-finance-extraction-pass-2.md,completed-amex-first-pass-hold-for-primary-card-credit-fields
ARTEW-021,3,Built-environment upkeep,Home Depot / Lowe's / Core & Main / Builders FirstSource / Sherwin-Williams,first-pass-built-environment-packet-complete-cash-quality-bridge-created,"Completed first-pass Home Depot, Lowe's, Core & Main, Builders FirstSource, and Sherwin-Williams extractions, plus built-environment cash-quality bridge pass 1. Next pull is primary cash-quality evidence by company.","Next fields: Home Depot ticket/transaction split, Pro versus DIY mix, SRS/GMS margin and delivery economics; Lowe's online margin, home-services margin, loyalty retention, and acquisition contribution; Core & Main municipal funding, receivables, inventory turns, and branch economics; Builders FirstSource value-added margin, product mix, receivables, inventory, and OCF bridge; Sherwin-Williams price versus volume, segment margins, raw-material cost, receivables, and inventory; operating cash flow, free cash flow, debt, liquidity, capex, and acquisition-return evidence for all five.",Built-environment upkeep is source-visible across all five selected mechanisms and now has a cash-quality bridge separating visible money paths from missing proof.,"The bridge is still a control artifact. It does not itself extract customer receipts, receivable aging, inventory turns, branch profitability, service margin, price-volume quality, municipal funding, or full free-cash-flow conversion.",annual-report-built-environment-cash-quality-bridge-pass-2.md,completed-built-environment-cash-quality-bridge-pass-1-hold-for-primary-cash-fields
ARTEW-022,3,Built-environment upkeep,Home Depot / Lowe's / Core & Main / Builders FirstSource / Sherwin-Williams,first-pass-built-environment-packet-complete-cash-quality-bridge-created,"Completed first-pass Home Depot, Lowe's, Core & Main, Builders FirstSource, and Sherwin-Williams extractions, plus built-environment cash-quality bridge pass 1. Next pull is primary cash-quality evidence by company.","Next fields: Home Depot ticket/transaction split, Pro versus DIY mix, SRS/GMS margin and delivery economics; Lowe's online margin, home-services margin, loyalty retention, and acquisition contribution; Core & Main municipal funding, receivables, inventory turns, and branch economics; Builders FirstSource value-added margin, product mix, receivables, inventory, and OCF bridge; Sherwin-Williams price versus volume, segment margins, raw-material cost, receivables, and inventory; operating cash flow, free cash flow, debt, liquidity, capex, and acquisition-return evidence for all five.",Built-environment upkeep is source-visible across all five selected mechanisms and now has a cash-quality bridge separating visible money paths from missing proof.,"The bridge is still a control artifact. It does not itself extract customer receipts, receivable aging, inventory turns, branch profitability, service margin, price-volume quality, municipal funding, or full free-cash-flow conversion.",annual-report-built-environment-cash-quality-bridge-pass-2.md,completed-built-environment-cash-quality-bridge-pass-1-hold-for-primary-cash-fields
ARTEW-023,3,Services and cultural consumption,Marriott fee engine,theme-candidate,"Marriott 10-K, annual report, RevPAR, room growth, management/franchise fee tables","RevPAR, occupancy, rooms, fee revenue, incentive fees, loyalty, owner pipeline, cash flow",Travel demand can become fee income without owning every hotel asset.,Hotel fees depend on owner economics and traveler demand; they are not proof of broad consumer health.,annual-report-marriott-service-consumption-extraction-pass-1.md,queued-open
ARTEW-024,3,Services and cultural consumption,McDonald's routine convenience economics,theme-candidate,"McDonald's 10-K, annual report, franchised margin tables, comparable sales and traffic disclosures","Same-store sales, guest count, franchise margin, rent/royalty, unit growth, cash flow",Low-ticket convenience and habit can survive pressure if value and speed hold.,"Sales can rise from price while traffic weakens, which changes the consumer read.",annual-report-mcdonalds-routine-consumption-extraction-pass-1.md,queued-open
ARTEW-025,3,Consumer goods and household identity,P&G volume versus pricing,theme-candidate,"P&G 10-K, annual report, organic sales bridge, segment tables, cash-flow schedule","Organic sales, volume, price/mix, market share, gross margin, advertising, cash flow",Household routines become durable economics when brands keep volume while taking price.,Price-led growth without volume support is a weaker brand claim.,annual-report-pg-household-identity-extraction-pass-1.md,queued-open
ARTEW-026,3,Consumer goods and household identity,Coca-Cola small indulgence and distribution,theme-candidate,"Coca-Cola 10-K, annual report, volume and price/mix bridge, bottler disclosures","Unit cases, concentrate sales, price/mix, channel mix, bottler health, free cash flow",Small daily indulgences can remain resilient when distribution and brand habit are strong.,Brand strength weakens if volume fades and pricing alone carries revenue.,annual-report-coca-cola-household-habit-extraction-pass-1.md,queued-open
ARTEW-027,3,Basic materials and input scarcity,Freeport copper cash cost and capex,theme-candidate,"Freeport-McMoRan 10-K, annual report, reserve tables, production/cost/capex disclosures","Copper volumes, realized price, unit cash cost, reserves, capex, project timelines, free cash flow","Electrification demand needs copper, but producer returns depend on cost, grade, and capex.",Copper scarcity does not help shareholders if costs and new project capital absorb the price benefit.,annual-report-freeport-copper-input-extraction-pass-1.md,queued-open
ARTEW-028,3,Basic materials and input scarcity,Vulcan aggregates local scarcity,theme-candidate,"Vulcan 10-K, annual report, aggregates shipment and pricing tables, reserve/location disclosures","Tons, price per ton, freight/logistics, unit margin, reserves, public infrastructure demand, cash flow",Aggregates are local scarcity assets because heavy stone cannot travel cheaply over long distances.,Construction demand can fall or local competition can limit pricing power.,annual-report-vulcan-aggregates-scarcity-extraction-pass-1.md,queued-open
ARTEW-029,3,Real estate and scarce locations,American Tower carrier rent durability,theme-candidate,"American Tower 10-K, annual report, tenant billings, lease, AFFO, debt maturity tables","Tenant billings, churn, escalators, colocations/amendments, AFFO, leverage, debt maturities",Tower sites become scarce when carriers need coverage and cannot easily replace locations.,"Carrier consolidation, churn, or high debt cost can weaken the rent stream.",annual-report-american-tower-location-scarcity-extraction-pass-1.md,queued-open
ARTEW-030,3,Real estate and scarce locations,Equinix interconnection and power constraint,theme-candidate,"Equinix 10-K, annual report, interconnection revenue, cabinet utilization, capex and AFFO tables","Cabinet utilization, interconnection revenue, churn, power capacity, capex, AFFO, debt","Data-center real estate is valuable when customers need interconnection, power, and uptime at specific places.",Power constraints or cheaper competing capacity can limit growth.,annual-report-equinix-location-scarcity-extraction-pass-1.md,queued-open
ARTEW-031,2,Ordinary finance,Capital One consumer credit pressure,capital-one-first-pass-source-visible-with-boundary,"Completed Capital One first-pass source-route extraction from official investor pages. Next pull is primary credit schedule detail from 2025 annual report, Q1/Q2 2026 filings, financial supplements, and Discover integration disclosures.","Next fields: card-loan balances by segment, purchase volume, net interest income, NIM bridge, deposit cost, deposit beta, delinquencies by segment, net charge-off rates, allowance, provision roll-forward, auto credit metrics, commercial credit metrics, Discover integration expense, payment-network revenue and margin, segment revenue, segment income, and capital generation.","Capital One is source-visible as the consumer-credit, card-loan, auto-loan, deposit, funding-cost, provision, charge-off, capital, and payment-network expansion anchor for ordinary finance.","First-pass source-route evidence does not prove consumer health, repayment quality, acquisition return, reserve adequacy, deposit durability, payment-network economics, or loss-adjusted profitability.",annual-report-capital-one-ordinary-finance-extraction-pass-2.md,completed-capital-one-first-pass-hold-for-primary-credit-loss-fields
