parser_row_id,schedule,page,cusip_or_identifier,name_and_raw_terms,naic_designation_detected,asset_type_guess,first_numeric_values,current_status,proof_use,boundary
CFAASPP-011,Schedule BA Part 2,5826,00264#-AA-5,"AP Aristotle Holdings LLC Aristotle Junior 0% Perpe tual 0.000% 09/30/24 .............. WIlmington ....................................... ......... DE......... Tax Free Exchange ........................................................................... ....02/28/2025 ... ....... ....... .................16,122,455 .............................. .............................. .................0.000",,affiliated_or_apollo_related,"122,455",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-012,Schedule BA Part 2,5826,G2973#-AB-4,"AP Chia Issuer LLC AP Chia PERP NC10 JR Notes 0.0 00% 04/14/25 ........................... .................................................... .........CYM........ ................................................................................................. ....05/29/2025 ... ....... ....... .....................118,042 .............................. .............................. .................0.000",,affiliated_or_apollo_related,,parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-013,Schedule BA Part 2,5826,G2971@-AA-0,"AP Pistachio LP Pistachio Jr Secured Perp Nts 0.0 00% 04/01/88 ........................... .................................................... .........CYM........ Transfer from Schedule D .................................................................. ....01/01/2025 ... ....... ....... ...................3,944,526 .............................. .............................. .................0.000 0499999. Debt securities that do not qualify as bonds - debt securities that do not reflect a creditor relationship in substance - NAIC Designation not assigned by the SVO - affiliated 115,030,126 XXX",,affiliated_or_apollo_related,"944,526; 115,030,126",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-014,Schedule BA Part 2,5826,90117P-AQ-8,"1211 Avenue of the Americas Tr AOTA 2015-1211 E 4 .142% 08/10/35 ........................ New York .......................................... ......... NY......... Transfer from Schedule D .................................................................. ....01/01/2025 ... ....... ....... .................85,314,737 .................. 2,765,585 .............................. .................0.000",,schedule_ba_other_invested_asset,"314,737; 2,765,585",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-015,Schedule BA Part 2,5826,04410R-AQ-9,"Ashford Hospitality Trust 2018 AHT1 2018-ASHF F 8 .022% 04/15/35 ........................ Dallas ............................................ ......... TX......... Transfer from Schedule D .................................................................. ....01/01/2025 ... ....... ....... .................46,589,145 .....................407,905 .............................. .................0.000",,schedule_ba_other_invested_asset,"589,145",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-016,Schedule BA Part 2,5826,61764B-AU-7,"Morgan Stanley Capital I Trust MSC 2014-150E G 4. 295% 09/09/32 .......................... New York .......................................... ......... NY......... Transfer from Schedule D .................................................................. ....01/01/2025 ... ....... ....... ................. 34,319,355 .................34,134,099 .............................. .................0.000 0599999. Debt securities that do not qualify as bonds - debt securities that lack substantive credit enhancement - NAIC Designation assigned by the SVO - unaffiliated 166,223,236 37,307,589 XXX",4.,structured_credit_or_cmbs,"34,319,355; 134,099; 166,223,236; 37,307,589",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-017,Schedule BA Part 2,5826,L0009*-AB-4,"AP Dolphin (Luxembourg) S.a.r. AP Dolphin 4.750% 12/31/32 ................................ .................................................... .........LUX........ Transfer from Schedule D .................................................................. ....01/01/2025 ... ....... ....... .................33,967,353 .............................. .............................. .................0.000",,affiliated_or_apollo_related,"967,353",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-018,Schedule BA Part 2,5826,G2964#-AB-5,"AP Grange Holdings LLC AP Grange Tranche B 5.000% 03/20/45 ............................... New York .......................................... ......... NY......... Transfer from Schedule D .................................................................. ....01/01/2025 ... ....... ....... ................396,661,750 .................33,407,636 .............................. .................0.000 0699999. Debt securities that do not qualify as bonds - debt securities that lack substantive credit enhancement - NAIC Designation assigned by the SVO - affiliated 430,629,103 33,407,636 XXX",,affiliated_or_apollo_related,"661,750; 407,636; 430,629,103; 33,407,636",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-019,Schedule BA Part 2,5826,12592T-AQ-8,"COMM 2015-3BP Mortgage Trust ........................................................................ Chicago ........................................... ......... IL......... Purchase ....................................................................................... ....01/31/2025 ... ....... ....... .................60,861,899 .............................. .............................. .................0.000 0799999. Debt securities that do not qualify as bonds - debt securities that lack substantive credit enhancement - NAIC Designation not assigned by the SVO - unaffiliated 60,861,899 XXX ....................... CD&R Friends & Family Feeder Fund X L.P. ............................",,structured_credit_or_cmbs,"861,899; 60,861,899; 8,479,717; 8,479,717; 945,545; 3,734,484; 596,928; 464,740,607",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-020,Schedule BA Part 2,5826,03765#-AA-3,"Apollo Total Return Fund - Inv ..................................................................... Wilmington ....................................... ......... DE......... Transfer from Schedule D .................................................................. ....01/01/2025 ... ....... ....... ................180,064,552 .............................. .............................. .................0.000 ....................... Motive Capital Fund II-B, LP ........................................................................ Wilmington ....................................... ......... DE......... Motive Capital Fund II GP .............................................................",,schedule_ba_other_invested_asset,"064,552; 181,064,552; 1,488,756,263; 1,161,868); 440,588; 676,141; 487,882; 24,487,882",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-021,Schedule BA Part 2,5826,256141-AB-8,"Doctors Co An Interinsurance E Subordinated 4.500% 01/18/32 .............................. Napa ............................................... ......... CA......... Wells Fargo ................................................................................... ....01/12/2022 ... ....... ....... .............................. .................20,557,952 .............................. .................0.000",,schedule_ba_other_invested_asset,"557,952",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-022,Schedule BA Part 2,5826,29226R-AA-5,"Employers Mutual Casualty Co SUB 5.750% 08/20/39 ............................................ Des Moines ....................................... ......... IA......... ................................................................................................. ....05/17/2023 ... ....... ....... .............................. .................. 6,560,283 .............................. .................0.000",,schedule_ba_other_invested_asset,"6,560,283",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-023,Schedule D Part 1 Section 1,5836,912803-DM-2,"United States Treasury Strip P TREASURY STRIP (PRIN) ........................................................ ................ .... 1.A .... .................100,636 .................362,000 .................187,794 .................153,054 .................. ..........52,418 .................. .................. ......0.000 ......6.080 N/A ..... ....................... ....................... ....01/01/2019 ... ....05/15/2040 ... ..............362,000",1.A,us_treasury,,parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-024,Schedule D Part 1 Section 1,5836,912803-FE-8,"United States Treasury Strip P STRIP PRINC ......... ................ .... 1.A .... ...............2,403,742 ..............5,900,000 ..............1,914,872 ..............2,675,949 .................. ..........91,909 .................. .................. ......0.000 ......3.526 N/A ..... ....................... ....................... ....12/08/2022 ... ....08/15/2048 ... ........... 5,900,000",1.A,us_treasury,"403,742; 900,000; 914,872; 675,949; 5,900,000",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-025,Schedule D Part 1 Section 1,5836,912810-EW-4,"United States Treasury Note/Bo US TREASURY N/B .... ................ .... 1.A .... .................845,250 .................800,000 .................802,258 ................ 801,738 .................. .........(14,843) .................. .................. ......6.000 ......4.106 FA ...... ...............18,130 ...............48,000 ....11/16/2022 ... ....02/15/2026 ... ..............824,000",1.A,us_treasury,"801,738; 14,843)",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-026,Schedule D Part 1 Section 1,5836,912810-FJ-2,"United States Treasury Note/Bo US TREASURY N/B .... ................ .... 1.A .... .................451,531 .................400,000 .................433,867 .................429,485 .................. ..........(7,458) .................. .................. ......6.125 ......3.929 FA ...... .................9,155 ............... 24,500 ....11/16/2022 ... ....08/15/2029 ... ..............412,250",1.A,us_treasury,"7,458); 24,500",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-027,Schedule D Part 1 Section 1,5836,912810-QC-5,"United States Treasury Note/Bo TREASURY BOND ....... ................ .... 1.A .... ............. 23,655,000 .............24,000,000 .............24,075,480 .............23,668,744 .................. ..........13,744 .................. .................. ......4.500 ......4.637 FA ...... ..............403,548 ....................... ....08/21/2025 ... ....08/15/2039 ... ..........24,540,000",1.A,us_treasury,"23,655,000; 000,000; 075,480; 668,744; 540,000",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-028,Schedule D Part 1 Section 1,5836,912810-QD-3,"United States Treasury Note/Bo BDS .................... ................ .... 1.A .... .............37,868,906 .............39,000,000 .............38,529,633 .............37,891,447 .................. .......... 22,540 .................. .................. ......4.375 ......4.655 MN ...... ..............221,530 ..............853,125 ....08/26/2025 ... ....11/15/2039 ... .......... 39,853,125",1.A,us_treasury,"868,906; 000,000; 529,633; 891,447; 22,540; 39,853,125",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-029,Schedule D Part 1 Section 1,5836,912810-QE-1,"United States Treasury Note/Bo TREASURY BOND ....... .......RA...... .... 1.A .... .............61,157,561 .............61,191,000 .............61,941,881 .............61,160,841 .................. ........... 3,280 .................. .................. ......4.625 ......4.630 FA ...... ........... 1,068,972 ....................... ....12/22/2025 ... ....02/15/2040 ... ..........62,606,042",1.A,us_treasury,"157,561; 191,000; 941,881; 160,841; 3,280; 1,068,972; 606,042",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-030,Schedule D Part 1 Section 1,5836,912810-QH-4,"United States Treasury Note/Bo TREASURY BOND ....... ................ .... 1.A .... ............143,226,702 ........... 147,210,000 ............144,950,562 ........... 143,285,105 .................. ..........58,404 .................. .................. ......4.375 ......4.631 MN ...... ..............836,189 ........... 1,848,438 ....12/22/2025 ... ....05/15/2040 ... .........150,430,219",1.A,us_treasury,"226,702; 147,210,000; 950,562; 143,285,105; 1,848,438; 430,219",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-031,Schedule D Part 1 Section 1,5836,912810-QL-5,"United States Treasury Note/Bo TREASURY BOND ....... .......RA...... .... 1.A .... ............112,306,641 ........... 119,750,000 ........... 115,717,682 ............112,479,493 .................. .........172,852 .................. .................. ......4.250 ......4.825 MN ...... ..............639,726 ........... 2,544,688 ....08/21/2025 ... ....11/15/2040 ... .........122,294,688",1.A,us_treasury,"306,641; 119,750,000; 115,717,682; 479,493; 2,544,688; 294,688",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-032,Schedule D Part 1 Section 1,5836,912810-QW-1,"United States Treasury Note/Bo TREASURY BOND ....... ................ .... 1.A .... ...............1,175,234 ..............1,400,000 ..............1,128,679 ..............1,200,344 .................. ........... 8,482 .................. .................. ......3.000 ......4.214 MN ...... .................5,279 ............... 42,000 ....11/16/2022 ... ....05/15/2042 ... ........... 1,421,000",1.A,us_treasury,"175,234; 400,000; 128,679; 200,344; 8,482; 42,000; 1,421,000",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-033,Schedule D Part 1 Section 1,5836,912810-QX-9,"United States Treasury Note/Bo TREASURY BOND ....... ................ .... 1.A .... .............50,001,497 .............64,988,000 .............50,254,402 .............50,028,806 .................. ..........27,309 .................. .................. ......2.750 ......4.771 FA ...... ..............675,045 ....................... ....12/12/2025 ... ....08/15/2042 ... ..........65,881,585",1.A,us_treasury,"001,497; 988,000; 254,402; 028,806; 881,585",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-034,Schedule D Part 1 Section 1,5836,912810-RB-6,"United States Treasury Note/Bo US TREASURY N/B .... ................ .... 1.A .... .............74,986,058 .............96,950,000 .............75,413,575 .............75,019,928 .................. ..........33,870 .................. .................. ......2.875 ......4.809 MN ...... ..............350,361 ....................... ....12/12/2025 ... ....05/15/2043 ... ..........98,343,656",1.A,us_treasury,"986,058; 950,000; 413,575; 019,928; 343,656",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-035,Schedule D Part 1 Section 1,5836,912810-RE-0,"United States Treasury Note/Bo TREASURY BOND ....... ................ .... 1.A .... ............250,269,280 ........... 287,159,000 ............246,973,424 ............250,592,543 .................. .........323,263 .................. .................. ......3.625 ......4.672 FA ...... ........... 3,889,576 ....................... ....12/17/2025 ... ....02/15/2044 ... .........292,363,757",1.A,us_treasury,"269,280; 287,159,000; 973,424; 592,543; 3,889,576; 363,757",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-036,Schedule D Part 1 Section 1,5836,912810-RG-5,"United States Treasury Note/Bo TREASURY BOND ....... ................ .... 1.A .... ............369,215,217 ............440,234,000 ........... 363,980,893 ........... 369,663,582 .................. .........448,365 .................. .................. ......3.375 ......4.684 MN ...... ........... 1,867,613 ........... 4,700,633 ....12/17/2025 ... ....05/15/2044 ... .........447,662,949",1.A,us_treasury,"215,217; 234,000; 363,980,893; 369,663,582; 1,867,613; 4,700,633; 662,949",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-037,Schedule D Part 1 Section 1,5836,912810-RH-3,"United States Treasury Note/Bo TREASURY BOND ....... .......RA...... .... 1.A .... ............369,975,440 ............459,048,500 ........... 364,075,405 ........... 370,694,357 .................. .........718,917 .................. .................. ......3.125 ......4.684 FA ...... ........... 5,360,193 ....................... ....11/17/2025 ... ....08/15/2044 ... .........466,221,133",1.A,us_treasury,"975,440; 048,500; 364,075,405; 370,694,357; 5,360,193; 221,133",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-038,Schedule D Part 1 Section 1,5836,912810-RJ-9,"United States Treasury Note/Bo TREASURY BOND ....... ................ .... 1.A .... ............151,465,473 ............192,653,000 ............149,295,575 ...........151,717,686 .................. .........245,576 .................. .................. ......3.000 ......4.710 MN ...... ..............726,485 ........... 1,083,000 ....11/17/2025 ... ....11/15/2044 ... .........195,542,795",1.A,us_treasury,"465,473; 653,000; 295,575; 717,686; 1,083,000; 542,795",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-039,Schedule D Part 1 Section 1,5836,912810-RK-6,"United States Treasury Note/Bo TREASURY BOND ....... .......RA...... .... 1.A .... ............576,120,808 ............802,550,500 ........... 569,417,766 ........... 577,589,558 .................. ...... 1,468,751 .................. .................. ......2.500 ......4.744 FA ...... ............7,496,944 ....................... ....12/17/2025 ... ....02/15/2045 ... .........812,582,381",1.A,us_treasury,"120,808; 550,500; 569,417,766; 577,589,558; 1,468,751; 496,944; 582,381",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-040,Schedule D Part 1 Section 1,5836,912810-RM-2,"United States Treasury Note/Bo TREASURY BOND ....... .......RA...... .... 1.A .... ............578,054,845 ........... 740,863,500 ........... 571,172,938 ........... 579,007,062 .................. .........952,217 .................. .................. ......3.000 ......4.734 MN ...... ............2,793,759 ........... 6,759,578 ....12/17/2025 ... ....05/15/2045 ... .........751,976,453",1.A,us_treasury,"054,845; 740,863,500; 571,172,938; 579,007,062; 793,759; 6,759,578; 976,453",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-041,Schedule D Part 1 Section 1,5836,912810-RN-0,"United States Treasury Note/Bo TREASURY BOND ....... .......RA...... .... 1.A .... ............471,720,188 ........... 618,608,500 ............464,892,453 ........... 472,769,506 .................. ...... 1,049,318 .................. .................. ......2.875 ......4.731 FA ...... ........... 6,645,468 ....................... ....12/12/2025 ... ....08/15/2045 ... .........627,500,997",1.A,us_treasury,"720,188; 618,608,500; 892,453; 472,769,506; 1,049,318; 6,645,468; 500,997",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-042,Schedule D Part 1 Section 1,5836,912810-RP-5,"United States Treasury Note/Bo TREASURY BOND ....... .......RA...... .... 1.A .... ............536,657,641 ........... 691,631,500 ............529,351,165 ........... 537,578,528 .................. .........920,887 .................. .................. ......3.000 ......4.741 MN ...... ........... 2,608,108 ........... 6,486,743 ....12/17/2025 ... ....11/15/2045 ... .........702,005,973",1.A,us_treasury,"657,641; 691,631,500; 351,165; 537,578,528; 2,608,108; 6,486,743; 005,973",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-043,Schedule D Part 1 Section 1,5836,912810-RQ-3,"United States Treasury Note/Bo US TREASURY N/B .... ................ .... 1.A .... ............115,625,115 ............162,393,000 ........... 113,271,310 ............115,954,548 .................. .........329,433 .................. .................. ......2.500 ......4.713 FA ...... ........... 1,516,978 ....................... ....10/23/2025 ... ....02/15/2046 ... .........164,422,913",1.A,us_treasury,"625,115; 393,000; 113,271,310; 954,548; 1,516,978; 422,913",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-044,Schedule D Part 1 Section 1,5836,912810-RS-9,"United States Treasury Note/Bo TREASURY BOND ....... ................ .... 1.A .... ............. 35,944,503 .............50,000,000 .............34,739,825 .............36,016,339 .................. ..........71,836 .................. .................. ......2.500 ......4.637 MN ...... ..............162,293 ..............625,000 ....10/29/2025 ... ....05/15/2046 ... ..........50,625,000",1.A,us_treasury,"35,944,503; 000,000; 739,825; 016,339; 625,000",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-045,Schedule D Part 1 Section 1,5836,912810-SA-7,"United States Treasury Note/Bo TREASURY BOND ....... ................ .... 1.A .... .............. 1,667,250 ..............1,950,000 ..............1,453,917 ..............1,690,411 .................. ........... 7,122 .................. .................. ......3.000 ......3.902 FA ...... ............... 21,859 ............... 58,500 ....09/29/2022 ... ....02/15/2048 ... ........... 1,979,250",1.A,us_treasury,"1,667,250; 950,000; 453,917; 690,411; 7,122; 21,859; 58,500; 1,979,250",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-046,Schedule D Part 1 Section 1,5836,912810-SC-3,"United States Treasury Note/Bo TREASURY BOND ....... ................ .... 1.A .... .............. 1,115,715 ..............1,270,000 .................966,467 ..............1,128,179 .................. ........... 4,069 .................. .................. ......3.125 ......3.874 MN ...... .................4,989 ............... 39,688 ....09/29/2022 ... ....05/15/2048 ... ........... 1,289,844",1.A,us_treasury,"1,115,715; 270,000; 128,179; 4,069; 39,688; 1,289,844",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-047,Schedule D Part 1 Section 1,5836,912810-SD-1,"United States Treasury Note/Bo TREASURY BOND ....... ................ .... 1.A .... .............. 3,601,108 ..............4,190,000 ..............3,108,615 ..............3,648,212 .................. .......... 14,444 .................. .................. ......3.000 ......3.860 FA ...... ............... 46,969 ..............125,700 ....09/29/2022 ... ....08/15/2048 ... ............4,252,850",1.A,us_treasury,"3,601,108; 190,000; 108,615; 648,212; 14,444; 46,969; 252,850",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
CFAASPP-048,Schedule D Part 1 Section 2,5912,38375B-3G-5,"Government National Mortgage A GNR 2013-H14 SI .... ................ .... 1.A .... .................161,848 ........................ ...............136,264 .................157,636 .................. ..............479 .................. .................. ......0.000 .....10.023 MON ..... ....................... ............... 55,826 ....12/16/2021 ... ....05/20/2063 ... .................. ............",1.A,agency_mbs_or_abs,"55,826",parser-prototype-row-visible,repeatable named statutory holding extraction row,prototype row; column-level statutory values still need schedule-specific normalization and reconciliation
