bridge_id,platform,channel_type,metric_or_status,period,value,unit,evidence_page,evidence_status,what_it_says,what_it_does_not_say,next_source
"CFISAQ-011","KKR / Global Atlantic","owned and affiliated insurance platform plus sponsored reinsurance vehicles","Insurance policy liabilities","Q2 2026","205.499","B USD","capital-flow-kkr-global-atlantic-q2-2026-10q-pass.md","company-10q-extraction","The liability side is visible enough to compare with insurance investments.","It does not prove liability duration, surrender behavior, or capital adequacy.","Statutory reserve and liability-duration exhibits."
"CFISAQ-012","KKR / Global Atlantic","owned and affiliated insurance platform plus sponsored reinsurance vehicles","AFS fixed maturity securities","Q2 2026","88.057","B USD","capital-flow-kkr-global-atlantic-q2-2026-10q-pass.md","company-10q-extraction","Fixed maturity securities are the largest disclosed insurance investment category.","AFS fixed maturities do not equal private credit and need ratings/NAIC treatment.","AFS rating distribution and statutory Schedule D."
"CFISAQ-013","KKR / Global Atlantic","owned and affiliated insurance platform plus sponsored reinsurance vehicles","Mortgage and other loan receivables, net","Q2 2026","48.754","B USD","capital-flow-kkr-global-atlantic-q2-2026-10q-pass.md","company-10q-extraction","Loan exposure is material inside the insurance portfolio.","It does not identify borrower names, LTV distribution beyond disclosed buckets, or asset origination channel.","Loan portfolio schedule, LTV, delinquency, and non-accrual detail."
"CFISAQ-014","KKR / Global Atlantic","owned and affiliated insurance platform plus sponsored reinsurance vehicles","Six-month net investment income","Q2 2026","4.028","B USD","capital-flow-kkr-global-atlantic-q2-2026-10q-pass.md","company-10q-extraction","The insurance investment base is producing current investment income.","Income does not prove risk-adjusted spread or realized credit quality.","Yield, spread, impairments, and realized gains/losses by asset class."
"CFISAQ-015","KKR / Global Atlantic","owned and affiliated insurance platform plus sponsored reinsurance vehicles","Mortgage and other loan allowance for credit losses","Q2 2026","671.094","M USD","capital-flow-kkr-global-atlantic-q2-2026-10q-pass.md","company-10q-extraction","The 10-Q includes a loan credit-loss allowance, improving risk visibility.","Allowance is not a full credit-quality distribution or stress test.","CECL roll-forward, rating migration, and non-accrual detail."
"CFISAQ-016","KKR / Global Atlantic","owned and affiliated insurance platform plus sponsored reinsurance vehicles","Mortgage loans 90 days or more past due or in foreclosure","Q2 2026","296.4","M USD","capital-flow-kkr-global-atlantic-q2-2026-10q-pass.md","company-10q-extraction","Past-due/foreclosure disclosure gives direct performance-risk context.","It does not prove the rest of the portfolio is low risk.","Loan aging, non-income-producing loans, and collateral detail."
"CFISAQ-017","KKR / Global Atlantic","owned and affiliated insurance platform plus sponsored reinsurance vehicles","FHLB funding-agreement pledged assets","Q2 2026","9.2","B USD","capital-flow-kkr-global-atlantic-q2-2026-10q-pass.md","company-10q-extraction","The insurance channel still interacts with bank-system funding infrastructure.","It does not prove bank displacement; it shows bank-adjacent funding remains relevant.","FHLB agreement, pledged collateral schedule, and liability terms."
"CFISAQ-018","Brookfield Wealth Solutions","owned and affiliated Wealth Solutions insurance business","Total insurance assets","Q2 2026","190.715","B USD","capital-flow-brookfield-wealth-solutions-insurance-pass.md","company-supplement-extraction","Brookfield has a large insurance-asset base.","It does not prove statutory quality or borrower destinations.","Statutory statements and portfolio holding schedules."
"CFISAQ-019","Brookfield Wealth Solutions","owned and affiliated Wealth Solutions insurance business","Total invested insurance assets","Q2 2026","167.297","B USD","capital-flow-brookfield-wealth-solutions-insurance-pass.md","company-supplement-extraction","The invested insurance asset denominator is explicit.","It still needs asset-quality, rating, and statutory treatment detail.","Invested asset schedule by class, rating, affiliate, and liquidity."
"CFISAQ-020","Brookfield Wealth Solutions","owned and affiliated Wealth Solutions insurance business","Private credit allocation","Q2 2026","33","percent","capital-flow-brookfield-wealth-solutions-insurance-pass.md","company-supplement-extraction","Brookfield provides the clearest allocation bridge from insurance assets to private credit.","The allocation does not disclose borrower names, ratings, loss history, or capital treatment.","Private-credit holdings, NAIC treatment, and credit migration tables."
"CFISAQ-021","Brookfield Wealth Solutions","owned and affiliated Wealth Solutions insurance business","Implied private-credit exposure on invested insurance assets","Q2 2026","55.208","B USD","capital-flow-insurance-credit-channel-comparison.md","derived-from-company-supplement","The 33% private-credit allocation implies a large private-credit asset pool.","It is a derived estimate, not a statutory holding schedule.","Company portfolio schedule and statutory asset exhibits."
"CFISAQ-022","Brookfield Wealth Solutions","owned and affiliated Wealth Solutions insurance business","Policyholders' account balances","FY2025","92.992","B USD","capital-flow-brookfield-wealth-solutions-fy2025-20f-pass.md","annual-filing-extraction","Policyholder balances are a major liability source for the insurance investment book.","It does not prove exact liability-to-asset matching.","Liability duration, surrender, and statutory reserve schedules."
"CFISAQ-023","Brookfield Wealth Solutions","owned and affiliated Wealth Solutions insurance business","Total unfunded investment commitments","FY2025","12.3","B USD","capital-flow-brookfield-wealth-solutions-fy2025-20f-pass.md","annual-filing-extraction","Brookfield has a visible forward-deployment queue relative to invested assets.","Commitments do not identify future borrower recipients or credit risk.","Commitment schedule by asset class and vintage."
"CFISAQ-024","Blackstone Credit & Insurance","third-party insurance-client and managed-account channel","Credit & Insurance total AUM","Q2 2026","469.3","B USD","capital-flow-blackstone-credit-insurance-pass.md","company-supplement-extraction","Blackstone has a very large credit and insurance capital-routing platform.","This is not owned-liability insurance evidence like Apollo, KKR, or Brookfield.","SMA mandates, insurer client allocation, and asset schedules."
"CFISAQ-025","Blackstone Credit & Insurance","third-party insurance-client and managed-account channel","Insurance SMA inflows","Q2 2026","7.5","B USD","capital-flow-blackstone-credit-insurance-pass.md","company-supplement-extraction","Insurer client money is explicitly flowing into Blackstone-managed credit channels.","SMA inflows do not identify holdings, borrower names, or credit quality.","Insurance SMA holdings and mandate-level allocation."
"CFISAQ-026","Blackstone Credit & Insurance","third-party insurance-client and managed-account channel","Global direct-lending strategy inflows","Q2 2026","13.3","B USD","capital-flow-blackstone-credit-insurance-pass.md","company-supplement-extraction","Direct-lending inflows are a visible private-credit demand lane.","They are not proven to come from insurance clients or to displace bank loans.","Investor-source allocation and borrower-level deal documents."
"CFISAQ-027","Blackstone Credit & Insurance","third-party insurance-client and managed-account channel","Infrastructure and asset-based credit inflows","Q2 2026","9.9","B USD","capital-flow-blackstone-credit-insurance-pass.md","company-supplement-extraction","Infrastructure and asset-based credit are visible investment channels for credit/insurance capital.","The row does not prove statutory quality or borrower-level use of proceeds.","Asset-backed portfolio schedule and insurer SMA allocation."
"CFISAQ-028","Decision","cross-platform insurance lane","Publication grade","Pass 1","internal-only with asset-quality proxy visible","status","capital-flow-publication-ready-claim-register-pass-1.md","claim-control-summary","The lane improves from channel-only to asset-quality-proxy visible, especially for KKR and Brookfield.","It still lacks statutory Schedule D/BA, NAIC designations, capital charges, affiliated exposure, and borrower links across the platforms.","Statutory asset-quality extraction for Athene, Global Atlantic, Brookfield/AEL, and insurer SMA channels."
