claim_id,company,manager,vehicle,period,industry,fair_value_usd_m,share_of_total_fair_value_percent,percent_of_net_assets_sum,sections_seen,component_rows,source_file,reconciliation_note,status
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Chemicals,522.105,3.49,7.4,Non-controlled/non-affiliated portfolio company investments,1,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Infrastructure and environmental services,451.644,3.02,6.3,Controlled/affiliated portfolio company investments(24); Non-controlled/non-affiliated portfolio company investments,4,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Containers and packaging,447.776,2.99,6.4,Non-controlled/non-affiliated portfolio company investments,2,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Business services,427.615,2.86,6.1,Non-controlled/non-affiliated portfolio company investments,2,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Advertising and media,391.809,2.62,5.5,Controlled/affiliated portfolio company investments(24); Non-controlled/non-affiliated portfolio company investments,3,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Joint ventures,390.68,2.61,5.6,Controlled/affiliated portfolio company investments(24),1,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Consumer products,373.784,2.5,5.3,Non-controlled/non-affiliated portfolio company investments,2,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Professional services,365.612,2.44,5.2,Non-controlled/non-affiliated portfolio company investments,1,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Specialty retail,340.592,2.28,4.8,Controlled/affiliated portfolio company investments(24); Non-controlled/non-affiliated portfolio company investments,3,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Leisure and entertainment,338.977,2.27,4.8,Non-controlled/non-affiliated portfolio company investments,1,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Automotive services,315.205,2.11,4.5,Non-controlled/non-affiliated portfolio company investments,2,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Pharmaceuticals,289.885,1.94,4.2,Controlled/affiliated portfolio company investments(24); Non-controlled/affiliated portfolio company investments(24); Non-controlled/non-affiliated portfolio company investments,3,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Household products,271.506,1.82,3.8,Non-controlled/non-affiliated portfolio company investments,2,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Human resource support services,243.754,1.63,3.5,Non-controlled/non-affiliated portfolio company investments,2,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Aerospace and defense,227.245,1.52,3.2,Non-controlled/non-affiliated portfolio company investments,2,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Distribution,198.642,1.33,2.8,Controlled/affiliated portfolio company investments(24); Non-controlled/non-affiliated portfolio company investments,3,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Energy equipment and services,74.054,0.5,1.1,Non-controlled/non-affiliated portfolio company investments,1,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Transportation,66.53,0.44,0.9,Non-controlled/non-affiliated portfolio company investments,1,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Education,24.734,0.17,0.3,Non-controlled/affiliated portfolio company investments(24); Non-controlled/non-affiliated portfolio company investments,3,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
"CF-004, CF-005",Blue Owl Capital Corporation,Blue Owl,OBDC,Q2 2026 / June 30 2026,Telecommunications,10.137,0.07,0.1,Non-controlled/non-affiliated portfolio company investments,2,raw/primary-sources/capital-flow/blue-owl-capital-corporation/q2-2026/obdc-2026-q2-10q.html,"Aggregates official OBDC industry subtotal rows across non-controlled, affiliated, and controlled sections; misc commitment adjustments are excluded from industry lane ranking.",official-industry-summary-reconciles-to-source-subtotals
