line_id,bridge_stage,metric,amount_musd,period,source_artifact,status,interpretation,next_upgrade
APO-B11,capital_return,Dividends plus share repurchases,426,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,derived-reconciled,Reported capital returned in the quarter,Compare with unrestricted HoldCo cash and cash generation
APO-B12,dilution,Equity-based compensation,246,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Real compensation/dilution burden,Share issuance and cash-versus-equity settlement
APO-B13,dilution,Equity-based compensation,478,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Year-to-date dilution burden,Per-share common-owner bridge
APO-B14,consolidated_cash,Net cash provided by operating activities,4501,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported-consolidated,Consolidated OCF includes retirement services policyholder and investment movements,Segment and parent cash segregation
APO-B15,owner_cash_boundary,Common-owner cash residual,NA,Q2 2026,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-common-owner-bridge.md,unresolved,The disclosed bridge reaches ANI and common earnings but not unrestricted common cash,HoldCo cash transfer regulated capital NCI preferred debt tax and dilution schedule
APO-B16,entity_transfer,Athene capital contributions from parent,42,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Direct parent-to-Athene capital transfer visible,Full parent funding rationale and distributable-cash schedule
APO-B17,entity_transfer,Athene capital contributions from noncontrolling interests,271,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,NCI funding of Athene visible,Ownership and cash-right allocation by entity
APO-B18,entity_transfer,Athene VIE NCI capital contributions,759,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,VIE-level NCI funding visible,VIE distributions and non-recourse boundary
APO-B19,entity_transfer,Athene distributions to noncontrolling interests,301,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Cash leaving Athene to NCI visible,Remaining cash after policyholder and capital obligations
APO-B20,policyholder_flow,Deposits on investment-type policies and contracts,41617,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Policyholder funding inflow visible,Separate operating cash from policyholder financing flows
APO-B21,policyholder_flow,Withdrawals on investment-type policies and contracts,14741,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Policyholder cash outflow visible,Runoff liquidity and asset-liability matching schedule
APO-B22,owner_cash_boundary,Insurance subsidiary dividend restriction,NA,2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,source-boundary-confirmed,Parent access to insurance cash is legally constrained,Approved dividend capacity and actual upstream distributions
APO-B23,entity_transfer,Athene common stock dividends,375,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Common dividends inside Athene visible,Upstream parent receipt and capital adequacy after distribution
APO-B24,entity_transfer,Athene preferred stock dividends,71,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Preferred claim inside Athene visible,Preferred priority and parent/common attribution
APO-B25,policyholder_flow,Athene net financing cash flow,27801,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported,Financing cash is dominated by policy funding flows,Separate policyholder financing from owner distributions
APO-B26,liquidity, Athene ending cash including restricted and VIE cash,23711,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported-boundary,Ending cash is not unrestricted Apollo cash,Entity restriction and upstream distribution schedule
APO-B27,liquidity,Asset-management segment cash,3415,June 30 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported-boundary,Segment cash pool before HoldCo and legal-entity access tests,Parent cash transfer and debt/tax/compensation claims
APO-B28,liquidity,Asset-management restricted cash,19,June 30 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported-boundary,Restricted portion of asset-management cash is separately visible,Restriction release and distributability schedule
APO-B29,liquidity,Retirement-services cash including restricted cash,23540,June 30 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported-boundary,Retirement-services cash pool combines 21957M unrestricted and 1583M restricted; it remains insurance/entity cash,Regulated-capital policyholder VIE and upstream-distribution schedule
APO-B30,liquidity,Retirement-services cash excluding restricted cash,21957,June 30 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported-boundary,Reported retirement-services cash before the separately identified restricted amount,Regulated-capital policyholder VIE and upstream-distribution schedule
APO-B31,liquidity,Retirement-services restricted cash,1583,June 30 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,reported-boundary,Restricted retirement-services cash is separately visible,Restriction release and distributability schedule
APO-B32,capital_use,Common-stock dividends paid,654,First half 2026,analysis/company-first-principles/capital-flow-apollo-parent-cash-use-upgrade-2026-09-15.md,reported-cash-use,Consolidated parent cash paid to common owners,Fee-entity collection and unrestricted HoldCo funding bridge
APO-B33,capital_use,Common-stock repurchases paid,729,First half 2026,analysis/company-first-principles/capital-flow-apollo-parent-cash-use-upgrade-2026-09-15.md,reported-cash-use,Consolidated parent cash used for common repurchases,Repurchase funding and per-share dilution bridge
APO-B34,preferred_claim,Preferred-stock dividends paid,49,First half 2026,analysis/company-first-principles/capital-flow-apollo-parent-cash-use-upgrade-2026-09-15.md,reported-cash-use,Preferred cash claim before common residual,Preferred priority and unrestricted HoldCo funding bridge
APO-B35,capital_use,Common-owner cash distributions paid,1383,First half 2026,analysis/company-first-principles/capital-flow-apollo-parent-cash-use-upgrade-2026-09-15.md,derived-reconciled,654M common dividends plus 729M common repurchases,Common cash generation and unrestricted HoldCo funding bridge
APO-B36,capital_use,Common plus preferred cash distributions paid,1432,First half 2026,analysis/company-first-principles/capital-flow-apollo-parent-cash-use-upgrade-2026-09-15.md,derived-reconciled,1383M common cash uses plus 49M preferred dividends,Common-owner residual after preferred claim remains unresolved
