source_table_id,batch_id,pilot_id,company,ticker,lane,source_status,best_local_evidence_page,evidence_metric_refs_or_rows,cash_realization_level,cash_or_proxy_metric,amount_or_status,period,what_it_says,what_it_does_not_say,next_required_source,upgrade_status,safe_claim
CF519CST-016,CF519CR-016,CF519P2-016,Devon Energy Corporation,DVN,debt_refinancing_and_facilities,sec-source-and-companyfacts-extracted,capital-flow-debt-refinancing-sec-source-denominator-pass-1.md,CFDRSD-002,2 - SEC debt/cash-flow denominator visible,"cash, debt, operating cash flow, proceeds, repayments, or capital-return denominator",Cash and cash equivalents 950.0M USD at 2026-06-30; Long-term debt 11.388B USD and current long-term debt 1.497B USD at 2026-06-30; YTD operating cash flow 5.329B USD; Q2 operating cash flow 3.674B USD; long-term debt repayments 500.0M USD; dividends 521.0M USD YTD; common-stock repurchases 266.0M USD YTD,Q2 2026 / YTD 2026,"Devon moves from queued to SEC source-visible for debt, cash, operating cash flow, repayment, dividend, and repurchase denominators.","This does not prove whether debt changes funded growth capex, acquisition consideration, refinancing, or shareholder returns without the debt footnote and transaction context.","Debt footnote, merger/acquisition financing discussion, capex table, maturity schedule, and liquidity covenant detail.",source-visible-denominator-started,"Devon has Q2 2026 SEC-visible cash, debt, operating cash flow, repayment, and capital-return denominators; source/use allocation remains open."
CF519CST-017,CF519CR-017,CF519P2-017,Matador Resources Co.,MTDR,debt_refinancing_and_facilities,sec-source-and-companyfacts-extracted,capital-flow-debt-refinancing-sec-source-denominator-pass-1.md,CFDRSD-003,2 - SEC debt/cash-flow denominator visible,"cash, debt, operating cash flow, proceeds, repayments, or capital-return denominator",Cash and cash equivalents 26.318M USD at 2026-06-30; Long-term debt 4.216410B USD; debt instrument face amount 2.366410B USD; secured long-term debt 911.0M USD at 2026-06-30; YTD operating cash flow 1.407674B USD; secured debt proceeds 209.0M USD; unsecured debt proceeds 750.0M USD; secured debt repayments 181.0M USD for 2026-01-01 to 2026-06-30,Q2 2026 / YTD 2026,"Matador moves from queued to SEC source-visible for debt, secured/unsecured issuance, repayments, cash, and operating cash flow.","This does not prove exact acquisition funding, production return, borrowing-base cushion, or well-level cash conversion.","Credit-agreement amendment, borrowing-base table, acquisition funding note, production/capex table, and covenant detail.",source-visible-denominator-started,Matador has Q2 2026 SEC-visible debt issuance/repayment and operating-cash-flow denominators; project/acquisition use remains open.
CF519CST-018,CF519CR-018,CF519P2-018,Liberty Broadband Corporation,,debt_refinancing_and_facilities,sec-source-and-companyfacts-extracted,capital-flow-debt-refinancing-sec-source-denominator-pass-1.md,CFDRSD-004,2 - SEC debt/cash-flow denominator visible,"cash, debt, operating cash flow, proceeds, repayments, or capital-return denominator",Cash and cash equivalents 43.0M USD at 2026-06-30; Current debt 864.0M USD; long-term debt 1.223B USD; noncurrent long-term debt 359.0M USD at 2026-06-30; YTD continuing-operations operating cash flow -118.0M USD; long-term debt proceeds 1.239B USD; long-term debt repayments 1.771B USD for 2026-01-01 to 2026-06-30,Q2 2026 / YTD 2026,"Liberty Broadband moves from queued to SEC source-visible for holding-company debt movement, cash, and continuing-operations cash flow.","This does not prove collateral sufficiency, exchangeable-debt economics, Charter stake monetization, or shareholder-level cash realization.","Margin loan footnote, Charter stake/collateral table, exchangeable debenture detail, transaction proceeds, and liquidity use discussion.",source-visible-denominator-started,Liberty Broadband has Q2 2026 SEC-visible holding-company debt and cash-flow denominators; collateral and transaction economics remain open.
CF519CST-019,CF519CR-019,CF519P2-019,Wheaton Precious Metals Corp.,WPM,debt_refinancing_and_facilities,sec-source-and-ifrs-tables-extracted,capital-flow-wheaton-6k-ifrs-debt-cash-extraction-pass-1.md; capital-flow-debt-refinancing-sec-source-denominator-pass-1.md,CFWPM6K-001 to CFWPM6K-010; CFDRSD-005,2 - SEC/IFRS debt/cash-flow denominator visible,"sales, operating cash flow, cash, gross bank debt, term loan, revolver, bank debt draw/repayment, upfront PMPA payments",cash 100.192M; gross bank debt 1.972B; term loan 1.500B; revolver 472.000M; Q2 OCF 649.518M; YTD OCF 1.415340B; upfront PMPA/royalty payments 4.5B including BHP Antamina 4.3B,Q2 2026 / YTD 2026,"Wheaton has Q2 2026 SEC/IFRS visible debt, cash, operating cash flow, financing cash movement, and stream-acquisition funding denominators.","This does not prove stream-level return, PMPA cash margin, mine delivery timing, debt-service waterfall, or lender allocation.","Antamina PMPA terms, expected delivery schedule, stream-level cash receipts, credit facility pricing/covenants, and lender detail.",source-visible-denominator-started,Wheaton has source-visible Q2 2026 debt/cash denominators and BHP Antamina PMPA funding context; stream-level return remains open.
CF519CST-020,CF519CR-020,CF519P2-020,Core Main Inc.,CNM,acquisition_finance,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-020,0 - queued,no local cash-realization extraction yet,queued,current,Core Main Inc. is selected for acquisition finance cash-realization extraction.,"This pass does not prove source/use, operating cash conversion, asset-level return, or financing allocation.","Acquisition financing, purchase accounting, acquired revenue, integration cash-flow, and working-capital schedules",queued-open,Core Main Inc. remains a queued pilot row.
CF519CST-021,CF519CR-021,CF519P2-021,Verizon Communications Inc.,VZ,acquisition_finance,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-021,0 - queued,no local cash-realization extraction yet,queued,current,Verizon Communications Inc. is selected for acquisition finance cash-realization extraction.,"This pass does not prove source/use, operating cash conversion, asset-level return, or financing allocation.","Acquisition financing, purchase accounting, acquired revenue, integration cash-flow, and working-capital schedules",queued-open,Verizon Communications Inc. remains a queued pilot row.
CF519CST-022,CF519CR-022,CF519P2-022,The Sherwin Williams Company,SHW,acquisition_finance,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-022,0 - queued,no local cash-realization extraction yet,queued,current,The Sherwin Williams Company is selected for acquisition finance cash-realization extraction.,"This pass does not prove source/use, operating cash conversion, asset-level return, or financing allocation.","Acquisition financing, purchase accounting, acquired revenue, integration cash-flow, and working-capital schedules",queued-open,The Sherwin Williams Company remains a queued pilot row.
CF519CST-023,CF519CR-023,CF519P2-023,Lowes Companies Inc.,LOW,acquisition_finance,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-023,0 - queued,no local cash-realization extraction yet,queued,current,Lowes Companies Inc. is selected for acquisition finance cash-realization extraction.,"This pass does not prove source/use, operating cash conversion, asset-level return, or financing allocation.","Acquisition financing, purchase accounting, acquired revenue, integration cash-flow, and working-capital schedules",queued-open,Lowes Companies Inc. remains a queued pilot row.
CF519CST-024,CF519CR-024,CF519P2-024,Roblox Corp.,RBLX,acquisition_finance,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-024,0 - queued,no local cash-realization extraction yet,queued,current,Roblox Corp. is selected for acquisition finance cash-realization extraction.,"This pass does not prove source/use, operating cash conversion, asset-level return, or financing allocation.","Acquisition financing, purchase accounting, acquired revenue, integration cash-flow, and working-capital schedules",queued-open,Roblox Corp. remains a queued pilot row.
CF519CST-025,CF519CR-025,CF519P2-025,Zebra Technologies Corp.,ZBRA,asset_backed_and_securitization,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-025,0 - queued,no local cash-realization extraction yet,queued,current,Zebra Technologies Corp. is selected for asset backed and securitization cash-realization extraction.,"This pass does not prove source/use, operating cash conversion, asset-level return, or financing allocation.","Receivables, inventory, collateral, borrowing-base, securitization, cash-flow, and performance disclosures",queued-open,Zebra Technologies Corp. remains a queued pilot row.
CF519CST-026,CF519CR-026,CF519P2-026,Target Corp.,TGT,asset_backed_and_securitization,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-026,0 - queued,no local cash-realization extraction yet,queued,current,Target Corp. is selected for asset backed and securitization cash-realization extraction.,"This pass does not prove source/use, operating cash conversion, asset-level return, or financing allocation.","Receivables, inventory, collateral, borrowing-base, securitization, cash-flow, and performance disclosures",queued-open,Target Corp. remains a queued pilot row.
CF519CST-027,CF519CR-027,CF519P2-027,Msc Industrial Direct Co. Inc.,MSM,asset_backed_and_securitization,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-027,0 - queued,no local cash-realization extraction yet,queued,current,Msc Industrial Direct Co. Inc. is selected for asset backed and securitization cash-realization extraction.,"This pass does not prove source/use, operating cash conversion, asset-level return, or financing allocation.","Receivables, inventory, collateral, borrowing-base, securitization, cash-flow, and performance disclosures",queued-open,Msc Industrial Direct Co. Inc. remains a queued pilot row.
CF519CST-028,CF519CR-028,CF519P2-028,Global Industrial Company,GIC,asset_backed_and_securitization,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-028,0 - queued,no local cash-realization extraction yet,queued,current,Global Industrial Company is selected for asset backed and securitization cash-realization extraction.,"This pass does not prove source/use, operating cash conversion, asset-level return, or financing allocation.","Receivables, inventory, collateral, borrowing-base, securitization, cash-flow, and performance disclosures",queued-open,Global Industrial Company remains a queued pilot row.
CF519CST-029,CF519CR-029,CF519P2-029,Pool Corp.,POOL,asset_backed_and_securitization,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-029,0 - queued,no local cash-realization extraction yet,queued,current,Pool Corp. is selected for asset backed and securitization cash-realization extraction.,"This pass does not prove source/use, operating cash conversion, asset-level return, or financing allocation.","Receivables, inventory, collateral, borrowing-base, securitization, cash-flow, and performance disclosures",queued-open,Pool Corp. remains a queued pilot row.
CF519CST-030,CF519CR-030,CF519P2-030,Jacobs Solutions Inc.,,capital_intensity_and_capex,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-030,0 - queued,no local cash-realization extraction yet,queued,current,Jacobs Solutions Inc. is selected for capital intensity and capex cash-realization extraction.,"This pass does not prove source/use, operating cash conversion, asset-level return, or financing allocation.","Capex, project/backlog/order, production or output, margin, debt, and cash-flow schedules",queued-open,Jacobs Solutions Inc. remains a queued pilot row.
CF519CST-031,CF519CR-031,CF519P2-031,Steel Dynamics Inc.,STLD,capital_intensity_and_capex,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-031,0 - queued,no local cash-realization extraction yet,queued,current,Steel Dynamics Inc. is selected for capital intensity and capex cash-realization extraction.,"This pass does not prove source/use, operating cash conversion, asset-level return, or financing allocation.","Capex, project/backlog/order, production or output, margin, debt, and cash-flow schedules",queued-open,Steel Dynamics Inc. remains a queued pilot row.
CF519CST-032,CF519CR-032,CF519P2-032,Eaton Corporation,ETN,capital_intensity_and_capex,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-032,0 - queued,no local cash-realization extraction yet,queued,current,Eaton Corporation is selected for capital intensity and capex cash-realization extraction.,"This pass does not prove source/use, operating cash conversion, asset-level return, or financing allocation.","Capex, project/backlog/order, production or output, margin, debt, and cash-flow schedules",queued-open,Eaton Corporation remains a queued pilot row.
CF519CST-033,CF519CR-033,CF519P2-033,Energy Transfer Lp,ET,capital_intensity_and_capex,company-cash-output-and-funding-visible,capital-flow-capital-intensive-energy-source-table-extraction-pass-1.md; capital-flow-energy-project-source-use-return-pass-1.md,Q2 adjusted EBITDA 5.07B; DCF 2.59B; growth capex 1.10B; 2026 growth capex guidance 5.6-5.9B; NGL transport volume +13%; NGL exports +25%; Nederland expansion 240000 bpd ethane plus 55000 bpd LPG; revolver availability 3.76B; long-term debt 68.393B,4 - company source/use/output/cash visible,"adjusted EBITDA, DCF, growth capex, output volumes, revolver availability, and debt",5.07B EBITDA; 2.59B DCF; 1.10B growth capex,Q2 2026,"Energy Transfer has strong same-period company-level funding, output, capex, and cash-generation evidence.","It does not allocate exact sources and uses or cash returns to Nederland, Lone Star, or specific y-grade agreements.","Project capital schedules, facility draw/use records, shipper contracts, tariff/volume billing, and project EBITDA bridge",pass-with-boundary,Energy Transfer is company-level cash-realization visible; named-project cash realization remains open.
CF519CST-034,CF519CR-034,CF519P2-034,Sterling Infrastructure Inc.,STRL,capital_intensity_and_capex,backlog-cash-proxy-and-credit-wrapper-visible,capital-flow-sterling-backlog-credit-platform-conversion-pass-1.md; capital-flow-sterling-eight-quarter-contract-capital-conversion-pass-1.md; capital-flow-sterling-lc-surety-usage-boundary-pass-1.md,RPO/backlog rose from 2.055081B to 4.233618B; debt/RPO fell from 15.8% to 6.7%; July 2026 revolver 1.500B; L/C sublimit 600M; Q2 2026 net contract liability 646.306M; repeated positive OCF less capex in eight-quarter table,4 - backlog/revenue/cash proxy visible,"backlog/RPO, contract-liability timing, OCF less capex, revolver/L/C capacity",4.233618B RPO/backlog; 1.500B revolver; 600M L/C sublimit,Q2 2026 / July 2026,Sterling shows a conversion-supported backlog/acquisition execution platform with a much larger credit wrapper.,"It does not prove named project-owner funding, actual post-reset L/C outstanding, bonded backlog, formal covenant cushion, project margin, or source-to-project allocation.","Project owner funding records, bonded backlog, L/C outstanding schedule, margin/backlog aging, and covenant certificate",pass-with-boundary,Sterling has strong backlog-to-cash-proxy evidence but not project-level funded-backlog proof.
CF519CST-035,CF519CR-035,CF519P2-035,Teledyne Technologies Inc.,TDY,capital_intensity_and_capex,queued-no-local-cash-extraction-yet,capital-flow-519-company-cash-realization-batch-pass-1.md,CF519CR-035,0 - queued,no local cash-realization extraction yet,queued,current,Teledyne is selected for capital intensity/acquisition/cash conversion extraction.,"This pass does not prove source/use, acquired cash generation, margin, or capital return.","Capex, project/backlog/order, production or output, margin, debt, and cash-flow schedules",queued-open,Teledyne remains a queued pilot row.
