source_extract_id,linked_manifest_id,linked_cipe_id,company,ticker,source_id,source_file,source_type,period,table_or_section,exact_metric_label,value,unit,evidence_bucket,safe_claim,boundary,next_source
CIPSTE-011,CIPSM-007,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-T21,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2 2026,Second Quarter 2026 Results,Acquisition revenue contribution,250.8M,USD,contracted-or-regulated,The source exhibit confirms acquisition contribution is material and must be separated from organic demand.,This reduces confidence in calling all growth organic data-center or semiconductor pull-through.,Purchase accounting and organic backlog/revenue bridge.
CIPSTE-012,CIPSM-007,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-T21,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2 2026,Additional Financial Metrics,Adjusted EBITDA,256.7M,USD,contracted-or-regulated,Adjusted EBITDA confirms that the backlog/mix shift is showing up in operating earnings.,Adjusted EBITDA is non-GAAP and still needs reconciliation and segment-level durability.,Q2 earnings exhibit reconciliation and 10-Q segment table.
CIPSTE-013,CIPSM-007,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-T19,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,SEC 10-Q,Q2 2026,Backlog disclosure,RPOs,4.23B,USD,contracted-or-regulated,RPOs provide a filed anchor for the signed/committed work portion of Sterling backlog.,RPOs are not the same as cash and still depend on execution timing and contract terms.,10-Q revenue-recognition and contract-assets tables.
CIPSTE-014,CIPSM-007,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-T19,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,SEC 10-Q,Q2 2026,Backlog disclosure,MSAs,100.0M,USD,contracted-or-regulated,MSA backlog adds a distinct committed-work bucket to RPOs.,MSA backlog still needs project/customer economics and execution timing.,Backlog definition and customer/project mix.
CIPSTE-015,CIPSM-007,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-T19,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,SEC 10-Q,Q2 2026,Backlog disclosure,Total Backlog,4.33B,USD,contracted-or-regulated,The filed 10-Q confirms the total backlog figure supporting Sterling's field-execution thesis.,Backlog is typically completed over 6 to 36 months and can be affected by project timing or approvals.,Backlog aging and cash-conversion table.
CIPSTE-016,CIPSM-007,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-T19,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,SEC 10-Q,Q2 2026,Backlog disclosure,Unsigned Awards,1.28B,USD,contracted-or-regulated,Unsigned awards explain the bridge from backlog to combined backlog while preserving weaker evidence status.,Unsigned awards are excluded from backlog until customer contract execution.,Customer/project award letters and contract execution updates.
CIPSTE-017,CIPSM-007,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-T19,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,SEC 10-Q,Q2 2026,Backlog disclosure,Combined Backlog,5.62B,USD,contracted-or-regulated,Combined backlog is source-backed and gives a broader visibility measure than signed backlog alone.,Combined backlog includes unsigned awards and is therefore lower confidence than RPO-backed backlog.,Contract execution status and backlog aging.
CIPSTE-018,CIPSM-007,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-T19,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,SEC 10-Q,H1 2026,Condensed consolidated statements of cash flows,Net cash provided by operating activities,328.021M,USD,cash-converting,Sterling has source-table cash conversion evidence alongside backlog growth.,Cash flow is consolidated and not yet allocated to E-Infrastructure or specific project groups.,Segment cash-flow bridge and contract asset/liability roll-forward.
CIPSTE-019,CIPSM-007,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-T19,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,SEC 10-Q,H1 2026,Condensed consolidated statements of cash flows,Capital expenditures,69.646M,USD,cash-converting,Sterling's filed cash-flow statement shows capital spending alongside acquisitions and operating cash flow.,This capex amount does not isolate growth equipment from maintenance or project-specific needs.,PP&E detail and capex purpose.
CIPSTE-020,CIPSM-007,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-T19,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,SEC 10-Q,Q2 2026,Debt note,Revolving Credit Facility,150.0M,USD,contracted-or-regulated,The filed 10-Q confirms available revolver structure before the July 2026 expansion referenced by the presentation.,The revolver amount is not project financing and was undrawn at June 30, 2026.,July 2026 credit agreement exhibit and updated liquidity disclosure.
CIPSTE-021,CIPSM-007,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-T21P,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-earnings-presentation.html,SEC 8-K presentation exhibit,Q2 2026,Backlog and Combined Backlog slide,Future Phase Opportunities,1.4B,USD,contracted-or-regulated,The presentation explicitly separates high-probability future-phase opportunities from backlog, preserving the status boundary.,Future-phase opportunities are not included in backlog and are weaker than signed contracted work.,Customer/project detail and subsequent award conversion.
CIPSTE-022,CIPSM-007,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-T21P,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-earnings-presentation.html,SEC 8-K presentation exhibit,Q2 2026,Backlog and Combined Backlog slide,Visibility to Future Work,greater-than-7.0B,USD,contracted-or-regulated,Sterling's visibility stack can be described only as a layered demand funnel: backlog plus unsigned awards plus future-phase opportunities.,Visibility to future work is not revenue cash or guaranteed margin.,Backlog conversion and future-phase award updates.
