gate_id,stage,question,entity_or_metric,evidence_value,period,source_artifact,current_status,what_is_proven,missing_upgrade
APO-011,principal,What volatile layer exists?,Principal-investing income,"16000000 USD Q2; 91000000 USD YTD",Q2 2026,analysis/deep-company-pages/apollo-global-management-inc.md,volatile-layer-visible,PII separated from fee and spread layers,Realization and through-cycle return evidence
APO-012,liabilities,What asset and liability base supports spread?,Athene net invested assets and reserve liabilities,"Net invested assets about 314.1B USD; estimated reserve-liability life 6.9 years",Q2 2026,analysis/deep-company-pages/apollo-global-management-inc.md,liability-context,Insurance balance-sheet denominator visible,"Statutory capital, liquidity, and stress-loss allocation"
APO-013,owner_cash,What reaches common owners?,Parent-to-common residual,"HoldCo interest/financing costs 53M USD and taxes/related payables 311M USD in Q2",Q2 2026,analysis/deep-company-pages/apollo-global-management-inc.md,burden-visible,Some common-owner claims visible,Full cash-to-HoldCo and common-owner bridge
APO-014,valuation,What valuation method is appropriate?,Separated fee/spread/principal SOTP,"Fees, insurance spread, performance, NCI, debt, tax, capital, and dilution require separate denominators",2026,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-athene.md,method-defined,Valuation architecture defined,Scenario outputs with market-implied expectations
APO-015,proof_level,What is the overall proof grade?,Apollo-Athene origination-to-owner-cash chain,Qualified fee and spread evidence; distributable owner cash unresolved,2026,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-athene.md,qualified-not-full-proof,Integrated chain and falsifiers defined,"Realized cash, liability, capital, and common-owner proof"
APO-016,owner_claims,What equity belongs to Apollo stockholders?,Apollo Global Management Inc stockholders equity,21006000000 USD,June 30 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,primary-source-confirmed,Reported parent stockholders equity denominator,Fee-platform cash attribution and normalized common-owner value
APO-017,owner_claims,What equity belongs to noncontrolling interests?,Noncontrolling interests,20476000000 USD,June 30 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,primary-source-confirmed,Reported NCI claim ahead of common-owner interpretation,Entity-level NCI allocation by segment and cash distribution
APO-018,owner_claims,What preferred claim exists?,Mandatory convertible preferred stock,1398000000 USD,June 30 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,primary-source-confirmed,Reported preferred equity claim,Conversion/dividend economics and common-share dilution path
APO-019,liabilities,What consolidated liability burden exists?,Total liabilities,452566000000 USD,June 30 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,primary-source-confirmed,Reported consolidated liabilities,Separation of policyholder liabilities from parent/common claims
APO-020,cash_back,What consolidated operating cash was reported?,Net cash provided by operating activities,4501000000 USD six months,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,primary-source-confirmed,Reported consolidated operating cash,Fee-platform and retirement-services cash segregation
APO-021,dilution,What equity compensation burden is visible?,Equity-based compensation,478000000 USD six months plus 1100000000 USD unrecognized RSU cost,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,primary-source-confirmed,Current and forward SBC burden visible,Per-share dilution and cash-settlement reconciliation
APO-022,financing,What funded commitment creates capital-flow risk?,Apollo Capital Markets Partnership commitments,2000000000 USD net funded commitments financed through revolver and asset-based financing; no Apollo capital funded under commitment,June 30 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,primary-source-confirmed,Named financing boundary and syndication risk visible,"Transaction-level funding, fees, losses, and repayment schedule"
APO-023,liquidity,What facility usage is visible at Athene?,Athene credit and liquidity facilities,No amounts outstanding; covenants satisfied,June 30 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,primary-source-confirmed,Facility status and covenant compliance visible,"Stress liquidity, collateral, policyholder run, and regulatory-capital schedule"
APO-024,connected_party,How much related-party exposure sits inside Athene?,Athene related-party investments,70616000000 USD or 15.0 percent of total assets,June 30 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,primary-source-confirmed,Related-party exposure and concentration visible,Entity-level valuation liquidity and conflict-of-interest reconciliation
APO-025,connected_party,What Apollo-linked asset channels are funded?,Apollo funds and asset-origination platforms,"17931000000 USD in Apollo funds; 13070000000 USD in asset-origination platforms; 4206000000 USD in retirement-services platforms",June 30 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,primary-source-confirmed,Connected capital channels visible,Underlying asset returns fees and related-party pricing
APO-026,connected_party,What Athora exposure and commitment exists?,Athora investment and additional commitment,3191000000 USD investment and 134000000 USD additional commitment,June 30 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,primary-source-confirmed,Named connected-platform exposure visible,Investment return funding terms and capital adequacy
APO-027,related_party_return,What fee did Athene incur to Apollo?,Apollo management fees incurred by Athene,785000000 USD including base sub-allocation and performance fees,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,primary-source-confirmed,Related-party fee expense visible,Parent cash collection timing and fee attribution
APO-028,spread_quality,Did net investment spread improve?,Athene net investment spread,1.41 percent versus 1.62 percent prior year,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,primary-source-confirmed,Spread compression visible,Through-cycle funding and credit-loss model
APO-029,spread_quality,What investment earnings and funding cost were visible?,Athene net investment earnings and cost of funds,"7800000000 USD net investment earnings and 5700000000 USD cost of funds",First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,primary-source-confirmed,Core spread inputs visible,Segment-level cash realization and liability duration
APO-030,owner_claims,What was Athene common-holder earnings?,Net income available to Athene common stockholder,Approximately negative 1000000000 USD,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,primary-source-confirmed,GAAP commonholder pressure visible despite SRE,Reconcile GAAP loss to SRE ANI capital and parent cash
APO-031,credit_loss,Did a related origination platform show impairment?,Atlas origination-platform valuation,Underlying asset impairment reduced Atlas valuation in 2026,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-primary-source-upgrade-2026-09-15.md,primary-source-confirmed,Specific related-party impairment signal visible,Impairment amount recovery and portfolio credit performance
APO-032,named_asset_route,Can a named Athene asset row be connected to an Apollo-linked borrower wrapper?,Concord Music Royalties LLC CUSIP 20633K-AN-8,229.053398M Athene same-CUSIP cash-like consideration; 215.167585M book exposure; 1.765B public ABS wrapper,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-concord-named-cash-source-acquisition-pass-1.md,borrower-wrapper-use-proxy-visible,Athene consideration connects to a named issuer wrapper backed by music copyrights and public refinance use,Trustee remittance Athene allocation payoff ledger liability spread and final return
APO-033,named_asset_route,Can a named structured-credit wrapper connect Athene consideration to an Apollo platform?,AMAPS 1 LLC CUSIP 02300A-AA-8,268.000000M Athene same-CUSIP cash-like consideration; 1917.500000M book exposure; 48.871440M interest,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-amaps-named-cash-source-acquisition-pass-1.md,platform-wrapper-athene-alignment-visible,Athene consideration and interest connect to a named Apollo structured-credit wrapper aligned with safe-yield needs,Offering memorandum collateral tape trustee remittance Athene allocation liability spread and final return
APO-034,named_asset_route,Can mixed AP Aristotle statutory rows be separated into cash-like and noncash paths?,AP Aristotle selected statutory rows,776.032348M cash-like candidate from paydown and various rows; 11.663548M interest/dividends; 6.588486M tax-free exchange excluded as noncash,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-aristotle-mixed-row-resolution-pass-1.md,mixed-row-cash-like-candidate,Selected statutory rows are separated into cash-like and noncash buckets without treating the exchange as cash,Settlement borrower use custodian allocation gain or loss liability spread and final return
APO-035,fee_collection_boundary,Can Athene fee expense be compared with a period-end payable before claiming Apollo cash collection?,Athene management fees incurred and payable,785M USD H1 management fees incurred; 140M USD payable at June 30 2026 versus 134M USD at prior year end,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-related-party-fee-transfer-upgrade-2026-09-15.md,fee-payable-boundary-visible,Fee expense and period-end liability are both visible,Opening payable settlements intercompany eliminations recipient entity and parent cash receipt
APO-036,related_party_asset_transfer,Did Athene acquire a named portfolio from an Apollo origination platform?,ARI commercial mortgage loan portfolio purchased by Athene,8.7B USD including accrued interest purchased from ARI on April 24 2026,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-related-party-fee-transfer-upgrade-2026-09-15.md,named-asset-transfer-visible,Named origination-to-insurance asset movement is visible,Loan-level borrower receipt repayment credit losses fees and Apollo cash realization
APO-037,fee_collection_boundary,Is a distinct contingent-fee liability separately visible from management-fee payable?,ACRA contingent investment fees payable to Apollo,392M USD at June 30 2026 versus 365M USD at December 31 2025,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-related-party-fee-transfer-upgrade-2026-09-15.md,contingent-fee-boundary-visible,Separate insurance-affiliate contingent-fee liability is visible,Fee trigger calculation settlement terms intercompany elimination and Apollo cash receipt
APO-038,credit_loss,What related-party AFS exposure and allowance are visible?,Athene related-party AFS securities,33207M USD amortized cost; 33078M USD fair value; 1M USD allowance at June 30 2026,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-credit-quality-return-boundary-2026-09-15.md,related-party-credit-exposure-visible,Related-party AFS exposure fair value and allowance are separately visible,Security-level income loss distribution and realized cash attribution
APO-039,credit_loss,What aggregate mortgage credit stress is visible?,Athene commercial mortgage loans 90 days past due or non-accrual,1027M USD unpaid principal and 695M USD fair value at June 30 2026,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-credit-quality-return-boundary-2026-09-15.md,portfolio-credit-risk-visible,Aggregate mortgage delinquency and non-accrual exposure are visible,Allocate stress to ARI and other related-party assets and test borrower cash
APO-040,credit_loss,What credit-loss and impairment charges affect the return bridge?,Athene mortgage credit-risk loss and intent-to-sell impairments,44M USD mortgage instrument-specific credit-risk loss and 61M USD intent-to-sell impairments in H1 2026,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-credit-quality-return-boundary-2026-09-15.md,portfolio-loss-boundary-visible,Aggregate credit-risk and impairment channels are visible,Join losses to named assets funding cost and Apollo common-owner return
APO-041,common_cash_use,What common dividends did Apollo actually pay?,Apollo common-stock dividend cash payments,654M USD common-stock dividends paid in H1 2026,First half 2026,analysis/company-first-principles/capital-flow-apollo-parent-cash-use-upgrade-2026-09-15.md,primary-source-confirmed,Parent-level cash paid to common owners is visible,Join payment source to unrestricted HoldCo cash and fee-entity collections
APO-042,common_cash_use,What common-stock repurchases did Apollo actually pay?,Apollo common-stock repurchase cash payments,729M USD repurchases paid in H1 2026,First half 2026,analysis/company-first-principles/capital-flow-apollo-parent-cash-use-upgrade-2026-09-15.md,primary-source-confirmed,Parent-level cash used for common repurchases is visible,Join repurchase funding to unrestricted HoldCo cash and per-share dilution
APO-043,preferred_claim,What preferred dividends did Apollo actually pay?,Apollo preferred-stock dividend cash payments,49M USD preferred dividends paid in H1 2026,First half 2026,analysis/company-first-principles/capital-flow-apollo-parent-cash-use-upgrade-2026-09-15.md,primary-source-confirmed,Preferred cash claim ahead of common residual is visible,Reconcile preferred priority and cash source before common-owner residual
APO-044,source_boundary,Is a separately tagged upstream receipt visible in the parent XBRL facts?,Apollo upstream dividend or intercompany cash receipt,No separately tagged upstream receipt fact surfaced in the accession-specific dividend distribution intercompany affiliate search,First half 2026,analysis/company-first-principles/capital-flow-apollo-upstream-receipt-source-boundary-2026-09-15.md,source-search-boundary-confirmed,Public XBRL search narrows the missing receipt evidence without claiming no transfer occurred,Parent cash-flow note subsidiary dividend schedule intercompany eliminations and regulatory receipt evidence
APO-045,named_statutory_cashlike,Can sparse Athene statutory rows support named consideration and income fields?,Eliant and AMAPS same-CUSIP statutory rows,269.806570M USD interpreted consideration and 4.029889M USD interpreted interest/dividends across two rows; gain or loss remains blank hold,2025 statutory statement,analysis/company-first-principles/capital-flow-apollo-athene-statutory-safe-cashlike-column-review-pass-1.md,statutory-row-fields-confirmed,Named statutory rows provide conservative consideration and interest signals,Issuer borrower receipt custodian allocation liability spread realized gain or loss and final return
APO-046,upstream_boundary,What entity-level dividend and parent-cash rows can be joined without overclaiming?,Athene distributions and Apollo parent cash uses,Athene 375M USD common dividends 71M USD preferred dividends 301M USD NCI distributions and 42M USD parent contribution; Apollo 654M USD common dividends 729M USD repurchases and 49M USD preferred dividends; no Apollo-specific upstream receipt joined,First half 2026,analysis/company-first-principles/capital-flow-apollo-athene-upstream-dividend-boundary-upgrade-2026-09-15.md,entity-dividend-boundary-confirmed,Entity cash movements and parent cash uses are visible but recipient allocation and unrestricted upstream receipt remain unproved,Parent cash-flow note subsidiary dividend schedule intercompany eliminations regulatory approval or receipt and common-owner residual
APO-047,legal_entity_cash,Can an Athene legal entity show cash conversion from its asset base?,Athene Annuity and Life Company statutory income and cash bridge,"12.732699320B USD net investment income; 12.281980822B USD cash-flow net investment income; 13.601183683B USD collected gross investment income; 8.127852536B USD page-18 collected bond income reconstructed from Schedule D Parts 1/4/5 within $2; 6.230478121B USD corrected Schedule D interest received; 54.035221430B USD bond sale maturity or repayment proceeds; 158.619095705B USD parsed Schedule D bond base; 5.890696798B USD contract/deposit liability burden; 6.842002522B USD bounded residual after that burden; 2.482135218B USD gross derivative assets; 52 named Part C CUSIP controls",2025 statutory statement,analysis/company-first-principles/capital-flow-apollo-athene-statutory-legal-entity-income-cash-bridge-pass-1.md,legal-entity-income-cash-bridge-visible,"Entity-level income, corrected Schedule D cash-receipt controls, liability-burden screen, derivative controls, and named-lot perimeter are visible; page-18 collected bond income reconstructs to within $2 and Schedule DB verification controls tie within $1","Income/proceeds, liability cost, derivative settlement, and named-lot fields are not joined to individual borrower repayment, custody remittance, normalized owner cash, or Apollo common-owner return"
APO-048,related_party_sale,Did the ARI portfolio transfer produce a seller-side cash-use boundary?,ARI commercial mortgage portfolio sale and residual cash,Completed April 24 2026 cash sale to Athene based on 99.7 percent of loan commitments subject to adjustments; approximately 2.2B USD post-sale total assets primarily cash after debt and expenses; approximately 1.4B USD expected net cash and 1.7B USD common equity in proxy,2026,analysis/company-first-principles/capital-flow-apollo-athene-ari-portfolio-sale-cash-use-upgrade-2026-09-15.md,completed-related-party-sale-and-seller-cash-use-visible,Completed related-party sale and seller-side deleveraging/liquidity are visible,Borrower-level collateral receipts loan losses Athene payment ledger and Apollo parent/common-owner allocation
APO-049,collateral_boundary,What collateral-control representations are visible for the ARI loan portfolio?,ARI purchase-agreement collateral representations,Proxy representations cover no unapproved collateral release; no cross-default or cross-collateralization; seller ownership free of liens other than permitted liens; and schedules for principal balances unfunded advances and reserve deposits,2026,analysis/company-first-principles/capital-flow-apollo-athene-ari-portfolio-sale-cash-use-upgrade-2026-09-15.md,collateral-control-boundary-visible,Transaction representations constrain the collateral/control interpretation,Independent collateral schedules borrower performance repayment losses and Athene cash collection remain open
APO-050,parent_liquidity_route,What legal-entity route is identified for Apollo parent liquidity?,Apollo parent operating-subsidiary liquidity route,"Apollo is a holding company; distributions and other intercompany transfers from operating subsidiaries including Apollo Asset Management and Athene are identified as primary expected sources for parent dividends and other cash requirements; no dated Athene-to-parent receipt is joined",H1 2026,analysis/company-first-principles/capital-flow-apollo-parent-liquidity-source-route-upgrade-2026-09-15.md,parent-liquidity-source-route-visible,Parent funding route is source-backed at policy/legal-entity level,Actual subsidiary-to-parent transfer date amount unrestricted-cash availability and common-owner allocation
APO-051,legal_entity_return_screen,What bounded statutory gross-yield screens are visible before liability-cost allocation?,Athene legal-entity category income screens,"Collected bond income 7.859004314B USD divided by 158.852395201B USD statutory bond base equals 4.9474%; collected mortgage-loan income 4.557162846B USD divided by 84.664838463B USD first-lien mortgage base equals 5.3826%; net investment income divided by core invested asset base equals 4.7112%",2025 statutory statement,analysis/company-first-principles/capital-flow-apollo-athene-statutory-legal-entity-income-cash-bridge-pass-1.md,legal-entity-gross-yield-screen-visible,Income and asset denominators produce bounded category screens at legal-entity level,Liability funding cost credited rates capital charges impairments holding-level cash and Apollo/common-owner return
APO-052,spread_screen,What insurer-level investment-spread screen is visible?,Athene H1 2026 investment earnings and cost of funds,"7.8B USD net investment earnings less 5.7B USD cost of funds equals 2.1B USD pre-tax spread contribution screen; reported net investment spread 1.41% versus 1.62% prior year, a 21 basis-point or approximately 13.0% relative compression",H1 2026,analysis/company-first-principles/capital-flow-apollo-athene-investment-spread-screen-upgrade-2026-09-15.md,spread-dollar-screen-visible,Insurer-level spread contribution and compression are source-backed and arithmetically screened,Named-asset allocation liability-block cost capital charges credit losses taxes NCI preferred claims and Apollo/common-owner return
APO-053,legal_entity_cash,What segment cash pools are visible before claiming Apollo parent availability?,Apollo Asset Management and Retirement Services cash pools,"Asset Management cash 3.415B USD plus 19M USD restricted cash and 1.272B USD consolidated VIE cash; Retirement Services cash 21.957B USD plus 1.583B USD restricted cash and 171M USD consolidated VIE cash; consolidated H1 operating cash flow 4.501B USD",June 30 2026,analysis/company-first-principles/capital-flow-apollo-segment-cash-availability-boundary-2026-09-15.md,segment-cash-pool-boundary-visible,Segment restricted and VIE cash are separated without treating them as HoldCo cash,Dated subsidiary-to-parent receipt legal dividend capacity intercompany elimination unrestricted cash and common-owner allocation
APO-054,legal_distributability,Is a scheduled Athene-to-parent dividend path visible before claiming an Apollo receipt?,Athene common dividend policy and scheduled payment,"Athene states an intended 750M USD annual regular common dividend to its parent, subject to board discretion and legal limits; it disclosed a 188M USD common dividend declared January 28 2026 with March 16 2026 payment date",First quarter 2026,analysis/company-first-principles/capital-flow-apollo-athene-legal-dividend-capacity-boundary-upgrade-2026-09-15.md,legal-dividend-path-visible,Dividend policy legal constraints and a dated scheduled common dividend are visible,Apollo HoldCo receipt unrestricted cash intercompany elimination ownership mapping and common-owner residual
APO-055,legal_distributability,Does the Q2 filing add a second dated Athene dividend and paid-total check?,Athene Q2 common dividend schedule,"Athene disclosed a 187M USD common dividend declared April 20 2026 with June 15 2026 payment date and reported 375M USD of common dividends paid in H1 2026; the stated 750M USD annual parent-dividend intent remains discretionary and legally constrained",Second quarter and first half 2026,analysis/company-first-principles/capital-flow-apollo-athene-q2-dividend-schedule-upgrade-2026-09-15.md,q2-dividend-schedule-visible,Two dated quarterly declarations and the H1 paid total strengthen the legal-to-parent schedule without claiming Apollo receipt,Apollo HoldCo receipt receiving account unrestricted cash intercompany elimination ownership mapping and common-owner residual
APO-056,holdco_liquidity_boundary,What company-level unrestricted liquidity is disclosed before allocating it to Apollo common owners?,AGM and consolidated company liquidity,"Apollo reports 25.4B USD of unrestricted cash and cash equivalents at June 30 2026 plus 5.6B USD of available AGM, Athene credit, and Athene liquidity facilities; AGM is identified as relying on subsidiary distributions and intercompany transfers",June 30 2026,analysis/company-first-principles/capital-flow-apollo-holdco-unrestricted-cash-boundary-upgrade-2026-09-15.md,consolidated-unrestricted-cash-visible,Company-level unrestricted cash and the legal HoldCo funding route are visible,AGM-only cash location dated AHL receipt subsidiary-to-parent elimination regulated/VIE/NCI/preferred allocation debt tax and common-owner residual
APO-057,source_boundary,Does the Q2 Apollo filing provide a parent-only cash-flow schedule or dated AHL/AAM receipt line?,Apollo parent-only cash source disclosure,"The reviewed Q2 2026 Form 10-Q presents consolidated and segment liquidity but no separate AGM-only cash-flow statement or dated AHL/AAM distribution receipt line; it describes distributions and intercompany transfers as the AGM funding route",Q2 2026,analysis/company-first-principles/capital-flow-apollo-parent-only-cash-source-boundary-2026-09-15.md,parent-only-source-boundary-confirmed,The public filing scope narrows where parent-receipt evidence is absent without claiming no transfer occurred,Subsequent parent-only filing earnings supplement debt/intercompany schedule or dated distribution receipt
APO-058,legal_entity_assets,What statutory invested-asset denominator is visible at Athene?,Athene bonds and mortgage loans,"158852395199 USD bonds and 86638527530 USD mortgage loans",FY2025,analysis/company-first-principles/capital-flow-apollo-athene-statutory-cash-return-upgrade-2026-09-15.md,statutory-asset-denominator-confirmed,Athene's legal-entity statement exposes a large invested-asset base,Asset-level Apollo-linked allocation borrower identity designation and income
APO-059,legal_entity_liabilities,What policyholder liability denominator sits beside Athene assets?,Athene life reserves and deposit-type liabilities,"110615749220 USD life-contract reserves and 64259784362 USD deposit-type contract liabilities",FY2025,analysis/company-first-principles/capital-flow-apollo-athene-statutory-cash-return-upgrade-2026-09-15.md,statutory-liability-denominator-confirmed,Insurance and deposit-type obligations are explicit at the legal-entity level,Liability cost crediting rates distributable surplus and parent-accessible cash
APO-060,statutory_income,What statutory investment income is reported?,Athene net investment income,12732699320 USD,FY2025,analysis/company-first-principles/capital-flow-apollo-athene-statutory-cash-return-upgrade-2026-09-15.md,statutory-income-confirmed,Athene reports legal-entity statutory net investment income,Issuer borrower affiliate asset-class and realized-cash allocation
APO-061,statutory_cash_conversion,Does statutory investment income have a cash-flow counterpart?,Athene cash net investment income conversion,12281980822 / 12732699320 = 96.46%,FY2025,analysis/company-first-principles/capital-flow-apollo-athene-statutory-cash-return-upgrade-2026-09-15.md,qualified-cash-conversion-screen,Most reported statutory investment income has a cash-flow counterpart in the mechanical screen,Residual timing non-cash items loss attribution and distributability
APO-062,statutory_operating_cash,What cash remains after Athene operating flows?,Athene net cash from operations,20789852294 USD,FY2025,analysis/company-first-principles/capital-flow-apollo-athene-statutory-cash-return-upgrade-2026-09-15.md,statutory-operating-cash-confirmed,Positive entity-level operating cash is visible after insurance-system flows,Policyholder claims capital requirements taxes restrictions and parent allocation
APO-063,statutory_investment_turnover,What investment turnover is visible at Athene?,Athene investment proceeds and acquisitions,"71384452256 USD proceeds; 131822614969 USD acquired; -60428299727 USD net investment cash",FY2025,analysis/company-first-principles/capital-flow-apollo-athene-statutory-cash-return-upgrade-2026-09-15.md,statutory-investment-turnover-confirmed,Investment proceeds and acquisitions establish the scale and direction of entity cash turnover,Realized gains losses impairments borrower repayment and asset-level return
APO-064,parent_receipt_boundary,Does the statutory statement prove Apollo parent receipt or common-owner cash?,Athene parent and owner residual,NA,FY2025,analysis/company-first-principles/capital-flow-apollo-athene-statutory-cash-return-upgrade-2026-09-15.md,parent-receipt-boundary-held,The entity-level statement strengthens statutory cash proof without proving an Apollo HoldCo receipt or common-owner residual,Parent cash-flow note dividend schedule intercompany ledger regulated claims NCI preferred claims and common residual
APO-065,ari_exit,What seller-side loan balance remains after the ARI sale?,ARI post-sale outstanding loans,Zero as of June 30 2026,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-ari-borrower-credit-loss-boundary-2026-09-15.md,seller-exit-boundary-confirmed,ARI's seller-side loan exit is proven,Athene post-close loan assets and cash collections
APO-066,ari_repayment,What named post-close borrower repayment is disclosed?,Chicago Hotel Loan repayment,$46M principal balance repaid after closing,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-ari-borrower-credit-loss-boundary-2026-09-15.md,named-repayment-boundary-confirmed,One named post-close repayment is visible,Broader borrower repayment history buyer cash ledger and collateral proceeds
APO-067,ari_credit_loss,What credit cost was recognized on transferred loans?,ARI specific CECL write-off,$335.0M,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-ari-borrower-credit-loss-boundary-2026-09-15.md,credit-loss-boundary-confirmed,Transferred loans carried recognized seller-side credit-cost history,Athene post-transfer impairment CECL and recovery allocation
APO-068,ari_sale_loss,What was the sale discount loss versus book cost?,ARI net realized loss on sale,$2.6M,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-ari-borrower-credit-loss-boundary-2026-09-15.md,sale-quality-boundary-confirmed,The seller did not realize book cost exactly on the portfolio sale,Athene fair-value return and final settlement detail
APO-069,ari_named_credit_event,What allowance activity accompanied the Chicago Hotel Loan repayment?,Chicago Hotel Loan allowance activity,$1.5M write-off plus $1.5M reversal,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-ari-borrower-credit-loss-boundary-2026-09-15.md,named-credit-event-confirmed,A named post-close repayment had specific credit-cost activity,Portfolio-wide borrower cash collateral and loss schedule
APO-070,ari_buyer_return_boundary,Does the ARI filing prove Athene's post-close borrower cash?,Athene borrower cash and collateral return,NA,Q2 2026,analysis/company-first-principles/capital-flow-apollo-athene-ari-borrower-credit-loss-boundary-2026-09-15.md,buyer-return-boundary-held,The seller filing confirms the transfer and credit-loss boundary without proving buyer return,Post-close Athene asset schedule borrower receipts trustee reports and collateral cash
APO-071,named_statutory_cash_route,Does the Athene statutory filing join a named AMAPS holding to a dated consideration row?,AMAPS 1 LLC Tranche A Note CUSIP 02300A-AA-8,"$1.9175B year-end book value; $48.871M interest income; $268.000M dated consideration; $3.987M disposal interest/dividends",FY2025,analysis/company-first-principles/capital-flow-apollo-athene-statutory-same-cusip-bridge-upgrade-2026-09-15.md,same-cusip-statutory-bridge-visible,Same Athene CUSIP is visible in Schedule D holding and dated disposal/proceeds rows with an Apollo Capital Markets Partner counterparty label,Lot continuity settlement receipt underlying collateral cash Athene allocation liability cost and final return
