queue_id,priority_tier,priority_rank,cash_instrument_cusip,named_family,cash_instrument_description,part_c_ledger_ids,part_c_pages,schedule_d_row_ids,schedule_d_pages,schedule_d_book_value_sum,schedule_d_fair_value_sum,schedule_d_interest_received_sum,part_c_book_candidate_sum_used,part_c_fair_candidate_sum_used,numeric_control_status,priority_reason,minimum_decisive_source_object,why_that_object_matters,current_boundary
CFAASDBNLQ-0017,B,17,55285H-AN-2,MF1,MF1 2022-B1 F,CFAASDBPC-0112,468,CFAASDFR-6386,5979,"42,475,405","40,156,788","4,202,167","30,698,117",,matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0018,B,18,592918-AG-1,MF1,MF1 2025-B2 C,CFAASDBPC-0723,489,CFAASDFR-6406,5979,"39,961,000","40,550,760","1,831,302","2,276,000","2,309,590",matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0019,B,19,04020W-AG-2,ARES,ARES 2024-72A C,CFAASDBPC-0154 | CFAASDBPC-0508,470 | 482,CFAASDFR-7146,5995,"39,083,026","39,070,785","1,229,744","16,329,585","2,704,901",matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0020,B,20,55285H-AL-6,MF1,MF1 2022-B1 E,CFAASDBPC-0111,468,CFAASDFR-6385,5979,"35,386,920","34,172,469","3,267,004","24,643,412",,matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0021,B,21,58003M-AE-6,MF1,MF1 2024-FL15 B,CFAASDBPC-0118 | CFAASDBPC-0720,469 | 489,CFAASDFR-6401,5979,"33,894,713","34,017,857","2,328,028","8,812,626","8,844,643",matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0022,B,22,55285H-AE-2,MF1,MF1 2022-B1 B,CFAASDBPC-0110,468,CFAASDFR-6382,5979,"32,490,419","32,262,735","2,296,040","23,236,460",,matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0023,B,23,91835W-AG-4,VARDE,Varde Partners Inc,CFAASDBPC-0727 | CFAASDBPC-0728,489,CFAASDFR-6458,5981,"32,425,737","32,732,386","1,514,164","4,487,262","4,529,698",matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0024,B,24,04017J-AS-0,ARES,ARES 2018-49A BR,CFAASDBPC-0559,484,CFAASDFR-7132,5995,"31,250,000","31,286,438","1,942,967","31,286,438",,matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0025,B,25,03990H-AG-3,ARES,Ares Loan Funding IX - Tranche,CFAASDBPC-0016,465,CFAASDFR-7126,5995,"28,998,411","28,903,372","630,699","17,342,023",,matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0026,B,26,55287E-AG-2,MF1,MF1 2024-FL16 C,CFAASDBPC-0115 | CFAASDBPC-0713,468 | 489,CFAASDFR-6390,5979,"28,966,286","29,046,101","2,004,115","15,238,474","3,449,537",matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0027,B,27,04020W-AE-7,ARES,ARES 2024-72A B,CFAASDBPC-0613,485,CFAASDFR-7145,5995,"26,000,000","25,954,006","1,603,724","25,954,006",,matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0028,B,28,55416A-AE-9,MF1,MF1 2024-FL14 B,CFAASDBPC-0716,489,CFAASDFR-6397,5979,"24,946,060","25,040,060","1,761,974","2,993,527","3,004,807",matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0029,C,29,03990H-AJ-7,ARES,Ares Loan Funding IX - Tranche,CFAASDBPC-0017,465,CFAASDFR-7127,5995,"22,500,000","22,499,258","791,051","14,999,505",,matched-identity-component-exposure-control,lower-dollar named identity retained for completeness and later aggregation,lot-level custody or income-allocation record if the route becomes material,It preserves a reproducible path for aggregation without allowing small rows to be promoted by inference.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0030,B,30,03990F-AJ-1,ARES,ARES 2024-74A D,CFAASDBPC-0507,482,CFAASDFR-7124,5994,"22,004,417","21,971,180","1,547,758","17,976,420",,matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0031,B,31,04020W-AJ-6,ARES,ARES 2024-72A D,CFAASDBPC-0155 | CFAASDBPC-0509,470 | 482,CFAASDFR-7147,5995,"22,000,000","21,958,244","1,658,122","16,967,734","4,990,510",matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0032,C,32,03990K-AJ-0,ARES,ARES 2025-77A D1,CFAASDBPC-0151 | CFAASDBPC-0457,470 | 480,CFAASDFR-7128,5995,"22,000,000","22,069,058",,"14,344,888","1,103,453",matched-identity-component-exposure-control,lower-dollar named identity retained for completeness and later aggregation,lot-level custody or income-allocation record if the route becomes material,It preserves a reproducible path for aggregation without allowing small rows to be promoted by inference.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0033,B,33,58003M-AC-0,MF1,MF1 2024-FL15 AS,CFAASDBPC-0117 | CFAASDBPC-0719,469 | 489,CFAASDFR-6400,5979,"21,434,048","21,524,452","1,373,824","21,524,452",,matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0034,B,34,55287E-AJ-6,MF1,MF1 2024-FL16 D,CFAASDBPC-0116 | CFAASDBPC-0714,468 | 489,CFAASDFR-6391,5979,"21,089,459","21,036,033","1,683,837","11,716,366","11,686,685",matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0035,B,35,03990F-AE-2,ARES,ARES 2024-74A B,CFAASDBPC-0506,482,CFAASDFR-7122,5994,"21,000,000","20,961,948","1,428,837","13,974,632",,matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0036,B,36,55287E-AE-7,MF1,MF1 2024-FL16 B,CFAASDBPC-0114 | CFAASDBPC-0712,468 | 489,CFAASDFR-6389,5979,"20,730,247","20,801,699","1,349,956","11,516,804","11,556,499",matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0037,B,37,55287H-AG-5,MF1,MF1 2025-FL17 C,CFAASDBPC-0595,485,CFAASDFR-6394,5979,"20,201,463","20,182,529","1,123,146","11,212,959",,matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0038,C,38,59319C-AG-0,MF1,MF1 2025-FL20 C,CFAASDBPC-0121,469,CFAASDFR-6409,5980,"19,950,000","19,984,424","388,303","11,990,654",,matched-identity-component-exposure-control,lower-dollar named identity retained for completeness and later aggregation,lot-level custody or income-allocation record if the route becomes material,It preserves a reproducible path for aggregation without allowing small rows to be promoted by inference.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0039,B,39,03990F-AG-7,ARES,ARES 2024-74A C,CFAASDBPC-0611,485,CFAASDFR-7123,5994,"18,010,811","17,942,742","1,031,715","11,961,828",,matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0040,C,40,592918-AJ-5,MF1,MF1 2025-B2 D,CFAASDBPC-0120,469,CFAASDFR-6407,5979,"17,486,000","17,742,824","889,133","11,493,364",,matched-identity-component-exposure-control,lower-dollar named identity retained for completeness and later aggregation,lot-level custody or income-allocation record if the route becomes material,It preserves a reproducible path for aggregation without allowing small rows to be promoted by inference.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0041,B,41,04018B-BC-0,ARES,ARES 2020-55A CR2,CFAASDBPC-0361,477,CFAASDFR-7133,5995,"16,200,000","16,158,852","1,048,518","16,158,852",,matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0042,C,42,03990H-AE-8,ARES,Ares Loan Funding IX - Tranche,CFAASDBPC-0015,465,CFAASDFR-7125,5994,"15,000,000","14,933,610","446,867","14,933,610",,matched-identity-component-exposure-control,lower-dollar named identity retained for completeness and later aggregation,lot-level custody or income-allocation record if the route becomes material,It preserves a reproducible path for aggregation without allowing small rows to be promoted by inference.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0043,C,43,04018B-BE-6,ARES,ARES 2020-55A D1R2,CFAASDBPC-0612,485,CFAASDFR-7134,5995,"12,500,000","12,483,788","948,452","11,235,409",,matched-identity-component-exposure-control,lower-dollar named identity retained for completeness and later aggregation,lot-level custody or income-allocation record if the route becomes material,It preserves a reproducible path for aggregation without allowing small rows to be promoted by inference.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0044,B,44,04020T-AJ-3,ARES,ARES 2024-ALF6A D,CFAASDBPC-0153,470,CFAASDFR-7144,5995,"12,000,000","11,969,952","1,198,051",,"2,094,742",matched-identity-component-exposure-control,material named statutory holding or received-interest control,"lot-level custody, trustee, remittance, or settlement record for the exact CUSIP and period",It would test whether the named exposure has an observable cash or claim event without assuming one from Schedule D.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0045,C,45,04020T-AG-9,ARES,ARES 2024-ALF6A C,CFAASDBPC-0152,470,CFAASDFR-7143,5995,"11,200,000","11,217,024","973,514",,"1,962,979",matched-identity-component-exposure-control,lower-dollar named identity retained for completeness and later aggregation,lot-level custody or income-allocation record if the route becomes material,It preserves a reproducible path for aggregation without allowing small rows to be promoted by inference.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0046,C,46,58003M-AG-1,MF1,MF1 2024-FL15 C,CFAASDBPC-0721,489,CFAASDFR-6402,5979,"9,170,750","9,204,525","671,822","1,375,612","1,380,679",matched-identity-component-exposure-control,lower-dollar named identity retained for completeness and later aggregation,lot-level custody or income-allocation record if the route becomes material,It preserves a reproducible path for aggregation without allowing small rows to be promoted by inference.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0047,C,47,04019H-AY-9,ARES,ARES 2022-64A DR,CFAASDBPC-0230,472,CFAASDFR-7139,5995,"6,463,346","6,499,740","371,755","4,598,943","4,624,815",matched-identity-component-exposure-control,lower-dollar named identity retained for completeness and later aggregation,lot-level custody or income-allocation record if the route becomes material,It preserves a reproducible path for aggregation without allowing small rows to be promoted by inference.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0048,C,48,04018N-BC-4,ARES,ARES 2020-56A CR2,CFAASDBPC-0362,477,CFAASDFR-7136,5995,"5,419,854","5,482,026","258,604","4,064,891","4,111,520",matched-identity-component-exposure-control,lower-dollar named identity retained for completeness and later aggregation,lot-level custody or income-allocation record if the route becomes material,It preserves a reproducible path for aggregation without allowing small rows to be promoted by inference.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0049,C,49,55416A-AG-4,MF1,MF1 2024-FL14 C,CFAASDBPC-0717,489,CFAASDFR-6398,5979,"4,989,268","5,005,221","382,812",,"1,001,044",matched-identity-component-exposure-control,lower-dollar named identity retained for completeness and later aggregation,lot-level custody or income-allocation record if the route becomes material,It preserves a reproducible path for aggregation without allowing small rows to be promoted by inference.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
CFAASDBNLQ-0050,C,50,039939-AW-3,ARES,ARES 2022-67A CR,CFAASDBPC-0360,477,CFAASDFR-7129,5995,"3,911,170","3,986,820","175,367","2,737,800","2,790,774",matched-identity-component-exposure-control,lower-dollar named identity retained for completeness and later aggregation,lot-level custody or income-allocation record if the route becomes material,It preserves a reproducible path for aggregation without allowing small rows to be promoted by inference.,"Schedule DB identity, Schedule D carrying value, fair value, and interest fields do not by themselves prove settlement, remittance, liability allocation, borrower repayment, or Apollo owner cash."
