pilot_id,lane,lane_rank,company,ticker,score,bridge_model,first_source_task,proof_fields_to_fill,expected_upgrade,disproof_test,current_status,safe_claim_boundary
"CF519P2-011","power_grid_and_project_finance","2","Mastec Inc.","MTZ","113","backlog return/risk bridge","Extract backlog, segment revenue, margins, OCF, customer concentration, grid/fiber/power project exposure, and working capital.","backlog; segment revenue; gross margin; OCF; capex; customer concentration; project risk; cash conversion","Move from contractor demand radar to backlog quality/cash conversion visible.","Treating backlog as high-margin funded work.","pilot-selected","Use MasTec only with backlog and margin/cash caveats."
"CF519P2-012","power_grid_and_project_finance","3","Plains All American Pipeline Lp","PAA","112","source-use-output-return bridge","Extract capex, pipeline/logistics volumes, facility debt, export/storage capacity, and customer/shipper evidence.","capex; volume; capacity; debt; liquidity; customer contracts; utilization; EBITDA/DCF","Move from midstream radar to company/project-output visible.","Treating logistics footprint as project-return proof.","pilot-selected","Use Plains as logistics-capacity evidence pending project-level economics."
"CF519P2-013","power_grid_and_project_finance","4","Targa Resources Corp.","TRGP","111","source-use-output-return bridge","Extract NGL capex, project completions, fractionation/export volumes, debt/liquidity, and customer contracts.","growth capex; project list; fractionation capacity; export volume; debt; DCF; customer contracts; utilization","Move from NGL/export platform radar to project-output candidate.","Treating capacity additions as filled or high-return without utilization.","pilot-selected","Use Targa as NGL/export buildout evidence pending project economics."
"CF519P2-014","power_grid_and_project_finance","5","Nextera Energy Inc.","NEE","111","approved-recovery bridge","Extract FPL capex, rate base, regulatory approvals, Energy Resources backlog, PPAs, project MW, and financing plan.","capex; rate base; approved recovery; backlog; PPA; project MW; in-service date; debt/equity funding","Move from utility/platform radar to regulated plus contracted-project bridge.","Treating renewable backlog or capital plan as approved recovery.","pilot-selected","Use NextEra with FPL regulated/Energy Resources split preserved."
"CF519P2-015","debt_refinancing_and_facilities","1","Pbf Energy","PBF","113","before-after capital-stack bridge","Extract ABL exit, 2028 note refinancing, debt reduction, new debt terms, maturity schedule, and liquidity effect.","old debt; new debt; maturity; pricing; collateral; lender; use of proceeds; repayment; liquidity","Move from refinancing headline to before/after capital-stack visible.","Treating debt reduction/refinancing as growth funding.","pilot-selected","Use PBF as refinancing and liquidity case, not capex-return proof."
"CF519P2-016","debt_refinancing_and_facilities","2","Devon Energy Corporation","DVN","106","before-after capital-stack bridge","Extract debt table, merger-related capital structure, maturities, credit facility, use of proceeds, and liquidity.","old debt; new debt; merger effect; maturity; lender; pricing; use; repayment; covenant","Move from energy company radar to merger/refinancing stack visible.","Treating merger scale as balance-sheet improvement without before/after proof.","pilot-selected","Use Devon with Coterra merger timing caveat."
"CF519P2-017","debt_refinancing_and_facilities","3","Matador Resources Co.","MTDR","102","before-after capital-stack bridge","Extract credit facility, note issuance, acquisition funding, debt maturity ladder, collateral, and use-of-proceeds.","facility size; notes; acquisition debt; maturity; collateral; pricing; proceeds; repayment","Move from upstream capex/acquisition radar to capital-stack visible.","Treating acquisition debt as productive drilling capital without use bridge.","pilot-selected","Use Matador as debt/acquisition-capex candidate pending source/use."
"CF519P2-018","debt_refinancing_and_facilities","4","Liberty Broadband Corporation","","101","before-after capital-stack bridge","Extract Charter term loan advance, margin-loan repayment, debt maturities, collateral, and merger/transaction endpoint.","old margin loan; new term loan; repayment; collateral; maturity; lender; transaction endpoint","Move from transaction note to margin-loan refinancing evidence.","Treating related-party loan as operating investment.","pilot-selected","Use Liberty Broadband as capital-stack cleanup case."
"CF519P2-019","debt_refinancing_and_facilities","5","Wheaton Precious Metals Corp.","WPM","99","before-after capital-stack bridge","Extract streaming/royalty commitments, credit facility, cash funding, debt capacity, and mine-project source/use.","stream commitment; royalty purchase; facility; cash; counterparty; project; delivery; return proxy","Move from deal-flow radar to streaming finance source/use evidence.","Treating stream purchase as mine ownership or ordinary debt.","pilot-selected","Use Wheaton as alternative project-finance stream/royalty case."
"CF519P2-020","acquisition_finance","1","Core Main Inc.","CNM","94","deal-source-use-integration bridge","Extract acquisition pipeline, deal consideration, revolver/debt use, acquired revenue, synergies, and working-capital effect.","transaction value; funding source; acquired assets; revenue; margin; integration; debt; OCF","Move from distribution consolidator radar to acquisition-finance integration visible.","Treating roll-up spend as organic growth or guaranteed margin improvement.","pilot-selected","Use Core & Main as infrastructure distribution consolidation candidate."
"CF519P2-021","acquisition_finance","2","Verizon Communications Inc.","VZ","90","deal-source-use-integration bridge","Extract acquisition financing, debt issuance, spectrum/fiber asset use, capex, FCF, and debt deleveraging path.","deal value; debt; asset acquired; capex; FCF; leverage; integration; customer/revenue effect","Move from telecom capital-intensity radar to acquisition/capex funding bridge.","Treating telecom debt as project-specific funding without source/use.","pilot-selected","Use Verizon with telecom debt/capex and deal-specific boundaries."
"CF519P2-022","acquisition_finance","3","The Sherwin Williams Company","SHW","86","deal-source-use-integration bridge","Extract Suvinil acquisition terms, financing, Latin America assets, revenue/margin impact, and integration evidence.","deal value; financing; acquired brand/assets; revenue; margin; cash; integration; debt","Move from acquisition mention to deal-source/use/integration candidate.","Treating acquisition as immediate operating-return proof.","pilot-selected","Use Sherwin-Williams acquisition evidence with integration caveat."
"CF519P2-023","acquisition_finance","4","Lowes Companies Inc.","LOW","84","deal-source-use-integration bridge","Extract Pro/home-services acquisitions or investments, debt funding, capex, supply-chain assets, and customer economics.","deal value; funding; Pro revenue; capex; supply chain; service revenue; margin; cash","Move from retail/pro strategy radar to acquisition/use evidence if source-backed.","Treating retail strategy spend as capital-flow proof without transaction source.","pilot-selected","Use Lowe's as Pro infrastructure candidate pending deal proof."
"CF519P2-024","acquisition_finance","5","Roblox Corp.","RBLX","84","deal-source-use-integration bridge","Extract infrastructure/content/AI acquisitions or commitments, cash use, capex/cloud spend, developer economics, and monetization.","deal/commitment; cash; capex/cloud; acquired capability; bookings; margin; platform output","Move from software/platform radar to digital infrastructure investment evidence if supported.","Treating platform spend as physical infrastructure capital.","pilot-selected","Use Roblox as digital-platform contrast with strict use evidence."
"CF519P2-025","asset_backed_and_securitization","1","Zebra Technologies Corp.","ZBRA","93","operations-to-collateral bridge","Extract receivables, inventory, leasing/financing assets, credit facility collateral, and working-capital conversion.","receivables; inventory; facility; collateral; advance rate; losses; cash conversion; lender","Move from asset-visibility operating thesis to collateral/working-capital finance evidence.","Treating inventory/receivables as securitized without facility proof.","pilot-selected","Use Zebra as working-capital/collateral candidate pending facility evidence."
"CF519P2-026","asset_backed_and_securitization","2","Target Corp.","TGT","87","operations-to-collateral bridge","Extract receivables, inventory, credit-card/customer finance exposure, supply-chain finance, debt, and cash conversion.","inventory; receivables; card receivables; securitization/facility; losses; cash; debt; working capital","Move from retailer cash-cycle radar to operations-to-financeable-assets evidence.","Treating retail inventory as collateralized financing without documents.","pilot-selected","Use Target as retail working-capital/consumer-credit candidate."
"CF519P2-027","asset_backed_and_securitization","3","Msc Industrial Direct Co. Inc.","MSM","84","operations-to-collateral bridge","Extract receivables, inventory, vendor/customer credit, revolver collateral, cash conversion, and working capital.","receivables; inventory; payables; revolver; collateral; cash conversion; credit losses","Move from distributor radar to working-capital finance candidate.","Treating distributor receivables as asset-backed issuance without facility proof.","pilot-selected","Use MSC as MRO working-capital evidence with collateral caveat."
"CF519P2-028","asset_backed_and_securitization","4","Global Industrial Company","GIC","82","operations-to-collateral bridge","Extract receivables, inventory, customer credit terms, facility availability, working capital, and cash conversion.","receivables; inventory; facility; customer credit; payables; OCF; collateral; losses","Move from industrial distributor radar to operations-to-collateral candidate.","Treating inventory scale as financing capacity without lender terms.","pilot-selected","Use Global Industrial as distributor working-capital candidate."
"CF519P2-029","asset_backed_and_securitization","5","Pool Corp.","POOL","82","operations-to-collateral bridge","Extract seasonal inventory, receivables, credit facility, collateral, working-capital cycle, and cash conversion.","inventory; receivables; seasonal working capital; facility; collateral; OCF; lender; covenant","Move from distributor radar to seasonal working-capital finance evidence.","Treating seasonality as stable collateral without liquidity evidence.","pilot-selected","Use Pool as seasonal distribution financing candidate."
"CF519P2-030","capital_intensity_and_capex","1","Jacobs Solutions Inc.","","105","capital-to-output-to-cash bridge","Extract backlog, book-to-bill, infrastructure project revenue, margin, OCF, capex, and contract risk.","backlog; awards; revenue; margin; OCF; capex; customer/project; cash conversion","Move from engineering-services radar to backlog/output/cash evidence.","Treating professional-service backlog as funded infrastructure output.","pilot-selected","Use Jacobs as engineering backlog conversion candidate."
"CF519P2-031","capital_intensity_and_capex","2","Steel Dynamics Inc.","STLD","101","capital-to-output-to-cash bridge","Extract growth capex, mill/project capacity, shipments, spread/margin, OCF, debt, and customer end-market demand.","growth capex; maintenance capex; capacity; shipments; margin; OCF; debt; project status","Move from steel capex radar to capacity/output/cash bridge.","Treating steel capex as high-return without utilization and spread evidence.","pilot-selected","Use Steel Dynamics with cycle/utilization caveat."
"CF519P2-032","capital_intensity_and_capex","3","Eaton Corporation","ETN","101","capital-to-output-to-cash bridge","Extract electrical backlog, capacity expansion, capex, data-center/order exposure, margins, OCF, and working capital.","orders; backlog; capex; capacity; segment margin; OCF; data-center exposure; supply constraint","Move from electrification equipment radar to backlog/capacity/cash evidence.","Treating orders as shipped revenue or margin without backlog burn.","pilot-selected","Use Eaton as electrical bottleneck candidate with output caveat."
"CF519P2-033","capital_intensity_and_capex","4","Energy Transfer Lp","ET","100","source-use-output-return bridge","Extract growth capex, project capacity, in-service status, NGL volumes, EBITDA/DCF, debt, and refinancing link.","growth capex; project cost; capacity; volume; utilization; EBITDA; DCF; debt; customer contract","Move from company-level energy bridge toward named-project registry.","Treating ET company EBITDA as project return.","pilot-selected","Use ET as company-level NGL/export buildout case pending project returns."
"CF519P2-034","capital_intensity_and_capex","5","Sterling Infrastructure Inc.","STRL","100","backlog return/risk bridge","Refresh backlog/RPO, signed/unsigned split, acquisition contribution, retainage, OCF/capex, L/C/surety usage, and margin.","RPO; backlog; unsigned awards; acquisition split; retainage; OCF; capex; L/C; surety; margin","Move from completed proxy bridge toward project-return evidence if new documents exist.","Treating backlog as fully funded or high-margin.","pilot-selected","Use Sterling as backlog return/risk proxy."
"CF519P2-035","capital_intensity_and_capex","6","Teledyne Technologies Inc.","TDY","100","capital-to-output-to-cash bridge","Extract capex, scientific/defense/electronics backlog, funded orders, acquisition spend, margin, OCF, and customer exposure.","capex; backlog; funded orders; revenue; margin; OCF; acquisition spend; customer/end market","Move from advanced-instrumentation radar to funded backlog/output/cash evidence.","Treating backlog or defense exposure as capital-flow proof without funding/source details.","pilot-selected","Use Teledyne as advanced industrial/defense instrumentation candidate."
