"metric_id","proof_id","pilot_id","company","ticker","source_id","local_path","period","extracted_field","value","unit","evidence_result","promotion_result","what_it_proves","what_it_does_not_prove","next_gap"
"CFPGM-011","CFPGU-005","CF519P2-011","MasTec, Inc.","MTZ","mastec-2026q2-earnings-presentation","raw/primary-sources/capital-flow/power-grid-pilot/mastec/q2-2026/mastec-2026-q2-earnings-presentation.pdf","Q2 2026","Power Delivery backlog","6.3","USD billions","segment backlog extracted","promoted to backlog-segment-visible","MasTec discloses Power Delivery backlog at another record level.","It does not prove funded status or project profitability.","Extract margin and contract status for Power Delivery."
"CFPGM-012","CFPGU-006","CF519P2-011","MasTec, Inc.","MTZ","mastec-2026q2-earnings-presentation","raw/primary-sources/capital-flow/power-grid-pilot/mastec/q2-2026/mastec-2026-q2-earnings-presentation.pdf","Q2 2026","revenue and adjusted EBITDA","4.4 revenue; 384 adjusted EBITDA","USD billions; USD millions","revenue/cash proxy extracted","partial pass","MasTec pairs backlog with current revenue and adjusted EBITDA.","It does not prove margin by project or segment from this row alone.","Extract segment result table into clean machine-readable rows."
"CFPGM-013","CFPGU-006","CF519P2-011","MasTec, Inc.","MTZ","mastec-2026q2-earnings-presentation","raw/primary-sources/capital-flow/power-grid-pilot/mastec/q2-2026/mastec-2026-q2-earnings-presentation.pdf","Q2 2026","DSO / cash flow / leverage / liquidity","72 DSO; 21 CFO; 1.8 leverage; 1.7 liquidity","days; USD millions; x; USD billions","cash durability metrics extracted","partial pass","MasTec discloses cash-flow, DSO, leverage, and liquidity context alongside backlog.","It does not reconcile backlog conversion to cash by segment.","Parse 10-Q cash flow and contract asset/liability tables."
"CFPGM-014","CFPGU-009","CF519P2-012","Plains All American Pipeline, L.P.","PAA","plains-2026q2-earnings-presentation","raw/primary-sources/capital-flow/power-grid-pilot/plains/q2-2026/plains-2026-q2-earnings-presentation.pdf","2026 guidance / Q2 2026","organic growth capital guidance","400 to 450","USD millions","growth capex extracted","partial pass","Plains increased 2026 organic growth capital and identifies the capital-spending program.","It does not allocate full capex by named project.","Extract presentation project table and 10-Q capex schedule."
"CFPGM-015","CFPGU-009","CF519P2-012","Plains All American Pipeline, L.P.","PAA","plains-2026q2-earnings-presentation","raw/primary-sources/capital-flow/power-grid-pilot/plains/q2-2026/plains-2026-q2-earnings-presentation.pdf","2026 guidance / Q2 2026","Cactus III expansion capacity","75 additional; nameplate to about 725","Mbbl/d","named project capacity extracted","promoted to project-output-visible","Plains links Cactus III to a named capacity expansion and growth-capital program.","It does not disclose Cactus III project cost, tariff, shipper commitments, or project return.","Search Cactus III commercial terms, tariffs, and contribution."
"CFPGM-016","CFPGU-009","CF519P2-012","Plains All American Pipeline, L.P.","PAA","plains-2026q2-earnings-presentation","raw/primary-sources/capital-flow/power-grid-pilot/plains/q2-2026/plains-2026-q2-earnings-presentation.pdf","2026 guidance","Cactus III synergies","50","USD millions","synergy target extracted","partial pass","Plains discloses a 2026 Cactus III synergy target.","It does not prove actual project EBITDA or return on expansion capex.","Extract actual synergy realization and project contribution if disclosed."
"CFPGM-017","CFPGU-010","CF519P2-012","Plains All American Pipeline, L.P.","PAA","plains-2026q2-earnings-release","raw/primary-sources/capital-flow/power-grid-pilot/plains/q2-2026/plains-2026-q2-earnings-release.pdf","Q2 2026","shipper/tariff support for Cactus III","not found in acquired company PDFs","status","fail test recorded","not promoted","The acquired Plains company PDFs support capacity and capex but do not prove shipper or tariff durability.","It does not disprove shipper support; it shows the acquired package is insufficient.","Search FERC/tariff records and commercial commitment disclosures."
"CFPGM-018","CFPGU-013","CF519P2-013","Targa Resources Corp.","TRGP","targa-2026q2-earnings-supplement","raw/primary-sources/capital-flow/power-grid-pilot/targa/q2-2026/targa-2026-q2-earnings-supplement.pdf","Q2 2026","adjusted EBITDA bridge","1,163 to 1,603","USD millions","EBITDA bridge extracted","partial pass","Targa discloses a 38% adjusted EBITDA increase and operating-margin bridge.","It does not isolate contribution from each named growth project.","Extract release exhibit/10-Q project notes for contribution by project."
"CFPGM-019","CFPGU-013","CF519P2-013","Targa Resources Corp.","TRGP","targa-2026q2-earnings-supplement","raw/primary-sources/capital-flow/power-grid-pilot/targa/q2-2026/targa-2026-q2-earnings-supplement.pdf","Q2 2026","segment operating margin increases","145 G&P; 316 L&T","USD millions","segment margin bridge extracted","promoted to segment-margin-bridge-visible","Targa links EBITDA growth to Gathering & Processing and Logistics & Transportation margin increases.","It does not allocate margin increase to Train 11, Delaware Express, or East Driver individually.","Fetch/parse release exhibit and project notes for named project contribution."
"CFPGM-020","CFPGU-014","CF519P2-013","Targa Resources Corp.","TRGP","targa-2026q2-earnings-supplement","raw/primary-sources/capital-flow/power-grid-pilot/targa/q2-2026/targa-2026-q2-earnings-supplement.pdf","Q2 2026","Permian Central and Badlands NGL production","1,099","MBbl/d","volume denominator extracted","promoted to output-denominator-visible","Targa discloses a Q2 2026 NGL production denominator for Permian Central and Badlands.","It does not prove utilization of named projects or project return.","Extract full volume table and project capacity additions."
"CFPGM-021","CFPGU-014","CF519P2-013","Targa Resources Corp.","TRGP","targa-2026q2-earnings-supplement","raw/primary-sources/capital-flow/power-grid-pilot/targa/q2-2026/targa-2026-q2-earnings-supplement.pdf","Q2 2026","NGL pipeline transportation volumes","1,206","MBbl/d","volume denominator extracted","promoted to output-denominator-visible","Targa discloses Q2 2026 NGL pipeline transportation volume.","It does not tie the volume to a named expansion or contract support.","Extract asset/project utilization if available."
"CFPGM-022","CFPGU-014","CF519P2-013","Targa Resources Corp.","TRGP","targa-2026q2-earnings-supplement","raw/primary-sources/capital-flow/power-grid-pilot/targa/q2-2026/targa-2026-q2-earnings-supplement.pdf","Q2 2026","export volumes","14.8","MMBbl/month","volume denominator extracted","promoted to output-denominator-visible","Targa discloses Q2 2026 export volume in the operating performance section.","It does not prove LPG export contract pricing or project-level return.","Extract export capacity/utilization and customer contract support."
"CFPGM-023","CFPGU-017","CF519P2-014","NextEra Energy, Inc.","NEE","nextera-2026q2-earnings-presentation","raw/primary-sources/capital-flow/power-grid-pilot/nextera/q2-2026/nextera-2026-q2-earnings-presentation.pdf","Q2 2026","FPL regulatory capital employed","72.9 to 79.7","USD billions","regulated capital bridge extracted","partial pass","NextEra discloses FPL regulatory capital employed growth of about 9.3%.","It does not identify docket/order/rider-level recovery terms by project.","Search FPL regulatory filings and commission orders."
"CFPGM-024","CFPGU-017","CF519P2-014","NextEra Energy, Inc.","NEE","nextera-2026q2-earnings-presentation","raw/primary-sources/capital-flow/power-grid-pilot/nextera/q2-2026/nextera-2026-q2-earnings-presentation.pdf","Q2 2026","FPL EPS contribution driver from new investments","0.05","USD per share","earnings driver extracted","regulated-return proxy","FPL EPS bridge identifies new investments as a Q2 2026 contribution driver.","It does not specify approved ROE, rider treatment, or project-level recovery.","Extract FPL rate-case/order details."
"CFPGM-025","CFPGU-018","CF519P2-014","NextEra Energy, Inc.","NEE","nextera-2026q2-earnings-release","raw/primary-sources/capital-flow/power-grid-pilot/nextera/q2-2026/nextera-2026-q2-earnings-release.pdf","Q2 2026","Energy Resources renewables and storage additions to backlog","3.6","GW","backlog addition extracted","partial pass","NextEra discloses a Q2 2026 Energy Resources backlog addition.","It does not split every project by contract, counterparty, in-service year, or return.","Parse backlog table in presentation and supplemental statements."
"CFPGM-026","CFPGU-018","CF519P2-014","NextEra Energy, Inc.","NEE","nextera-2026q2-earnings-release","raw/primary-sources/capital-flow/power-grid-pilot/nextera/q2-2026/nextera-2026-q2-earnings-release.pdf","Q2 2026","battery storage additions to backlog","2.0","GW","technology split extracted","promoted to contracted-output-split-visible","NextEra identifies battery storage as 2.0 GW of the 3.6 GW Q2 backlog additions.","It does not prove project-level PPA economics or financing.","Extract backlog by technology, project, customer type, and in-service year."
"CFPGM-027","CFPGU-018","CF519P2-014","NextEra Energy, Inc.","NEE","nextera-2026q2-earnings-presentation","raw/primary-sources/capital-flow/power-grid-pilot/nextera/q2-2026/nextera-2026-q2-earnings-presentation.pdf","Q2 2026","recontracted projects","500 plus","MW","contract activity extracted","partial pass","NextEra discloses recontracting activity, which supports contract-renewal durability.","It does not identify pricing, customer, duration, or project cash return.","Extract recontracting detail if available."
"CFPGM-028","CFPGU-018","CF519P2-014","NextEra Energy, Inc.","NEE","nextera-2026q2-earnings-presentation","raw/primary-sources/capital-flow/power-grid-pilot/nextera/q2-2026/nextera-2026-q2-earnings-presentation.pdf","Q2 2026","transmission project status","137-mile 345-kV line completed; two 765-kV MISO projects selected","miles / kV / project status","project status extracted","partial pass","NextEra identifies transmission assets and selection/completion status.","It does not prove recovery, returns, or ownership economics for each transmission project.","Extract MISO project filings and ownership/recovery terms."
"CFPGM-029","CFPGU-017","CF519P2-014","NextEra Energy, Inc.","NEE","nextera-2026q2-earnings-release","raw/primary-sources/capital-flow/power-grid-pilot/nextera/q2-2026/nextera-2026-q2-earnings-release.pdf","Q2 2026","FPL large-load interest / advanced discussions","21 interest; 12 advanced discussions","GW","load pipeline extracted","partial pass","FPL discloses large-load interest and advanced-discussion scale.","It does not prove signed ESA, tariff transaction, recovery, or load in service.","Search FPL tariff filings and large-load customer agreements."
"CFPGM-030","CFPGU-017","CF519P2-014","NextEra Energy, Inc.","NEE","nextera-2026q2-earnings-release","raw/primary-sources/capital-flow/power-grid-pilot/nextera/q2-2026/nextera-2026-q2-earnings-release.pdf","Q2 2026","expected large-load tariff transaction timing","by end of 2026","timing","tariff path extracted","not promoted","NextEra expects to announce at least one large-load transaction under FPL's tariff by year-end.","It does not show that a transaction has been signed, approved, or energized.","Track FPL tariff transaction announcements and PSC filings."
