crosswalk_id,old_html_trend,old_html_file,old_html_subpage_count,primary_new_theme,secondary_new_themes,what_old_trend_adds,what_new_theme_frame_adds,money_movement_question,evidence_status,safe_use,next_integration_step
ARHTMLX-011,The Workers Invisible Tax,workers-invisible-tax.html,8,Industrial uptime,Broad technology beyond internet software; Basic materials and input scarcity; Healthcare access,"The old trend points to the hidden cost of keeping systems running: labor shortages, training, scheduling, safety, turnover, commuting, benefit costs, and automation pressure.","The new framework asks who bears that cost: worker, customer, employer, insurer, contractor, or taxpayer, and whether automation truly lowers cash cost.","Money moves into wages, overtime, benefits, staffing agencies, automation, training, safety equipment, outsourced services, and price increases passed to customers.",old-site-derived; worker-burden-evidence-needs-more-specific-company-pulls,"Use as the labor-capacity subtheme across industrial, healthcare, service, and retail pages.",Add labor-cost proof fields to future extraction packets.
ARHTMLX-012,The Screening Revolution,screening-revolution.html,9,Healthcare tools and medical infrastructure,Healthcare access; Digital control; Ordinary finance,"The old trend identifies diagnostics as an access and cost gate: more screening can find disease earlier, route patients, create follow-on care, and shift payer spending.","The new framework requires reimbursement, test volume, installed base, utilization, payer coverage, and clinical workflow evidence before calling it cash conversion.","Payers, providers, patients, and employers fund tests, devices, labs, imaging, monitoring, and software; money returns through reimbursement, consumables, service contracts, and follow-on procedures.",old-site-derived; healthcare-tools-candidate-needs-extraction,Use as the diagnostics-and-early-detection subtheme.,Build the healthcare tools theme with test-volume and reimbursement examples.
ARHTMLX-013,The Local News Collapse,local-news-collapse.html,9,Services and cultural consumption,Digital control; Consumer goods and household identity; Ordinary finance,The old trend shows a civic and commercial pressure point: local information and local advertising dollars have been pulled away from local institutions and into platforms or national channels.,"The new framework can explain it as loss of trusted local distribution, ad market rerouting, and subscription weakness, but this lane has less company-specific extraction so far.","Local advertisers, readers, and civic institutions once funded local news; more money now moves through search, social platforms, national media, streaming, and data-targeted ad systems.",old-site-derived; undercovered-in-new-framework,Use as an undercovered societal subtheme that needs more extraction before strong claims.,Add local advertising and information infrastructure to the undercovered queue.
ARHTMLX-014,The Ritual Economy,ritual-economy.html,8,Consumer goods and household identity,Services and cultural consumption; Value retail,"The old trend shows that people do not only buy utility; they buy repeatable routines, celebrations, identity markers, comfort, gifts, food moments, beauty, pets, and seasonal rituals.","The new framework turns rituals into purchase frequency, brand trust, occasion demand, shelf placement, subscriptions, gifting, and margin mix.","Household money moves into brands, restaurants, retailers, beauty, food, travel, events, and services that attach to repeated occasions or identity needs.",old-site-derived; candidate-theme-needs-more-extraction,Use as the everyday-identity spending subtheme.,Deepen consumer goods and services pages with ritual examples.
ARHTMLX-015,AI Cultural Disintermediation,ai-cultural-disintermediation.html,8,Broad technology beyond internet software,Digital control; Services and cultural consumption; Ordinary finance; Healthcare tools and medical infrastructure,"The old trend says AI may move the customer relationship away from old experts, publishers, call centers, software menus, and professional interfaces into model-mediated workflows.","The new framework asks who owns the workflow, permission layer, data, compute bill, distribution channel, and liability when AI changes the interface.","Enterprise and consumer spending moves from old tools and labor channels into AI platforms, cloud infrastructure, security, workflow software, data vendors, and hardware.",old-site-derived; broad-tech-candidate-needs-more-company-evidence,"Use as the AI-interface-disruption subtheme, separate from AI power demand.",Add to broad technology and digital control as a second AI lane distinct from infrastructure.
ARHTMLX-016,The Pet Economys Mirror,pet-economy-mirror.html,8,Consumer goods and household identity,Healthcare access; Services and cultural consumption; Value retail,"The old trend uses pet spending to reveal household psychology: pets are treated as family, routine, health responsibility, emotional support, and identity.","The new framework can map pet food, pharmacy, insurance, veterinary, autoship, retail traffic, and premiumization, but evidence is still lighter than in value retail or healthcare access.","Household cash moves into food, vet care, drugs, insurance, grooming, boarding, e-commerce subscriptions, specialty retail, and premium brands.",old-site-derived; underdeveloped-new-theme-lane,Use as a consumer identity and care-routing subtheme.,Add pet economy examples to consumer goods and healthcare access pages.
ARHTMLX-017,The Grids New Landlords,grids-new-landlords.html,8,Energy affordability and supply route,Power scarcity; Real estate and scarce locations; Capital platforms,"The old trend makes the land-and-route point: new load needs grid access, gas routes, transmission corridors, substations, rights of way, and sites that cannot be created instantly.","The new framework separates power scarcity from energy-route economics and asks who owns the legal route, tariff, lease, contract, or regulated recovery claim.","Data-center, utility, industrial, and household demand moves money into pipelines, power generators, utilities, transmission owners, landowners, grid-equipment vendors, and financiers.",old-site-derived; energy-and-power-evidence-strong-but-project-cash-still-bounded,"Use as the route-owner subtheme connecting power, energy, and real estate.",Link to power scarcity and energy affordability route pages.
ARHTMLX-018,Membership or Nothing,membership-or-nothing.html,8,Value retail,Services and cultural consumption; Ordinary finance; Digital control,"The old trend explains fee-gated economics: memberships turn shopping, streaming, travel, delivery, cards, and clubs into paid access systems.","The new framework examines renewal, fee income, basket lift, wallet share, deferred revenue, loyalty liabilities, and the risk that value is subsidized by fees or data capture.","Consumers pay recurring access fees; companies convert those fees into lower apparent prices, repeat traffic, better data, financing float, advertising inventory, and higher retention.",old-site-derived; strong-pattern-but-company-proof-varies,"Use as the access-fee subtheme across retail, services, finance, and digital control.",Add membership economics to value retail and ordinary finance.
ARHTMLX-019,The Commodity Whiplash Transfer,commodity-whiplash-transfer.html,8,Basic materials and input scarcity,Energy affordability and supply route; Consumer goods and household identity; Built-environment upkeep,"The old trend shows how shocks in steel, resin, lumber, chemicals, fuel, grains, and other inputs move through contracts into prices, margins, inventory, and household cost.","The new framework demands evidence of pass-through, hedging, inventory timing, margin compression, and who ultimately bears the volatility.","Commodity shocks move from producers to processors, distributors, retailers, builders, manufacturers, utilities, and households through contracts, surcharges, pricing, and working capital.",old-site-derived; materials-theme-medium-and-needs-more-extraction,Use as the input-volatility subtheme.,Deepen basic materials and energy route pages with pass-through examples.
ARHTMLX-020,The Private Capital Colonization,private-capital-colonization.html,8,Capital platforms,Ordinary finance; Real estate and scarce locations; Healthcare access,"The old trend names the big institutional shift: more savings, insurance liabilities, retirement money, bank risk, real estate assets, and credit exposure are being routed through private-market structures.","The new framework adds proof discipline: identify source entity, wrapper, borrower or asset, legal claim, fees, spread, leverage, collateral, and cash realization.","Pensions, insurers, policyholders, sovereign funds, wealthy clients, retail vehicles, banks, and companies supply capital; private platforms route it into credit, real estate, infrastructure, insurance assets, and portfolio companies.",old-site-derived; capital-platform-evidence-strong-but-named-cash-proof-still-open,"Use as the master subtheme for BlackRock, Blackstone, KKR, Ares, Brookfield, Apollo, and similar platforms.",Connect directly to the named-cash proof lane and capital platforms chapter.
