bridge_id,layer,metric,period,value,unit,evidence_page,evidence_status,what_it_says,what_it_does_not_say,next_source
"CFSBRR-011","backlog risk","Unsigned awards share of combined backlog","Q2 2026","22.9","percent","capital-flow-sterling-backlog-customer-funding-pass-1.md","derived-from-company-release","About one quarter of combined backlog visibility is less firm than signed backlog.","It does not say the unsigned awards will fail to convert; it only lowers proof grade.","Historical unsigned-award conversion and cancellation data."
"CFSBRR-012","opportunity boundary","Future phase opportunities","Q2 2026","1.400","B USD","capital-flow-sterling-backlog-customer-funding-pass-1.md","company-release-extraction","Future phases are meaningful upside leads.","Future phase opportunities are not backlog and should not be included in signed or combined backlog totals.","Project-owner budgets and phase award notices."
"CFSBRR-013","acquisition split","CEC plus Stone Ridge combined backlog visibility","Q2 2026","2.560","B USD","capital-flow-sterling-acquired-versus-organic-backlog-pass-1.md","company-release-and-filing-extraction","Acquisitions materially changed Sterling's backlog visibility.","This does not prove acquired backlog margin, cash conversion, or integration success.","Post-acquisition backlog burn and segment margin disclosure."
"CFSBRR-014","acquisition split","Acquired share of signed backlog","Q2 2026","30.5","percent","capital-flow-sterling-acquired-versus-organic-backlog-pass-1.md","derived-from-company-release","Signed backlog is meaningfully acquisition-assisted but still majority organic or other.","It does not prove organic growth quality project by project.","Organic backlog roll-forward excluding CEC and Stone Ridge."
"CFSBRR-015","acquisition split","Acquired share of unsigned awards","Q2 2026","96.9","percent","capital-flow-sterling-acquired-versus-organic-backlog-pass-1.md","derived-from-company-release","Nearly all unsigned-award visibility came from acquired businesses.","It does not prove the acquired awards are inferior; it flags integration and conversion risk.","Unsigned awards by acquired business and signed-conversion timeline."
"CFSBRR-016","cash conversion","Operating cash flow less capex","H1 2026","258.375","M USD","capital-flow-sterling-backlog-customer-funding-pass-1.md","company-filing-extraction","Sterling generated cash after capex in the latest half-year evidence window.","It does not allocate cash generation to specific projects or acquired backlog.","Quarterly OCF/capex and project margin by segment."
"CFSBRR-017","cash conversion","Operating cash flow to capex","H1 2026","471.0","percent","capital-flow-sterling-backlog-customer-funding-pass-1.md","derived-from-company-filing","Operating cash flow was multiple times capital expenditures in H1 2026.","It does not prove free cash flow after acquisitions, debt service, working-capital normalization, or all project obligations.","Free cash flow bridge including acquisitions, interest, and working-capital normalization."
"CFSBRR-018","balance-sheet intensity","Debt to RPO","Q2 2026","6.7","percent","capital-flow-sterling-backlog-credit-platform-conversion-pass-1.md","derived-from-company-filing","Visible debt intensity declined versus RPO, supporting company-level cushion.","Debt/RPO is not a covenant calculation and does not prove project-level liquidity.","Formal covenant cushion and revolver availability."
"CFSBRR-019","retainage and collection","Contract asset retainage","Q2 2026","72.8","M USD","capital-flow-sterling-backlog-customer-funding-pass-1.md","company-filing-extraction","Retainage is visible and material enough to include in collection-risk analysis.","It does not prove collectability timing or owner credit quality.","Retainage aging and collection history."
"CFSBRR-020","retainage and collection","Contract liability retainage","Q2 2026","197.1","M USD","capital-flow-sterling-backlog-customer-funding-pass-1.md","company-filing-extraction","Customer/project prepayment or billing timing partly offsets working-capital needs.","It does not prove project profitability or final collection.","Contract liability roll-forward and revenue recognition schedule."
