lane,lane_rank,overall_rank,score,company,sector,industry,ticker,matched_signal_categories,hard_number_count,dollar_number_count,source_pointer_count,evidence_snippet,packet_path,analysis_path,proof_numbers_to_extract,lane_question,recommended_next_step,status
power_grid_and_project_finance,2,6,113,Mastec Inc.,Industrial Goods,Engineering Construction,`MTZ`,power_grid_and_project_finance; capital_intensity_and_capex; acquisition_finance; government_and_public_funding,52,37,13,Industry: Engineering Construction,extracted/industrial-goods/engineering-construction/mastec-inc/company-packet.md,,"Capex plan, rate base, project backlog, customer/load contracts, financing plan, debt/equity issuance, regulatory recovery.",Which companies are turning electricity/load growth into funded infrastructure buildout?,"Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.",queued-primary-source-pass
power_grid_and_project_finance,3,7,112,Plains All American Pipeline Lp,Energy,Oil Gas Pipelines,PAA,power_grid_and_project_finance; debt_refinancing_and_facilities; acquisition_finance; capital_intensity_and_capex,49,43,23,"The official investor profile is explicit that the company owns and operates midstream energy infrastructure and provides logistics services for crude oil, with a network of gathering and transportation systems, terminalling, storage, and related assets acr...",extracted/energy/oil-gas-pipelines/plains-all-american-pipeline-lp/company-packet.md,,"Capex plan, rate base, project backlog, customer/load contracts, financing plan, debt/equity issuance, regulatory recovery.",Which companies are turning electricity/load growth into funded infrastructure buildout?,"Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.",queued-primary-source-pass
power_grid_and_project_finance,4,8,111,Targa Resources Corp.,Energy,Oil Gas Pipelines,TRGP,power_grid_and_project_finance; debt_refinancing_and_facilities; asset_backed_and_securitization; capital_intensity_and_capex,57,55,19,That makes it a more growth-heavy NGL-and-export platform than a narrower gas-transmission name.,extracted/energy/oil-gas-pipelines/targa-resources-corp/company-packet.md,,"Capex plan, rate base, project backlog, customer/load contracts, financing plan, debt/equity issuance, regulatory recovery.",Which companies are turning electricity/load growth into funded infrastructure buildout?,"Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.",queued-primary-source-pass
power_grid_and_project_finance,5,9,111,Nextera Energy Inc.,Utilities,Electric Utilities,NEE,power_grid_and_project_finance; capital_intensity_and_capex; acquisition_finance,50,34,19,NextEra describes itself as the largest electric power and energy infrastructure company in North America.,extracted/utilities/electric-utilities/nextera-energy-inc/company-packet.md,analysis/company-first-principles/utilities/electric-utilities/nextera-energy-inc/company-analysis.md,"Capex plan, rate base, project backlog, customer/load contracts, financing plan, debt/equity issuance, regulatory recovery.",Which companies are turning electricity/load growth into funded infrastructure buildout?,"Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.",queued-primary-source-pass
power_grid_and_project_finance,6,10,111,Vistra Energy Corp.,Utilities,Other Utilities,VST,power_grid_and_project_finance; capital_intensity_and_capex; acquisition_finance,47,38,16,"It adds an integrated retail-plus-merchant-power platform with competitive generation, hedging, and commodity exposure rather than another primarily regulated transmission-and-distribution utility.",extracted/utilities/other-utilities/vistra-energy-corp/company-packet.md,analysis/company-first-principles/utilities/other-utilities/vistra-energy-corp/company-analysis.md,"Capex plan, rate base, project backlog, customer/load contracts, financing plan, debt/equity issuance, regulatory recovery.",Which companies are turning electricity/load growth into funded infrastructure buildout?,"Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.",queued-primary-source-pass
power_grid_and_project_finance,7,11,109,Dycom Industries Inc.,Industrial Goods,Heavy Construction,DY,power_grid_and_project_finance; capital_intensity_and_capex; acquisition_finance; government_and_public_funding,30,22,13,Industry: Heavy Construction,extracted/industrial-goods/heavy-construction/dycom-industries-inc/company-packet.md,,"Capex plan, rate base, project backlog, customer/load contracts, financing plan, debt/equity issuance, regulatory recovery.",Which companies are turning electricity/load growth into funded infrastructure buildout?,"Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.",queued-primary-source-pass
power_grid_and_project_finance,8,12,108,Abm Industries Inc.,Industrial Goods,Business Services,ABM,power_grid_and_project_finance; asset_backed_and_securitization; acquisition_finance; capital_intensity_and_capex,31,22,11,- It also adds a distinct operating model to the infrastructure thread.,extracted/industrial-goods/business-services/abm-industries-inc/company-packet.md,,"Capex plan, rate base, project backlog, customer/load contracts, financing plan, debt/equity issuance, regulatory recovery.",Which companies are turning electricity/load growth into funded infrastructure buildout?,"Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.",queued-primary-source-pass
power_grid_and_project_finance,9,13,107,Granite Construction Incorporated,Industrial Goods,General Contractors,`GVA`,power_grid_and_project_finance; capital_intensity_and_capex; acquisition_finance; government_and_public_funding,40,30,14,# Granite Construction Incorporated Packet,extracted/industrial-goods/general-contractors/granite-construction-incorporated/company-packet.md,,"Capex plan, rate base, project backlog, customer/load contracts, financing plan, debt/equity issuance, regulatory recovery.",Which companies are turning electricity/load growth into funded infrastructure buildout?,"Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.",queued-primary-source-pass
power_grid_and_project_finance,10,14,107,Caci International Inc.,Technology,Information Technology Services,CACI,power_grid_and_project_finance; capital_intensity_and_capex; acquisition_finance; government_and_public_funding,41,27,18,- It also helps the archive close an important gap in the physical-and-digital infrastructure stack.,extracted/technology/information-technology-services/caci-international-inc/company-packet.md,,"Capex plan, rate base, project backlog, customer/load contracts, financing plan, debt/equity issuance, regulatory recovery.",Which companies are turning electricity/load growth into funded infrastructure buildout?,"Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.",queued-primary-source-pass
power_grid_and_project_finance,11,15,107,Constellation Energy Corporation,Utilities,Diversified Utilities,CEG,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,33,31,21,That makes the company one of the clearest direct utility-side reads on how AI and data-center demand are reshaping power value.,extracted/utilities/diversified-utilities/constellation-energy-corporation/company-packet.md,analysis/company-first-principles/utilities/diversified-utilities/constellation-energy-corporation/company-analysis.md,"Capex plan, rate base, project backlog, customer/load contracts, financing plan, debt/equity issuance, regulatory recovery.",Which companies are turning electricity/load growth into funded infrastructure buildout?,"Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.",queued-primary-source-pass
power_grid_and_project_finance,12,18,105,Dnow Inc.,Industrial Goods,Industrial Supply,`DNOW`,power_grid_and_project_finance; acquisition_finance; asset_backed_and_securitization; capital_intensity_and_capex,58,43,6,Assigned CLI 8 sub-lane: wholesale and distribution infrastructure,extracted/industrial-goods/industrial-supply/dnow-inc/company-packet.md,,"Capex plan, rate base, project backlog, customer/load contracts, financing plan, debt/equity issuance, regulatory recovery.",Which companies are turning electricity/load growth into funded infrastructure buildout?,"Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.",queued-primary-source-pass
power_grid_and_project_finance,13,19,104,Duke Energy Corporation,Utilities,Electric Utilities,DUK,power_grid_and_project_finance; capital_intensity_and_capex; government_and_public_funding,54,31,17,Duke is a useful third utility because it is a cleaner traditional regulated-utility comparison than NextEra while still showing the same electricity-scarcity and large-load themes now appearing across the archive.,extracted/utilities/electric-utilities/duke-energy-corporation/company-packet.md,analysis/company-first-principles/utilities/electric-utilities/duke-energy-corporation/company-analysis.md,"Capex plan, rate base, project backlog, customer/load contracts, financing plan, debt/equity issuance, regulatory recovery.",Which companies are turning electricity/load growth into funded infrastructure buildout?,"Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.",queued-primary-source-pass
power_grid_and_project_finance,14,20,103,Nrg Energy Inc.,Utilities,Other Utilities,NRG,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,21,14,24,NRG is the right ninth utility because it adds the clearest customer-backed large-load and retail-plus-wholesale platform in the current set.,extracted/utilities/other-utilities/nrg-energy-inc/company-packet.md,analysis/company-first-principles/utilities/other-utilities/nrg-energy-inc/company-analysis.md,"Capex plan, rate base, project backlog, customer/load contracts, financing plan, debt/equity issuance, regulatory recovery.",Which companies are turning electricity/load growth into funded infrastructure buildout?,"Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.",queued-primary-source-pass
power_grid_and_project_finance,15,24,102,Primoris Services Corporation,Industrial Goods,Heavy Construction,PRIM,power_grid_and_project_finance; capital_intensity_and_capex; acquisition_finance,27,27,16,Industry: Heavy Construction,extracted/industrial-goods/heavy-construction/primoris-services-corporation/company-packet.md,,"Capex plan, rate base, project backlog, customer/load contracts, financing plan, debt/equity issuance, regulatory recovery.",Which companies are turning electricity/load growth into funded infrastructure buildout?,"Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.",queued-primary-source-pass
debt_refinancing_and_facilities,1,5,113,Pbf Energy,Energy,Oil Gas Refining Marketing,PBF,debt_refinancing_and_facilities; power_grid_and_project_finance; asset_backed_and_securitization; capital_intensity_and_capex,39,39,13,"Management said the company reduced gross debt by over `\$1B` during the quarter, including exiting the asset-backed lending facility and refinancing about `\$802M` of `2028` senior notes.",extracted/energy/oil-gas-refining-marketing/pbf-energy/company-packet.md,,"Debt table, credit facility size, maturity ladder, lender/admin agent, pricing, use of proceeds, refinancing or repayment language.","Where are debt facilities changing the capital stack, maturity wall, or bank/private-credit role?","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.",queued-primary-source-pass
debt_refinancing_and_facilities,2,16,106,Devon Energy Corporation,Energy,Independent Oil Gas,DVN,debt_refinancing_and_facilities; acquisition_finance; capital_intensity_and_capex; government_and_public_funding,43,35,16,- The annual-close evidence chain is unusually useful because it captures the last full standalone Devon state before the Coterra merger changed the scale of the company.,extracted/energy/independent-oil-gas/devon-energy-corporation/company-packet.md,,"Debt table, credit facility size, maturity ladder, lender/admin agent, pricing, use of proceeds, refinancing or repayment language.","Where are debt facilities changing the capital stack, maturity wall, or bank/private-credit role?","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.",queued-primary-source-pass
debt_refinancing_and_facilities,3,21,102,Matador Resources Co.,Energy,Independent Oil Gas,MTDR,debt_refinancing_and_facilities; acquisition_finance; capital_intensity_and_capex; government_and_public_funding,33,29,18,Matador is one of the stronger missing upstream packets because it adds a more infrastructure-shaped version of independent oil and gas exposure.,extracted/energy/independent-oil-gas/matador-resources-co/company-packet.md,,"Debt table, credit facility size, maturity ladder, lender/admin agent, pricing, use of proceeds, refinancing or repayment language.","Where are debt facilities changing the capital stack, maturity wall, or bank/private-credit role?","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.",queued-primary-source-pass
debt_refinancing_and_facilities,4,31,101,Liberty Broadband Corporation,Technology,Diversified Communication Services,,debt_refinancing_and_facilities; asset_backed_and_securitization; acquisition_finance; capital_intensity_and_capex,27,24,3,"On May 12, 2026, Charter advanced a term loan of approximately `$359M` to Liberty Broadband to repay part of the margin-loan borrowings",extracted/technology/diversified-communication-services/liberty-broadband-corporation/company-packet.md,,"Debt table, credit facility size, maturity ladder, lender/admin agent, pricing, use of proceeds, refinancing or repayment language.","Where are debt facilities changing the capital stack, maturity wall, or bank/private-credit role?","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.",queued-primary-source-pass
debt_refinancing_and_facilities,5,40,99,Wheaton Precious Metals Corp.,Basic Materials,Gold,WPM,debt_refinancing_and_facilities; acquisition_finance; capital_intensity_and_capex,37,32,16,"Wheaton added the `Jervois` stream in Australia, the `Spanish Mountain` royalty, and the `Cipango` royalty in Japan, showing how the model keeps growing through deal origination rather than direct mine construction ownership.",extracted/basic-materials/gold/wheaton-precious-metals-corp/company-packet.md,,"Debt table, credit facility size, maturity ladder, lender/admin agent, pricing, use of proceeds, refinancing or repayment language.","Where are debt facilities changing the capital stack, maturity wall, or bank/private-credit role?","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.",queued-primary-source-pass
debt_refinancing_and_facilities,6,48,98,Enhabit Inc.,Healthcare,Specialized Health Services,EHAB,debt_refinancing_and_facilities; acquisition_finance; capital_intensity_and_capex,41,19,10,Coverage note: the standalone quarter chain ends at `Q1 2026` because the Kinderhook merger closed on `2026-05-15`.,extracted/healthcare/specialized-health-services/enhabit-inc/company-packet.md,analysis/company-first-principles/healthcare/specialized-health-services/enhabit-inc/company-analysis.md,"Debt table, credit facility size, maturity ladder, lender/admin agent, pricing, use of proceeds, refinancing or repayment language.","Where are debt facilities changing the capital stack, maturity wall, or bank/private-credit role?","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.",queued-primary-source-pass
debt_refinancing_and_facilities,7,51,97,Coterra Energy Inc.,Energy,Independent Oil Gas,CTRA,debt_refinancing_and_facilities; acquisition_finance; capital_intensity_and_capex,40,37,13,- The `2025` filings make clear that this was still a real scale independent before the merger endpoint.,extracted/energy/independent-oil-gas/coterra-energy-inc/company-packet.md,,"Debt table, credit facility size, maturity ladder, lender/admin agent, pricing, use of proceeds, refinancing or repayment language.","Where are debt facilities changing the capital stack, maturity wall, or bank/private-credit role?","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.",queued-primary-source-pass
debt_refinancing_and_facilities,8,72,94,Cnx Resources,Energy,Independent Oil Gas,CNX,debt_refinancing_and_facilities; capital_intensity_and_capex; government_and_public_funding,38,31,26,"The annual filing emphasizes held-by-production acreage, midstream infrastructure ownership, large data advantages, and low-cost operations as structural advantages.",extracted/energy/independent-oil-gas/cnx-resources/company-packet.md,,"Debt table, credit facility size, maturity ladder, lender/admin agent, pricing, use of proceeds, refinancing or repayment language.","Where are debt facilities changing the capital stack, maturity wall, or bank/private-credit role?","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.",queued-primary-source-pass
debt_refinancing_and_facilities,9,79,93,Ovintiv Inc.,Energy,Independent Oil Gas,OVV,debt_refinancing_and_facilities; acquisition_finance; capital_intensity_and_capex,34,27,19,"Purchases of `311.8 MMBOE` were primarily from the Montney acquisition and Permian properties with oil and liquids-rich potential, while sales of `156.6 MMBOE` were primarily tied to the Uinta divestiture.",extracted/energy/independent-oil-gas/ovintiv-inc/company-packet.md,,"Debt table, credit facility size, maturity ladder, lender/admin agent, pricing, use of proceeds, refinancing or repayment language.","Where are debt facilities changing the capital stack, maturity wall, or bank/private-credit role?","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.",queued-primary-source-pass
debt_refinancing_and_facilities,10,80,93,Cenovus Energy Inc.,Energy,Oil Gas Refining Marketing,CVE,debt_refinancing_and_facilities; acquisition_finance; capital_intensity_and_capex,49,37,15,Cenovus is one of the clearest missing packets for the acquisition-scaled Canadian integrated heavy-oil system.,extracted/energy/oil-gas-refining-marketing/cenovus-energy-inc/company-packet.md,,"Debt table, credit facility size, maturity ladder, lender/admin agent, pricing, use of proceeds, refinancing or repayment language.","Where are debt facilities changing the capital stack, maturity wall, or bank/private-credit role?","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.",queued-primary-source-pass
acquisition_finance,1,74,94,Core Main Inc.,Industrial Goods,Building Materials Wholesale,CNM,acquisition_finance; capital_intensity_and_capex; government_and_public_funding,48,37,11,Assigned CLI 8 sub-lane: wholesale and distribution infrastructure,extracted/industrial-goods/building-materials-wholesale/core-main-inc/company-packet.md,analysis/company-first-principles/industrial-goods/building-materials-wholesale/core-main-inc/company-analysis.md,"Transaction value, sponsor, financing commitments, credit agreement, merger proxy, use of proceeds, lender group, prior debt treatment.",Which M&A deals require financing proof before we claim capital is flowing into consolidation?,"Pull merger proxy, closing 8-K, credit agreement exhibits, and rating-agency deal reports.",queued-primary-source-pass
acquisition_finance,2,100,90,Verizon Communications Inc.,Technology,Long Distance Carriers,VZ,acquisition_finance; capital_intensity_and_capex; government_and_public_funding,31,26,20,"Verizon is a core communications-and-access packet because it shows the mobile-first side of household and enterprise connectivity more directly than Charter or Comcast while still carrying the scale, regulation, and capital intensity of national telecom in...",extracted/technology/long-distance-carriers/verizon-communications-inc/company-packet.md,,"Transaction value, sponsor, financing commitments, credit agreement, merger proxy, use of proceeds, lender group, prior debt treatment.",Which M&A deals require financing proof before we claim capital is flowing into consolidation?,"Pull merger proxy, closing 8-K, credit agreement exhibits, and rating-agency deal reports.",queued-primary-source-pass
acquisition_finance,3,119,86,The Sherwin Williams Company,Basic Materials,Specialty Chemicals,SHW,acquisition_finance; capital_intensity_and_capex,43,24,15,"Management highlighted double-digit Protective & Marine growth, mid-single-digit commercial growth, a return to mid-single-digit residential repaint growth, and continued weakness in new residential, while the Suvinil acquisition remained a visible but mana...",extracted/basic-materials/specialty-chemicals/the-sherwin-williams-company/company-packet.md,analysis/company-first-principles/basic-materials/specialty-chemicals/the-sherwin-williams-company/company-analysis.md,"Transaction value, sponsor, financing commitments, credit agreement, merger proxy, use of proceeds, lender group, prior debt treatment.",Which M&A deals require financing proof before we claim capital is flowing into consolidation?,"Pull merger proxy, closing 8-K, credit agreement exhibits, and rating-agency deal reports.",queued-primary-source-pass
acquisition_finance,4,135,84,Lowes Companies Inc.,Consumer Goods,Home Improvement Stores,LOW,acquisition_finance; capital_intensity_and_capex,27,15,15,"The company still lives inside consumer demand, but the real engine increasingly runs through Pro relationships, larger-project categories, delivery infrastructure, home services, and loyalty-linked workflow.",extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-packet.md,analysis/company-first-principles/consumer-goods/home-improvement-stores/lowes-companies-inc/company-analysis.md,"Transaction value, sponsor, financing commitments, credit agreement, merger proxy, use of proceeds, lender group, prior debt treatment.",Which M&A deals require financing proof before we claim capital is flowing into consolidation?,"Pull merger proxy, closing 8-K, credit agreement exhibits, and rating-agency deal reports.",queued-primary-source-pass
acquisition_finance,5,145,84,Roblox Corp.,Technology,Internet Software Services,`RBLX`,acquisition_finance; capital_intensity_and_capex,63,22,21,"The `2025` annual report does not read like a normal software packet centered on seats, contracts, or pure infrastructure.",extracted/technology/internet-software-services/roblox-corp/company-packet.md,analysis/company-first-principles/technology/internet-software-services/roblox-corp/company-analysis.md,"Transaction value, sponsor, financing commitments, credit agreement, merger proxy, use of proceeds, lender group, prior debt treatment.",Which M&A deals require financing proof before we claim capital is flowing into consolidation?,"Pull merger proxy, closing 8-K, credit agreement exhibits, and rating-agency deal reports.",queued-primary-source-pass
acquisition_finance,6,148,83,Expand Energy Corporation,Energy,Independent Oil Gas,EXE,acquisition_finance; capital_intensity_and_capex,42,37,16,after the Southwestern merger.,extracted/energy/independent-oil-gas/expand-energy-corporation/company-packet.md,,"Transaction value, sponsor, financing commitments, credit agreement, merger proxy, use of proceeds, lender group, prior debt treatment.",Which M&A deals require financing proof before we claim capital is flowing into consolidation?,"Pull merger proxy, closing 8-K, credit agreement exhibits, and rating-agency deal reports.",queued-primary-source-pass
acquisition_finance,7,161,81,Rio Tinto PLC,Basic Materials,Industrial Metals Minerals,RIO,acquisition_finance; capital_intensity_and_capex,37,21,17,"The `2025` release highlights Oyu Tolgoi completion, Simandou first ore shipment, Western Range start-up, and additional lithium construction progress.",extracted/basic-materials/industrial-metals-minerals/rio-tinto-plc/company-packet.md,,"Transaction value, sponsor, financing commitments, credit agreement, merger proxy, use of proceeds, lender group, prior debt treatment.",Which M&A deals require financing proof before we claim capital is flowing into consolidation?,"Pull merger proxy, closing 8-K, credit agreement exhibits, and rating-agency deal reports.",queued-primary-source-pass
