term_summary_id,linked_rows,company,ticker,theme,subtheme,source_file,source_type,period,term_metric,value,unit,calculation_or_source,term_status,what_it_adds,what_it_does_not_add,next_source
CIFCTS-011,"CICAPF-011; CIDSL-009","United Rentals","URI","capital-intensive real-economy buildout","fleet funding stack maturity ladder","raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html","SEC 10-Q debt table","Q2 2026","Total debt","14.230B","USD","AR securitization 1.414B; ABL 1.666B; term loan 971M; senior secured notes 2.241B; senior notes 7.582B; finance leases 356M","filed-term-summary","Turns URI's funding model into an explicit stack instead of a generic debt number.","Does not split growth fleet versus replacement fleet funding or identify collateral advance rates.","URI ABL agreement, AR securitization agreement, borrowing-base certificates, and fleet class data"
CIFCTS-012,"CICAPF-011; CIDSL-009","United Rentals","URI","capital-intensive real-economy buildout","receivables collateral cushion","raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html","SEC 10-Q debt note","Q2 2026","AR collateral pool to AR facility borrowings","125.8%","ratio","1.779B receivables collateral pool net of reserves and deductions divided by 1.414B AR securitization borrowings; excess equals 365M","filed-term-summary","Adds a first collateral-cushion ratio for the receivables facility, which is stronger than just knowing the facility balance.","Does not reveal advance rates, eligibility rules, obligor concentrations, losses, dilution, or purchaser limits.","URI receivables purchase agreement and securitization collateral reports"
CIFCTS-013,"CICAPF-012; CIDSL-009","United Rentals","URI","capital-intensive real-economy buildout","secured facility draw intensity","raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-10q.html","SEC 10-Q debt table","Q2 2026","ABL drawn against stated facility size","37.0%","ratio","1.666B ABL balance divided by 4.5B stated ABL facility size; gross headroom before other availability constraints equals 2.834B","filed-term-summary","Adds a rough draw-intensity check for the secured fleet-credit platform.","Gross headroom is not legal availability; borrowing-base, L/Cs, covenants, reserves, and collateral eligibility still matter.","URI ABL borrowing base and availability schedule"
CIFCTS-014,"CICAPF-011; CIDSL-009","United Rentals","URI","capital-intensive real-economy buildout","collateral and covenant boundary","raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-10k.html","SEC 10-K debt-risk disclosure","FY 2025","Secured asset and payment-capacity constraint","qualitative","text","10-K states URNA payment capacity is restricted under ABL, term loan, and note indentures and substantially all assets are subject to security interests related to existing indebtedness","filed-term-summary","Adds the governance warning that URI's fleet funding stack is highly structured and covenant/collateral bound.","Does not quantify collateral coverage, restricted-payment capacity, or covenant headroom.","URI secured-credit agreements and indenture covenant summaries"
CIFCTS-015,"CICAPF-016; CIDSL-013","Sterling Infrastructure","STRL","capital-intensive real-economy buildout","pre-reset debt architecture","raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-10k.html","SEC 10-K debt note","FY 2025","Pre-reset credit agreement size","450M","USD","300M senior secured first lien term loan plus 150M senior secured first lien revolver; revolver includes 75M letter-of-credit limit and 15M swing-line sublimit","filed-term-summary","Defines the old credit platform before the July 2026 reset.","Does not show full pricing grid, covenant levels, or acquisition-funding mechanics.","FY2025 credit agreement and 2025 amendment exhibits"
CIFCTS-016,"CICAPF-016; CIDSL-013","Sterling Infrastructure","STRL","capital-intensive real-economy buildout","quarter-end debt position","raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm","SEC 10-Q debt note","Q2 2026","Term loan and total debt at quarter end","285.305M","USD","Term Loan Facility 285.000M; Revolving Credit Facility 0; other debt 305K; current maturities 15.141M; total long-term debt 268.734M","filed-term-summary","Shows the company entered the July reset with low revolver use and a term-loan-led debt base.","Does not identify customer project funding, contract assets, or backlog financing by project.","Sterling Q2 cash-flow schedules and contract asset/liability roll-forward"
CIFCTS-017,"CICAPF-018; CIDSL-014","Sterling Infrastructure","STRL","capital-intensive real-economy buildout","platform credit reset","raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm","SEC 10-Q subsequent event","July 2026","Second amended revolving credit facility","1.5B","USD","Second Amended and Restated Credit Agreement extends maturity to July 2031, replaces prior agreement, initially provides revolving borrowings up to 1.5B, and permits repayment and reborrowing","filed-term-summary","Confirms the July 2026 reset is not just more debt capacity; it is a different revolving platform with longer maturity and reborrowable capacity.","Does not provide the final legal text, all covenants, pricing grid, collateral definitions, or mandatory prepayment rules.","Sterling Exhibit 10.1 Second Amended and Restated Credit Agreement"
CIFCTS-018,"CICAPF-018; CIDSL-014","Sterling Infrastructure","STRL","capital-intensive real-economy buildout","incremental acquisition and capex capacity","raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm","SEC 10-Q subsequent event","July 2026","Incremental facility base amount increase","500M","USD","Incremental Facility base amount increased from 400M to 500M; use language includes refinancing/prepaying existing debt, capital expenditures, permitted acquisitions, and other general corporate purposes","filed-term-summary","Links the credit reset to the concrete uses that matter for capital-flow analysis: refinancing, capex, acquisitions, and general corporate scale-up.","Does not tell which future acquisition, backlog project, or capex item will draw the facility.","Sterling agreement use-of-proceeds section, acquisition records, and backlog/customer schedules"
CIFCTS-019,"CICAPF-018; CIDSL-014","Sterling Infrastructure","STRL","capital-intensive real-economy buildout","pricing and covenant relaxation clue","raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm","SEC 10-Q subsequent event","July 2026","SOFR adjustment eliminated","10 bp","basis points","Second amended agreement eliminated the 10 bp SOFR adjustment, further reduced overall pricing margins based on Total Net Leverage Ratio, and generally provides less restrictive covenants","filed-term-summary","Adds a cost-of-capital and flexibility clue: Sterling did not only increase size, it appears to have improved price and covenant flexibility.","Does not quantify all-in rate, spread grid, covenant cushion, or leverage-ratio thresholds.","Sterling Exhibit 10.1 pricing grid and covenant package"
CIFCTS-020,"CICAPF-020; CIDSL-016","Cross-company","MULTI","capital-intensive real-economy buildout","theme governance","analysis-derived from filed-term rows","research synthesis","Current pass","Evidence grade after filed-term summary","filed-term-summary","status","This pass moves from document locator to filed-term summary for ET, Cheniere, URI, and Sterling","filed-term-summary","Adds concrete coupons, maturities, covenant clues, collateral cushions, draw-intensity checks, debt-service denominators, and use-of-proceeds language.","Does not equal full agreement-term-grade or project-finance-waterfall-grade because agreement exhibits, covenant schedules, borrowing bases, collateral reports, and project-level sources-and-uses remain unextracted.","Compliant retrieval and extraction of agreement exhibits, indentures, borrowing-base certificates, collateral reports, rating reports, and project finance schedules"
