row_id,company,ticker,period,source_file,source_section,evidence_type,metric_or_term,value,unit,calculation_or_source,what_it_says,what_it_does_not_say,next_required_source,safe_claim
CFDVNDPS-022,Devon Energy Corporation,DVN,H1 2026,derived from local Devon 10-Q,Reconciliation,Derived allocation metric,FCF proxy after shareholder returns,2385.000,USD millions,3172.000 - 787.000,"OCF less capex and shareholder returns left a 2.385B USD simple residual before acquisitions, debt repayment, and other uses.","This is not actual cash balance movement or management FCF.","Full treasury funds-flow and working-capital bridge.","Post-capex cash comfortably covered distributions in the period."
CFDVNDPS-023,Devon Energy Corporation,DVN,H1 2026,derived from local Devon 10-Q,Reconciliation,Derived allocation metric,FCF proxy after shareholder returns and debt repayment,1885.000,USD millions,3172.000 - 787.000 - 500.000,"OCF less capex, shareholder returns, and debt repayment left a 1.885B USD simple residual before acquisitions and other uses.","This excludes the 2.919B USD property/equipment acquisition use and does not prove source priority.","Full source/use waterfall and acquisition closing statement.","Debt repayment plus distributions were covered by simple post-capex cash proxy."
CFDVNDPS-024,Devon Energy Corporation,DVN,H1 2026,derived from local Devon 10-Q,Reconciliation,Derived allocation metric,OCF coverage of capex acquisitions debt repayment dividends and buybacks,83.716,percent,5329.000 / (2157.000 + 2919.000 + 500.000 + 266.000 + 521.000),"OCF covered about 83.7% of the main capex, acquisition, debt-repayment, dividend, and buyback uses.","The remaining source need requires cash balances, merger cash, divestitures, or other sources and does not identify priority.","Daily cash ledger and acquisition funds-flow.","OCF was dominant but not sufficient for all main uses."
CFDVNDPS-025,Devon Energy Corporation,DVN,Q2 2026,derived from local Devon 10-Q,Reconciliation,Derived payout metric,Q2 dividends plus buybacks,563.000,USD millions,366.000 + 197.000,"Q2 shareholder returns totaled 563M USD using cash-flow statement repurchases and executive-overview dividends.","This is not a recurring quarterly run-rate claim.","Quarterly payout policy and post-merger execution detail.","Q2 shareholder-return burden is visible."
CFDVNDPS-026,Devon Energy Corporation,DVN,Q2 2026,derived from local Devon 10-Q,Reconciliation,Derived payout metric,Q2 shareholder-return payout ratio to OCF,15.324,percent,563.000 / 3674.000,"Q2 dividends plus buybacks were about 15.3% of Q2 OCF.","This does not prove recurring sustainability in weaker commodity quarters.","Quarterly commodity sensitivity and FCF bridge.","Q2 payout was covered by reported OCF."
CFDVNDPS-027,Devon Energy Corporation,DVN,Q2 2026,derived from local Devon 10-Q,Reconciliation,Derived cash-flow proxy,Q2 OCF less capex,2356.000,USD millions,3674.000 - 1318.000,"Q2 OCF exceeded Q2 capex by 2.356B USD before acquisitions, debt repayment, and distributions.","This is not management free cash flow or source-specific allocation.","Quarterly FCF bridge and working-capital detail.","Q2 post-capex cash proxy was positive."
CFDVNDPS-028,Devon Energy Corporation,DVN,Q2 2026,derived from local Devon 10-Q,Reconciliation,Derived payout metric,Q2 FCF proxy coverage of shareholder returns,418.472,percent,2356.000 / 563.000,"Q2 OCF less capex was about 4.18x Q2 dividends plus buybacks.","This ignores acquisitions and debt repayment in the same quarter.","Quarterly treasury waterfall.","Q2 shareholder return was covered by a simple post-capex cash proxy."
CFDVNDPS-029,Devon Energy Corporation,DVN,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Debt footnote,Debt economics,Total debt,11388.000,USD millions,SEC 10-Q debt footnote,"Devon had 11.388B USD of total debt at June 30 2026.","Debt balance alone does not show maturity quality, refinancing economics, or asset return.","Debt maturity ladder, ratings, and pro forma interest schedule.","Post-merger debt stack is measurable."
CFDVNDPS-030,Devon Energy Corporation,DVN,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Debt footnote,Debt economics,Fixed-rate debentures and notes,10700.000,USD millions,SEC 10-Q market-risk disclosure,"Devon had 10.7B USD of debentures and notes with fixed interest rates.","Fixed-rate debt lowers rate reset risk but does not prove debt-service value creation.","Debt maturity ladder and coupon schedule.","Most debt was fixed-rate."
CFDVNDPS-031,Devon Energy Corporation,DVN,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Market risk,Debt economics,Average fixed interest rate,5.490,percent,SEC 10-Q market-risk disclosure,"The fixed-rate debt averaged 5.49%.","Average coupon does not identify individual maturity economics or make-whole cost.","Detailed debt maturity and coupon schedule.","Fixed-rate debt cost proxy is visible."
CFDVNDPS-032,Devon Energy Corporation,DVN,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Debt footnote,Debt economics,Term Loan outstanding at quarter-end,750.000,USD millions,SEC 10-Q debt footnote,"The Term Loan had 750M USD outstanding at June 30 2026 after a 250M USD June repayment.","The remaining balance was retired after quarter-end, so Q2 ending debt is not the post-July debt stack.","Post-quarter debt rollforward.","Variable-rate debt exposure was visible and temporary."
CFDVNDPS-033,Devon Energy Corporation,DVN,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Debt footnote,Debt economics,Term Loan interest rate,4.960,percent,SEC 10-Q debt footnote,"The Term Loan interest rate was 4.96% at June 30 2026.","The rate floats with term SOFR and credit-rating spread adjustment, so it is not a fixed long-term cost.","Term loan agreement and spread grid.","Variable-rate debt cost is visible."
CFDVNDPS-034,Devon Energy Corporation,DVN,July 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Debt footnote,Debt economics,Term Loan principal repaid after quarter-end,750.000,USD millions,SEC 10-Q subsequent repayment disclosure,"Devon repaid the remaining 750M USD of Term Loan principal in July 2026 and retired the Term Loan in full.","The filing does not provide the exact post-quarter cash source for the repayment.","July repayment notice and cash rollforward.","Near-term variable-rate debt was removed after quarter-end."
CFDVNDPS-035,Devon Energy Corporation,DVN,June 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Debt footnote,Debt economics,3.77% senior notes redeemed,250.000,USD millions,SEC 10-Q debt footnote,"Devon early redeemed 250M USD of 3.77% senior notes due September 2026 under make-whole provisions.","The filing does not quantify make-whole cost or NPV economics.","Redemption notice and make-whole calculation.","Near-term senior-note maturity was removed."
CFDVNDPS-036,Devon Energy Corporation,DVN,H1 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Debt footnote,Debt economics,Interest based on debt outstanding,262.000,USD millions,SEC 10-Q net financing cost table,"Interest based on debt outstanding was 262M USD in the first half of 2026.","This is not the pro forma full-period interest cost after merger debt integration and July repayment.","Pro forma interest schedule and debt maturity ladder.","Reported debt interest burden is visible."
CFDVNDPS-037,Devon Energy Corporation,DVN,H1 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Debt footnote,Debt economics,Total net financing costs,234.000,USD millions,SEC 10-Q net financing cost table,"Total net financing costs were 234M USD in the first half of 2026.","Net financing cost includes interest income and other items; it is not pure cash interest.","Cash interest and pro forma interest schedule.","Net financing cost denominator is visible."
CFDVNDPS-038,Devon Energy Corporation,DVN,H1 2026,derived from local Devon 10-Q,Reconciliation,Derived debt metric,OCF coverage of interest based on debt outstanding,2033.969,percent,5329.000 / 262.000,"OCF was about 20.34x interest based on debt outstanding in H1 2026.","Coverage is not commodity-cycle-tested or pro forma for full post-merger debt timing.","Stress-case OCF and pro forma interest schedule.","Reported-period interest coverage proxy is strong."
CFDVNDPS-039,Devon Energy Corporation,DVN,H1 2026,derived from local Devon 10-Q,Reconciliation,Derived debt metric,FCF proxy coverage of interest based on debt outstanding,1210.687,percent,3172.000 / 262.000,"OCF less capex was about 12.11x interest based on debt outstanding.","This does not include acquisitions, debt maturities, dividends, buybacks, or commodity sensitivity.","Stress-case FCF and debt-service schedule.","Post-capex cash proxy covered reported interest."
CFDVNDPS-040,Devon Energy Corporation,DVN,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Credit facility,Liquidity,Senior Credit Facility capacity,3000.000,USD millions,SEC 10-Q debt footnote,"Devon had a 3.0B USD revolving Senior Credit Facility.","Capacity is not the same as drawn liquidity after conditions and covenants.","Credit agreement and availability certificate.","Backup liquidity is visible."
CFDVNDPS-041,Devon Energy Corporation,DVN,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Credit facility,Liquidity,Senior Credit Facility borrowings,0.000,USD millions,SEC 10-Q debt footnote,"Devon had no outstanding borrowings under the Senior Credit Facility at June 30 2026.","Zero quarter-end borrowings do not prove intraperiod usage or permanent liquidity strength.","Facility activity schedule.","No quarter-end revolver debt is visible."
CFDVNDPS-042,Devon Energy Corporation,DVN,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Commercial paper,Liquidity,Commercial paper borrowings,0.000,USD millions,SEC 10-Q debt footnote,"Devon had no outstanding commercial paper borrowings at June 30 2026.","Zero quarter-end commercial paper does not prove no intraperiod borrowing.","Commercial paper activity schedule.","No quarter-end commercial paper debt is visible."
CFDVNDPS-043,Devon Energy Corporation,DVN,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,MD&A liquidity,Liquidity,Total liquidity at quarter-end,4000.000,USD millions,SEC 10-Q executive overview,"Devon exited Q2 2026 with 4.0B USD of liquidity, including 1.0B USD of cash.","Liquidity is not recurring free cash flow or debt-service proof.","Liquidity calculation and facility availability certificate.","Liquidity support is visible."
CFDVNDPS-044,Devon Energy Corporation,DVN,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Covenant,Liquidity,Debt-to-capitalization covenant limit,65.000,percent,SEC 10-Q debt footnote,"The Senior Credit Facility covenant limit is 65% funded debt to capitalization.","Limit alone does not prove stress-case cushion under asset impairments or price declines.","Covenant certificate and stress model.","Covenant threshold is visible."
CFDVNDPS-045,Devon Energy Corporation,DVN,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Covenant,Liquidity,Reported debt-to-capitalization ratio,18.100,percent,SEC 10-Q debt footnote,"Devon reported an 18.1% debt-to-capitalization ratio and covenant compliance.","Single-ratio compliance is not full leverage resilience proof.","Covenant calculation certificate and rating stress case.","Covenant cushion proxy is visible."
CFDVNDPS-046,Devon Energy Corporation,DVN,Q2 2026,derived from local Devon 10-Q,Reconciliation,Derived liquidity metric,Simple covenant headroom to limit,46.900,percentage points,65.000 - 18.100,"Reported ratio was 46.9 percentage points below the covenant limit.","This is not a formal covenant cushion calculation with all credit-agreement adjustments.","Covenant certificate.","Simple covenant headroom is large."
CFDVNDPS-047,Devon Energy Corporation,DVN,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,MD&A market risk,Commodity sensitivity,OCF dependency on commodity prices,,qualitative,SEC 10-Q MD&A,"Devon states net earnings and OCF are highly dependent on volatile oil, gas, and NGL prices.","This prevents a full-cycle sustainability claim from one strong half-year.","Commodity-price stress test and hedge schedule.","Commodity sensitivity is the main disproof boundary."
CFDVNDPS-048,Devon Energy Corporation,DVN,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,Market risk,Commodity sensitivity,10% forward-curve derivative sensitivity,350.000,USD millions,SEC 10-Q market-risk disclosure,"A 10% change in forward curves would change Devon's derivative net positions by about 350M USD.","Derivative sensitivity is not full OCF sensitivity, reserve sensitivity, or payout stress.","Full commodity-sensitivity model.","Price sensitivity is measurable but incomplete."
CFDVNDPS-049,Devon Energy Corporation,DVN,H2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,MD&A liquidity,Forward capital use,Remainder-of-2026 capex budget low end,2700.000,USD millions,SEC 10-Q MD&A,"Devon expected remainder-of-2026 capex of about 2.7B USD to 2.9B USD.","Forward budget is guidance, not actual cash use or return.","Subsequent cash-flow statement and capex/outcome bridge.","Forward capital burden is visible."
CFDVNDPS-050,Devon Energy Corporation,DVN,H2 2026,raw/primary-sources/capital-flow/debt-refinancing/devon/q2-2026/dvn-20260630-10q.htm,MD&A liquidity,Forward capital use,Remainder-of-2026 capex budget high end,2900.000,USD millions,SEC 10-Q MD&A,"The high end of Devon's remainder-of-2026 capex budget was 2.9B USD.","Guidance can change and does not prove future cash coverage.","Subsequent cash-flow statement and capex/outcome bridge.","Forward capital burden is bounded."
CFDVNDPS-051,Devon Energy Corporation,DVN,H1 2026,analysis/company-first-principles/data/capital-flow-devon-debt-payout-sustainability-pass-1.csv,Derived decision,Decision,debt-payout-sustainability-proxy-visible-full-cycle-not-proven,,classification,Rows CFDVNDPS-001 through CFDVNDPS-050,"Devon passes the queue test for a same-period debt/payout sustainability proxy: OCF, capex, dividends, buybacks, debt repayments, interest, liquidity, covenant headroom, fixed-dividend policy, and commodity-sensitivity boundary are visible.","It does not prove full-cycle shareholder-return sustainability, commodity-stress resilience, asset-level return, exact debt economics, make-whole cost, daily source priority, or realized Coterra synergy.","Pro forma debt-service schedule, commodity stress case, realized synergy schedule, asset contribution, and treasury cash ledger.","Devon has proxy-grade debt/payout sustainability evidence, not full-cycle proof."
