gate_id,stage,question,entity_or_metric,evidence_value,period,source_artifact,current_status,what_is_proven,missing_upgrade
WPM-022,cash_back,Did the counterparty report receiving the upfront proceeds?,BHP Antamina silver-streaming proceeds,Approximately 4300000000 USD proceeds received, FY2026,analysis/company-first-principles/capital-flow-wheaton-antamina-public-primary-source-upgrade-2026-09-15.md,two-sided-cash-confirmed,BHP financing cash-flow reporting corroborates Wheaton's disclosed closing payment,Settlement-account evidence and delivery-level receipts
WPM-023,proof_boundary,What remains unproven after the cash confirmation?,Delivery-to-owner-cash loop,BHP-only ounces; invoices; taxes; interest; debt waterfall; delivery curve,2026,analysis/company-first-principles/capital-flow-wheaton-antamina-public-primary-source-upgrade-2026-09-15.md,source-boundary-confirmed,Public primary sources identify the remaining missing proof gates,Private settlement and allocation records or future disaggregated filings
WPM-024,settlement,How is the BHP stream settled?,Settlement mechanism,Purchase and delivery of metal credits to Wheaton; no physical delivery of silver,2026,analysis/company-first-principles/capital-flow-wheaton-antamina-bhp-fy2026-settlement-boundary-upgrade-2026-09-15.md,primary-source-confirmed,Settlement mechanism is explicitly named,Quantity-level metal-credit transfer and settlement statement
WPM-025,contract_boundary,Is a minimum delivery guaranteed?,Delivery obligation,No minimum or fixed delivery requirements under the agreement,2026,analysis/company-first-principles/capital-flow-wheaton-antamina-bhp-fy2026-settlement-boundary-upgrade-2026-09-15.md,primary-source-confirmed,Volume floor is explicitly absent,Reserve-backed delivery curve and downside volume model
WPM-026,accounting,What liability did BHP record?,Streaming arrangement liability,4273M USD at June 30 2026; upfront payment was 4300M USD,2026,analysis/company-first-principles/capital-flow-wheaton-antamina-bhp-fy2026-settlement-boundary-upgrade-2026-09-15.md,primary-source-confirmed,Counterparty accounting liability is visible,Reconcile liability rollforward to metal-credit settlements and Wheaton receipts
WPM-027,cash_back,What settlement amount appears in BHP cash flow?,Streaming liability settlement,4300M USD proceeds and 41M USD settlements of streaming arrangement liability; no ounce or invoice allocation,2026,analysis/company-first-principles/capital-flow-wheaton-antamina-bhp-fy2026-settlement-boundary-upgrade-2026-09-15.md,settlement-amount-visible,Some settlement cash-flow movement is visible without quantity attribution,Settlement date invoice metal-credit quantity and BHP-only allocation
WPM-028,valuation_boundary,What production basis underlies BHP's liability estimate?,Future production assumptions,Risked reserves and resources used in estimate and do not currently meet proved criteria,2026,analysis/company-first-principles/capital-flow-wheaton-antamina-bhp-fy2026-settlement-boundary-upgrade-2026-09-15.md,primary-source-confirmed,Reserve uncertainty is explicit in counterparty valuation,Independent reserve report and delivery curve
WPM-029,delivery,Did the BHP PMPA produce a post-close delivery signal?,First BHP-PMPA delivery and combined Antamina ounces,Wheaton received first BHP-PMPA deliveries in Q2 2026; combined Antamina silver was 2.319M ounces produced and 2.063M sold,2026 Q2,analysis/company-first-principles/capital-flow-wheaton-antamina-q2-first-delivery-receipt-boundary-2026-09-15.md,first-delivery-confirmed,Post-close delivery is confirmed and the combined stream output is visible,BHP-only ounces invoices metal-credit quantity realized settlement price and cash receipt
WPM-030,contract_denominator,What is the BHP-only contractual delivery denominator?,BHP Antamina PMPA tranche,33.75 percent of payable silver until 100 million ounces delivered then 22.5 percent for life of mine; 90.0 percent payable factor and 20.0 percent spot-price payment,2026,analysis/company-first-principles/capital-flow-wheaton-antamina-bhp-contract-denominator-upgrade-2026-09-15.md,contract-denominator-confirmed,BHP-only tranche terms are separable from the combined Antamina row,Actual BHP-only delivery quantity metal-credit settlement invoice and cash receipt
WPM-031,production_profile,What public production profile can inform the Antamina delivery model?,BHP incremental and combined Antamina production profile,Approximately 6.0M ounces per year BHP incremental first five years and 5.4M first ten years; combined Antamina approximately 12.0M first five years and 10.8M first ten years; declared reserves support mining through approximately 2036,2026,analysis/company-first-principles/capital-flow-wheaton-antamina-production-profile-boundary-upgrade-2026-09-15.md,production-profile-proxy-confirmed,Public transaction materials provide a labeled profile proxy and reserve-life context,Independent reserve-backed delivery curve realized BHP-only credits invoice cash tax interest and debt waterfall
WPM-032,production_profile,What post-close production signal is quantified in the latest filing?,Antamina incremental attributable silver production,837000 silver-ounce-equivalent GEO increase in Q2 and 1341000 in H1 primarily driven by BHP PMPA; Q2 operating table reports 2319000 attributable silver ounces produced and 2063000 sold,2026 Q2 and H1,analysis/company-first-principles/capital-flow-wheaton-antamina-q2-incremental-production-proxy-upgrade-2026-09-15.md,incremental-production-proxy-confirmed,Latest filing provides a period-specific scale signal for post-close production and sales, BHP-only delivered ounces metal-credit quantity invoice realized price and cash receipt remain open
WPM-033,burden_boundary,What corporate burden context must remain outside the Antamina owner-cash proxy?,Wheaton corporate tax finance cash and debt context,Antamina OCF proxy 222.223M USD H1; finance costs 32.502M USD H1; income-tax expense 210.876M USD H1; cash 100.192M USD; gross bank debt 1.972B USD including 1.500B USD term loan and 472M USD revolver,2026 Q2 and H1,analysis/company-first-principles/capital-flow-wheaton-antamina-company-burden-boundary-upgrade-2026-09-15.md,company-burden-context-confirmed,Corporate burden and liquidity rows are visible without falsely allocating them to Antamina,Antamina-specific tax interest debt service and lender allocation
WPM-034,financing_terms,What source-backed financing terms govern the PMPA funding channel?,Wheaton term loan and RCF,"1.500B USD term loan with two-year maturity and no-penalty repayment; RCF 2.500B USD through June 30 2031 plus 500M USD accordion; RCF pricing SOFR plus 1.10% to 2.15%; standby fee 0.1966%; capitalization covenant <= 0.60:1; Bank of Montreal administrative agent; 472M USD reported RCF balance implies 5.192M to 10.148M USD annual spread-only burden before SOFR and fees; credit agreement requires all term-facility proceeds to partially finance the Antamina Mine Silver Stream Acquisition",2026 Q2,analysis/company-first-principles/capital-flow-wheaton-antamina-financing-terms-boundary-upgrade-2026-09-15.md,financing-terms-boundary-confirmed,Facility size maturity pricing range covenant repayment flexibility bounded spread-only sensitivity and contractual facility-to-acquisition use are source-backed,Antamina-specific draw-dollar allocation effective interest tax allocation debt service lender repayment and financed IRR/NPV
WPM-035,delivery_proxy,What counterparty-side quantity is visible for the first post-effective-date quarter?,BHP Antamina BHP-interest payable silver production and sales,"Q4 FY2026 (April-June 2026) BHP-interest payable silver produced 1.056M ounces and sold 0.947M ounces; mechanical 90% contract-factor equivalents 0.9504M and 0.8523M ounces; no additional 33.75% multiplication is applied because the BHP table is already reported at BHP interest; compared with Wheaton's same-period combined 2.319M produced and 2.063M sold, the arithmetic differences are 1.3686M and 1.2107M","Q4 FY2026",analysis/company-first-principles/capital-flow-wheaton-antamina-bhp-q4-production-sales-proxy-upgrade-2026-09-15.md,counterparty-side-production-sales-proxy,"BHP-side production and sales denominator is source-backed and bounded without double-counting the ownership share; the cross-source differences are a perimeter screen, not an allocated Glencore balance or Wheaton settlement ledger","BHP-only metal-credit quantity payability-convention reconciliation invoice realized price tax interest debt service and cash receipt"
WPM-036,reserve_boundary,What BHP-share reserve quantity can bound the 100M-ounce step-down screen?,BHP-interest Antamina silver Proven and Probable Mineral Reserves,"65.7M contained silver ounces attributable to BHP's 33.75% interest; mechanical 90% equivalent 59.13M ounces versus the 100M-ounce initial PMPA threshold",2026 transaction materials,analysis/company-first-principles/capital-flow-wheaton-antamina-bhp-reserve-quantity-boundary-upgrade-2026-09-15.md,reserve-quantity-proxy-confirmed,Reserve quantity and threshold comparison are source-backed without treating contained reserves as delivered metal,Reserve-backed annual delivery curve payable recovery metal-credit settlement and threshold timing
WPM-037,financing_sensitivity,What company-level financing burden can be bounded from disclosed facility margins and current SOFR?,Wheaton term loan and RCF company-level interest sensitivity,"1.500B USD term loan at 1.00%-2.05% equals 15.000M-30.750M USD spread-only; 472M USD RCF at 1.10%-2.15% equals 5.192M-10.148M USD spread-only; combined spread-only screen equals 20.192M-40.898M USD; applying 3.62% September 14 2026 SOFR gives 91.578M-112.284M USD mechanical annual all-in screen before fees timing amortization and tax",Q2 2026 / September 14 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-financing-terms-boundary-upgrade-2026-09-15.md,company-level-SOFR-sensitivity,Disclosed balances facility margins and official current SOFR support a bounded company-level financing screen without assigning debt to Antamina,Antamina-specific interest and tax allocation repayment waterfall lender cash claim and financed IRR/NPV
WPM-038,financing_cash_flow,What actual bank debt was drawn during the Antamina closing period?,Wheaton H1 2026 bank debt draw,2700000 USD thousands,H1 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-financing-cash-flow-upgrade-2026-09-15.md,actual-debt-draw-confirmed,Corporate financing inflow is visible around the transaction period,Draw/use allocation between Antamina and other corporate purposes
WPM-039,financing_cash_flow,What actual bank debt was repaid during the Antamina closing period?,Wheaton H1 2026 bank debt repayment,728000 USD thousands,H1 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-financing-cash-flow-upgrade-2026-09-15.md,actual-debt-repayment-confirmed,Corporate bank-debt repayment is visible,Facility-level source and allocation of repayment
WPM-040,financing_cash_flow,Does debt draw less repayment reconcile to the corporate debt balance?,Wheaton net debt movement,2700000 - 728000 = 1972000 USD thousands,H1 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-financing-cash-flow-upgrade-2026-09-15.md,net-debt-reconciliation-confirmed,Actual net debt movement reconciles to the corporate $1.972B balance used in the burden screen,Corporate net movement is not Antamina-assigned debt
WPM-041,financing_cash_flow,What actual cash interest was paid?,Wheaton H1 cash interest paid,29886 USD thousands,H1 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-financing-cash-flow-upgrade-2026-09-15.md,cash-interest-visible,H1 cash interest paid is source-backed,Partial-period interest cannot be annualized or assigned to Antamina without draw timing and facility allocation
WPM-042,financing_cash_flow,What debt-issue cash costs were paid?,Wheaton H1 debt issue costs,5118 USD thousands,H1 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-financing-cash-flow-upgrade-2026-09-15.md,debt-issue-cost-visible,Debt issue costs are visible in financing cash flow,Facility-level allocation and amortization in PMPA return
WPM-043,financing_cash_flow,What was the total cash generated from financing activities?,Wheaton H1 financing cash flow,1796853 USD thousands,H1 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-financing-cash-flow-upgrade-2026-09-15.md,financing-total-visible,Financing cash-flow total is visible,Total includes debt dividends leases and other financing items and is not Antamina free cash
WPM-044,financing_cash_flow,Can the $4.300B PMPA payment be allocated to lender and cash sources?,Antamina funds-flow allocation,NA,H1 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-financing-cash-flow-upgrade-2026-09-15.md,asset-specific-funding-held,Timing of debt draw and PMPA closing is visible without source allocation,Term-loan revolver cash-on-hand lender waterfall tax and principal allocation
WPM-045,legal_entity,Who is the legal counterparty to the BHP Antamina silver stream and what remains outside it?,BHP subsidiary versus Antamina JV perimeter,"BHP FY2026 annual report says the stream was completed through a wholly owned BHP subsidiary; Antamina is not a party; BHP shareholder rights, JV obligations, existing customer agreements, and copper/zinc/lead exposure are unchanged",FY2026,analysis/company-first-principles/capital-flow-wheaton-antamina-bhp-legal-counterparty-boundary-upgrade-2026-09-15.md,legal-counterparty-and-asset-boundary-confirmed,The stream obligation and upfront cash are separated from the operating Antamina JV perimeter,BHP-only metal-credit quantity invoice settlement date realized price receipt account and financed after-tax return
WPM-046,delivery_curve,What annual and quarterly counterparty series can anchor the BHP delivery curve?,BHP-interest Antamina payable silver production and sales,"Production: 1.313M/1.632M/1.438M/1.462M/1.056M troy oz for Jun-2025/Sep-2025/Dec-2025/Mar-2026/Jun-2026 and 5.588M FY2026; sales: 0.953M/1.705M/1.553M/1.201M/0.947M and 5.406M FY2026; FY sold/produced screen 96.7%",FY2026,analysis/company-first-principles/capital-flow-wheaton-antamina-bhp-annual-delivery-curve-proxy-2026-09-15.md,annual-counterparty-delivery-curve-proxy-confirmed,BHP official operating disclosure provides an annual and quarterly BHP-interest production/sales series and prevents automatic double-counting of the 33.75% share,Reserve-backed life-of-mine delivery curve PMPA 90% payability reconciliation BHP-only metal-credit invoice realized price settlement and cash receipt
WPM-047,threshold_timing,What bounded timing sensitivity follows from the public BHP production/profile inputs?,BHP Antamina 100M-ounce initial-tranche threshold,"Mechanical years: 17.90 from FY2026 production 5.588M oz; 18.50 from FY2026 sales 5.406M oz; 16.67 from 6.0M first-five-year profile; 18.52 from 5.4M first-ten-year profile",FY2026 and transaction profile,analysis/company-first-principles/capital-flow-wheaton-antamina-bhp-threshold-timing-screen-2026-09-15.md,threshold-timing-sensitivity-confirmed,Public operating and transaction-profile inputs bound a 16.67-18.52 year constant-rate sensitivity without asserting a forecast,Reserve-backed annual delivery curve exact metal-credit quantity ramp-up recovery mine sequencing and actual threshold date
WPM-048,source_boundary,Does the local Wheaton/BHP source packet contain BHP-PMPA-only invoice or receipt detail?,Wheaton–Antamina local packet settlement search boundary,"Q2 2026 Wheaton 6-K exhibits and BHP FY2026 Antamina materials searched for invoice settlement metal credit receipt delivered delivery Antamina and PMPA terms; aggregate 41M USD streaming-liability settlements and combined/proxy rows found, but no BHP-only invoice settlement or receipt ledger",2026,analysis/company-first-principles/capital-flow-wheaton-antamina-local-packet-settlement-search-boundary-2026-09-15.md,source-search-boundary-confirmed,The local packet narrows the missing settlement route without treating aggregate or combined rows as BHP-only cash,BHP-PMPA-only metal-credit quantity invoice settlement statement realized price payment date and receipt account
WPM-049,settlement_mechanism,What exact accounting object must be joined to prove a BHP-PMPA settlement?,BHP-PMPA metal-credit transfer and settlement object,"Metal-credit transfer with no physical delivery; final settlement uses actual recovered ounces, confirmed smelter weights, settlement assays, quotation-period pricing, and a 20% spot-price transfer payment",2025-2026,analysis/company-first-principles/capital-flow-wheaton-antamina-metal-credit-accounting-settlement-boundary-2026-09-15.md,settlement-proof-object-confirmed,Public accounting and contract disclosures identify the required BHP-PMPA proof object without claiming that the BHP-only quantity or receipt is available,BHP-PMPA credit quantity payability assay invoice settlement date realized price receivable or cash entry and after-tax financed return
WPM-050,after_tax_financed_frontier,What does the disclosed corporate tax and financing burden imply under explicit PMPA allocation sensitivities?,Wheaton after-tax financed allocation frontier,"Annualized stream OCF proxy $444.446M; annualized finance-cost screen $65.004M; annualized tax-expense screen $421.752M; 0%-100% paired allocation frontier",H1 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-after-tax-financed-allocation-frontier-2026-09-15.md,allocation-frontier-confirmed,Corporate burden inputs and the sensitivity arithmetic are source-backed without presenting an allocation as observed PMPA economics,PMPA-specific tax basis debt source principal waterfall BHP-only settlement cash and asset-level IRR/NPV
WPM-051,reserve_delivery_ceiling,What does the disclosed BHP-interest reserve quantity imply under public production proxies?,BHP-interest reserve-constrained delivery ceiling,"65.7M contained P&P silver ounces; 59.13M mechanical 90% payable ceiling; 10.95–12.17 year constant-rate reserve duration screen; 40.87M ounce gap to the 100M initial threshold",2026,analysis/company-first-principles/capital-flow-wheaton-antamina-reserve-constrained-delivery-ceiling-2026-09-15.md,reserve-ceiling-screen-confirmed,The reserve quantity and payable-factor arithmetic create a bounded duration ceiling without treating contained reserves as a delivery forecast,Reserve-backed mine-plan curve payable recovery settlement quantity BHP-only invoice and cash receipt
WPM-052,annual_report_boundary,What does BHP's FY2026 annual report add to the dated settlement and delivery-curve boundary?,BHP FY2026 Antamina silver-stream annual-report boundary,"BHP received $4.3B on April 2 2026; settlement is by metal credits with no physical delivery; no minimum or fixed delivery requirement; FY2027 Antamina guidance is 120–140 kt copper and 35–55 kt zinc; future stream-volume estimates use risked reserves/resources not yet proved",FY2026/FY2027,analysis/company-first-principles/capital-flow-wheaton-antamina-bhp-fy2026-annual-report-boundary-2026-09-16.md,annual-report-settlement-and-operating-boundary-confirmed,The current BHP annual report supplies a dated upfront receipt and sharper legal/accounting/forward-operating boundary without inferring silver ounces from copper or zinc guidance,Silver guidance BHP-PMPA metal-credit quantity invoice assays quotation-period price settlement receipt and reserve-backed annual delivery curve
WPM-053,forward_profile,What does Wheaton's September 2026 presentation add to the BHP Antamina expectation map?,BHP Antamina forward profile,"33.75% payable silver until 100 Moz delivered then 22.5% life of mine; approximately 6.0 Moz annual silver first five years and 5.4 Moz first ten years; Antamina 18% of 2025 actual and 12% of 2030 expected GEO production mix",2026-2030,analysis/company-first-principles/capital-flow-wheaton-antamina-investor-day-forward-profile-boundary-2026-09-16.md,forward-profile-confirmed,Official presentation provides a labeled BHP-specific production sensitivity and portfolio-concentration expectation without treating either as realized cash or a reserve-backed delivery curve,BHP-only metal-credit quantity invoice assay quotation-period price settlement receipt reserve-backed annual delivery curve and Antamina-specific financed after-tax return
WPM-054,contract_reconciliation,Do the Antamina PMPA thresholds belong to one stream or two?,BHP versus Glencore Antamina silver PMPAs,"BHP PMPA: 33.75% until 100 Moz then 22.5% LOM; legacy Glencore PMPA: 33.75% until 140 Moz then 22.5% LOM; Investor Day pages 37, 41, and 47 separately identify the BHP/Glencore routes and show the combined Antamina reserve denominator",2015-2026,analysis/company-first-principles/capital-flow-wheaton-antamina-dual-pmpa-threshold-reconciliation-2026-09-16.md,dual-threshold-distinction-confirmed,Presentation page references corroborate separate BHP and Glencore threshold denominators and prevent combined Antamina rows from being assigned to BHP alone,BHP-only and Glencore-only delivery quantities payability invoices metal-credit settlements and cash receipts
WPM-055,cumulative_cash_back,What cumulative combined-stream cash-back baseline is reported for Antamina?,Combined Glencore/BHP Antamina cumulative stream baseline,"67.50% attributable interest; $5.200B upfront consideration paid to June 30 2026; 56.718M silver ounces received and sold to date; $1.171862B cash flow generated to date; 1.412M Q2 PBND ounces",Q2 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-cumulative-stream-cash-back-proxy-2026-09-16.md,combined-stream-cumulative-cash-back-proxy-confirmed,Cumulative received-and-sold ounces and stream cash-flow proxy are source-backed in the combined Glencore/BHP perimeter without treating them as BHP-only settlement cash,BHP-only metal-credit quantity invoice quotation-period price settlement date receipt account Antamina-specific tax and interest allocation reserve-backed curve IRR and NPV
WPM-056,output,What full-year BHP-interest silver production denominator is reported?,BHP Antamina payable silver production,"5.588M ounces of payable silver in concentrate for BHP's 33.75% Antamina interest",FY2026,analysis/company-first-principles/capital-flow-wheaton-antamina-bhp-fy2026-annual-report-boundary-2026-09-16.md,counterparty-annual-production-denominator-confirmed,BHP's full-year attributable mine-production denominator is visible for delivery-screen calibration,BHP-PMPA metal-credit quantity invoice quotation-period price settlement date receipt account and Wheaton-specific delivered ounces
WPM-057,settlement_accounting,What accounting event and inputs define a post-close Antamina metal-credit sale before cash receipt is proven?,Wheaton Antamina post-close metal-credit sale and settlement inputs,"Q2 combined Antamina production 2.319M oz and sales 2.063M oz; precious-metal credit revenue is recognized when credits are sold and control transfers; final concentrate settlement uses recovered ounces smelter weights assays and quotation-period pricing",Q2 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-production-receipt-bridge-pass-1.md,post_close_sale_event_and_settlement_inputs_confirmed,The Q2 post-close bridge connects combined production and sales to the disclosed revenue-recognition and final-settlement mechanism without claiming BHP-only delivered ounces invoice settlement or cash collection,BHP-only metal-credit quantity invoice settlement date realized price cash receipt Antamina tax and interest allocation lender waterfall reserve-backed curve IRR and NPV
WPM-058,source_use_funding,What company-level funding envelope does Wheaton disclose around the Antamina closing?,Wheaton Q2 Antamina acquisition funding envelope,"Q2 disclosure reports $4.5B of net upfront mineral-stream payments including $4.3B for BHP Antamina; funding used cash on hand, a $1.5B term loan, and revolver proceeds; June 30 cash was approximately $100M and term loan plus revolver debt was approximately $2.0B",Q2 2026,analysis/company-first-principles/capital-flow-wheaton-antamina-financing-cash-flow-upgrade-2026-09-15.md,company_funding_envelope_confirmed,The filing ties the named PMPA payment to a company-level funding envelope and post-close debt/cash balance without claiming exact dollar-by-dollar seller-account allocation or Antamina repayment,Exact cash-on-hand term-loan and revolver allocation seller-account transfer lender waterfall Antamina tax and interest allocation principal repayment reserve-backed delivery curve IRR and NPV
WPM-059,upfront_settlement,What narrow two-sided source/use observation is supported for the BHP Antamina PMPA?,Wheaton payment and BHP consideration receipt,"Wheaton reports a $4.300B Antamina PMPA payment; BHP FY2026 Note 24.3 reports receipt of $4.3B on April 2 2026",Q2 2026 / 2026-04-02,analysis/company-first-principles/capital-flow-wheaton-antamina-bhp-upfront-settlement-bridge-2026-09-16.md,two_sided_amount_date_observation_confirmed,The named payment and seller-reported receipt are amount-and-date consistent in primary filing materials,"Independent bank-wire match, executed settlement statement, exact lender allocation, BHP-PMPA metal-credit ounces, invoice, operating cash receipt, tax, interest, and return"
