claim_id,company,period,metric,value,unit,comparison_value,comparison_period,source_file,source_location,interpretation,claim_effect,status
CF-005,Ares,Q2 2026,credit Q2 new par and equity commitments,12.887,USD billions,8.922,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 78 Credit Group AUM rollforward,Measures Q2 credit equity-style commitments.,supports credit fundraising share,extracted-from-sec-10q
CF-005,Ares,Q2 2026,credit Q2 new debt commitments,10.799,USD billions,9.161,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 78 Credit Group AUM rollforward,Measures Q2 credit debt commitments.,supports credit fundraising share,extracted-from-sec-10q
CF-005,Ares,Q2 2026,total FPAUM Q2 deployment/increase in leverage,14.336,USD billions,8.685,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 59 FPAUM rollforward,Measures Q2 fee-paying deployment and leverage increase.,supports deployment conversion,extracted-from-sec-10q
CF-005,Ares,Q2 2026,credit FPAUM Q2 deployment/increase in leverage,10.058,USD billions,6.973,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 80 Credit Group FPAUM rollforward,Measures Q2 credit fee-paying deployment and leverage increase.,supports credit deployment conversion,extracted-from-sec-10q
CF-005,Ares,Q2 2026,AUM not yet paying fees available for future deployment,92.6,USD billions,,,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 61 available capital and AUM not yet paying fees,Measures future-deployment AUM that is not yet fee-paying.,supports future deployment runway,extracted-from-sec-10q
CF-005,Ares,Q2 2026,development assets not yet stabilized,4.1,USD billions,,,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 61 available capital and AUM not yet paying fees,Measures development assets that are not yet stabilized.,supports future fee runway,extracted-from-sec-10q
CF-005,Ares,Q2 2026,potential incremental annual management fees,828.2,USD millions,,,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 61 available capital and AUM not yet paying fees,Measures management-fee potential from AUM not yet paying fees and unstabilized development assets.,supports embedded fee growth,extracted-from-sec-10q
CF-005,Ares,Q2 2026,embedded growth rate in base management fees,24,percent,,,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 61 available capital and AUM not yet paying fees,Measures estimated embedded growth relative to last-twelve-month base management fees.,supports future fee runway,extracted-from-sec-10q
CF-005,Ares,Q2 2026,management fees from perpetual capital or long-dated funds,94,percent,91,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 61 management fees by type,Measures management-fee duration quality.,supports fee durability,extracted-from-sec-10q
CF-005,Ares,Q2 2026,credit group fee related earnings,498.453,USD millions,426.310,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 72 FRE and RI by segment,Measures credit segment FRE before operations management group allocation.,supports credit earnings scale,extracted-from-sec-10q
CF-005,Ares,Q2 2026,total fee related earnings,491.055,USD millions,409.111,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 72 FRE and RI by segment,Measures total FRE after operations management group allocation.,supports platform earnings scale,extracted-from-sec-10q
CF-005,Ares,Q2 2026,total realized income,521.501,USD millions,397.814,Q2 2025,raw/primary-sources/capital-flow/ares/q2-2026/ares-2026-q2-10q.pdf,SEC 10-Q page 72 FRE and RI by segment,Measures total realized income.,supports platform earnings scale,extracted-from-sec-10q
CF-005,Ares,Q2 2026,record dry powder,170,USD billions,,,official Ares Q2 2026 results press release,official release dated 2026-07-31 lines 14-16,Measures available capital/dry powder disclosed in results release.,supports forward deployment capacity,official-web-extracted
CF-005,Ares,Q2 2026,U.S. direct lending commitments closed,8.2,USD billions,,,official Ares Q2 2026 direct lending origination release,official release dated 2026-07-31 lines 11-12,Measures Q2 U.S. direct lending commitments closed.,supports borrower-facing origination,official-web-extracted
CF-005,Ares,Q2 2026,U.S. direct lending transaction count,69,transactions,,,official Ares Q2 2026 direct lending origination release,official release dated 2026-07-31 lines 11-12,Measures Q2 U.S. direct lending transaction count.,supports borrower-facing origination breadth,official-web-extracted
CF-005,Ares,LTM ended Q2 2026,U.S. direct lending commitments closed,52.3,USD billions,,,official Ares Q2 2026 direct lending origination release,official release dated 2026-07-31 lines 11-12,Measures last-twelve-month U.S. direct lending commitments closed.,supports recurring origination scale,official-web-extracted
CF-005,Ares,LTM ended Q2 2026,U.S. direct lending transaction count,347,transactions,,,official Ares Q2 2026 direct lending origination release,official release dated 2026-07-31 lines 11-12,Measures last-twelve-month U.S. direct lending transaction count.,supports recurring origination breadth,official-web-extracted
CF-003,Ares,Q2 2026,selected direct lending transaction sectors,9,selected transactions,,,official Ares Q2 2026 direct lending origination release,official release dated 2026-07-31 lines 13-32,Selected transactions span commercial refrigeration equipment engineering and construction management music IP road safety automotive service wealth management precision manufacturing insurance brokerage aerospace MRO and building maintenance.,supports real-economy destination mapping,official-web-extracted
