parser_row_id,schedule,page,source_y,cusip_or_identifier,name_or_description_near_row,actual_cost,fair_value,book_adjusted_carrying_value,unrealized_valuation_change,current_year_depreciation_or_amortization,current_year_other_than_temporary_impairment,capitalized_deferred_interest_and_other,total_foreign_exchange_change,investment_income,commitment_for_additional_investment,percentage_of_ownership,current_status,boundary
CFAASBACP-0058,Schedule BA Part 1,5814,390.8,,"AA RRH, L.P. AA Sequoia Holdings, L.P.",,,"29,474,713","5,346,552",,,,,,"37,406,660",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0059,Schedule BA Part 1,5814,398.8,,"AA Sequoia Holdings, L.P. A-A SPN-1 (MHC-AEL), L.P.",,,"35,418,653","4,383,346",,,,,,"4,765,903",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0060,Schedule BA Part 1,5814,406.8,,"A-A SPN-1 (MHC-AEL), L.P. A-A SPN-11 (HVFII AAA), L.P.",,,"172,728,041","26,012,515",,,,,,"21,876,636",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0061,Schedule BA Part 1,5814,414.9,,"A-A SPN-11 (HVFII AAA), L.P. A-A SPN-18 (AIMF AAA), L.P.",,,"61,802,543","(2,735,232)",,,,,,"25,337,321",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0062,Schedule BA Part 1,5814,422.9,,"A-A SPN-18 (AIMF AAA), L.P. A-A SPN-19 (AIFIX AAA), L.P.",,,"43,969,418","(325,267)",,,,,,"12,238,369",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0063,Schedule BA Part 1,5814,431.0,,"A-A SPN-19 (AIFIX AAA), L.P. A-A SPN-2 (ANRP III AAA), L.P.",,,"24,418,722","8,185,883",,,,,,"1,769,612",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0064,Schedule BA Part 1,5814,439.0,,"A-A SPN-2 (ANRP III AAA), L.P. A-A SPN-20 (AIFX- IAGEMD1PR6), L.P.","15,220,633","19,078,456","19,078,456","3,546,057",,,,,"431,012","24,930,819",0.192,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0065,Schedule BA Part 1,5814,447.0,,"A-A SPN-20 (AIFX- IAGEMD1PR6), L.P. A-A SPN-20 (AIFX) L.P.",,,"150,548,930","37,068,456",,,,,,"471,928,086",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0066,Schedule BA Part 1,5814,455.1,,"A-A SPN-20 (AIFX) L.P. A-A SPN-22 (AIOFIII-AAA), L.P.",,,"70,083,826","5,707,240",,,,,,"124,146,844",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0067,Schedule BA Part 1,5814,463.1,,"A-A SPN-22 (AIOFIII-AAA), L.P. A-A SPN-23 (S3ESH1-AAA), L.P.",,,"146,644,637","21,177,031",,,,,,"245,960,928",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0068,Schedule BA Part 1,5814,471.2,,"A-A SPN-23 (S3ESH1-AAA), L.P. A-A SPN-7 (RRH IAFAMD), L.P.","39,193,857","32,475,460","32,475,460","12,878,532",,,,,,"2,282,787",1.107,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0069,Schedule BA Part 1,5814,479.2,,"A-A SPN-7 (RRH IAFAMD), L.P. A-A SPN-8 (AIOFII AAA), L.P.",,,"122,534,539","4,252,856",,,,,,"52,977,577",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0070,Schedule BA Part 1,5814,487.2,,"A-A SPN-8 (AIOFII AAA), L.P. AA Tundra Investor LP",,,"135,884,000","12,578,434",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0071,Schedule BA Part 1,5814,495.3,,"AA Tundra Investor LP AAA Aviation Holdings, L.P.",,,"351,143,202","32,466,711",,,,,,"62,746,911",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0072,Schedule BA Part 1,5814,503.3,,"AAA Aviation Holdings, L.P. AAA Equipment, L.P.",,,"122,150,671","12,005,552",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0073,Schedule BA Part 1,5814,511.4,,"AAA Equipment, L.P. AAEAGLE SPV",,,"64,008,620","2,038,532",,,,,,"32,140,906",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0074,Schedule BA Part 1,5814,525.0,,AltsCo Core (A-A Offshore AAA),"8,484,936,429","11,328,650,985",,,,,,,"17,685,881",,67.860,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0075,Schedule BA Part 1,5814,538.7,,AltsCo Core (AAA Aggregator),"1,000,000","1,028,691","1,028,691","28,691",,,,,,,67.860,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0076,Schedule BA Part 1,5814,546.8,,"AltsCo Core (AAA Aggregator) AP CADMA HOLDINGS, L.P.",,,"279,916,373","8,939,403",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0077,Schedule BA Part 1,5815,168.6,,"AP Highlands Co-Invest, L.P.","19,233,718","17,081,561","17,081,561","3,238,351",,,,,,"199,478",2.001,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0078,Schedule BA Part 1,5815,176.7,,"AP Highlands Co-Invest, L.P. Apollo GP Solutions, L.P.",,,"36,398,018","670,155",,,,,,"16,612,373",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0079,Schedule BA Part 1,5815,184.7,,"Apollo GP Solutions, L.P. Apollo Hybrid Value Fund, L.P.",,,"50,042,429","6,101,930",,,,,,"31,206,959",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0080,Schedule BA Part 1,5815,192.8,,"Apollo Hybrid Value Fund, L.P. Apollo Infra Equity US Fund, L.P.",,,"1,752,403","(531,805)",,,,,,"2,686,481",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0081,Schedule BA Part 1,5815,200.8,,"Apollo Infra Equity US Fund, L.P. Apollo Infrastructure Company LLC",,,"35,544,150","2,981,245",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0082,Schedule BA Part 1,5815,208.8,,"Apollo Infrastructure Company LLC Apollo Natural Resources Partners II, L.P.",,,"12,949,460","525,184",,,,,,"3,268,039",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0083,Schedule BA Part 1,5815,216.9,,"Apollo Natural Resources Partners II, L.P. Apollo USRE Granite Coinvest L.P.",,,"65,199,973","8,234,854",,,,,,"12,732,555",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0084,Schedule BA Part 1,5815,224.9,,"Apollo USRE Granite Coinvest L.P. Apterra Infrastructure Holdings, LP",,,"545,813,674","95,796,266",,,,,,,0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0085,Schedule BA Part 1,5815,233.0,,"Apterra Infrastructure Holdings, LP Athene HD Investor, L.P.",,,"163,139,303","17,650,041",,,,,,"30,435,134",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0086,Schedule BA Part 1,5815,241.0,,"Athene HD Investor, L.P. Athene Petros Investor, L.P.",,,"44,387,617","(4,786,910)",,,,,,"50,711,863",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0087,Schedule BA Part 1,5815,249.0,,"Athene Petros Investor, L.P. Athene Wessex Investor A, L.P.",,,"131,661,942","15,293,213",,,,,,"13,511,972",0.000,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
CFAASBACP-0088,Schedule BA Part 1,5815,257.1,,"Athene Wessex Investor A, L.P. Cayman Universe Holdings, LLC",,,"16,500,186","3,561,430",,,,,,,9.940,coordinate-column-parser-row-visible,Schedule BA Part 1 coordinate extraction; source blanks preserved; row-level accounting still requires control and population reconciliation
