claim_id,source_id,company,period,metric_name,metric_value,units,local_path,source_location,source_basis,claim_effect,next_needed,status
CF-004,apollo-2026q2-earnings-release,Apollo,Q2 2026,gross capital deployment,111,B USD,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-earnings-release.pdf,page 5 financial highlights,PDF business-driver table shows gross capital deployment in billions as 111 for 2Q26.,Shows capital is moving into assets rather than only being raised.,Map deployment to credit/private assets/retirement services.,metric-found-local-primary-source
CF-004,apollo-2026q2-financial-supplement,Apollo,Q2 2026,retirement services total gross inflows,22.069,B USD,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-financial-supplement.xlsx,RS Flows and IA!K11,Workbook shows total gross inflows of 22069 million in 2Q26.,Directly supports retirement-services capital inflow channel.,"Split retail, flow reinsurance, funding agreements, and Athene attribution.",metric-found-local-primary-source
CF-004,apollo-2026q2-financial-supplement,Apollo,Q2 2026,inflows attributable to Athene,17.095,B USD,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-financial-supplement.xlsx,RS Flows and IA!K16,Workbook shows inflows attributable to Athene of 17095 million in 2Q26.,Strengthens insurance/retirement-liability funding channel claim.,Connect Athene inflows to invested assets and credit-quality metrics.,metric-found-local-primary-source
CF-004,apollo-2026q2-earnings-release,Apollo,Q2 2026,Athene investment-grade fixed income share,98,percent,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-earnings-release.pdf,page 16 retirement services portfolio highlights,PDF says 98 percent of Athene fixed-income portfolio is investment grade.,Adds quality control context to the liability-funded credit claim.,"Track impairments, net spread, and asset allocation trend.",metric-found-local-primary-source
CF-004,apollo-2026q2-earnings-release,Apollo,Q2 2026,Athene available-for-sale securities,230,B USD,raw/primary-sources/capital-flow/apollo/q2-2026/apollo-q2-2026-earnings-release.pdf,page 16 retirement services portfolio footnote,PDF footnote identifies 230 billion of available-for-sale securities for the 98 percent investment-grade statement.,Quantifies the asset base behind the credit-quality claim.,Tie to statutory impairments and NAIC categories.,metric-found-local-primary-source
CF-005,ares-2026q2-earnings-presentation,Ares,Q2 2026,AUM,671.3,B USD,raw/primary-sources/capital-flow/ares/q2-2026/ares-q2-2026-earnings-presentation.pdf,page 5 second quarter highlights,PDF highlights total AUM of 671.3 billion.,Supports Ares platform-scale claim.,"Break AUM into credit, real assets, secondaries, and private equity.",metric-found-local-primary-source
CF-005,ares-2026q2-earnings-presentation,Ares,Q2 2026,FPAUM,409.9,B USD,raw/primary-sources/capital-flow/ares/q2-2026/ares-q2-2026-earnings-presentation.pdf,page 5 second quarter highlights,PDF highlights total fee-paying AUM of 409.9 billion.,Supports recurring-fee capital-routing economics.,Compare FPAUM to management fees and FRE by segment.,metric-found-local-primary-source
CF-005,ares-2026q2-earnings-presentation,Ares,Q2 2026,available capital,170.0,B USD,raw/primary-sources/capital-flow/ares/q2-2026/ares-q2-2026-earnings-presentation.pdf,page 5 second quarter highlights,PDF highlights available capital of 170.0 billion.,Supports future lending and investment capacity.,Allocate available capital by strategy and duration.,metric-found-local-primary-source
CF-005,ares-2026q2-earnings-presentation,Ares,Q2 2026,AUM not yet paying fees available for deployment,92.6,B USD,raw/primary-sources/capital-flow/ares/q2-2026/ares-q2-2026-earnings-presentation.pdf,page 5 second quarter highlights,PDF highlights 92.6 billion of AUM not yet paying fees available for future deployment.,Shows embedded future fee conversion potential.,Track conversion into FPAUM and management fees.,metric-found-local-primary-source
CF-005,ares-2026q2-earnings-presentation,Ares,Q2 2026,gross fundraising,36.4,B USD,raw/primary-sources/capital-flow/ares/q2-2026/ares-q2-2026-earnings-presentation.pdf,page 5 second quarter highlights,PDF highlights 36.4 billion raised.,Supports investor demand for Ares-managed private assets.,Split fundraising by group and investor channel.,metric-found-local-primary-source
CF-005,ares-2026q2-earnings-presentation,Ares,Q2 2026,net inflows,34.4,B USD,raw/primary-sources/capital-flow/ares/q2-2026/ares-q2-2026-earnings-presentation.pdf,page 5 second quarter highlights,PDF highlights net inflows of capital of 34.4 billion.,Shows capital formation net of outflow activity.,Compare against redemptions and realizations.,metric-found-local-primary-source
CF-005,ares-2026q2-earnings-presentation,Ares,Q2 2026,capital deployment,35.9,B USD,raw/primary-sources/capital-flow/ares/q2-2026/ares-q2-2026-earnings-presentation.pdf,page 5 and page 16,PDF highlights and deployment slide show gross capital deployment of 35.9 billion.,Shows Ares converted capital demand into asset deployment.,"Map deployment to direct lending, alternative credit, real assets, and perpetual vehicles.",metric-found-local-primary-source
CF-005,ares-2026q2-earnings-presentation,Ares,Q2 2026,credit group capital deployment,23.7,B USD,raw/primary-sources/capital-flow/ares/q2-2026/ares-q2-2026-earnings-presentation.pdf,page 17 credit group,PDF credit group slide shows gross capital deployment of 23.7 billion.,Directly supports private-credit channel rather than broad alternatives only.,"Split U.S. direct lending, European direct lending, and alternative credit.",metric-found-local-primary-source
CF-005,ares-2026q2-earnings-presentation,Ares,Q2 2026,U.S. direct lending deployment,12.4,B USD,raw/primary-sources/capital-flow/ares/q2-2026/ares-q2-2026-earnings-presentation.pdf,page 17 credit group,PDF credit group slide says deployment primarily included 12.4 billion in U.S. direct lending.,Gives concrete borrower-facing evidence for private-credit deployment.,Compare with bank commercial lending and BDC credit quality.,metric-found-local-primary-source
CF-005,ares-2026q2-earnings-presentation,Ares,Q2 2026,European direct lending deployment,4.2,B USD,raw/primary-sources/capital-flow/ares/q2-2026/ares-q2-2026-earnings-presentation.pdf,page 17 credit group,PDF credit group slide says deployment included 4.2 billion in European direct lending.,Shows direct-lending activity beyond the U.S.,Add regional bank-lending comparison if claim is broadened geographically.,metric-found-local-primary-source
CF-005,ares-2026q2-earnings-presentation,Ares,Q2 2026,alternative credit deployment,4.4,B USD,raw/primary-sources/capital-flow/ares/q2-2026/ares-q2-2026-earnings-presentation.pdf,page 17 credit group,PDF credit group slide says deployment included 4.4 billion in alternative credit.,Supports private-credit and asset-backed/alternative-credit routing.,Identify collateral and asset-class mix.,metric-found-local-primary-source
CF-005,ares-2026q2-earnings-presentation,Ares,Q2 2026,credit group AUM,440.5,B USD,raw/primary-sources/capital-flow/ares/q2-2026/ares-q2-2026-earnings-presentation.pdf,page 17 credit group,PDF credit group table shows AUM of 440.5 billion.,Shows most Ares scale sits in credit.,Compare with total AUM and FPAUM mix.,metric-found-local-primary-source
CF-005,ares-2026q2-earnings-presentation,Ares,Q2 2026,credit group FPAUM,266.1,B USD,raw/primary-sources/capital-flow/ares/q2-2026/ares-q2-2026-earnings-presentation.pdf,page 17 credit group,PDF credit group table shows FPAUM of 266.1 billion.,Supports recurring credit-fee engine claim.,Compare credit FPAUM with credit management fees.,metric-found-local-primary-source
