funding_map_id,linked_rows,company,ticker,theme,subtheme,source_file,source_type,period,funding_metric,value,unit,calculation_or_source,funding_status,what_it_proves,what_it_does_not_prove,next_source
CIPFM-011,"CIICP-001; CIICP-007",United Rentals Inc.,URI,Capital-intensive buildout,Fleet internal funding capacity,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,H1/Q2 2026,Operating cash flow coverage of gross rental capex,112.8,percent,"3.305B USD H1 operating cash flow / 2.931B USD H1 gross rental capex",company-cash-capacity,"URI's fleet investment is supported by operating cash generation in the same period.","This does not identify whether fleet purchases were funded from cash, ABL, AR securitization, or ordinary operating liquidity.","Cash-flow statement, facility draw schedule, ABL borrowing base, AR securitization notes."
CIPFM-012,"CIICP-007; CIPSTE-005; CIPSTE-006",United Rentals Inc.,URI,Capital-intensive buildout,Fleet liquidity,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2026-q2-ex99-earnings-release.html,SEC 8-K earnings-release exhibit,Q2/FY2026,Total liquidity versus 2026 gross rental capex guide midpoint,59.4,percent,"2.999B USD liquidity / 5.05B USD current 2026 gross rental-purchase guide midpoint",facility-capacity,"URI's disclosed liquidity is meaningful against the updated fleet-purchase guide and explicitly includes ABL and accounts receivable securitization availability.","Liquidity is not the same as available free cash after distributions, buybacks, debt maturities, and working-capital needs.","Detailed facility availability, maturity ladder, share repurchases, dividends, and cash-flow bridge."
CIPFM-013,"CIIAB-017; CIICP-007",United Rentals Inc.,URI,Capital-intensive buildout,Fleet debt stack,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-10k.html,SEC 10-K,FY2025,Long-term debt,12.652,B USD,"Company 10-K debt disclosure",balance-sheet-context,"URI's fleet-access model is balance-sheet-intensive and supported by a large debt stack.","Long-term debt does not prove collateral allocation, advance rates, or facility use for specific fleet classes.","Debt maturity table, ABL collateral, AR securitization facility, note covenants."
CIPFM-014,"CIICP-002; CIICP-004",United Rentals Inc.,URI,Capital-intensive buildout,Fleet asset funding gap,URI SEC filings,SEC 10-Q and earnings exhibit,H1/Q2 2026,Fleet purchase-to-OEC mapping status,unmapped,classification,"2.040B USD net cash rental-equipment investment and 1.32B USD OEC growth are visible but not fully reconciled by fleet category.",funding-gap,"URI has strong fleet conversion evidence but not a full source-and-use schedule by asset class.","The evidence cannot yet say which fleet categories were growth, replacement, acquisition, inflation, or mix-driven.","OEC roll-forward by category, depreciation, disposals, acquisition, and gross/net capex bridge."
CIPFM-015,"CIICP-012; CIICP-013",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Execution platform cash funding,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/strl-20260630.htm,SEC 10-Q,H1 2026,Operating cash flow less capex,258.375,M USD,"328.021M USD operating cash flow - 69.646M USD capex",company-cash-capacity,"Sterling generated cash in excess of company capex, consistent with a low-balance-sheet-capex execution model.","Company cash conversion does not prove customers' projects are financed or that backlog is non-cancellable.","Contract assets/liabilities, customer funding source, project owner capex disclosures."
CIPFM-016,"CIICP-013; CIIED-016",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Revolver expansion,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-earnings-presentation.html,SEC 8-K presentation exhibit,July 2026,Expanded revolving credit facility,1.5,B USD,"Company presentation says revolver was upsized to 1.5B USD and extended to July 2031",facility-capacity,"Sterling materially increased company-level liquidity/funding capacity for platform growth.","The revolver was used to pay off the existing term loan and does not prove customer project funding.","Credit agreement exhibit, covenant package, use-of-proceeds, acquisition funding plan."
CIPFM-017,"CIIAB-034; CIIAB-035; CIIAB-036; CIICP-013",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Debt structure transition,"raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-10k.html; raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-earnings-presentation.html",SEC 10-K and presentation exhibit,FY2025 to July 2026,Term loan to expanded revolver transition,bounded,classification,"292.5M USD FY2025 term loan, 150M USD FY2025 revolver capacity with zero borrowings, then 1.5B USD July 2026 expanded revolver used to pay off existing term loan.",funding-structure-change,"Sterling's company funding structure changed materially as it scaled the platform after CEC/Stone Ridge.","This still does not identify project-level lenders, customers, or funding for individual jobs.","Credit agreement, acquisition financing note, covenant table, customer project funding."
CIPFM-018,"CIICP-011; CIICP-014; CIICP-015",Sterling Infrastructure Inc.,STRL,Capital-intensive buildout,Backlog funding gap,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2026-q2-earnings-presentation.html,SEC 8-K presentation exhibit,Q2 2026,Backlog/customer funding status,unmapped,classification,"2.56B USD acquired signed-backlog plus unsigned-award contribution, 22.8% unsigned-awards share of combined backlog, and about 20% future-phase share of visibility to future work.",funding-gap,"Sterling's backlog funnel is visible but not yet customer-funding-grade.","Backlog visibility does not prove project owner financing, contract funding, margin, or cash collection timing.","Customer/project source links, contract assets/liabilities, backlog conversion, owner financing evidence."
CIPFM-019,"CIESTE-001..CIESTE-024; CIEAB-001..CIEAB-032; CIPSTE-001..CIPSTE-022; CIIAB-001..CIIAB-036; CIICP-001..CIICP-016",Capital-intensive priority set,ET/LNG/URI/STRL,Capital-intensive buildout,Cross-company source-of-funds governance,compiled source-table and conversion rows,SEC filings and derived rows,2025-Q2 2026,Company funding versus project funding status,bounded,classification,"All four companies have company-level cash/facility/debt evidence; none yet has complete project-level source-of-funds proof for every named asset or backlog bucket.",governance-row,"The capital-intensive lane is now strong at company funding capacity and conversion context, but still below project-and-cash-grade.","Company-level liquidity and debt can hide project economics, customer funding, covenants, maturities, and use-of-proceeds.","Dedicated project funding map pass 2 with credit agreements, project finance, maturity tables, customer contracts, and FERC/project records."
CIPFM-020,"CIPFM-001..CIPFM-019",Capital-intensive priority set,ET/LNG/URI/STRL,Capital-intensive buildout,Simple funding thesis,compiled funding map,derived governance row,2025-Q2 2026,Funding thesis status,first-pass,classification,"ET and URI show cash/facility capacity; Cheniere shows explicit equity-funded growth-capex split plus debt; Sterling shows company cash conversion and facility expansion.",first-pass-funding-map,"The funding story is no longer blank: we can describe how capital is likely supported at the company level while preserving project-level uncertainty.","This is not ultimate source-of-funds proof and not project return proof.","Move to credit-agreement/project-finance extraction."
