match_row_id,detail_row_id,coordinate_row_id,rank,cusip,cusip_marker_type,issuer_or_description,owned_page,owned_parser_row_id,book_adjusted_carrying_value,interest_received_during_year,interest_income_due_accrued,payment_due_at_maturity,same_cusip_acquired_rows,same_cusip_disposed_rows,same_cusip_acquired_and_disposed_rows,same_cusip_event_rows,same_cusip_event_pages,same_cusip_event_money_tokens,largest_event_money_token,event_money_token_sum,continuity_status,cash_proof_status,proof_use,boundary,next_action
CFKKRGACOBIPCM-011,CFKKRGACOBIBD-011,CFKKRGACEDCOB-0946,11,91324P-DV-1,standard-cusip-like,UNITEDHEALTH GROUP INC,239,CFKKRGACEDP-0936,32819338,1232250,465517,22222375,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-012,CFKKRGACOBIBD-012,CFKKRGACEDCOB-0243,12,0778FP-AN-9,standard-cusip-like,BELL TELEPHONE COMPANY OF CANADA OR BELL,223,CFKKRGACEDP-1175,18180937,1077810,407173,19958905,1,0,0,1,250,3,19420000,38059559,owned-interest-plus-acquisition-same-cusip-visible,same-year-purchase-context-visible-no-proceeds,ranked same-CUSIP acquisition context for owned interest row,"same CUSIP appears in owned-interest and acquisition sections, but acquisition tokens do not prove use of proceeds, borrower receipt, or later cash return","inspect acquisition page columns and issuer documents to test purchase route, wrapper, and borrower/use context"
CFKKRGACOBIPCM-013,CFKKRGACOBIBD-013,CFKKRGACEDCOB-0357,13,202795-JY-7,standard-cusip-like,COMMONWEALTH EDISON CO,226,CFKKRGACEDP-1664,20041083,1060000,441645,20528974,0,1,0,1,261,1,1000,1000,owned-interest-plus-disposal-same-cusip-visible,proceeds-candidate-raw-token-hold,ranked same-CUSIP disposal/proceeds continuity candidate,"same CUSIP appears in owned-interest and disposal sections, but raw disposal tokens are not reconciled to consideration, book value, gain/loss, proceeds, or cash settlement","run coordinate column extraction on the matching disposal page and reconcile consideration, book value, gain/loss, and interest/dividend fields"
CFKKRGACOBIPCM-014,CFKKRGACOBIBD-014,CFKKRGACEDCOB-0801,14,747525-BT-9,standard-cusip-like,QUALCOMM INC,236,CFKKRGACEDP-1416,17379814,990180,112771,,1,0,0,1,254,3,17390531,34069563,owned-interest-plus-acquisition-same-cusip-visible,same-year-purchase-context-visible-no-proceeds,ranked same-CUSIP acquisition context for owned interest row,"same CUSIP appears in owned-interest and acquisition sections, but acquisition tokens do not prove use of proceeds, borrower receipt, or later cash return","inspect acquisition page columns and issuer documents to test purchase route, wrapper, and borrower/use context"
CFKKRGACOBIPCM-015,CFKKRGACOBIBD-015,CFKKRGACEDCOB-1150,15,26362#-AA-1,statutory-private-marker-cusip,,245,,10271213,988654,29102,10271213,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-016,CFKKRGACOBIBD-016,CFKKRGACEDCOB-0236,16,07274N-BH-5,standard-cusip-like,BAYER US FINANCE II LLC,223,CFKKRGACEDP-0227,23304235,985449,454401,20801387,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-017,CFKKRGACOBIBD-017,CFKKRGACEDCOB-0353,17,20268J-AD-5,standard-cusip-like,COMMONSPIRIT HEALTH,226,CFKKRGACEDP-0344,25635000,978488,244622,26124244,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-018,CFKKRGACOBIBD-018,CFKKRGACEDCOB-0909,18,89153V-AV-1,standard-cusip-like,TOTALENERGIES CAPITAL INTERNATIONAL SA,238,CFKKRGACEDP-1462,28256486,973279,86514,63223279,1,0,0,1,254,3,30005000,57770991,owned-interest-plus-acquisition-same-cusip-visible,same-year-purchase-context-visible-no-proceeds,ranked same-CUSIP acquisition context for owned interest row,"same CUSIP appears in owned-interest and acquisition sections, but acquisition tokens do not prove use of proceeds, borrower receipt, or later cash return","inspect acquisition page columns and issuer documents to test purchase route, wrapper, and borrower/use context"
CFKKRGACOBIPCM-019,CFKKRGACOBIBD-019,CFKKRGACEDCOB-1147,19,047698-AB-1,standard-cusip-like,AAH LLC - Class B - ABS,245,CFKKRGACEDP-1080,15547217,971701,13496,,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-020,CFKKRGACOBIBD-020,CFKKRGACEDCOB-0624,20,546676-AY-3,standard-cusip-like,LOUISVILLE GAS AND ELECTRIC CO,232,CFKKRGACEDP-0615,23364177,942735,235684,15924351,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-021,CFKKRGACOBIBD-021,CFKKRGACEDCOB-0093,21,00206R-KA-9,standard-cusip-like,AT&T INC,220,CFKKRGACEDP-0085,24157343,938050,78171,42155550,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-022,CFKKRGACOBIBD-022,CFKKRGACEDCOB-0493,22,36264F-AN-1,standard-cusip-like,HALEON US CAPITAL LLC,229,CFKKRGACEDP-0484,18841509,934600,251823,23832300,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-023,CFKKRGACOBIBD-023,CFKKRGACEDCOB-0255,23,097023-AX-3,standard-cusip-like,BOEING CO,223,CFKKRGACEDP-0246,16497483,929844,273787,13989922,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-024,CFKKRGACOBIBD-024,CFKKRGACEDCOB-0539,24,437076-BX-9,standard-cusip-like,HOME DEPOT INC,230,CFKKRGACEDP-0530,24004747,928800,64500,,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-025,CFKKRGACOBIBD-025,CFKKRGACEDCOB-0089,25,00206R-DK-5,standard-cusip-like,AT&T INC,220,CFKKRGACEDP-0081,19797005,910000,283111,20455000,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-026,CFKKRGACOBIBD-026,CFKKRGACEDCOB-0751,26,685218-AB-5,standard-cusip-like,ORANGE SA,234,CFKKRGACEDP-1735,19337902,906125,364967,,0,1,0,1,263,8,155737,746164,owned-interest-plus-disposal-same-cusip-visible,proceeds-candidate-raw-token-hold,ranked same-CUSIP disposal/proceeds continuity candidate,"same CUSIP appears in owned-interest and disposal sections, but raw disposal tokens are not reconciled to consideration, book value, gain/loss, proceeds, or cash settlement","run coordinate column extraction on the matching disposal page and reconcile consideration, book value, gain/loss, and interest/dividend fields"
CFKKRGACOBIPCM-027,CFKKRGACOBIBD-027,CFKKRGACEDCOB-0146,27,031162-BZ-2,standard-cusip-like,AMGEN INC,221,CFKKRGACEDP-1127,19983688,906026,159507,22229522,1,0,0,1,249,3,2319000,4226475,owned-interest-plus-acquisition-same-cusip-visible,same-year-purchase-context-visible-no-proceeds,ranked same-CUSIP acquisition context for owned interest row,"same CUSIP appears in owned-interest and acquisition sections, but acquisition tokens do not prove use of proceeds, borrower receipt, or later cash return","inspect acquisition page columns and issuer documents to test purchase route, wrapper, and borrower/use context"
CFKKRGACOBIPCM-028,CFKKRGACOBIBD-028,CFKKRGACEDCOB-0115,28,012725-AD-9,standard-cusip-like,ALBEMARLE CORP,220,CFKKRGACEDP-0107,17795665,895163,74597,16872581,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-029,CFKKRGACOBIBD-029,CFKKRGACEDCOB-0472,29,30303M-8J-4,standard-cusip-like,META PLATFORMS INC,228,CFKKRGACEDP-0463,17531312,890000,336222,20445000,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-030,CFKKRGACOBIBD-030,CFKKRGACEDCOB-1155,30,45033@-AA-2,statutory-private-marker-cusip,,245,,18322566,888997,12342,34834073,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-031,CFKKRGACOBIBD-031,CFKKRGACEDCOB-0224,31,06051G-HS-1,standard-cusip-like,BANK OF AMERICA CORP,223,CFKKRGACEDP-0215,26129738,866000,254989,,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-032,CFKKRGACOBIBD-032,CFKKRGACEDCOB-0132,32,023135-BM-7,standard-cusip-like,AMAZON.COM INC,221,CFKKRGACEDP-0124,19924698,850000,304583,20425000,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-033,CFKKRGACOBIBD-033,CFKKRGACEDCOB-1148,33,047698-AC-9,standard-cusip-like,AAH LLC - Class C - ABS,245,CFKKRGACEDP-1081,12919523,848268,12650,28550316,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-034,CFKKRGACOBIBD-034,CFKKRGACEDCOB-0474,34,30303M-8W-5,standard-cusip-like,META PLATFORMS INC,228,CFKKRGACEDP-0465,14937842,846375,314500,15416250,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-035,CFKKRGACOBIBD-035,CFKKRGACEDCOB-0067,35,00151@-AA-3,statutory-private-marker-cusip,,219,,27000000,839980,261000,,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-036,CFKKRGACOBIBD-036,CFKKRGACEDCOB-0541,36,437076-CD-2,standard-cusip-like,HOME DEPOT INC,230,CFKKRGACEDP-1296,47205182,837534,353625,101679067,1,0,0,1,252,3,50002000,97458833,owned-interest-plus-acquisition-same-cusip-visible,same-year-purchase-context-visible-no-proceeds,ranked same-CUSIP acquisition context for owned interest row,"same CUSIP appears in owned-interest and acquisition sections, but acquisition tokens do not prove use of proceeds, borrower receipt, or later cash return","inspect acquisition page columns and issuer documents to test purchase route, wrapper, and borrower/use context"
CFKKRGACOBIPCM-037,CFKKRGACOBIBD-037,CFKKRGACEDCOB-0862,37,84756N-AE-9,standard-cusip-like,SPECTRA ENERGY PARTNERS LP,237,CFKKRGACEDP-0853,14822873,830858,221562,14379429,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-038,CFKKRGACOBIBD-038,CFKKRGACEDCOB-0352,38,20030N-CZ-2,standard-cusip-like,COMCAST CORP,226,CFKKRGACEDP-0343,23949406,828000,345000,24414000,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-039,CFKKRGACOBIBD-039,CFKKRGACEDCOB-0882,39,87264A-BN-4,standard-cusip-like,T-MOBILE USA INC,237,CFKKRGACEDP-0872,20863073,825000,311667,50825000,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
CFKKRGACOBIPCM-040,CFKKRGACOBIBD-040,CFKKRGACEDCOB-0982,40,95000U-2M-4,standard-cusip-like,WELLS FARGO & CO,240,CFKKRGACEDP-0971,19002512,809399,195605,,0,0,0,0,,0,0,0,owned-interest-only-no-current-proceeds-event,interest-received-only-no-proceeds-match,ranked interest-received row without current-year acquisition/disposal match,"owned row has statutory interest received, but no same-CUSIP current-year acquisition/disposal event in the raw parser",map issuer/wrapper documents and carry row into later-period proceeds or liability-spread matching
