row_id,company,ticker,period,source_file,source_section,evidence_type,metric_or_term,value,unit,calculation,what_it_says,what_it_does_not_say,pass_or_hold,next_required_source,safe_claim
CFPBFNRE-013,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,Old annual coupon dollars,Annual coupon on redeemed 2028 notes,48.096,USD millions,801.600 * 6.00%,"The redeemed 2028 notes implied about 48.096M USD of annual coupon cash interest before redemption.","This excludes amortization, accrued interest timing, taxes, and any other debt-service effects.",calculated-visible,pro forma interest bridge,"The old note's simple annual coupon burden is calculable."
CFPBFNRE-014,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,New annual coupon dollars,Annual coupon on 2034 notes,36.250,USD millions,500.000 * 7.25%,"The new 2034 notes imply about 36.25M USD of annual coupon cash interest.","This excludes original issue discount or issuance cost amortization and any related cash-management effects.",calculated-visible,pro forma interest bridge,"The new note's simple annual coupon burden is calculable."
CFPBFNRE-015,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,Simple annual coupon delta,Old coupon dollars less new coupon dollars,11.846,USD millions,48.096 - 36.250,"Simple annual coupon dollars fall by about 11.846M USD because principal fell more than the coupon rate rose.","This is not a full refinancing NPV or value-creation result.",calculated-visible,full pro forma interest and fee amortization schedule,"PBF has visible first-order annual coupon relief."
CFPBFNRE-016,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,Redemption price,2028 redemption price,100.000,percent of principal,reported,"The 2028 notes were redeemed at 100% of aggregate principal plus accrued and unpaid interest.","The accrued-interest amount is not isolated in this row.",visible,redemption notice and settlement detail,"PBF's redemption was at par before accrued interest."
CFPBFNRE-017,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,Extinguishment loss,Loss on extinguishment of debt,2.200,USD millions,reported,"PBF recorded a 2.2M USD loss on extinguishment of debt from the 2028 note redemption.","The accounting loss is not the total economic cost of the refinancing.",visible,debt extinguishment note and tax detail,"A measured extinguishment cost is visible but incomplete."
CFPBFNRE-018,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Cash flow statement,Financing cash source,Proceeds from 2034 7.25% Senior Notes,500.000,USD millions,reported,"The cash-flow statement shows 500.0M USD of proceeds from the 2034 notes.","Gross proceeds do not equal net proceeds available after issuance costs.",visible,cash-flow statement and offering settlement,"PBF's gross financing inflow is visible."
CFPBFNRE-019,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Cash flow statement,Financing cash use,Redemption of 2028 6.00% Senior Notes,801.600,USD millions,reported,"The cash-flow statement shows an 801.6M USD redemption of the 2028 notes.","This does not isolate accrued interest in the redemption settlement.",visible,redemption notice,"PBF's gross redemption use is visible."
CFPBFNRE-020,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Cash flow statement,Deferred financing cash use,Deferred financing costs and other net,7.900,USD millions,reported,"The cash-flow statement reports 7.9M USD of deferred financing costs and other net.","This line may not equal total all-in refinancing cost without schedule detail.",visible,deferred financing cost rollforward,"PBF's financing-cost cash outflow is visible."
CFPBFNRE-021,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Cash flow statement,Revolver gross borrowings,Proceeds from revolver borrowings,1100.000,USD millions,reported,"The cash-flow statement shows 1.100B USD of revolver borrowings in the first half of 2026.","Gross revolver movement is not the same as ABL availability or collateral proof.",visible,ABL agreement and borrowing-base certificate,"PBF had material same-period revolver activity."
CFPBFNRE-022,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Cash flow statement,Revolver gross repayments,Repayments of revolver borrowings,1200.000,USD millions,reported,"The cash-flow statement shows 1.200B USD of revolver repayments in the first half of 2026.","Gross repayments do not prove facility exit because the facility remained available.",visible,ABL agreement and borrowing-base certificate,"PBF reduced quarter-end revolver debt after large gross movement."
CFPBFNRE-023,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,Quarter-end revolver balance,Revolving Credit Facility outstanding at June 30 2026,0.000,USD millions,reported,"The filing states there were no outstanding revolver borrowings at June 30 2026 compared with 100.0M USD at December 31 2025.","Zero balance does not prove ABL termination or excess availability.",visible,ABL availability table and borrowing-base certificate,"PBF ended Q2 2026 with no revolver borrowings outstanding."
CFPBFNRE-024,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Cash flow statement,First-half cash interest,Cash interest paid net of capitalized interest,90.900,USD millions,reported,"PBF paid 90.9M USD of cash interest in the first half of 2026, net of 31.4M USD capitalized interest.","First-half cash interest is not a clean post-refinancing run-rate.",visible,interest expense rollforward and pro forma schedule,"PBF has a same-period debt-cost denominator."
CFPBFNRE-025,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Cash flow statement,Capitalized interest,Capitalized interest included in cash interest disclosure,31.400,USD millions,reported,"The cash-interest disclosure is net of 31.4M USD of capitalized interest.","Capitalized interest complicates a simple debt-service comparison.",visible,interest capitalization schedule,"Debt-cost analysis needs capitalization treatment."
CFPBFNRE-026,PBF Energy Inc.,PBF,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/pbf/q2-2026/pbf-20260630-10q.htm,Debt footnote,Covenant status,Debt agreement covenant compliance,explicit,text,reported,"PBF stated it was in compliance with all covenants including financial covenants as of June 30 2026.","Compliance does not reveal cushion, pricing, borrowing-base availability, or collateral tests.",visible,covenant calculation and borrowing-base certificate,"PBF has covenant-compliance context but not cushion proof."
CFPBFNRE-027,PBF Energy Inc.,PBF,Q2 2026,derived from CFPBFNRE-001 through CFPBFNRE-026,Research classification,Pass result,Note refinancing mechanics visible but benefit not proven,decision,text,synthesis,"The pass upgrades PBF from named refinancing source/use to measured note-refinancing mechanics with simple annual coupon relief visible.","It does not prove total refinancing value creation, recurring cash return, or refinery-level return.",pass-with-boundary,pro forma interest schedule; redemption settlement; ABL availability; normalized recurring cash flow,"PBF's note refinancing economics are partially measurable."
CFPBFNRE-028,PBF Energy Inc.,PBF,Q2 2026,derived from CFPBFNRE-001 through CFPBFNRE-026,Boundary,Research boundary,Do-not-claim boundary,explicit,text,synthesis,"The evidence supports a bounded claim: smaller longer-dated higher-coupon notes plus available cash redeemed nearer lower-coupon notes, producing simple annual coupon relief before full economics.","Do not claim refinancing value creation, NPV accretion, ABL exit, or refinery-level return from this pass.",hold-boundary,"redemption notice; funds-flow; fee amortization; tax; liquidity opportunity cost; refinery cash contribution","The safe answer is refinancing mechanics visible, economic benefit still open."
