template_id,source_rank,company,ticker,sector,industry,primary_lane,lane_rank,matched_signal_categories,capital_flow_role,likely_funding_wrapper,source_availability,current_proof_level,denominator_need,next_document,safe_claim,do_not_claim,priority_status,packet_path,analysis_path
ACET-001-011,11,Dycom Industries Inc.,DY,Industrial Goods,Heavy Construction,power_grid_and_project_finance,7,power_grid_and_project_finance; capital_intensity_and_capex; acquisition_finance; government_and_public_funding,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,lane-queue-candidate,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Dycom Industries Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Dycom Industries Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/industrial-goods/heavy-construction/dycom-industries-inc/company-packet.md,
ACET-001-012,12,Abm Industries Inc.,ABM,Industrial Goods,Business Services,power_grid_and_project_finance,8,power_grid_and_project_finance; asset_backed_and_securitization; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,lane-queue-candidate,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Abm Industries Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Abm Industries Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/industrial-goods/business-services/abm-industries-inc/company-packet.md,
ACET-001-013,13,Granite Construction Incorporated,`GVA`,Industrial Goods,General Contractors,power_grid_and_project_finance,9,power_grid_and_project_finance; capital_intensity_and_capex; acquisition_finance; government_and_public_funding,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,lane-queue-candidate,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Granite Construction Incorporated is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Granite Construction Incorporated's power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/industrial-goods/general-contractors/granite-construction-incorporated/company-packet.md,
ACET-001-014,14,Caci International Inc.,CACI,Technology,Information Technology Services,power_grid_and_project_finance,10,power_grid_and_project_finance; capital_intensity_and_capex; acquisition_finance; government_and_public_funding,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,lane-queue-candidate,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Caci International Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Caci International Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/technology/information-technology-services/caci-international-inc/company-packet.md,
ACET-001-015,15,Constellation Energy Corporation,CEG,Utilities,Diversified Utilities,power_grid_and_project_finance,11,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-analysis-and-source-pointers,lane-queue-candidate,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Constellation Energy Corporation is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Constellation Energy Corporation's power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/utilities/diversified-utilities/constellation-energy-corporation/company-packet.md,analysis/company-first-principles/utilities/diversified-utilities/constellation-energy-corporation/company-analysis.md
ACET-001-016,16,Devon Energy Corporation,DVN,Energy,Independent Oil Gas,debt_refinancing_and_facilities,2,debt_refinancing_and_facilities; acquisition_finance; capital_intensity_and_capex; government_and_public_funding,"refinancing, maturity, facility, or lender-role candidate","revolvers, term loans, senior notes, ABL, private placements, amendments",packet-and-source-pointers,lane-queue-candidate,"old/new debt, maturity wall, pricing, covenant headroom, lender group, repayment use","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.","Devon Energy Corporation is a refinancing, maturity, facility, or lender-role candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Devon Energy Corporation's debt_refinancing_and_facilities signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/energy/independent-oil-gas/devon-energy-corporation/company-packet.md,
ACET-001-017,17,Jacobs Solutions Inc.,,Industrial Goods,Engineering Construction,capital_intensity_and_capex,1,capital_intensity_and_capex; power_grid_and_project_finance; acquisition_finance; government_and_public_funding,"capital-intensive buildout, capex, backlog, or physical-output candidate","operating cash flow, debt, equity, project finance, customer funding, retained earnings",packet-only,lane-queue-candidate,"capex, backlog, output, utilization, cash conversion, project cost, outside market denominator","Extract capex/backlog numbers and identify whether funding comes from operating cash flow, debt, equity, project finance, or grants.","Jacobs Solutions Inc. is a capital-intensive buildout, capex, backlog, or physical-output candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Jacobs Solutions Inc.'s capital_intensity_and_capex signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/industrial-goods/engineering-construction/jacobs-solutions-inc/company-packet.md,
ACET-001-018,18,Dnow Inc.,`DNOW`,Industrial Goods,Industrial Supply,power_grid_and_project_finance,12,power_grid_and_project_finance; acquisition_finance; asset_backed_and_securitization; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-only,lane-queue-candidate,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Dnow Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Dnow Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/industrial-goods/industrial-supply/dnow-inc/company-packet.md,
ACET-001-019,19,Duke Energy Corporation,DUK,Utilities,Electric Utilities,power_grid_and_project_finance,13,power_grid_and_project_finance; capital_intensity_and_capex; government_and_public_funding,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-analysis-and-source-pointers,lane-queue-candidate,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Duke Energy Corporation is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Duke Energy Corporation's power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/utilities/electric-utilities/duke-energy-corporation/company-packet.md,analysis/company-first-principles/utilities/electric-utilities/duke-energy-corporation/company-analysis.md
ACET-001-020,20,Nrg Energy Inc.,NRG,Utilities,Other Utilities,power_grid_and_project_finance,14,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-analysis-and-source-pointers,lane-queue-candidate,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Nrg Energy Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Nrg Energy Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/utilities/other-utilities/nrg-energy-inc/company-packet.md,analysis/company-first-principles/utilities/other-utilities/nrg-energy-inc/company-analysis.md
ACET-001-021,21,Matador Resources Co.,MTDR,Energy,Independent Oil Gas,debt_refinancing_and_facilities,3,debt_refinancing_and_facilities; acquisition_finance; capital_intensity_and_capex; government_and_public_funding,"refinancing, maturity, facility, or lender-role candidate","revolvers, term loans, senior notes, ABL, private placements, amendments",packet-and-source-pointers,lane-queue-candidate,"old/new debt, maturity wall, pricing, covenant headroom, lender group, repayment use","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.","Matador Resources Co. is a refinancing, maturity, facility, or lender-role candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Matador Resources Co.'s debt_refinancing_and_facilities signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/energy/independent-oil-gas/matador-resources-co/company-packet.md,
ACET-001-022,22,Blackrock Inc.,BLK,Financial,Asset Management,private_credit_direct_lending,4,private_credit_direct_lending; acquisition_finance; capital_intensity_and_capex,private-credit platform or direct-lending source candidate,"manager funds, BDCs, private-credit vehicles, direct-lending programs",packet-analysis-and-source-pointers,lane-queue-candidate,"private-credit AUM/deployment, BDC schedules, borrower facility sizes, bank-credit lane denominators","Search SEC holder schedules, credit agreements, rating reports, and lender announcements for borrower-level facility evidence.","Blackrock Inc. is a private-credit platform or direct-lending source candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Blackrock Inc.'s private_credit_direct_lending signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/financial/asset-management/blackrock-inc/company-packet.md,analysis/company-first-principles/financial/asset-management/blackrock-inc/company-analysis.md
ACET-001-023,23,Blackstone Inc.,BX,Financial,Asset Management,private_credit_direct_lending,5,private_credit_direct_lending; acquisition_finance; capital_intensity_and_capex,private-credit platform or direct-lending source candidate,"manager funds, BDCs, private-credit vehicles, direct-lending programs",packet-analysis-and-source-pointers,lane-queue-candidate,"private-credit AUM/deployment, BDC schedules, borrower facility sizes, bank-credit lane denominators","Search SEC holder schedules, credit agreements, rating reports, and lender announcements for borrower-level facility evidence.","Blackstone Inc. is a private-credit platform or direct-lending source candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Blackstone Inc.'s private_credit_direct_lending signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/financial/asset-management/blackstone-inc/company-packet.md,analysis/company-first-principles/financial/asset-management/blackstone-inc/company-analysis.md
ACET-001-024,24,Primoris Services Corporation,PRIM,Industrial Goods,Heavy Construction,power_grid_and_project_finance,15,power_grid_and_project_finance; capital_intensity_and_capex; acquisition_finance,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,lane-queue-candidate,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Primoris Services Corporation is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Primoris Services Corporation's power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/industrial-goods/heavy-construction/primoris-services-corporation/company-packet.md,
ACET-001-025,25,Alliant Energy Corporation,LNT,Utilities,Electric Utilities,power_grid_and_project_finance,,power_grid_and_project_finance; capital_intensity_and_capex; acquisition_finance,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Alliant Energy Corporation is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Alliant Energy Corporation's power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/utilities/electric-utilities/alliant-energy-corporation/company-packet.md,
ACET-001-026,26,Edison International,EIX,Utilities,Electric Utilities,power_grid_and_project_finance,,power_grid_and_project_finance; capital_intensity_and_capex; asset_backed_and_securitization,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Edison International is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Edison International's power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/utilities/electric-utilities/edison-international/company-packet.md,
ACET-001-027,27,Steel Dynamics Inc.,STLD,Basic Materials,Steel Iron,capital_intensity_and_capex,2,capital_intensity_and_capex; power_grid_and_project_finance; asset_backed_and_securitization,"capital-intensive buildout, capex, backlog, or physical-output candidate","operating cash flow, debt, equity, project finance, customer funding, retained earnings",packet-and-source-pointers,lane-queue-candidate,"capex, backlog, output, utilization, cash conversion, project cost, outside market denominator","Extract capex/backlog numbers and identify whether funding comes from operating cash flow, debt, equity, project finance, or grants.","Steel Dynamics Inc. is a capital-intensive buildout, capex, backlog, or physical-output candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Steel Dynamics Inc.'s capital_intensity_and_capex signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/basic-materials/steel-iron/steel-dynamics-inc/company-packet.md,
ACET-001-028,28,Watsco Inc.,`WSO`,Industrial Goods,Electronics Wholesale,power_grid_and_project_finance,,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-analysis-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Watsco Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Watsco Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/industrial-goods/electronics-wholesale/watsco-inc/company-packet.md,analysis/company-first-principles/industrial-goods/electronics-wholesale/watsco-inc/company-analysis.md
ACET-001-029,29,Eaton Corporation,ETN,Industrial Goods,Industrial Electrical Equipment,capital_intensity_and_capex,3,capital_intensity_and_capex; power_grid_and_project_finance; acquisition_finance,"capital-intensive buildout, capex, backlog, or physical-output candidate","operating cash flow, debt, equity, project finance, customer funding, retained earnings",packet-and-source-pointers,lane-queue-candidate,"capex, backlog, output, utilization, cash conversion, project cost, outside market denominator","Extract capex/backlog numbers and identify whether funding comes from operating cash flow, debt, equity, project finance, or grants.","Eaton Corporation is a capital-intensive buildout, capex, backlog, or physical-output candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Eaton Corporation's capital_intensity_and_capex signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/industrial-goods/industrial-electrical-equipment/eaton-corporation/company-packet.md,
ACET-001-030,30,Ferguson Enterprises Inc.,`FERG`,Industrial Goods,Plumbing Hvac Distribution,power_grid_and_project_finance,,power_grid_and_project_finance; acquisition_finance; capital_intensity_and_capex,"power, grid, infrastructure, or project-finance demand candidate","utility debt/equity, rate-base recovery, project finance, customer contracts, public funding",packet-analysis-and-source-pointers,high-signal-radar,"MW/GW load, rate base, capex plan, approved projects, docket status, recovery mechanism","Extract capex plan, rate base, project backlog, financing plan, customer contracts, and regulatory recovery evidence.","Ferguson Enterprises Inc. is a power, grid, infrastructure, or project-finance demand candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Ferguson Enterprises Inc.'s power_grid_and_project_finance signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",high-signal-backlog,extracted/industrial-goods/plumbing-hvac-distribution/ferguson-enterprises-inc/company-packet.md,analysis/company-first-principles/industrial-goods/plumbing-hvac-distribution/ferguson-enterprises-inc/company-analysis.md
ACET-001-031,31,Liberty Broadband Corporation,,Technology,Diversified Communication Services,debt_refinancing_and_facilities,4,debt_refinancing_and_facilities; asset_backed_and_securitization; acquisition_finance; capital_intensity_and_capex,"refinancing, maturity, facility, or lender-role candidate","revolvers, term loans, senior notes, ABL, private placements, amendments",packet-only,lane-queue-candidate,"old/new debt, maturity wall, pricing, covenant headroom, lender group, repayment use","Extract debt table, maturity schedule, facility size, lender names, pricing, use of proceeds, and repayment/refinancing language.","Liberty Broadband Corporation is a refinancing, maturity, facility, or lender-role candidate based on current packet/radar evidence; promote only after primary-source extraction confirms the lane-specific amounts, actors, periods, and boundaries.","Do not treat Liberty Broadband Corporation's debt_refinancing_and_facilities signal as source-to-use-to-output proof until source documents, denominators, and disproof checks are complete.",selected-lane-queue,extracted/technology/diversified-communication-services/liberty-broadband-corporation/company-packet.md,
