"extraction_id","pilot_id","company","ticker","bridge_model","source_family","source_path_or_url","period","metric","value","unit","evidence_status","claim_use","what_it_says","what_it_does_not_say","next_source"
"CFPGP-011","CF519P2-012","Plains All American Pipeline, L.P.","PAA","source-use-output-return bridge","company-packet / Q2 2026 earnings materials","extracted/energy/oil-gas-pipelines/plains-all-american-pipeline-lp/company-packet.md","Q2 2026","organic growth capital guidance","400 to 450","USD millions","source-table-visible","Use as current capital-use scale for crude midstream expansion.","Plains increased 2026 organic growth capital guidance to USD 400M to USD 450M.","It does not prove project-level returns or lender/funding attribution.","Q2 2026 capex schedule and project list."
"CFPGP-012","CF519P2-012","Plains All American Pipeline, L.P.","PAA","source-use-output-return bridge","company-packet / Q2 2026 earnings materials","extracted/energy/oil-gas-pipelines/plains-all-american-pipeline-lp/company-packet.md","Q2 2026","Cactus III pipeline expansion","75","Mbbl/d","project-output-visible","Use as named physical-output addition tied to growth capital.","The Q2 packet cites a 75 Mbbl/d expansion of the Cactus III pipeline as part of the raised growth-capital plan.","It does not show committed shipper contracts, tariff spread, or incremental cash return.","Project commercial terms, shipper commitments, and FERC/tariff documents."
"CFPGP-013","CF519P2-012","Plains All American Pipeline, L.P.","PAA","source-use-output-return bridge","company-packet / Q2 2026 earnings materials","extracted/energy/oil-gas-pipelines/plains-all-american-pipeline-lp/company-packet.md","Q2 2026","debt reduction from Canadian NGL sale proceeds","2.9","USD billions","capital-stack-visible","Use as before-after capital-stack evidence after portfolio simplification.","Plains said Canadian NGL sale proceeds funded approximately USD 2.9B of debt reduction and moved leverage toward the low end of its target range.","It does not prove operating return on remaining crude assets or project-level economics.","Debt maturity schedule and sale-proceeds allocation detail."
"CFPGP-014","CF519P2-012","Plains All American Pipeline, L.P.","PAA","source-use-output-return bridge","company-packet / Q2 2026 earnings materials","extracted/energy/oil-gas-pipelines/plains-all-american-pipeline-lp/company-packet.md","Q2 2026","adjusted EBITDA attributable to PAA","738","USD millions","cash-proxy-visible","Use as current-period cash-generation proxy for crude midstream platform.","Q2 2026 adjusted EBITDA attributable to PAA was USD 738M.","It does not isolate EBITDA by Cactus III or other growth projects.","Segment EBITDA and project contribution tables."
"CFPGP-015","CF519P2-012","Plains All American Pipeline, L.P.","PAA","source-use-output-return bridge","company-packet / Q2 2026 earnings materials","extracted/energy/oil-gas-pipelines/plains-all-american-pipeline-lp/company-packet.md","Q2 2026","pro forma leverage ratio","3.3","x","durability-proxy-visible","Use as balance-sheet durability evidence after divestiture and debt reduction.","Plains reported pro forma leverage of 3.3x at quarter-end after debt reduction.","It does not prove growth-project returns or eliminate commodity/corridor risk.","Credit agreement, ratings commentary, and leverage covenant details."
"CFPGP-016","CF519P2-013","Targa Resources Corp.","TRGP","source-use-output-return bridge","company-packet / Q2 2026 earnings materials","extracted/energy/oil-gas-pipelines/targa-resources-corp/company-packet.md","Q2 2026","net growth capital guidance","4.5","USD billions","source-table-visible","Use as capital-use scale for NGL/fractionation/export buildout.","Targa kept net growth capital guidance at roughly USD 4.5B while expecting full-year 2026 adjusted EBITDA toward the high end of guidance.","It does not assign funding source or return by project.","Growth capital schedule and project-by-project in-service table."
"CFPGP-017","CF519P2-013","Targa Resources Corp.","TRGP","source-use-output-return bridge","company-packet / Q2 2026 earnings materials","extracted/energy/oil-gas-pipelines/targa-resources-corp/company-packet.md","Q2 2026","project completions","Train 11; Delaware Express expansion; East Driver processing plant","named projects","project-output-visible","Use as named output bridge from capital program to operating system additions.","Q2 2026 included start-up of Train 11, the Delaware Express NGL Pipeline expansion, and the East Driver processing plant.","It does not prove fill rates, contracts, or cash returns for those assets.","Project in-service release, utilization disclosure, and contract/customer support."
"CFPGP-018","CF519P2-013","Targa Resources Corp.","TRGP","source-use-output-return bridge","company-packet / Q2 2026 earnings materials","extracted/energy/oil-gas-pipelines/targa-resources-corp/company-packet.md","Q2 2026","adjusted EBITDA","1.603","USD billions","cash-proxy-visible","Use as current earnings proxy after record volumes and project start-ups.","Q2 2026 adjusted EBITDA was a record USD 1.603B, up from USD 1.163B a year earlier.","It does not isolate EBITDA contribution from specific 2026 projects.","Segment EBITDA bridge and growth-project contribution disclosure."
"CFPGP-019","CF519P2-013","Targa Resources Corp.","TRGP","source-use-output-return bridge","company-packet / Q2 2026 earnings materials","extracted/energy/oil-gas-pipelines/targa-resources-corp/company-packet.md","Q2 2026","consolidated liquidity","3.2","USD billions","funding-capacity-visible","Use as financing-capacity context for a large growth-capital queue.","Targa reported consolidated liquidity of approximately USD 3.2B at Q2 2026.","It does not show which projects are debt-funded or equity-funded.","Credit facility availability and debt issuance detail."
"CFPGP-020","CF519P2-013","Targa Resources Corp.","TRGP","source-use-output-return bridge","company-packet / Q2 2026 earnings materials","extracted/energy/oil-gas-pipelines/targa-resources-corp/company-packet.md","Q2 2026","record operating volumes","Permian inlet; NGL transportation; fractionation; LPG exports","operating categories","output-proxy-visible","Use as physical-output proxy across the linked NGL/export system.","Targa reported record Permian inlet, NGL transportation, fractionation, and LPG export volumes.","It does not quantify each category in this extraction row or prove utilization by named project.","Q2 2026 supplement volume tables."
"CFPGP-021","CF519P2-014","NextEra Energy, Inc.","NEE","approved-recovery bridge","company-packet / Q2 2026 earnings materials","extracted/utilities/electric-utilities/nextera-energy-inc/company-packet.md","Q2 2026","FPL regulatory capital employed","79.7","USD billions","approved-recovery-proxy-visible","Use as regulated capital-base evidence for FPL.","FPL regulatory capital employed grew to USD 79.7B from USD 72.9B a year earlier, about 9.3% growth.","It does not specify recovery mechanism or approved ROE for each project.","FPL rate case filings, riders, and commission orders."
"CFPGP-022","CF519P2-014","NextEra Energy, Inc.","NEE","approved-recovery bridge","company-packet / Q2 2026 earnings materials","extracted/utilities/electric-utilities/nextera-energy-inc/company-packet.md","Q2 2026","Energy Resources renewables/storage origination added to backlog","3.6","GW","contracted-output-proxy-visible","Use as development backlog addition for power-growth demand.","Energy Resources added 3.6 GW of new renewables and storage origination to backlog in Q2 2026.","It does not prove project-level PPAs, interconnection status, financing, or realized returns.","Backlog table with contract type, in-service year, and customer attribution."
"CFPGP-023","CF519P2-014","NextEra Energy, Inc.","NEE","approved-recovery bridge","company-packet / Q4 2025 earnings materials","extracted/utilities/electric-utilities/nextera-energy-inc/company-packet.md","Q4 2025","Energy Resources year-end backlog","29.8","GW","contracted-output-proxy-visible","Use as development-platform scale evidence.","Energy Resources ended 2025 with backlog around 29.8 GW after adding 13.5 GW during 2025.","It does not prove that all backlog is financed, permitted, interconnected, or return-grade.","Project backlog detail by technology, counterparty, and in-service timing."
"CFPGP-024","CF519P2-014","NextEra Energy, Inc.","NEE","approved-recovery bridge","company-packet / Q2 2026 earnings materials","extracted/utilities/electric-utilities/nextera-energy-inc/company-packet.md","Q2 2026","FPL EPS","0.67","USD per share","regulated-earnings-visible","Use as regulated earnings evidence paired with capital-employed growth.","FPL Q2 2026 EPS was USD 0.67 versus USD 0.62 a year earlier.","It does not attribute earnings growth to specific capex projects or rate orders.","FPL segment earnings bridge and rate-base roll-forward."
"CFPGP-025","CF519P2-014","NextEra Energy, Inc.","NEE","approved-recovery bridge","company-analysis / company-packet","analysis/company-first-principles/utilities/electric-utilities/nextera-energy-inc/company-analysis.md","2026 forward / 2032 target","adjusted EPS CAGR target","8%+","compound annual growth rate","strategy-visible","Use as management's long-duration capital-compounding target, not proof of return.","NextEra reiterated an 8%+ adjusted EPS CAGR through 2032, supported by FPL and Energy Resources growth lanes.","It does not guarantee realized returns or prove each project clears cost of capital.","Investor outlook bridge, financing plan, and sensitivity to capital cost/regulatory outcomes."
