locator_id,acquisition_id,legal_entity,period,statement_type,extraction_target,page_start,page_end,pages_found,evidence_found,proof_use,boundary,current_status,next_action,upgrade_test
CFKKRGASL-016,CFKKRGASA-005,Accordia Life and Annuity Company,Q4 2025,U.S. annual statutory statement,Schedule D acquired and disposed,270,270,270,Accordia annual page 270 shows Schedule D Part 5 acquired and fully disposed during current year.,same-year acquisition/disposal cash and gain/loss evidence,needs matching and cash-vs-noncash classification,page-located,extract targeted pages into normalized statutory fields,promote only when Schedule D acquired and disposed is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-017,CFKKRGASA-005,Accordia Life and Annuity Company,Q4 2025,U.S. annual statutory statement,Schedule E cash and deposits,464,464,464,Accordia annual page 464 shows Schedule E Part 3 special deposits.,"cash, cash equivalents, and special-deposit support",liquidity schedule only,page-located,extract targeted pages into normalized statutory fields,promote only when Schedule E cash and deposits is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-018,CFKKRGASA-006,Commonwealth Annuity and Life Insurance Company,Q4 2025,U.S. annual statutory statement,assets/liabilities/operations/cash-flow annual core,2,5,2-5,"Commonwealth annual pages 2-5 show assets, liabilities, summary operations, and cash flow.",legal-entity core financial bridge,compact filing route; deep schedules still need parser confirmation,range-located,extract targeted pages into normalized statutory fields,promote only when assets/liabilities/operations/cash-flow annual core is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-019,CFKKRGASA-006,Commonwealth Annuity and Life Insurance Company,Q4 2025,U.S. annual statutory statement,Schedule S funds withheld and reinsurance,120,120,120,Commonwealth annual page 120 shows Schedule S Part 8 reinsurance agreements with funds withheld and modified coinsurance.,"reinsurance, funds-withheld, and liability/collateral routing context",not legal cash availability without treaty/account detail,page-located,extract targeted pages into normalized statutory fields,promote only when Schedule S funds withheld and reinsurance is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-020,CFKKRGASA-006,Commonwealth Annuity and Life Insurance Company,Q4 2025,U.S. annual statutory statement,Schedule D Part 1A quality and maturity,160,160,160,Commonwealth annual page 160 shows Schedule D Part 1A quality and maturity distribution.,"bond portfolio quality, maturity, and NAIC distribution control",distribution only; not named issuer allocation,page-located,extract targeted pages into normalized statutory fields,promote only when Schedule D Part 1A quality and maturity is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-021,CFKKRGASA-006,Commonwealth Annuity and Life Insurance Company,Q4 2025,U.S. annual statutory statement,Schedule E cash and deposits,170,170,170,Commonwealth annual page 170 shows Schedule E special deposits.,cash and special-deposit support,liquidity schedule only,page-located,extract targeted pages into normalized statutory fields,promote only when Schedule E cash and deposits is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-022,CFKKRGASA-007,First Allmerica Financial Life Insurance Company,Q4 2025,U.S. annual statutory statement,assets/liabilities/operations/cash-flow annual core,3,6,3-6,"First Allmerica annual pages 3-6 show assets, liabilities, summary operations, and cash flow.",legal-entity core financial bridge,summary pages only,range-located,extract targeted pages into normalized statutory fields,promote only when assets/liabilities/operations/cash-flow annual core is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-023,CFKKRGASA-007,First Allmerica Financial Life Insurance Company,Q4 2025,U.S. annual statutory statement,exhibit of net investment income,18,18,18,First Allmerica annual page 18 shows EXHIBIT OF NET INVESTMENT INCOME.,asset-class investment-income extraction target,not issuer-level income without detail,page-located,extract targeted pages into normalized statutory fields,promote only when exhibit of net investment income is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-024,CFKKRGASA-007,First Allmerica Financial Life Insurance Company,Q4 2025,U.S. annual statutory statement,Schedule D Part 1A quality and maturity,150,150,150,First Allmerica annual page 150 shows Schedule D Part 1A quality and maturity distribution.,"bond portfolio quality, maturity, and NAIC distribution control",distribution only,page-located,extract targeted pages into normalized statutory fields,promote only when Schedule D Part 1A quality and maturity is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-025,CFKKRGASA-007,First Allmerica Financial Life Insurance Company,Q4 2025,U.S. annual statutory statement,Schedule E cash and deposits,160,160,160,First Allmerica annual page 160 shows Schedule E cash equivalents.,cash and special-deposit support,liquidity schedule only,page-located,extract targeted pages into normalized statutory fields,promote only when Schedule E cash and deposits is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-026,CFKKRGASA-008,Forethought Life Insurance Company,Q4 2025,U.S. annual statutory statement,assets/liabilities/operations/cash-flow annual core,3,6,3-6,"Forethought annual pages 3-6 show assets, liabilities, summary operations, and cash flow.",legal-entity core financial bridge,summary pages only,range-located,extract targeted pages into normalized statutory fields,promote only when assets/liabilities/operations/cash-flow annual core is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-027,CFKKRGASA-008,Forethought Life Insurance Company,Q4 2025,U.S. annual statutory statement,exhibit of net investment income,18,18,18,Forethought annual page 18 shows EXHIBIT OF NET INVESTMENT INCOME.,asset-class investment-income extraction target,not issuer-level income without detail,page-located,extract targeted pages into normalized statutory fields,promote only when exhibit of net investment income is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-028,CFKKRGASA-008,Forethought Life Insurance Company,Q4 2025,U.S. annual statutory statement,asset valuation reserve,80,80,80,Forethought annual page 80 shows ASSET VALUATION RESERVE.,credit-quality and reserve-pressure support,not issuer-level NAIC or impairment proof,page-located,extract targeted pages into normalized statutory fields,promote only when asset valuation reserve is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-029,CFKKRGASA-008,Forethought Life Insurance Company,Q4 2025,U.S. annual statutory statement,Schedule D Part 1A quality and maturity,140,140,140,Forethought annual page 140 shows Schedule D Part 1A quality and maturity distribution.,"bond portfolio quality, maturity, and NAIC distribution control",distribution only,page-located,extract targeted pages into normalized statutory fields,promote only when Schedule D Part 1A quality and maturity is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-030,CFKKRGASA-008,Forethought Life Insurance Company,Q4 2025,U.S. annual statutory statement,Schedule E cash and deposits,150,150,150,Forethought annual page 150 shows Schedule DA verification for short-term investments.,"cash, short-term investment, and deposit support",liquidity schedule only,page-located,extract targeted pages into normalized statutory fields,promote only when Schedule E cash and deposits is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-031,CFKKRGASA-009,Global Atlantic Re Limited,FY 2025,Bermuda statutory financial statements,Bermuda balance sheet,2,5,2-5,Global Atlantic Re pages 2-5 show Bermuda statutory balance sheet.,Bermuda legal-entity asset/liability base,summary financial statement only until notes parse,range-located,extract targeted pages into normalized statutory fields,promote only when Bermuda balance sheet is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-032,CFKKRGASA-009,Global Atlantic Re Limited,FY 2025,Bermuda statutory financial statements,Bermuda income statement,6,7,6-7,Global Atlantic Re pages 6-7 show statutory statement of income.,Bermuda earnings and investment income route,not named holding-level cash return,range-located,extract targeted pages into normalized statutory fields,promote only when Bermuda income statement is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-033,CFKKRGASA-009,Global Atlantic Re Limited,FY 2025,Bermuda statutory financial statements,Bermuda capital and surplus,8,29,8;29,Global Atlantic Re page 8 shows statutory capital and surplus and page 29 reconciles U.S. GAAP to statutory capital and surplus.,capital availability and statutory reconciliation route,not distribution waterfall proof,range-located,extract targeted pages into normalized statutory fields,promote only when Bermuda capital and surplus is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-034,CFKKRGASA-009,Global Atlantic Re Limited,FY 2025,Bermuda statutory financial statements,Bermuda investment note,10,15,10-15,"Global Atlantic Re notes around pages 10-15 describe investments, interest accrual, derivatives, fair value, and credit-loss treatment.",Bermuda investment note and valuation context,note text may be summary only without named holdings,range-located,extract targeted pages into normalized statutory fields,promote only when Bermuda investment note is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-035,CFKKRGASA-010,Global Atlantic Assurance Limited,FY 2025,Bermuda statutory financial statements,Bermuda balance sheet,2,5,2-5,Global Atlantic Assurance pages 2-5 show Bermuda statutory balance sheet.,Bermuda legal-entity asset/liability base,summary financial statement only until notes parse,range-located,extract targeted pages into normalized statutory fields,promote only when Bermuda balance sheet is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-036,CFKKRGASA-010,Global Atlantic Assurance Limited,FY 2025,Bermuda statutory financial statements,Bermuda income statement,6,7,6-7,Global Atlantic Assurance pages 6-7 show statutory statement of income.,Bermuda earnings and investment income route,not named holding-level cash return,range-located,extract targeted pages into normalized statutory fields,promote only when Bermuda income statement is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-037,CFKKRGASA-010,Global Atlantic Assurance Limited,FY 2025,Bermuda statutory financial statements,Bermuda capital and surplus,8,8,8,Global Atlantic Assurance page 8 shows statutory capital and surplus.,capital availability and statutory reconciliation route,not distribution waterfall proof,page-located,extract targeted pages into normalized statutory fields,promote only when Bermuda capital and surplus is parsed into normalized fields and reconciled to statement totals
CFKKRGASL-038,CFKKRGASA-010,Global Atlantic Assurance Limited,FY 2025,Bermuda statutory financial statements,Bermuda investment note,10,20,10-15;20,"Global Atlantic Assurance notes around pages 10-15 and 20 describe investments, loan receivables, fair value, credit losses, and derivatives.",Bermuda investment note and valuation context,note text may be summary only without named holdings,range-located,extract targeted pages into normalized statutory fields,promote only when Bermuda investment note is parsed into normalized fields and reconciled to statement totals
