bridge_id,layer,metric_or_status,period,value,unit,evidence_page,evidence_status,what_it_says,what_it_does_not_say,next_source
"CFCTSR-012","construction/use of capital","Liquefaction capacity under construction","FY 2025","9+","mtpa","capital-flow-capital-intensive-energy-annual-baseline-source-table-pass-1.md","company-source-table","A visible construction pipeline supports the capacity-conversion thesis.","Under construction does not prove cost-to-complete, financing source, or return.","Project capex schedule and FERC construction reports."
"CFCTSR-013","construction/use of capital","CCL Stage 3 completion","FY 2025","94.1","percent","capital-flow-capital-intensive-energy-annual-baseline-source-table-pass-1.md","company-source-table","Corpus Christi Stage 3 was close to completion at year-end 2025.","Completion percentage does not prove remaining cost or train-level debt service.","CCL Stage 3 cost-to-complete and in-service filings."
"CFCTSR-014","construction/use of capital","CCL Midscale Trains 8 and 9 completion","FY 2025","31.8","percent","capital-flow-capital-intensive-energy-annual-baseline-source-table-pass-1.md","company-source-table","Future midscale trains have visible construction progress.","Early-stage completion does not prove final cost, schedule, or contracted economics.","FERC and company construction progress by train."
"CFCTSR-015","construction/use of capital","Train 6 substantial completion","Q2 2026","complete","status","capital-flow-capital-intensive-energy-source-table-extraction-pass-1.md","company-source-table","At least one named train milestone crossed from construction toward operating status in Q2 2026.","Substantial completion does not isolate that train's cargoes, EBITDA, or debt service.","Train 6 in-service, cargo attribution, and commissioning revenue."
"CFCTSR-016","construction/use of capital","Train 7 expected timing","Q2 2026","fall 2026","expected timing","capital-flow-capital-intensive-energy-source-table-extraction-pass-1.md","company-source-table","The next train milestone has a visible expected timing window.","Expected timing is not completion or operational proof.","Subsequent completion notice and FERC status."
"CFCTSR-017","funding mix","Growth capital","FY 2025","2.6","B USD","capital-flow-capital-intensive-energy-annual-baseline-source-table-pass-1.md","company-source-table","Cheniere deployed material growth capital into the LNG platform.","Growth capital is not allocated to each train in the current evidence.","Growth capex by project/entity/train."
"CFCTSR-018","funding mix","Equity-funded growth capital","FY 2025","2.3","B USD","capital-flow-capital-intensive-energy-annual-baseline-source-table-pass-1.md","company-source-table","The funding mix includes a disclosed equity-funded component.","Equity-funded growth capital does not prove exact source/use by train.","Entity-level source/use schedule and construction-account detail."
"CFCTSR-019","funding mix","Growth capital","Q2 2026","1.1","B USD","capital-flow-capital-intensive-energy-source-table-extraction-pass-1.md","company-source-table","The growth-capex program continued into Q2 2026 at large scale.","Quarterly growth capital still does not tie to individual train economics.","Q2 capex by project and funding source."
"CFCTSR-020","funding mix","Equity-funded growth capital","Q2 2026","219","M USD","capital-flow-capital-intensive-energy-source-table-extraction-pass-1.md","company-source-table","The Q2 update separately identifies an equity-funded growth-capex component.","The residual funding mix and train allocation remain unmapped.","Debt/equity source-and-use bridge by entity."
"CFCTSR-021","debt stack","Long-term debt","Q2 2026","22.632","B USD","capital-flow-energy-project-source-use-return-pass-1.md","credit-stack-summary","Cheniere has a large visible debt stack supporting the LNG platform.","Total debt is not train-level project debt or debt-service coverage.","Debt maturity, indenture, and restricted-account schedules."
"CFCTSR-022","debt stack","SPL total debt","Q2 2026","5.027","B USD","capital-flow-energy-project-source-use-return-pass-1.md","credit-stack-summary","Sabine Pass entity debt is separately visible.","The row does not assign specific cargoes or trains to that debt.","SPL debt agreements and terminal cash waterfall."
"CFCTSR-023","debt stack","CQP total debt","Q2 2026","9.550","B USD","capital-flow-energy-project-source-use-return-pass-1.md","credit-stack-summary","CQP entity debt is separately visible.","The row does not prove CCL Stage 3 or midscale train source/use allocation.","CQP debt agreements, construction accounts, and distribution restrictions."
"CFCTSR-024","decision gate","Project-and-cash-grade status","Pass 1","hold","status","capital-flow-energy-project-source-use-return-pass-1.md","claim-control-summary","Cheniere is the strongest current energy bridge but remains below train-return-grade.","The current record does not yet join train cost, funding source, SPA economics, cargo attribution, cash return, and debt service in one row.","Build train-level registry for SPL/CCL assets with cost, source, output, contract, and debt-service fields."
