denominator_control_id,source_table_id,batch_id,pilot_id,company,ticker,lane,metric_class,current_metric_or_proxy,denominator_family,current_denominator_status,comparison_allowed,comparison_forbidden,best_denominator_evidence,next_denominator_source,upgrade_test,safe_use
CF519DC-001-011,CF519CST-011,CF519CR-011,CF519P2-011,Mastec Inc.,MTZ,power_grid_and_project_finance,backlog / revenue / EBITDA / working capital,"MasTec backlog, revenue, adjusted EBITDA, OCF, capex, contract liabilities",backlog; revenue; adjusted EBITDA; OCF; capex; contract liability,company-same-period-denominator-visible,"Compare MasTec to service/backlog companies with backlog, revenue, and cash-flow denominators.","Do not treat backlog as funded, non-cancellable, or collected cash.","Q2/six-month 2026 backlog, revenue, EBITDA, OCF, capex, and liability denominators are visible.","Backlog aging, signed/non-cancellable mix, retainage, project cash collection, and customer funding","Upgrade when backlog can be matched to project funding, margin, and collections.",Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-012,CF519CST-012,CF519CR-012,CF519P2-012,Plains All American Pipeline Lp,PAA,power_grid_and_project_finance,tariff route / rate,Plains tariff route and base rate,cents per barrel rate; route; effective date; throughput needed,tariff-denominator-visible-volume-open,Compare Plains to tariff/rate rows or route-level commercial durability rows.,Do not turn cents-per-barrel tariff into revenue without volume and shipper evidence.,Route and base-rate denominator are visible; committed volume and billing denominator are open.,"Throughput, committed shippers, billing volumes, contract duration, and segment cash contribution","Upgrade when tariff rate, volume, shipper/contract, and realized revenue are joined.",Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-013,CF519CST-013,CF519CR-013,CF519P2-013,Targa Resources Corp.,TRGP,power_grid_and_project_finance,growth capex / project completion / EBITDA,"Targa growth capex, project completions, adjusted EBITDA, liquidity",growth capex; completed projects; adjusted EBITDA; liquidity; operating volumes,company-same-period-denominator-visible,Compare Targa to midstream company capex/output/cash-proxy rows.,Do not treat company EBITDA or liquidity as named-project return.,"Q2 2026 growth capex, completion, EBITDA, liquidity, and output-category denominators are visible.","Project cost, customer contract, utilization, and contribution by Train/plant/expansion",Upgrade when completed project cost and cash contribution are visible.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-014,CF519CST-014,CF519CR-014,CF519P2-014,Nextera Energy Inc.,NEE,power_grid_and_project_finance,regulated recovery / category cost / aggregate revenue,"FPL Distribution Inspection costs, plant additions, aggregate SPPCRC revenue, factor authority",category cost; plant additions; aggregate clause revenue; capital structure; billing determinants needed,regulated-recovery-denominator-visible-category-cash-open,Compare only to regulated recovery/category cost rows with clear jurisdiction and period.,Do not treat aggregate SPPCRC revenue as Distribution Inspection customer receipts.,Category cost/recovery inputs and aggregate clause revenue are visible; category receipt denominator is open.,"2027 actual/estimated filing, billing determinants, category allocation workpapers, and source-of-funds support",Upgrade when Distribution Inspection-specific customer receipts and funding-source allocation are visible.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-015,CF519CST-015,CF519CR-015,CF519P2-015,Pbf Energy,PBF,debt_refinancing_and_facilities,debt / cash / cash-flow denominator,YTD operating cash flow 1.2651B USD; PP&E payments 476.5M USD; debt/capital lease repayments 6.0M USD for 2026-01-01 to 2026-06-30,cash; debt; operating cash flow; proceeds; repayments; liquidity/use denominator,debt-cash-flow-denominator-started,Compare only within debt/refinancing rows that share SEC balance-sheet and cash-flow denominator logic.,"Do not treat cash/debt/cash-flow denominators as proof of refinancing use, covenant headroom, or asset-level return.",PBF has Q2 2026 SEC-visible debt and cash-flow denominators; refinancing mechanism and asset-level cash return remain open.,"Debt footnote table, credit agreement or indenture amendments, liquidity discussion, and use-of-proceeds language.","Upgrade only when debt footnote, source/use language, repayment/refinancing purpose, and cash-flow impact are all visible.",Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-016,CF519CST-016,CF519CR-016,CF519P2-016,Devon Energy Corporation,DVN,debt_refinancing_and_facilities,debt / cash / cash-flow denominator,YTD operating cash flow 5.329B USD; Q2 operating cash flow 3.674B USD; long-term debt repayments 500.0M USD; dividends 521.0M USD YTD; common-stock repurchases 266.0M USD YTD,cash; debt; operating cash flow; proceeds; repayments; liquidity/use denominator,debt-cash-flow-denominator-started,Compare only within debt/refinancing rows that share SEC balance-sheet and cash-flow denominator logic.,"Do not treat cash/debt/cash-flow denominators as proof of refinancing use, covenant headroom, or asset-level return.","Devon has Q2 2026 SEC-visible cash, debt, operating cash flow, repayment, and capital-return denominators; source/use allocation remains open.","Debt footnote, merger/acquisition financing discussion, capex table, maturity schedule, and liquidity covenant detail.","Upgrade only when debt footnote, source/use language, repayment/refinancing purpose, and cash-flow impact are all visible.",Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-017,CF519CST-017,CF519CR-017,CF519P2-017,Matador Resources Co.,MTDR,debt_refinancing_and_facilities,debt / cash / cash-flow denominator,YTD operating cash flow 1.407674B USD; secured debt proceeds 209.0M USD; unsecured debt proceeds 750.0M USD; secured debt repayments 181.0M USD for 2026-01-01 to 2026-06-30,cash; debt; operating cash flow; proceeds; repayments; liquidity/use denominator,debt-cash-flow-denominator-started,Compare only within debt/refinancing rows that share SEC balance-sheet and cash-flow denominator logic.,"Do not treat cash/debt/cash-flow denominators as proof of refinancing use, covenant headroom, or asset-level return.",Matador has Q2 2026 SEC-visible debt issuance/repayment and operating-cash-flow denominators; project/acquisition use remains open.,"Credit-agreement amendment, borrowing-base table, acquisition funding note, production/capex table, and covenant detail.","Upgrade only when debt footnote, source/use language, repayment/refinancing purpose, and cash-flow impact are all visible.",Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-018,CF519CST-018,CF519CR-018,CF519P2-018,Liberty Broadband Corporation,,debt_refinancing_and_facilities,debt / cash / cash-flow denominator,YTD continuing-operations operating cash flow -118.0M USD; long-term debt proceeds 1.239B USD; long-term debt repayments 1.771B USD for 2026-01-01 to 2026-06-30,cash; debt; operating cash flow; proceeds; repayments; liquidity/use denominator,debt-cash-flow-denominator-started,Compare only within debt/refinancing rows that share SEC balance-sheet and cash-flow denominator logic.,"Do not treat cash/debt/cash-flow denominators as proof of refinancing use, covenant headroom, or asset-level return.",Liberty Broadband has Q2 2026 SEC-visible holding-company debt and cash-flow denominators; collateral and transaction economics remain open.,"Margin loan footnote, Charter stake/collateral table, exchangeable debenture detail, transaction proceeds, and liquidity use discussion.","Upgrade only when debt footnote, source/use language, repayment/refinancing purpose, and cash-flow impact are all visible.",Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-019,CF519CST-019,CF519CR-019,CF519P2-019,Wheaton Precious Metals Corp.,WPM,debt_refinancing_and_facilities,debt / cash / operating cash flow / stream acquisition funding denominator,cash 100.192M; gross bank debt 1.972B; term loan 1.500B; revolver 472.000M; Q2 OCF 649.518M; YTD OCF 1.415340B; upfront PMPA/royalty payments 4.5B including BHP Antamina 4.3B,cash; gross bank debt; term loan; revolver; operating cash flow; financing cash movement; PMPA upfront payment denominator,debt-cash-flow-denominator-started,"Compare only within debt/refinancing rows using SEC balance-sheet, cash-flow, and source/use denominator logic.","Do not treat Wheaton debt, sales, or operating cash flow as stream-level return or PMPA cash margin.","SEC-rendered Q2 2026 Wheaton statements and credit-facility tables extract cash, bank debt, term loan, revolver debt, operating cash flow, bank debt draws/repayments, and PMPA upfront payment context.","Antamina PMPA terms, expected delivery schedule, cash receipt by stream, debt-service waterfall, lender allocation, and facility pricing/covenants.",Upgrade only when stream-level source/use/output/cash and debt-service evidence can be joined.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-020,CF519CST-020,CF519CR-020,CF519P2-020,Core Main Inc.,CNM,acquisition_finance,queued denominator class,no local cash-realization metric extracted yet,acquisition_finance source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add purchase price, financing source, acquired revenue/EBITDA, integration cash-flow, and working-capital denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-021,CF519CST-021,CF519CR-021,CF519P2-021,Verizon Communications Inc.,VZ,acquisition_finance,queued denominator class,no local cash-realization metric extracted yet,acquisition_finance source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add purchase price, financing source, acquired revenue/EBITDA, integration cash-flow, and working-capital denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-022,CF519CST-022,CF519CR-022,CF519P2-022,The Sherwin Williams Company,SHW,acquisition_finance,queued denominator class,no local cash-realization metric extracted yet,acquisition_finance source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add purchase price, financing source, acquired revenue/EBITDA, integration cash-flow, and working-capital denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-023,CF519CST-023,CF519CR-023,CF519P2-023,Lowes Companies Inc.,LOW,acquisition_finance,queued denominator class,no local cash-realization metric extracted yet,acquisition_finance source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add purchase price, financing source, acquired revenue/EBITDA, integration cash-flow, and working-capital denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-024,CF519CST-024,CF519CR-024,CF519P2-024,Roblox Corp.,RBLX,acquisition_finance,queued denominator class,no local cash-realization metric extracted yet,acquisition_finance source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add purchase price, financing source, acquired revenue/EBITDA, integration cash-flow, and working-capital denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-025,CF519CST-025,CF519CR-025,CF519P2-025,Zebra Technologies Corp.,ZBRA,asset_backed_and_securitization,queued denominator class,no local cash-realization metric extracted yet,asset_backed_and_securitization source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add receivables, inventory, collateral pool, borrowing base, delinquency/loss, and cash-conversion denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-026,CF519CST-026,CF519CR-026,CF519P2-026,Target Corp.,TGT,asset_backed_and_securitization,queued denominator class,no local cash-realization metric extracted yet,asset_backed_and_securitization source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add receivables, inventory, collateral pool, borrowing base, delinquency/loss, and cash-conversion denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-027,CF519CST-027,CF519CR-027,CF519P2-027,Msc Industrial Direct Co. Inc.,MSM,asset_backed_and_securitization,queued denominator class,no local cash-realization metric extracted yet,asset_backed_and_securitization source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add receivables, inventory, collateral pool, borrowing base, delinquency/loss, and cash-conversion denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-028,CF519CST-028,CF519CR-028,CF519P2-028,Global Industrial Company,GIC,asset_backed_and_securitization,queued denominator class,no local cash-realization metric extracted yet,asset_backed_and_securitization source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add receivables, inventory, collateral pool, borrowing base, delinquency/loss, and cash-conversion denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-029,CF519CST-029,CF519CR-029,CF519P2-029,Pool Corp.,POOL,asset_backed_and_securitization,queued denominator class,no local cash-realization metric extracted yet,asset_backed_and_securitization source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add receivables, inventory, collateral pool, borrowing base, delinquency/loss, and cash-conversion denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-030,CF519CST-030,CF519CR-030,CF519P2-030,Jacobs Solutions Inc.,,capital_intensity_and_capex,queued denominator class,no local cash-realization metric extracted yet,capital_intensity_and_capex source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add project cost, capex, output, backlog, asset base, EBITDA/cash-flow, and market denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-031,CF519CST-031,CF519CR-031,CF519P2-031,Steel Dynamics Inc.,STLD,capital_intensity_and_capex,queued denominator class,no local cash-realization metric extracted yet,capital_intensity_and_capex source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add project cost, capex, output, backlog, asset base, EBITDA/cash-flow, and market denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-032,CF519CST-032,CF519CR-032,CF519P2-032,Eaton Corporation,ETN,capital_intensity_and_capex,queued denominator class,no local cash-realization metric extracted yet,capital_intensity_and_capex source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add project cost, capex, output, backlog, asset base, EBITDA/cash-flow, and market denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-033,CF519CST-033,CF519CR-033,CF519P2-033,Energy Transfer Lp,ET,capital_intensity_and_capex,company EBITDA / DCF / capex / capacity,"Energy Transfer adjusted EBITDA, DCF, growth capex, capacity additions, revolver availability, debt",EBITDA; DCF; growth capex; bpd capacity; revolver availability; debt,company-same-period-denominator-visible-project-open,Compare ET to company-level energy infrastructure cash/capex/output rows.,Do not treat company DCF as Nederland or Lone Star project return.,"Q2 2026 company cash, capex, output, availability, and debt denominators are visible; project denominator is open.","Project capital schedules, facility draw/use records, shipper contracts, tariff billing, and project EBITDA",Upgrade when named-project source/use/output/cash contribution is visible.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-034,CF519CST-034,CF519CR-034,CF519P2-034,Sterling Infrastructure Inc.,STRL,capital_intensity_and_capex,backlog / contract liability / credit wrapper,"Sterling RPO/backlog, contract liabilities, OCF less capex, revolver, L/C sublimit",RPO; net contract liability; OCF less capex; revolver capacity; L/C capacity,company-backlog-denominator-visible-project-open,Compare Sterling to backlog/contract-liability/cash-conversion rows.,"Do not treat RPO as funded, risk-free, or margin-proven project cash.","RPO, contract-liability timing, cash proxy, and credit-wrapper denominators are visible; project owner funding is open.","Project owner funding, bonded backlog, actual L/C outstanding, margin, backlog aging, and covenant certificate","Upgrade when backlog is tied to project funding, bonding/L/C usage, margin, and collection.",Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
CF519DC-001-035,CF519CST-035,CF519CR-035,CF519P2-035,Teledyne Technologies Inc.,TDY,capital_intensity_and_capex,queued denominator class,no local cash-realization metric extracted yet,capital_intensity_and_capex source/use/cash denominator needed,queued-denominator-not-started,No cross-company comparison allowed yet beyond queue coverage and lane assignment.,Do not compare this row to source-visible rows until primary metrics and denominators are extracted.,Only the cash-realization batch row is visible in this pass.,"Add project cost, capex, output, backlog, asset base, EBITDA/cash-flow, and market denominator tables.",Upgrade when the first primary-source cash/proxy metric and matching denominator are extracted.,Use this row to control comparability and next denominator work; do not use it as an investment ranking or asset-level return claim.
