gate_id,stage,question,entity_or_metric,evidence_value,period,source_artifact,current_status,what_is_proven,missing_upgrade
AVP-024,working_capital_normalization,What margin and working-capital items must be normalized before retail owner cash?,Retail margin and working-capital normalization matrix,TJX inventory 603M use and 470M payable source plus 750M support screen; Target 612M payable source 3200M supplier finance and 1364M support screen; Walmart 2660M inventory use 1648M payable source 6400M supplier finance and 4548M support screen,H1 FY2027 / H1 2026,analysis/company-first-principles/combined-investment-research-pilot-02-retail-margin-working-capital-normalization.md,normalization-input,The main timing and support items are placed beside reported OCF without blanket deductions,Roll-forward settlement timing recurring margin capex leases taxes SBC and seasonality
AVP-025,reinvestment,What annual capex category reference can calibrate the retail burden screen?,TJX Walmart and Target annual capex category reference,"TJX FY2026: 921M USD renovations/improvements, 185M USD new stores, 851M USD offices/distribution; mechanical shares 47.1%, 9.5%, 43.5%. Walmart FY2026: 16468M USD supply chain/customer-facing/technology/other, 5571M USD remodels, 1406M USD new stores/clubs, 3197M USD international; mechanical shares 61.8%, 20.9%, 5.3%, 12.0% of 26642M USD. Target FY2025: approximately 1300M USD existing-store investments, 1100M USD new stores, 700M USD supply chain, 600M USD information technology and other; mechanical shares approximately 35.1%, 29.7%, 18.9%, 16.2%",FY2025-FY2026,analysis/company-first-principles/combined-investment-research-pilot-02-retail-capex-classification.md,annual-capex-reference-proxy,Annual category amounts and arithmetic shares are visible as reference proxies without substituting them for H1 maintenance allocation,H1 category allocation maintenance-versus-growth split and owner-cash conclusion
AVP-026,reinvestment,What does Target's annual report disclose about capex categories?,Target FY2025 capital expenditures,"Approximately 1.3B USD existing-store investments; 1.1B USD new stores; 0.7B USD supply chain; 0.6B USD information technology and other; approximately 3.7B USD total",FY2025,analysis/company-first-principles/combined-investment-research-pilot-02-retail-capex-classification.md,annual-category-reference-confirmed,Target annual category directions and approximate amounts are source-backed,Target H1 2026 category allocation maintenance split and owner-cash conclusion
AVP-027,reinvestment,What direction and disclosure boundary apply to Target H1 capital spending?,Target H1 2026 capital spending direction and source boundary,"Target's Q2 disclosure attributes the H1 capital-spending increase primarily to store remodels and new stores, but the 10-Q does not quantify H1 remodel, new-store, supply-chain, or information-technology categories",H1 2026,analysis/company-first-principles/combined-investment-research-pilot-02-retail-capex-classification.md,h1-direction-and-boundary-confirmed,Target H1 direction-of-spend is source-backed and the absence of a quantified category schedule is explicit; no category is called maintenance,Target H1 maintenance-versus-growth allocation and normalized owner-cash conclusion
AVP-028,reinvestment,What direction of H1 capital spending did Walmart disclose?,Walmart H1 FY2027 capital spending direction,"Walmart's filing attributes the H1 capital-spending increase to its omnichannel growth strategy",H1 FY2027,analysis/company-first-principles/combined-investment-research-pilot-02-retail-capex-classification.md,h1-direction-confirmed,Walmart H1 growth direction is source-backed without treating all omnichannel spending as growth or owner cash,Exact H1 category amounts are now captured by AVP-031; maintenance-versus-growth allocation and normalized owner-cash conclusion remain open
AVP-029,reinvestment,Which H1 TJX property-spending categories are named?,TJX H1 FY2027 property-spending categories,"TJX identifies store improvements and renovations, new stores, and distribution centers/offices including information technology; category amounts are not split",H1 FY2027,analysis/company-first-principles/combined-investment-research-pilot-02-retail-capex-classification.md,h1-category-direction-confirmed,TJX H1 categories are source-backed while maintenance-versus-growth amounts remain unresolved,Quantified H1 category allocation maintenance-capital estimate and normalized owner-cash conclusion
AVP-030,attached_service,What bounded scale screen can compare attached retail services with merchandise sales?,Retail attached-services mix screen,"Target H1 attached services 1.141B USD divided by 50.841B USD merchandise sales equals 2.244%; Walmart U.S. H1 membership and other income 1.676B USD divided by 242.358B USD net sales equals 0.692%; Sam's Club U.S. 1.328B USD divided by 49.118B USD net sales equals 2.704%",H1 2026 / H1 FY2027,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-mix-screen.md,attached-service-mix-screen,Reported service scale is arithmetically comparable without claiming standalone margin or owner cash,Allocated service cost cash collection capex tax and common-owner attribution
AVP-031,reinvestment,What exact H1 Walmart capex categories are disclosed?,Walmart H1 FY2027 capital-expenditure allocation,"Walmart reports 7659M USD supply chain/customer-facing/technology/other, 3623M USD store and club remodels, 1087M USD new stores and clubs, and 1812M USD Walmart International, totaling 14181M USD; mechanical shares are 54.0%, 25.5%, 7.7%, and 12.8%",Six months ended July 31 2026,analysis/company-first-principles/combined-investment-research-pilot-02-retail-capex-classification.md,h1-capex-categories-confirmed,Exact H1 category amounts now replace the prior direction-only boundary without classifying any category as maintenance,Maintenance share category cash conversion and normalized owner-cash conclusion
AVP-032,reinvestment,What source-bounded growth-capex floor can be inferred for Walmart H1 FY2027?,Walmart known-growth capex boundary,"Walmart's separately disclosed new stores and clubs category is 1087M USD; treating that category as growth gives a 13094M USD implied maintenance ceiling and 6616M USD implied OCF less maintenance floor from 19710M USD H1 OCF",H1 FY2027,analysis/company-first-principles/combined-investment-research-pilot-02-walmart-known-growth-capex-boundary.md,qualified-inference,The filing narrows the maintenance range through a labeled category inference without reporting owner cash,Remaining maintenance classification plus inventory leases taxes SBC attached-service costs debt and dilution normalization
AVP-033,social_macro,What official current-regime evidence anchors the affordability force?,Affordability official macro anchor,"August 2026 CPI: all items +3.4% year over year, food at home +2.2%, energy +16.3%, shelter +3.0%; real average hourly earnings -0.3% year over year; July 2026 nominal retail sales 763.6B USD, +5.0% year over year and -0.6% month over month",August 2026 / July 2026,analysis/company-first-principles/combined-investment-research-pilot-02-affordability-official-macro-anchor-2026-09-15.md,current-regime-anchor,"Official data supports simultaneous cost pressure and nominal demand resilience without proving real volume, causality, or retailer owner cash","Next company filings: traffic units mix margins inventory payables temporary support and normalized owner cash"
AVP-034,owner_cash,When may a retail cash screen be promoted to normalized owner cash?,Retail owner-cash promotion rule,Five gates: comparable period and seasonality; working-capital and temporary-support separation; maintenance versus growth reinvestment; owner claims including leases taxes debt SBC and dilution; and attached-service cost/cash allocation,2026,analysis/company-first-principles/combined-investment-research-pilot-02-retail-owner-cash-promotion-rule.md,control-rule-confirmed,The promotion rule prevents illustrative or reported cash screens from being treated as final owner cash,Close all five gates for each company-period before promoting a valuation denominator
AVP-035,attached_service,Does Target identify the payer and burden carrier for card economics?,Target Circle credit-card profit-sharing route,"Target receives 269 USD millions of profit sharing; TD underwrites, funds, and owns the receivables and controls risk management and regulatory compliance",H1 2026,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-upgrade-2026-09-15.md,payer-burden-map-confirmed,Target's external payer and credit-risk carrier are identified; Target performs servicing and primary marketing,Target's allocated servicing and marketing cost and net owner-cash conversion
AVP-036,attached_service,Does Target disclose an accounting boundary for advertising economics?,Target Roundel advertising classification,Roundel revenue may be Net Sales or a reduction of Cost of Sales or SG&A depending on the arrangement,H1 2026,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-upgrade-2026-09-15.md,accounting-boundary-confirmed,The filing prevents treating reported advertising revenue as a clean incremental gross-profit line,Arrangement-level costs margin taxes capex and cash collection
AVP-037,attached_service,What total attached-service revenue screen is visible for Target?,Target attached revenue mix,1141 USD millions divided by 51982 USD millions total net sales equals 2.19%,H1 2026,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-upgrade-2026-09-15.md,attached-service-scale-confirmed,Target attached revenue scale is arithmetically visible without adding it to owner cash,Standalone contribution margin working capital capex tax and owner attribution
AVP-038,attached_service,What segment denominator does Walmart disclose for attached income?,Walmart U.S. attached income and total segment bridge,"1676 USD millions membership and other income; 244034 USD millions total revenue; 172991 USD millions cost of sales; 57026 USD millions operating expenses; 14017 USD millions operating income",H1 FY2027,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-upgrade-2026-09-15.md,segment-denominator-confirmed,Walmart U.S. provides a complete segment operating denominator,Service-level costs margin capex working capital tax and cash allocation
AVP-039,attached_service,Does Walmart identify the composition and margin direction of ecosystem income?,Walmart ecosystem and membership boundary,Membership and other income includes membership fees and other items; eCommerce includes certain advertising fulfillment and data insights; advertising benefits gross-profit rate,H1 FY2027,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-upgrade-2026-09-15.md,ecosystem-boundary-confirmed,The ecosystem control point and directional margin contribution are source-backed,Standalone advertising or membership margin cash collection and return on capital
AVP-040,attached_service,Can attached-service cash be promoted to owner cash?,Retail attached-service cash conversion,Not proven; consolidated cash flows and segment costs do not allocate service cash,2026,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-upgrade-2026-09-15.md,owner-cash-boundary-held,Attached-service revenue remains excluded from normalized owner cash,Allocated direct costs overhead working capital capex taxes dilution and legal-entity allocation
AVP-041,attached_service,What current Target filing burden boundary sits beside attached-service revenue?,Target Q2 2026 attached-service revenue and burden screen,"Q2 attached revenue 592M USD (279M advertising + 139M card profit sharing + 174M other); H1 1141M USD; Q2/H1 merchandise sales 25947M/50841M; merchandising cost of sales 15775M/32053M; supply-chain and digital-fulfillment costs 1828M/3611M; 994M tariff refund reduced cost of sales and is temporary",Q2/H1 2026,analysis/company-first-principles/combined-investment-research-pilot-02-target-q2-attached-service-burden-boundary-2026-09-15.md,target-q2-attached-burden-boundary-confirmed,Current filing places service streams beside explicit aggregate cost and temporary-support boundaries without allocating service cash,Allocated service costs working capital tax capex cash collection and recurring-versus-temporary margin
AVP-042,attached_service,What bounded cash-conversion frontier can be shown without promoting service revenue to owner cash?,Retail attached-services cash-conversion frontier,"Target H1 attached-service pool 1141M USD and Walmart H1 FY2027 membership-and-other pool 3855M USD; mechanical 0%, 25%, 50%, 75%, and 100% conversion cases are shown as sensitivity only",H1 2026 / H1 FY2027,analysis/company-first-principles/combined-investment-research-pilot-02-retail-attached-services-cash-frontier-2026-09-15.md,sensitivity-frontier-confirmed,The frontier quantifies the unresolved conversion variable while keeping observed owner cash at zero incremental addition,Service-level collection and burden schedule plus legal-entity allocation before any positive conversion rate enters normalized owner cash
AVP-043,owner_cash,What H1 TJX cash-quality range is visible after disclosed burden items?,TJX H1 FY2027 cash-after-property screen,"2186M USD cash after property; 470M USD accounts-payable support; 85M USD share-based compensation; low/base/high screen 1631M/2101M/2186M USD",H1 FY2027,analysis/company-first-principles/combined-investment-research-pilot-02-tjx-h1-cash-screen-upgrade-2026-09-15.md,h1-cash-quality-screen-confirmed,TJX H1 cash quality can be bounded using disclosed payable support and SBC without treating the result as normalized owner cash,Temporary tariff and interchange benefits maintenance versus growth capex inventory lease tax seasonality and per-share normalization
AVP-044,cohort_owner_cash,How dependent are the retail cash bridges on source-bounded support adjustments?,Retail cash-quality support-dependency screen,"TJX FY2026 reduction $453M or 9.21%; Target H1 2026 reduction $1.518B or 71.77%; Walmart H1 FY2027 reduction $4.548B or 82.29%; TJX H1 FY2027 reduction $555M or 25.39%",FY2026 / H1 2026 / H1 FY2027,analysis/company-first-principles/combined-investment-research-pilot-02-retail-cash-quality-support-dependency-2026-09-15.md,support-dependency-screen-confirmed,The comparative screen makes known support sensitivity visible without ranking unlike periods or calling the residual normalized owner cash,Same-period roll-forward of inventory payables supplier finance capex leases taxes dilution and attached-service economics
AVP-045,reinvestment,What forward capital-spending context is now disclosed for the retail cohort?,Retail forward capex context,"TJX guides to approximately 2.2B–2.3B USD FY2027 capex after naming H1 store improvements/renovations new stores and distribution-centre/office/IT uses; Target reports approximately 2.4B USD H1 capex and remodel/new-store direction without a dollar split; Walmart reports exact H1 categories including 1.087B USD new stores/clubs",H1 2026 / H1 FY2027,analysis/company-first-principles/combined-investment-research-pilot-02-retail-capex-classification.md,forward-spending-context-confirmed,Forward burden and use direction are source-backed without classifying any category as maintenance or promoting a normalized owner-cash denominator,Quantified maintenance-versus-growth split and category-level cash conversion for each company
AVP-046,reinvestment,What additional Target capital-plan boundary is now source-backed?,Target 2026 strategic capital plan,"Approximately 5B USD planned capital investment; more than 30 new stores; more than 130 full-store remodels; supply-chain and technology projects; more than 1B USD food-and-beverage investment",2026,analysis/company-first-principles/combined-investment-research-pilot-02-target-2026-capital-plan-boundary-2026-09-15.md,target-forward-capital-plan-boundary-confirmed,The official plan makes strategic and growth-directed uses visible without treating them as free growth or normalized owner cash,Maintenance-versus-growth dollar split project-level cash conversion and owner-cash denominator
AVP-047,macro_validation,Does the historical macro regime panel attach to multiple company-period cash screens with an explicit falsifier?,Longitudinal retail cash/regime bridge,"Nine fiscal company-period rows join inflation, federal-funds range, real hourly earnings, operating cash flow, property/capex spending, and cash-after-property with fiscal-alignment and contrary-signal fields",2022-2026,analysis/company-first-principles/combined-investment-research-macro-longitudinal-retail-bridge-2026-09-15.md,longitudinal-regime-bridge-partial,The macro mechanism is reproducibly attached to multiple company-period observations and includes a measurable contrary-signal rule without claiming causal attribution,Longitudinal normalized owner cash and through-cycle causal validation
AVP-048,cohort_owner_cash,Can one common-period surface expose the retail denominator without ranking unlike cash measures?,Retail cohort common-period normalization surface,"TJX, Target, and Walmart cash-after-property, support candidates, 50% property-spending sensitivity, working-capital signals, supplier-finance, SBC, debt repayment, and stacked residual are joined in one table",H1 FY2026 / H1 FY2027,analysis/company-first-principles/combined-investment-research-pilot-02-retail-common-period-normalization-surface-2026-09-15.md,cohort-normalization-surface-partial,The surface makes comparable burden categories and non-comparable inputs visible while holding all three companies at a reported/illustrative screen,Period-matched maintenance capital working-capital lease tax attached-service and dilution allocation
AVP-049,discovery_bridge,Does a concrete Inc. 5000 candidate route into the public retail attached-services filing tests?,Grocery TV to Target Roundel and Walmart ecosystem bridge,"Inc. 5000 rank 2103; 162% three-year growth; $25M-$50M revenue range; 20% employee growth; advertising/marketing/PR label; routed to Target advertising/card/other revenue and Walmart advertising/membership/fulfillment tests",2026,analysis/company-first-principles/combined-investment-research-inc5000-retail-attached-services-bridge-2026-09-15.md,discovery-to-filing-route-confirmed,The private-company discovery signal identifies a concrete attached-services control-point hypothesis and named public filing tests without importing private revenue into public-company cash,Private-company margin cash economics payer contracts public-service cost allocation collections tax capex and common-owner conversion
AVP-050,demand_to_cash,Does the affordability/substitution hypothesis survive the route from social signal to cohort demand metrics and cash-quality tests?,Retail affordability demand-to-cash bridge,"TJX +6% comparable sales; Target +3.8% comparable sales and +3.6% traffic; Walmart U.S. +3.8% comparable sales; each is joined to OCF less property and explicit missing denominator fields",Q2/H1 FY2026-FY2027,analysis/company-first-principles/combined-investment-research-pilot-02-retail-demand-to-cash-bridge-2026-09-15.md,affordability-to-demand-bridge-partial,The bridge proves a falsifiable path from household affordability to reported retail demand and then to cash-quality tests without claiming causality or normalized owner cash,Traffic ticket mix markdown inventory support maintenance capital attached-service cost tax lease debt dilution and common-owner allocation
AVP-051,working_capital,Does the retail cohort balance sheet show a common-period inventory/payable pressure signal that agrees directionally with cash flow?,Retail cohort inventory/payable balance screen,"TJX inventory +$565M and payables +$449M, mechanical -$116M; Target +$945M and +$684M, mechanical -$261M; Walmart +$2.749B and +$1.257B, mechanical -$1.492B; cash-flow cross-checks remain directionally negative",H1 FY2027 / H1 2026,analysis/company-first-principles/combined-investment-research-pilot-02-retail-cohort-inventory-payable-balance-screen-2026-09-15.md,cross-cohort-working-capital-screen-confirmed,Comparable balance changes and cash-flow cross-checks make working-capital pressure visible without inserting balance movements into owner cash twice,Inventory seasonality markdown freight shrink supplier-finance settlement acquisition/currency effects tax leases maintenance capital and normalized owner-cash allocation
AVP-052,reinvestment,Does TJX quantify forward FY2027 capital-spending categories?,TJX FY2027 forward capex category boundary,"Approximately $1.000B store renovations + $992M offices/distribution/IT + $222M new stores = $2.214B within the $2.2B-$2.3B guide",FY2027,analysis/company-first-principles/combined-investment-research-pilot-02-tjx-forward-capex-category-boundary-2026-09-15.md,forward-capex-category-boundary-confirmed,TJX forward spending categories and arithmetic are source-backed without classifying categories as pure maintenance or growth,Maintenance-versus-growth split actual-period allocation store-level returns tax leases seasonality and normalized owner-cash conversion
AVP-053,reinvestment,Does TJX disclose whether ordinary maintenance and repairs are already expensed?,TJX maintenance-expense accounting boundary,"TJX FY2026 10-K states maintenance and repairs are charged to expense as incurred; capital expenditures are separately reported for renovations/improvements, new stores, and offices/distribution centers",FY2026,analysis/company-first-principles/combined-investment-research-pilot-02-retail-capex-classification.md,maintenance-expense-boundary-confirmed,Ordinary repairs are not an additional capital subtraction from operating cash flow; capitalized renovations and improvements still require maintenance-versus-growth classification,Quantified maintenance component within capitalized renovations/improvements and H1 FY2027 allocation
AVP-054,owner_cash,What does Walmart's current filing exclude from its company-defined free-cash-flow denominator?,Walmart FCF denominator limitation,"Walmart defines free cash flow as operating cash flow less property-and-equipment payments, and explicitly says the measure does not deduct debt service, other contractual obligations, or business-acquisition payments",H1 FY2027,analysis/company-first-principles/combined-investment-research-pilot-02-retail-capex-public-source-refresh-2026-09-16.md,walmart_fcf_denominator_limitation_confirmed,Walmart's filing makes the gap between company-defined FCF and residual common-owner cash explicit while its capex categories remain visible,Debt service contractual obligations acquisitions leases taxes supplier finance stock compensation attached-service costs seasonality and maintenance allocation
