row_id,company,ticker,period,source_file,source_section,evidence_type,metric_or_term,value,unit,calculation,what_it_says,what_it_does_not_say,pass_or_hold,next_required_source,safe_claim
CFMTDRDSQ-011,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Credit Agreement maturity,Credit Agreement maturity,2029-03-22,date,reported,"Outstanding borrowings under the Credit Agreement mature on March 22 2029.","Maturity alone does not prove refinancing quality.",visible,credit agreement,"Main secured facility maturity is visible."
CFMTDRDSQ-012,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Current ratio covenant minimum,Current ratio covenant threshold,1.000,ratio,reported,"The Credit Agreement requires a current ratio of not less than 1.0 at each fiscal quarter end.","The filing does not disclose the exact covenant calculation cushion.",visible,covenant compliance certificate,"The current-ratio covenant threshold is visible."
CFMTDRDSQ-013,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Debt-to-EBITDA covenant maximum,Debt to EBITDA covenant threshold,3.500,ratio,reported,"The Credit Agreement requires debt to EBITDA of 3.5 or less at each fiscal quarter end.","The filing does not disclose calculated debt-to-EBITDA cushion.",visible,covenant compliance certificate,"The leverage covenant threshold is visible."
CFMTDRDSQ-014,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Covenant compliance,Credit Agreement compliance at Jun. 30 2026,explicit,text,reported,"Matador was in compliance with the Credit Agreement at June 30 2026.","Compliance is binary and does not quantify covenant cushion.",visible,covenant compliance certificate,"Covenant compliance is visible but cushion is not."
CFMTDRDSQ-015,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/exhibit101-creditagreement-eighth-amendment.htm,Eighth amendment,Credit amendment,Borrowing base reaffirmed by amendment,3250.000,USD millions,reported,"The June 10 2026 Eighth Amendment directly reaffirmed the borrowing base at 3.25B USD.","The amendment does not provide reserve-value detail.",visible,reserve report and borrowing-base certificate,"Borrowing-base evidence is agreement-grade."
CFMTDRDSQ-016,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/exhibit101-creditagreement-eighth-amendment.htm,Eighth amendment,Credit amendment,Aggregate commitment increase,500.000,USD millions,reported,"The Eighth Amendment increased the Revolving Credit Aggregate Commitment from 2.25B USD to 2.75B USD.","The amendment does not say how new capacity was used.",visible,Schedule 1.2 lender commitments,"The commitment increase is agreement-grade."
CFMTDRDSQ-017,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/exhibit101-creditagreement-eighth-amendment.htm,Eighth amendment,Lender role,New lenders and increasing lenders,explicit,text,reported,"The amendment allowed new lenders and increasing lenders to reallocate and increase revolving credit elected commitments.","This pass does not extract each lender's commitment amount.",visible,Annex B / Schedule 1.2,"Lender reallocation and syndicate expansion are visible."
CFMTDRDSQ-018,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/exhibit101-creditagreement-eighth-amendment.htm,Eighth amendment,Collateral covenant,Collateral Coverage Minimum post-closing covenant,explicit,text,reported,"The amendment required title opinions, title information, and mortgages for reserve-report oil and gas properties as necessary to comply with the Collateral Coverage Minimum.","This does not quantify collateral coverage.",visible,title package and collateral schedule,"Collateral mechanics are visible but collateral amount is open."
CFMTDRDSQ-019,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/exhibit101-creditagreement-eighth-amendment.htm,Eighth amendment,Default condition,No Default condition,explicit,text,reported,"The Eighth Amendment required that no Default or Event of Default had occurred and was continuing as a condition.","This is not the same as forward covenant cushion.",visible,closing certificate,"The amendment had a no-default condition."
CFMTDRDSQ-020,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Income statement,Interest expense,Interest expense six months ended Jun. 30 2026,112.344,USD millions,reported,"Matador reported 112.344M USD of interest expense for the first half of 2026.","This is GAAP interest expense, not cash interest paid or pro forma run-rate cost.",visible,interest expense rollforward and cash interest disclosure,"Same-period debt-cost burden is visible."
CFMTDRDSQ-021,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Income statement,Interest expense,Interest expense six months ended Jun. 30 2025,102.834,USD millions,reported,"Matador reported 102.834M USD of interest expense for the first half of 2025.","Prior-year comparison does not explain the full driver of the 2026 increase.",visible,interest expense rollforward,"Prior-year debt-cost burden is visible."
CFMTDRDSQ-022,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Income statement,Interest expense change,YTD interest expense increase,9.510,USD millions,112.344 - 102.834,"Interest expense increased by 9.510M USD year over year in the first half.","This does not isolate rate, balance, capitalization, or refinancing effects.",calculated-visible,interest expense bridge,"Interest burden increased despite refinancing activity."
CFMTDRDSQ-023,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Accounting policy,Capitalized interest,Capitalized interest six months ended Jun. 30 2026,11.600,USD millions,reported,"Matador capitalized 11.6M USD of interest expense in the first half of 2026.","Capitalized interest complicates comparison of cash debt service and GAAP expense.",visible,interest capitalization schedule,"Debt-service quality requires capitalization treatment."
CFMTDRDSQ-024,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Accounting policy,Capitalized interest,Capitalized interest six months ended Jun. 30 2025,14.900,USD millions,reported,"Matador capitalized 14.9M USD of interest expense in the first half of 2025.","This does not itself explain 2026 debt-service quality.",visible,interest capitalization schedule,"Prior-year capitalized interest is visible."
CFMTDRDSQ-025,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Cash-flow statement,Operating cash flow,Net cash provided by operating activities,1407.674,USD millions,reported,"Matador generated 1.407674B USD of operating cash flow in the first half of 2026.","Company-level OCF is not asset-level return.",visible,cash-flow statement and asset contribution,"Debt cost can be compared to company-level cash generation."
CFMTDRDSQ-026,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt-cost proxy,Interest expense / operating cash flow,YTD interest expense as percent of OCF,7.981,percent,112.344 / 1407.674,"First-half interest expense equaled about 8.0% of operating cash flow.","This is a company-level coverage proxy, not a covenant or cash interest coverage ratio.",calculated-visible,cash interest and EBITDA bridge,"Debt cost appears manageable at company-level OCF proxy."
CFMTDRDSQ-027,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,2028 note tender principal,2028 notes tendered,419.800,USD millions,reported,"Matador repurchased 419.8M USD aggregate principal amount of 2028 notes in March 2026.","Tender amount alone does not prove savings after premium and issuance costs.",visible,tender offer documents,"Old-note retirement principal is visible."
CFMTDRDSQ-028,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,2028 note redemption principal,Remaining 2028 notes redeemed,80.200,USD millions,reported,"Matador deposited funds to redeem the remaining 80.2M USD of 2028 notes.","This does not isolate settlement timing or accrued interest.",visible,redemption notice,"The 2028 note retirement was completed."
CFMTDRDSQ-029,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Total 2028 note principal retired,2028 notes retired,500.000,USD millions,419.800 + 80.200,"Matador retired the full 500.0M USD 2028 note principal.","This does not prove economics without premium, write-off, and new-note cost.",calculated-visible,tender and redemption settlement,"Old-note principal retirement is measurable."
CFMTDRDSQ-030,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,2028 note coupon,6.875% senior notes due 2028 coupon,6.875,percent,reported,"The retired 2028 notes carried a 6.875% coupon.","Coupon alone is not total cost.",visible,2028 indenture,"Old-note coupon is visible."
CFMTDRDSQ-031,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,2034 note principal,2034 notes issued,750.000,USD millions,reported,"Matador issued 750.0M USD aggregate principal amount of 6.00% senior notes due 2034.","Issuance size does not prove value creation.",visible,2034 indenture and offering memorandum,"New-note principal is visible."
CFMTDRDSQ-032,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,2034 note coupon,6.00% senior notes due 2034 coupon,6.000,percent,reported,"The 2034 notes carry a 6.00% coupon and mature April 15 2034.","Coupon and maturity are visible but not full economics.",visible,2034 indenture,"New-note coupon is visible."
CFMTDRDSQ-033,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,2034 note net proceeds,Net proceeds from 2034 notes,737.900,USD millions,reported,"Matador received 737.9M USD of net proceeds from the 2034 notes after discounts and estimated offering expenses.","Net proceeds were used for debt retirement and general corporate purposes, not fully allocated.",visible,offering settlement,"New-note net proceeds are visible."
CFMTDRDSQ-034,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Gross-to-net issuance cost proxy,2034 note gross principal less net proceeds,12.100,USD millions,750.000 - 737.900,"The gross-to-net proceeds gap was about 12.1M USD.","This may differ from final debt issuance cost treatment.",calculated-visible,issuance cost rollforward,"New-note issuance cost proxy is visible."
CFMTDRDSQ-035,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Loss on debt extinguishment,Loss from 2028 note tender/redemption,15.600,USD millions,reported,"Matador incurred a 15.6M USD loss on debt extinguishment from the 2028 note tender and redemption.","This does not determine whether maturity extension was economically accretive.",visible,extinguishment detail,"Debt retirement cost is visible."
CFMTDRDSQ-036,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Cash prepayment premium,Cash prepayment premium,9.700,USD millions,reported,"The debt extinguishment loss included a 9.7M USD cash prepayment premium.","The premium is not the only refinancing cost.",visible,tender settlement statement,"A cash retirement premium is visible."
CFMTDRDSQ-037,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Deferred cost writeoff,Unamortized deferred issuance cost and discount writeoff,5.900,USD millions,reported,"The debt extinguishment loss included a 5.9M USD write-off of remaining unamortized deferred issuance costs and discounts.","This is an accounting cost, not all-in cash economics.",visible,debt cost rollforward,"Accounting cost of debt retirement is visible."
CFMTDRDSQ-038,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Simple old annual coupon,Annual coupon on retired 2028 notes,34.375,USD millions,500.000 * 6.875%,"The retired 2028 notes implied about 34.375M USD of annual coupon cost before retirement.","This excludes timing, tender premiums, and tax effects.",calculated-visible,pro forma interest schedule,"Old-note coupon burden is calculable."
CFMTDRDSQ-039,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Simple new annual coupon,Annual coupon on 2034 notes,45.000,USD millions,750.000 * 6.000%,"The new 2034 notes imply 45.0M USD of annual coupon cost.","This excludes amortization, proceeds used for general corporate purposes, and timing.",calculated-visible,pro forma interest schedule,"New-note coupon burden is calculable."
CFMTDRDSQ-040,Matador Resources Co.,MTDR,Q2 2026,raw/primary-sources/capital-flow/debt-refinancing/matador/q2-2026/mtdr-20260630-10q.htm,Debt note,Simple coupon-dollar change,New annual coupon less old annual coupon,10.625,USD millions,45.000 - 34.375,"Simple annual coupon dollars increased by about 10.625M USD because new principal was 250M USD larger despite the lower coupon rate.","This is not full refinancing economics because some proceeds went to general corporate purposes and maturity was extended.",calculated-visible,pro forma use-of-proceeds and interest schedule,"Matador lowered coupon rate but increased simple annual coupon dollars for this note layer."
CFMTDRDSQ-041,Matador Resources Co.,MTDR,Q2 2026,derived from CFMTDRDSQ-001 through CFMTDRDSQ-040,Research classification,Pass result,Debt-service quality proxy visible but pricing grid and cushion incomplete,decision,text,synthesis,"The pass upgrades Matador from source/use visibility to proxy-grade debt-service quality: facility headroom, covenant thresholds, compliance, interest burden, senior-note refinancing mechanics, and debt-retirement costs are visible.","It does not prove exact SOFR spreads, lender-level pricing, covenant cushion, reserve collateral cushion, full pro forma interest, or asset-level return.",pass-with-boundary,"pricing grid; covenant compliance certificate; borrowing-base certificate; reserve report; pro forma interest schedule; asset cash contribution","Matador has proxy-grade debt-service quality evidence, not full financing-quality proof."
CFMTDRDSQ-042,Matador Resources Co.,MTDR,Q2 2026,derived from CFMTDRDSQ-001 through CFMTDRDSQ-040,Boundary,Research boundary,Do-not-claim boundary,explicit,text,synthesis,"The evidence supports a bounded claim that debt-service and covenant context can be measured at company level.","Do not claim specific pricing improvement, covenant cushion, reserve collateral sufficiency, lender allocation, source-specific use, or asset-level return from this pass.",hold-boundary,"pricing grid; covenant compliance certificate; lender commitment schedule; borrowing notices; reserve/collateral support; asset contribution tables","The safe answer is debt-service proxy visible, full quality proof still open."
