matrix_id,theme,subtheme,company,ticker_or_marker,why_it_belongs,what_it_does_plain,how_it_gets_paid,proof_metric_to_check,what_would_disprove,best_source_anchor,claim_status
ARCTM-011,Industrial uptime,equipment rental,United Rentals,URI,URI shows uptime as a fleet-utilization business: customers rent needed equipment instead of owning everything.,Rents construction and industrial equipment to contractors and operators.,"Rental revenue, sales of used equipment, service revenue, and fleet cash yield.","Fleet OEC, rental revenue, time utilization, fleet productivity, free cash flow, ROIC.","Fleet sits idle, used-equipment prices fall, or debt-funded fleet growth does not earn enough cash.",capital-flow-uri-fleet-return-bridge-pass-1.md,source-visible-with-boundary
ARCTM-012,Industrial uptime,fastener and plant supply,Fastenal,FAST,Fastenal shows uptime at the small-part level where missing parts can stop work.,"Supplies fasteners, safety products, vending, onsite inventory, and industrial supplies.","Product sales, onsite programs, vending replenishment, and customer contracts.","Daily sales, onsite signings, vending devices, gross margin, inventory turns.","Customers reduce production, inventory bloats, or onsite programs fail to retain accounts.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-013,Industrial uptime,electrical and communications distribution,WESCO,WCC,"WESCO connects power, broadband, utility, and industrial projects to physical products.","Distributes electrical, communications, utility, and automation products.","Distribution margin, project orders, inventory turns, receivables collection, and supplier rebates.","Backlog, sales by segment, gross margin, working capital, free cash flow.","Project demand slows, inventory loses value, or customers stretch payments.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-014,Industrial uptime,MRO distribution,Grainger,GWW,"Grainger shows recurring maintenance spending by factories, institutions, and facilities.","Sells maintenance, repair, and operating supplies through branches and digital channels.","Product margin, service levels, e-commerce sales, and repeat customer demand.","Daily sales, gross margin, operating margin, inventory turns, customer retention.","Customers trade down, reduce maintenance, or lower-price competitors take share.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-015,Industrial uptime,technical bearings and power transmission,Applied Industrial Technologies,AIT,Applied Industrial shows industrial uptime where specialized parts and repair knowledge matter.,"Supplies bearings, fluid power, automation, and industrial service support.","Product sales, service work, repair, engineering support, and customer relationships.","Organic sales, service revenue, gross margin, backlog, working capital.",Industrial activity weakens or specialized service no longer commands margin.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-016,Healthcare access,payer and care delivery platform,UnitedHealth Group,UNH,"UnitedHealth shows healthcare as payer, data, pharmacy, and care delivery infrastructure.","Runs health insurance, care services, pharmacy benefit operations, and healthcare data services.","Premiums, service fees, care delivery revenue, pharmacy spread or fees, and claims management.","revenue, earnings from operations, net margin, adjusted EPS, expected operating cash flow, UnitedHealthcare/Optum split, medical cost ratio, claims payable, receivables, care visits, pharmacy economics","Medical costs rise faster than pricing, regulators restrict core economics, pharmacy transparency damages margins, cyber or governance issues persist, or members and clients lose trust.",annual-report-unitedhealth-healthcare-access-extraction-pass-1.md; healthcare/managed-health-care/unitedhealth-group-inc/company-analysis.md; extracted/healthcare/managed-health-care/unitedhealth-group-inc/company-packet.md,source-visible-with-boundary
ARCTM-017,Healthcare access,insurance and pharmacy benefit routing,Cigna,CI,Cigna shows how healthcare demand is routed through insurance and pharmacy-benefit systems.,"Runs health benefits, pharmacy services, employer health plans, and specialty services.","Premiums, pharmacy service fees, administrative fees, and medical cost management.","total revenues, revenue growth, shareholders net income, adjusted income from operations, adjusted income per share, SG&A ratio, debt-to-capitalization, Cigna Healthcare contribution, Evernorth contribution, medical care ratio, claims payable, receivables, operating cash flow","PBM regulation compresses Evernorth economics, clients move away from integrated pharmacy-benefit models, medical-cost trend outruns pricing, or member access frustration damages retention.",annual-report-cigna-healthcare-routing-extraction-pass-1.md; healthcare/managed-health-care/the-cigna-group/company-analysis.md; extracted/healthcare/managed-health-care/the-cigna-group/company-packet.md,source-visible-with-boundary
ARCTM-018,Healthcare access,dialysis care sites,DaVita,DVA,"DaVita shows chronic care access: repeated treatment, staffing, reimbursement, and local site economics.",Operates dialysis centers and related kidney-care services.,"Medicare, Medicaid, commercial insurance payments, and patient-service reimbursement.","Treatment volume, payer mix, revenue per treatment, labor cost, cash collections.","Reimbursement cuts, patient mix deterioration, labor shortages, or quality problems.",annual-report-davita-care-site-extraction-pass-1.md,source-visible-with-boundary
ARCTM-019,Healthcare access,home and community care,Addus HomeCare,ADUS,Addus shows care moving into homes where labor availability and reimbursement decide capacity.,"Provides personal care, hospice, and home-health services.","State programs, managed care plans, Medicare, Medicaid, and private pay.","Billable hours, reimbursement rates, caregiver hiring, revenue, operating margin.","Caregiver shortages, rate pressure, or poor collections break the model.",annual-report-addus-home-care-extraction-pass-1.md,source-visible-with-boundary
ARCTM-020,Healthcare access,specialty infusion and home therapy,Option Care Health,OPCH,Option Care shows access for complex medication outside the hospital setting.,Provides home and alternate-site infusion therapy.,"Insurance reimbursement, patient service revenue, pharmacy dispensing, and clinical services.","Referral volume, revenue per therapy, reimbursement, working capital, cash flow.","Payers cut reimbursement, drug supply fails, or patient adherence weakens.",annual-report-option-care-infusion-extraction-pass-1.md,source-visible-with-boundary
ARCTM-021,Built-environment upkeep,repair and remodel demand,Home Depot,HD,"Home Depot shows shelter maintenance through home repair, pro contractors, and project supplies.","Sells tools, building products, appliances, garden products, and services to homeowners and pros.","Retail sales, contractor purchases, installation services, private-label products, and credit-linked spending.","Comparable sales, pro sales, ticket size, inventory turns, operating margin.","Housing turnover falls, consumers defer repair, or inventory and labor costs compress margins.",annual-report-home-depot-built-environment-extraction-pass-1.md,source-visible-with-boundary
ARCTM-022,Built-environment upkeep,home improvement and project retail,Lowe's,LOW,"Lowe's is the second large read on repair, remodel, appliance replacement, and pro demand.",Sells home improvement products and project supplies through stores and digital channels.,"Retail sales, pro spending, installation services, and credit/payment partnerships.","Comparable sales, pro penetration, inventory, gross margin, free cash flow.",Demand shifts away from home projects or pro execution fails.,annual-report-lowes-built-environment-extraction-pass-1.md,source-visible-with-boundary
ARCTM-023,Built-environment upkeep,waterworks and civic infrastructure,Core & Main,CNM,Core & Main shows that public and private water systems are replacement and repair markets.,"Distributes pipes, valves, hydrants, meters, storm-drainage, and waterworks products.","Municipal, utility, contractor, and developer purchases; branch-level distribution margin.","Net sales, acquisitions, inventory, gross margin, working capital, cash flow.","Municipal funding weakens, projects delay, or acquired branches fail to generate cash.",annual-report-core-main-built-environment-extraction-pass-1.md,source-visible-with-boundary
ARCTM-024,Built-environment upkeep,building-products supply,Builders FirstSource,BLDR,"Builders FirstSource shows how housing construction depends on materials, components, and local logistics.","Supplies lumber, manufactured components, windows, doors, and building products.","Builder purchases, value-added components, installation support, and distribution margin.","Starts, sales, gross margin, value-added product mix, working capital.",Housing starts drop or component margin fails to offset cyclical demand.,annual-report-builders-firstsource-built-environment-extraction-pass-1.md,source-visible-with-boundary
ARCTM-025,Built-environment upkeep,paint and surface renewal,Sherwin-Williams,SHW,"Sherwin-Williams shows upkeep as repainting, renovation, maintenance, and contractor repeat demand.","Makes and sells paint, coatings, and related supplies.","Store sales, contractor accounts, consumer purchases, industrial coatings, pricing power.","Same-store sales, volume, price/mix, segment margin, inventory and receivables.","Customers defer repainting, raw-material inflation overwhelms pricing, or acquisition returns disappoint.",annual-report-sherwin-williams-built-environment-extraction-pass-1.md,source-visible-with-boundary
ARCTM-026,Digital control,network edge and security,Cloudflare,NET,"Cloudflare shows the control layer between websites, users, applications, bots, and attacks.","Provides network, security, developer, and edge services.","Subscription revenue, usage expansion, enterprise contracts, and platform add-ons.","ARR, revenue retention, large customers, gross margin, RPO, operating cash flow.","Customers consolidate elsewhere, usage does not monetize, or security failures damage trust.",annual-report-cloudflare-digital-control-extraction-pass-1.md,source-visible-with-boundary
ARCTM-027,Digital control,content delivery and security,Akamai,AKAM,"Akamai shows mature digital routing: content delivery, edge security, and cloud infrastructure.",Delivers and secures online traffic for enterprises and media customers.,"Contracts, traffic-based revenue, security subscriptions, and cloud services.","Security revenue, delivery revenue, traffic, retention, operating margin.",Traffic commoditizes or cloud/security investments fail to grow cash.,annual-report-akamai-digital-control-extraction-pass-1.md,source-visible-with-boundary
ARCTM-028,Digital control,identity and zero-trust access,Zscaler,ZS,Zscaler shows digital control as access permission instead of old perimeter security.,"Provides cloud security, zero-trust access, and traffic inspection.","Subscriptions, seat expansion, platform modules, and enterprise contracts.","ARR, billings, RPO, net retention, free cash flow.","Security budgets slow, seat expansion weakens, or competitors bundle away the value.",annual-report-zscaler-digital-control-extraction-pass-1.md,source-visible-with-boundary
ARCTM-029,Digital control,network firewall and security appliances,Fortinet,FTNT,"Fortinet shows digital control with hardware, software, subscriptions, and security services.","Sells firewalls, security hardware, software subscriptions, and support services.","Product sales, service subscriptions, renewals, and enterprise security spending.","Billings, service revenue, product revenue, deferred revenue, free cash flow.",Product cycles weaken or customers shift to competing cloud-only security.,annual-report-fortinet-digital-control-extraction-pass-1.md,source-visible-with-boundary
ARCTM-030,Digital control,creator platform and virtual economy,Roblox,RBLX,"Roblox shows digital control around identity, spending, moderation, developer payouts, and youth attention.","Runs a platform where users play, create, socialize, and spend virtual currency.","Bookings, virtual currency purchases, developer exchange economics, advertising, and subscriptions.","Bookings, DAUs, hours engaged, deferred revenue, infrastructure cost, free cash flow.",Engagement fails to become profitable cash or regulation restricts user monetization.,annual-report-roblox-digital-control-extraction-pass-1.md,source-visible-with-boundary
ARCTM-031,Value retail,membership bulk value,Costco,COST,Costco shows low-regret spending because members pay for access to trusted bulk value.,Runs warehouse clubs with high inventory velocity and paid memberships.,"Merchandise margin, membership fees, private label, gasoline, and ancillary services.","Membership fees, net sales, comparable sales, adjusted comparable sales, digitally enabled comparable sales, net income, inventory turns, operating cash flow.","Members stop renewing, value gap narrows, or inflation makes baskets unaffordable.",annual-report-costco-value-retail-extraction-pass-1.md; annual-report-final-integrated-theme-map-pass-1.csv,source-visible-with-boundary
ARCTM-032,Value retail,mass-market basket consolidation,Walmart,WMT,"Walmart shows households consolidating groceries, general merchandise, pharmacy, ads, and delivery.","Runs stores, e-commerce, grocery, marketplace, advertising, and fulfillment networks.","Retail sales, marketplace fees, advertising, memberships, pharmacy, and financial services.","Revenue growth, adjusted profit growth, global eCommerce growth, advertising growth, Walmart Connect growth, membership fee income growth, operating cash flow, free cash flow.",Consumers trade away or digital fulfillment costs consume the value.,annual-report-walmart-value-retail-extraction-pass-1.md; annual-report-final-integrated-theme-map-pass-1.csv,source-visible-with-boundary
ARCTM-033,Value retail,pressured middle-market basket,Target,TGT,Target shows middle-income pressure and the attempt to rebuild a discretionary-leaning retail relationship.,"Runs stores, digital retail, same-day delivery, marketplace, membership, and retail media around a curated mass-market basket.","Merchandise sales, delivery/service economics, membership revenue, marketplace activity, advertising, and store/digital margin.","net sales, operating income, non-merchandise growth, membership revenue growth, marketplace growth, same-day delivery growth, comparable sales, digital comparable sales, capex","Core merchandise weakens again, second-layer growth fails to improve margin or cash flow, membership renewal quality weakens, or capex does not improve traffic, basket, or inventory turn.",annual-report-target-discretionary-stress-extraction-pass-1.md; services/discount-variety-stores/target-corp/company-analysis.md,source-visible-with-boundary
ARCTM-034,Value retail,dollar-store access,Dollar General,DG,"Dollar General shows budget pressure through proximity, consumables, rural reach, and small-basket trips.","Runs small-box discount stores focused on consumables, seasonal goods, home products, and basic household needs.","Store sales, consumables margin, private label, traffic, and inventory conversion.","store count, sales growth, sales, same-store sales growth, EPS growth, consumables mix, traffic growth, gross margin improvement, gross margin, inventory turn, shrink, labor cost, operating cash flow","Traffic falls, shrink and wages overwhelm margin, inventory bloats, remodels disappoint, or customers trade to Walmart, clubs, grocery, or online alternatives.",annual-report-dollar-general-value-retail-extraction-pass-1.md; services/discount-variety-stores/dollar-general-corporation/company-analysis.md,source-visible-with-boundary
ARCTM-035,Value retail,off-price status preservation,Burlington Stores,BURL,Burlington shows pressured discretionary shopping where branded value and treasure-hunt behavior matter.,Runs off-price apparel and home stores that sell branded goods at discounted prices.,"Retail sales, merchandise margin, inventory buying spread, and store productivity.","store count, store sales mix, square footage, distribution centers, ABL capacity, borrowing capacity, total sales growth, comparable-store sales growth, merchandise margin, inventory turn, markdowns, new-store productivity","Branded inventory access weakens, traffic falls, markdowns rise, store productivity disappoints, ABL availability tightens, or comp growth fails to convert into cash.",annual-report-burlington-off-price-value-extraction-pass-1.md; consumer-goods/discount-variety-stores/burlington-stores-inc/company-analysis.md; extracted/consumer-goods/discount-variety-stores/burlington-stores-inc/company-packet.md,source-visible-with-boundary
ARCTM-036,Services and cultural consumption,hotel fee engine,Marriott,MAR,Marriott shows travel demand becoming fees without owning every hotel asset.,"Brands, manages, franchises, and supports hotels and loyalty programs globally.","Franchise fees, management fees, incentive fees, owned/leased hotel revenue, and loyalty economics.","RevPAR, occupancy, rooms, fee revenue, incentive fees, loyalty, owner pipeline, cash flow","Travel demand weakens, hotel owners cannot earn acceptable returns, or pipeline growth slows.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-037,Services and cultural consumption,travel marketplace,Booking Holdings,BKNG,"Booking shows travel demand routed through digital search, marketplace, and booking control.","Runs online travel marketplaces for lodging, flights, rental cars, restaurants, and experiences.","Commissions, merchant revenue, advertising, and payment-related economics.","gross bookings, room nights, take rate, marketing spend, operating margin, free cash flow","Travel demand weakens, suppliers bypass the platform, or marketing costs absorb economics.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-038,Services and cultural consumption,routine convenience food,McDonald's,MCD,"McDonald's shows low-ticket habit, speed, value, and franchised convenience.",Runs and franchises quick-service restaurants globally.,"Franchise royalties, rent, company-operated restaurant sales, and fees.","same-store sales, guest count, franchise margin, rent/royalty, unit growth, cash flow",Sales growth comes only from price while traffic weakens or franchisee economics deteriorate.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-039,Services and cultural consumption,daily habit and loyalty,Starbucks,SBUX,"Starbucks shows small daily reward, habit, loyalty, and store productivity.","Runs and licenses coffee shops and sells beverages, food, packaged coffee, and loyalty-linked products.","Store sales, licensed-store royalties, packaged sales, and loyalty-driven repeat purchases.","transactions, ticket, comparable sales, loyalty members, store margin, cash flow","Customers reduce visits, union/labor costs rise, or store experience weakens.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-040,Services and cultural consumption,experience and gaming spend,MGM Resorts,MGM,"MGM shows travel, gaming, entertainment, events, and hospitality spending.","Runs resorts, casinos, hotels, restaurants, entertainment venues, and digital gaming interests.","Room revenue, casino win, food and beverage, entertainment, resort fees, and digital gaming economics.","occupancy, RevPAR, casino revenue, event revenue, margin, free cash flow",Consumers pull back on travel/gaming or debt and capex absorb cash generation.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-041,Consumer goods and household identity,daily household trust,Procter & Gamble,PG,"P&G shows repeated household routines across cleaning, grooming, baby, fabric care, and personal care.",Makes branded household and personal-care products used repeatedly.,"Product sales through retailers and distributors, supported by brand pricing and volume.","organic sales, volume, price/mix, market share, gross margin, advertising, cash flow","Growth is only price-led, volume falls, private label gains, or retailers pressure margin.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-042,Consumer goods and household identity,oral and personal-care routine,Colgate-Palmolive,CL,Colgate shows daily oral-care and personal-care habits across global households.,"Makes toothpaste, oral care, personal care, home care, and pet nutrition products.","Branded product sales through retailers, professionals, and distributors.","organic sales, volume, price/mix, market share, gross margin, cash flow","Private label, local brands, or retailer pressure reduce volume and margin.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-043,Consumer goods and household identity,prestige beauty and identity,Estee Lauder,EL,"Estee Lauder shows beauty, identity, gifting, travel retail, and prestige demand.","Makes prestige skincare, makeup, fragrance, and hair-care brands.","Product sales through retail, online, travel retail, and specialty channels.","channel inventory, China/travel retail, organic sales, gross margin, cash conversion","Travel retail weakness, China softness, inventory overhang, or brand fatigue hurts sales and margin.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-044,Consumer goods and household identity,small indulgence and distribution,Coca-Cola,KO,"Coca-Cola shows low-ticket beverage habit, brand reach, and bottler distribution.","Sells beverage concentrates, syrups, finished drinks, and related brands globally.","Concentrate sales, finished-product sales, bottler economics, and price/mix.","unit cases, concentrate sales, price/mix, channel mix, bottler health, free cash flow","Volume fades, bottlers weaken, or pricing carries revenue without real demand.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-045,Consumer goods and household identity,family spending and licensing,Hasbro,HAS,"Hasbro shows toys, games, licensing, entertainment-linked demand, and family budgets.","Sells toys, games, licensed products, and entertainment-linked intellectual property.","Retail sales, licensing, digital gaming, entertainment rights, and franchise economics.","retail sell-through, licensing revenue, inventory, entertainment demand, cash flow","Parents cut spending, inventory bloats, or licensing/franchise demand weakens.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-046,Basic materials and input scarcity,copper constraint,Freeport-McMoRan,FCX,Freeport shows copper as a physical input constraint for electrification and infrastructure.,"Mines and sells copper, gold, and molybdenum from large global assets.","Metal sales based on volume, realized price, byproduct credits, and unit costs.","copper volumes, realized price, unit cash cost, reserves, capex, free cash flow","Copper prices fall, ore grades weaken, costs rise, or project capex absorbs returns.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-047,Basic materials and input scarcity,steel supply,Nucor,NUE,"Nucor shows steel supply behind construction, manufacturing, and infrastructure.","Makes steel, steel products, and raw-material inputs through mini-mills and downstream operations.","Steel shipments, product spreads, downstream fabrication sales, and recycling economics.","shipments, realized price, metal spread, utilization, segment margin, cash flow","Steel demand weakens, spreads compress, imports pressure pricing, or new capacity under-earns.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-048,Basic materials and input scarcity,steel capex to output,Steel Dynamics,STLD,Steel Dynamics shows capex-to-output and steel-cycle cash conversion.,"Produces steel, recycles metals, and makes fabricated steel products.","Steel shipments, metal spreads, fabrication margin, and recycling sales.","capex, plant/project table, production, shipment, margin, debt, cash flow","Plant ramps disappoint, spreads compress, or capex fails to produce adequate returns.",capital-flow-519-company-cash-realization-source-table-pass-1.md,source-visible-with-boundary
ARCTM-049,Basic materials and input scarcity,local aggregates scarcity,Vulcan Materials,VMC,Vulcan shows local quarry scarcity where heavy stone cannot move cheaply over long distances.,"Produces aggregates, asphalt, concrete, and construction materials.","Tons shipped, local pricing, asphalt/concrete sales, and logistics advantage.","shipment volume, price per ton, unit margins, reserves, public infrastructure demand",Construction slows or local quarry advantage does not protect pricing.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-050,Basic materials and input scarcity,fertilizer and food inputs,CF Industries,CF,"CF shows food supply depends on natural gas, nitrogen fertilizer, logistics, and farm economics.","Produces ammonia, urea, UAN, and other nitrogen products.","Fertilizer sales, global nitrogen prices, natural-gas cost advantage, export demand.","tons sold, realized price, gas cost, ammonia utilization, free cash flow",Crop economics weaken or gas advantage disappears.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-051,Real estate and scarce locations,communications towers,American Tower,AMT,American Tower shows scarce locations as vertical real estate leased to wireless carriers.,Owns and leases tower sites and communications infrastructure.,"Tenant rent, escalators, amendments, colocations, and long-term leases.","tenant billings, churn, AFFO, lease escalators, carrier capex","Carriers consolidate equipment, churn rises, or debt cost overwhelms escalators.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-052,Real estate and scarce locations,logistics warehouses,Prologis,PLD,Prologis shows scarce logistics land near consumers and supply chains.,Owns and leases logistics warehouses globally.,"Tenant rent, development gains, lease renewals, and value-added services.","occupancy, rent growth, retention, development starts, AFFO","Tenants downsize, new supply weakens rents, or financing costs absorb growth.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-053,Real estate and scarce locations,data-center campuses,Equinix,EQIX,Equinix shows location scarcity in interconnection-heavy data centers.,"Operates data centers where companies connect networks, cloud providers, and digital systems.","Recurring colocation rent, interconnection fees, power pass-throughs, and services.","cabinet utilization, interconnection revenue, churn, power capacity, AFFO",Power constraints prevent growth or customers migrate to cheaper capacity.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-054,Real estate and scarce locations,senior housing and medical locations,Welltower,WELL,"Welltower shows healthcare demand becoming location, operator, and rent economics.",Owns senior housing and healthcare real estate.,"Resident payments, operator rent, triple-net leases, management structures, and reimbursements.","occupancy, rent growth, operator margins, same-store NOI, AFFO",Labor costs or resident affordability break operator economics.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-055,Real estate and scarce locations,single-tenant net lease,Realty Income,O,Realty Income shows ordinary commercial locations turned into rent streams through long leases.,Owns freestanding properties leased to retailers and service tenants.,"Monthly rent, lease escalators, acquisitions, and debt/equity-funded property ownership.","occupancy, rent collection, AFFO, acquisition spreads, tenant concentration",Tenant credit weakens or acquisition yields fall below funding costs.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-056,Broad technology beyond internet software,cloud and productivity platform,Microsoft,MSFT,"Microsoft shows software, cloud, security, AI infrastructure, and enterprise workflow in one stack.","Sells cloud services, software subscriptions, operating systems, gaming, devices, and ads.","Subscriptions, cloud usage, enterprise contracts, licenses, gaming revenue, and advertising.","Azure growth, commercial remaining performance obligation, margin, capex, free cash flow",AI/cloud capex fails to earn enough usage revenue or customers cut seats.,annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-057,Broad technology beyond internet software,AI chips and accelerated computing,NVIDIA,NVDA,"NVIDIA shows AI demand becoming chips, systems, networking, software, and data-center spend.","Designs GPUs, networking products, systems, and software platforms.","Chip/system sales, networking, software, support, and ecosystem demand.","data-center revenue, gross margin, customer concentration, inventory, supply","Customers overbuild, rivals catch up, or hyperscalers reduce external chip dependency.",annual-report-final-integrated-theme-map-pass-1.csv,theme-candidate
ARCTM-058,Broad technology beyond internet software,semiconductor and infrastructure software,Broadcom,AVGO,Broadcom shows the stack through chips plus large enterprise infrastructure software.,Sells semiconductor products and infrastructure software.,"Chip sales, software subscriptions, renewals, enterprise contracts, and custom silicon.","semiconductor revenue, software revenue, bookings/RPO, margin, cash flow",Customer concentration or integration problems reduce durable cash generation.,annual-report-integrated-release-link-check-pass-1.md,theme-candidate
