energy_extract_id,linked_manifest_id,linked_cipe_id,company,ticker,source_id,source_file,source_type,period,subtheme,exact_metric_label,value,unit,evidence_bucket,safe_claim,boundary,next_source
CIESTE-011,CIPSM-001,CIPE-001,Energy Transfer LP,ET,ET-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,contracted y-grade capacity,Long-term transportation and/or fractionation agreements on y-grade assets,300000,bpd,contracted-capacity,Energy Transfer signed long-term y-grade transportation/fractionation agreements for roughly 300000 bpd extending into the 2030s.,The customer names, minimum-volume terms, pricing, and credit support are not extracted here.,contract exhibits or detailed project presentation
CIESTE-012,CIPSM-001,CIPE-001,Energy Transfer LP,ET,ET-Q2-2026-10Q,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-10q.html,SEC 10-Q,2026 Q2,funding and balance sheet,Five-Year Credit Facility unused availability after letters of credit,3.76,B USD,liquidity-visible,Energy Transfer had 3.76B USD of revolver availability at June 30 2026 after letters of credit.,Availability is funding capacity, not proof that a specific project was debt-funded.,credit agreement and subsequent notes use-of-proceeds
CIESTE-013,CIPSM-001,CIPE-001,Energy Transfer LP,ET,ET-Q2-2026-10Q,raw/sec/energy/oil-gas-pipelines/energy-transfer-lp/2026-q2-10q.html,SEC 10-Q,2026 Q2,funding and balance sheet,Long-term debt less current maturities at June 30 2026,68.393,B USD,balance-sheet-context,Energy Transfer's buildout sits on a large debt-funded partnership balance sheet with 68.393B USD of long-term debt less current maturities.,Balance-sheet debt does not identify project-level financing without use-of-proceeds and debt maturity mapping.,ET debt maturity table and indenture links
CIESTE-014,CIPSM-003,CIPE-002,Cheniere Energy Inc.,LNG,LNG-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,LNG cash generation,Revenues for the three months ended June 30 2026,5.73,B USD,cash-generation,Cheniere generated source-backed Q2 revenue of 5.73B USD.,Revenue is not margin or project-return proof.,Cheniere 2026 Q2 10-Q segment and derivative tables
CIESTE-015,CIPSM-003,CIPE-002,Cheniere Energy Inc.,LNG,LNG-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,LNG cash generation,Consolidated Adjusted EBITDA for the three months ended June 30 2026,1.80,B USD,cash-generation,Cheniere generated Q2 consolidated adjusted EBITDA of 1.80B USD.,Adjusted EBITDA is non-GAAP and must be reconciled to GAAP cash flow and project finance obligations.,Cheniere 2026 Q2 10-Q non-GAAP reconciliation and debt footnote
CIESTE-016,CIPSM-003,CIPE-002,Cheniere Energy Inc.,LNG,LNG-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,LNG cash generation,Distributable Cash Flow for the three months ended June 30 2026,1.17,B USD,cash-generation,Cheniere generated Q2 distributable cash flow of 1.17B USD.,DCF is not a direct measure of single-train return.,Cheniere DCF reconciliation and debt service schedule
CIESTE-017,CIPSM-003,CIPE-002,Cheniere Energy Inc.,LNG,LNG-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,FY 2026 guidance,LNG production forecast range,53-54,mtpa,production-guide,Cheniere tightened its FY 2026 production forecast upward to 53-54 mtpa.,Production guidance must be checked against actual cargoes and train availability.,FY 2026 10-K operating statistics
CIESTE-018,CIPSM-003,CIPE-002,Cheniere Energy Inc.,LNG,LNG-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,LNG cargo throughput,Cargoes exported from facilities in Q2 2026,184,cargoes,throughput-visible,Cheniere exported 184 LNG cargoes in Q2 2026 and 371 in the first half.,Cargo count must be converted to volumes/value by destination and contract mix before destination proof.,shipping and customer contract disclosures
CIESTE-019,CIPSM-003,CIPE-002,Cheniere Energy Inc.,LNG,LNG-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,Corpus Christi Stage 3,Midscale Train 6 substantial completion,June 2026,date,in-service-milestone,Cheniere achieved substantial completion of Corpus Christi Stage 3 Midscale Train 6 in June 2026.,Substantial completion is operating-milestone evidence but not a train-level return calculation.,project completion certificate or 10-Q construction table
CIESTE-020,CIPSM-003,CIPE-002,Cheniere Energy Inc.,LNG,LNG-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,Corpus Christi Stage 3,Midscale Train 7 first LNG and substantial-completion timing,imminent first LNG; fall 2026 substantial completion,status,under-construction,Cheniere says Train 7 first LNG is expected imminently and substantial completion is expected in fall 2026.,This is a forward milestone and should not be treated as completed capacity until later filings confirm it.,Q3 2026 10-Q and earnings release
CIESTE-021,CIPSM-003,CIPE-002,Cheniere Energy Inc.,LNG,LNG-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,Cheniere capital deployment,Capital deployed under comprehensive capital allocation plan in Q2 2026,884,M USD,capital-deployment,Cheniere deployed 884M USD in Q2 under its capital allocation plan.,The deployment total mixes buybacks, dividends, growth capital, and debt repayment; use subrows before claiming operating investment.,capital allocation table and cash-flow statement
CIESTE-022,CIPSM-003,CIPE-002,Cheniere Energy Inc.,LNG,LNG-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,Cheniere growth capex,Growth capital invested in Q2 2026,1.1,B USD,growth-capex-visible,Cheniere invested approximately 1.1B USD of growth capital in Q2 2026 and 2.1B USD in H1 2026.,The row needs project-by-project split before assigning all growth capex to a specific train or terminal.,10-Q construction and financing tables
CIESTE-023,CIPSM-003,CIPE-002,Cheniere Energy Inc.,LNG,LNG-Q2-2026-EX99,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-ex99-earnings-release.html,SEC 8-K exhibit,2026 Q2,Cheniere growth capex funding,Equity-funded portion of Q2 growth capital,219,M USD,funding-visible,Cheniere disclosed about 219M USD of equity funding for Q2 growth capital and 520M USD for H1 growth capital.,This does not identify remaining project debt funding by train.,project finance facility tables
CIESTE-024,CIPSM-003,CIPE-002,Cheniere Energy Inc.,LNG,LNG-Q2-2026-10Q,raw/sec/energy/oil-gas-pipelines/cheniere-energy-inc/2026-q2-10q.html,SEC 10-Q,2026 Q2,LNG balance sheet and project finance,Long-term debt net of unamortized discount and debt issuance costs,22.632,B USD,balance-sheet-context,Cheniere had 22.632B USD of long-term debt net of current debt and issuance adjustments at June 30 2026.,Company-level debt needs entity and project-facility mapping before project-finance claims.,Cheniere 10-Q debt table and facility terms
