deliverable_id,deliverable,status,authoritative_artifact,boundary_or_gap,verification
D-11,Owner-cash and denominator-specific valuation tables,partial,analysis/company-first-principles/combined-investment-research-owner-cash-denominator-index.md,"Sector-specific denominators exist, but normalized owner cash is incomplete; the field-level retail owner-cash schema is now the authoritative CA-06 input specification.","Read the index and promotion matrix, then check the retail owner-cash input schema, linked bridge CSVs, and valuation workbenches"
D-12,Capital-source and destination map,qualified,analysis/company-first-principles/combined-investment-research-pilot-03-apollo-named-asset-return-routes.md,"Named routes and legal entities are visible; the ARI agreement mechanics, bounded post-close public search, and Athene AUM-outflow classification now identify the settlement and buyer-reporting boundaries, but final receipts and returns remain open.","Check named-route table, ARI payment-mechanics boundary, AUM outflow boundary, post-close proof search, and pilot ledgers"
D-13,Named-cash proof tables for selected cases,qualified,analysis/company-first-principles/data/combined-investment-research-pilot-01-wheaton-antamina.csv,"Proof grades prevent overclaiming; the new ARI search ledger classifies missing public settlement objects as searched-negative, while full receipt waterfalls are not complete.","Check all three ledgers, ARI post-close proof search, and source artifacts"
D-14,Evidence-grade thesis-breaker registers,checked,analysis/company-first-principles/combined-investment-research-thesis-breaker-register.md,"Triggers are defined but await subsequent filings or source tests.","Check nine-row register and CSV"
D-15,Reproducible source routes,checked,scripts/verify-combined-investment-pilots.py,"External refresh and archival completeness remain ongoing; the capital-flow graph now has a dedicated 16-flow schema and boundary verifier.","Run verify-combined-investment-pilots.py, verify-capital-flow-end-to-end-graph.py, and reader-route verifier"
D-16,Reader-facing site distinguishing depth and confidence,checked,analysis/company-first-principles/combined-investment-research-reader-browser-review-2026-09-17.md,"Presentation cannot upgrade an evidence grade.","Read the current dated browser-review record; rerun the reader server, Chromium suite, and route verifier"
D-17,Completion audit,checked,analysis/company-first-principles/combined-investment-research-completion-audit.md,"Audit records incomplete requirements instead of declaring the project done; the dedicated verifier enforces 13 requirement rows, CA-06 partial status, Q-01 through Q-13, and the 90-deliverable count.","Run verify-combined-investment-completion-audit.py and the full verifier suite"
D-18,Next-cycle candidate expansion and admission controls,qualified,analysis/company-first-principles/combined-investment-research-next-cycle-candidate-expansion-2026-09-16.md,"The next lanes are sequenced by evidence-chain quality, not expected return; the active power-grid lane remains hold-with-strong-route-visible and CA-06 remains incomplete.","Run verify-power-grid-expansion-lane.py; check the candidate-expansion memo, structured CSV, linked power-grid synthesis, and promotion/stop rules"
D-19,Insurance statutory named-asset income expansion lane,qualified,analysis/company-first-principles/capital-flow-insurance-statutory-named-asset-income-next-dig-pass-1.md,"Apollo/Athene and KKR/Global Atlantic/Accordia provide legal-entity and row-level cash-back proxies, but borrower receipts, liability-adjusted spread, waterfalls, and final returns remain unproven.","Run verify-insurance-statutory-expansion-lane.py; inspect the Apollo route map, Aristotle/AMAPS boundaries, Accordia bridge, and pass/hold controls"
D-20,Asset-backed collateral and borrowing-base expansion lane,qualified,analysis/company-first-principles/capital-flow-uri-borrowing-base-collateral-availability-proof-chase-pass-1.md,"United Rentals provides the strongest public collateral/fleet cash proxy, but populated borrowing-base certificates, eligible collateral, reserves, legal availability, source-to-purchase allocation, and lifecycle return remain unproven.","Run verify-asset-backed-expansion-lane.py; inspect the URI collateral chase, ABL formula definitions, fleet-return bridge, and certificate hold boundary"
D-21,Expansion-lane quality-of-earnings and financial-shenanigans overlay,qualified,analysis/company-first-principles/combined-investment-research-expansion-lane-qoe-overlay-2026-09-16.md,"The overlay provides diagnostics and non-inference boundaries for the three expansion lanes; it is not a manipulation score and does not promote owner cash.","Run verify-expansion-lane-qoe-overlay.py; inspect the twelve field-level rows and each lane's required source"
D-22,FPL Distribution Inspection official PSC source refresh,qualified,analysis/company-first-principles/capital-flow-fpl-distribution-inspection-official-psc-source-refresh-2026-09-16.md,"Official PSC filings strengthen the program, rate-class allocation, billing-period, and true-up route, but do not disclose category-specific customer receipts or source-of-funds allocation.","Inspect the two linked official PSC filings and reconcile Q-11's searched-negative boundary"
D-23,MF1 public SEC wrapper and collateral route refresh,qualified,analysis/company-first-principles/capital-flow-apollo-athene-mf1-public-sec-document-refresh-2026-09-16.md,"The SEC-filed MF1 report strengthens the Apollo-affiliated wrapper and collateral route, but does not prove Athene ownership, remittance, liability-adjusted return, or common-owner cash.","Inspect the SEC filing and reconcile Q-12's named-wrapper boundary"
D-24,Cross-sector integration matrix,qualified,analysis/company-first-principles/annual-report-cross-sector-integration-matrix-pass-1.md,"The matrix connects the eight undercovered article themes to the established pilots and makes payer, burden, denominator, QoE, owner-cash, valuation, macro, and breaker fields explicit; it does not close named-cash, project-return, liability-adjusted, or normalized-owner-cash gates and is not a ranking.","Run verify-annual-report-cross-sector-integration.py; inspect all 12 rows, source artifacts, and non-ranking boundary"
D-25,Industrial uptime first-principles sector synthesis,qualified,analysis/company-first-principles/annual-report-industrial-uptime-first-principles-synthesis-pass-2-2026-09-17.md,"The chapter connects uptime demand to WESCO, Fastenal, Sterling, and URI control points and applies QoE, valuation, liquidity, and thesis-breaker lenses; it does not produce normalized owner cash or a cross-company ranking.","Inspect the chapter and structured CSV; run the industrial uptime conversion, QoE, valuation, and reader-route checks"
D-26,Medical devices and clinical workflow first-principles sector synthesis,qualified,analysis/company-first-principles/annual-report-medical-devices-clinical-workflow-first-principles-synthesis-pass-2-2026-09-17.md,"The chapter connects clinical demand to Stryker, Intuitive, and Henry Schein control points and applies installed-base, acquisition, restructuring, QoE, valuation, liquidity, and thesis-breaker tests; it does not produce normalized owner cash or a ranking.","Inspect the chapter and structured CSV; run the medical-devices evidence, QoE, valuation, and reader-route checks"
D-27,TJX FY2026 owner-cash perimeter upgrade,qualified,analysis/company-first-principles/combined-investment-research-tjx-fy2026-owner-cash-perimeter-upgrade-2026-09-17.md,"The annual filing adds category-level property, tax, lease, and repair-policy evidence for TJX and a dated reported cash-after-property screen; maintenance versus growth and normalized owner cash remain open.","Inspect the TJX upgrade and official 10-K; verify no double counting of lease or tax cash"
D-28,Walmart Q2 FY2027 cash-quality perimeter upgrade,qualified,analysis/company-first-principles/combined-investment-research-walmart-q2-fy2027-cash-quality-perimeter-upgrade-2026-09-17.md,"The latest H1 filing adds period-matched cash-flow, supplier-finance, tariff-refund, tax-benefit, debt, NCI, and diluted-share controls; maintenance capital, lease/tax payment timing, service allocation, and normalized owner cash remain open.","Inspect the Walmart upgrade and official Q2 10-Q; verify FCF limitations and no double counting"
D-29,Target Q2 2026 cash-quality perimeter upgrade,qualified,analysis/company-first-principles/combined-investment-research-target-q2-2026-cash-quality-perimeter-upgrade-2026-09-17.md,"The current H1 filing refreshes Target cash, supplier finance, tariff-refund support, lease-liability, debt, dividend, SBC, and diluted-share controls; maintenance capital, cash-paid lease/tax timing, service allocation, and normalized owner cash remain open.","Inspect the Target upgrade and official Q2 10-Q; verify tariff normalization and no double counting"
D-30,Insurance statutory named-asset first-principles synthesis,qualified,analysis/company-first-principles/annual-report-insurance-statutory-named-asset-first-principles-synthesis-pass-2-2026-09-17.md,"Named insurer legal entities, statutory income, collected investment income, and asset proceeds are mapped, but remittance, liability cost, settlement, liability-adjusted return, and common-owner residual remain open.","Inspect the synthesis and supporting insurance bridges; verify income-versus-cash, CUSIP continuity, entity perimeter, and liability-cost boundaries"
D-31,Semiconductor process-control first-principles synthesis,qualified,analysis/company-first-principles/annual-report-semiconductor-process-control-first-principles-synthesis-pass-2-2026-09-17.md,"KLA's process-control and installed-service route is joined to customer concentration, factoring, deferred revenue, R&D, commitments, debt, SBC, and capital returns; cycle-normalized maintenance and diluted common-owner cash remain open.","Inspect the synthesis and KLA FY2026 filing refreshes; verify acceptance, factoring unwind, working-capital settlement, economic R&D/service burden, and per-share claims"
D-32,Digital infrastructure real-estate first-principles synthesis,qualified,analysis/company-first-principles/annual-report-digital-infrastructure-real-estate-first-principles-synthesis-pass-2-2026-09-17.md,"Equinix and Digital Realty are joined from powered capacity and interconnection through energization, commencement, rent, development capital, partner funding, debt, and dilution; project-level stabilized return and common-owner cash remain open.","Inspect the synthesis and current-period/project-return workbenches; verify project capital, commencement, stabilized yield, recurring capital, partner claims, and diluted per-share economics"
D-33,Healthcare distribution first-principles synthesis,qualified,analysis/company-first-principles/annual-report-healthcare-distribution-first-principles-synthesis-pass-2-2026-09-17.md,"McKesson, Cencora, and Cardinal are joined from essential-care demand through distribution scale, gross-profit spread, working-capital settlement, acquisitions, legal claims, financing, and dilution; normalized common-owner cash remains open.","Inspect the synthesis and company refreshes; verify gross-profit conversion, matched working-capital settlement, acquisition returns, legal/temporary cash, preferred/NCI claims, and diluted residual"
D-34,KLA five-year cash-cycle panel,qualified,analysis/company-first-principles/combined-investment-research-kla-five-year-cash-cycle-panel-2026-09-17.md,"SEC company-facts history joins FY2022-FY2026 revenue, OCF, PP&E, and working-capital exposure; the declining OCF margin and rising operating-asset screen improve cycle analysis, but factoring unwind, service economics, maintenance R&D, and diluted owner cash remain open.","Inspect the structured five-year panel and KLA FY2026 filing; verify fiscal-year facts, arithmetic, factoring treatment, cycle reversal, and owner-cash boundary"
D-35,KLA installed-base denominator boundary,qualified,analysis/company-first-principles/combined-investment-research-kla-installed-base-denominator-boundary-2026-09-17.md,"The FY2026 10-K names installed systems, utilization, renewal, mix, and FX as service-revenue drivers but does not quantify systems in field, utilization, renewal, or service revenue per system; service durability and owner cash remain open.","Inspect the filing's service-revenue discussion; verify the searched-negative quantitative boundary and require a numeric installed-base or matched service-per-system schedule for promotion"
D-36,Retail CA-06 allocation boundary,qualified,analysis/company-first-principles/combined-investment-research-retail-ca06-allocation-boundary-2026-09-17.md,"TJX, Target, and Walmart have current-period OCF/property screens and burden context, but matched maintenance/growth, supplier-finance settlement, lease/tax cash, attached-service cost/collection, and common-owner allocation remain open.","Inspect the boundary memo and three company upgrades; verify no double counting and require a matched payment, project, or allocation schedule for CA-06 promotion"
D-37,Intuitive installed-base cohort diagnostic,qualified,analysis/company-first-principles/combined-investment-research-intuitive-installed-base-cohort-pass-2-2026-09-17.md,"Intuitive's Q2 2026 filing joins system counts, procedures, instruments/accessories, service, and usage-based lease revenue in one operating chain; lease collection, cohort margin, support burden, and diluted owner cash remain open.","Inspect the cohort diagnostic and Q2 filing; verify platform/period denominators, lease receivables and collections, inventory/support burden, SBC, and per-share claims"
D-38,Stryker Inari post-close return bridge,qualified,analysis/company-first-principles/combined-investment-research-stryker-inari-acquisition-cohort-pass-2-2026-09-17.md,"Stryker's Inari consideration, goodwill/intangibles, post-close operating cash, integration, structural, recall, regulatory, debt, and liquidity claims are visible, but Inari-only revenue, margin, cash return, and incremental ROIC remain open.","Inspect the bridge and Q2 filing; verify acquired-cohort attribution, cash-paid claims, working capital, financing, dilution, and incremental return"
D-39,Henry Schein H1 owner-cash funding bridge,qualified,analysis/company-first-principles/combined-investment-research-henry-schein-owner-cash-funding-bridge-pass-2-2026-09-17.md,"Henry Schein's thin pre-debt residual, repurchases, debt issuance, receivable securitization utilization, working capital, restructuring, KKR issuance, and dilution are joined, but exact funding attribution and normalized owner cash remain open.","Inspect the H1 funding bridge; verify beginning/ending cash, borrowing and repurchase waterfall, collateral eligibility, restructuring cash, and diluted claims"
D-40,Digital infrastructure project-return workbench,qualified,analysis/company-first-principles/combined-investment-research-digital-infrastructure-project-return-workbench-2026-09-17.md,"Equinix and Digital Realty recurring, development, acquisition, JV/fund, debt, partner, and equity funding surfaces are separated; named project capital, commencement, stabilized NOI, partner economics, and per-share return remain open.","Inspect the project-return workbench; verify recurring versus growth capex, total project capital, partner/debt claims, commencement, stabilized yield, and diluted owner cash"
D-41,URI borrowing-base collateral availability proof chase,qualified,analysis/company-first-principles/capital-flow-uri-borrowing-base-collateral-availability-proof-chase-pass-1.md,"URI's ABL and AR facility-level availability, collateral proxies, and fleet cash/recovery surface are visible, but populated borrowing-base values, eligible collateral, NOLV, reserves, source-to-purchase use, and lifecycle return remain open.","Inspect the proof chase and SEC exhibits; verify facility-availability reconciliation and require certificate-grade collateral and lifecycle cash joins"
D-42,Power-grid current-period synthesis,qualified,analysis/company-first-principles/combined-investment-research-power-grid-current-period-synthesis-2026-09-17.md,"NextEra/FPL, AEP, and Duke are joined around category recovery, named large-load obligations, and a co-owned generation project with cash, capex, financing, and owner-claim controls; billing, collection, and project return remain open.","Inspect the synthesis and power-grid valuation/liquidity handoff; verify category/project identity, paid capex, billing, collection, financing, shared ownership, and dilution"
D-43,Power-grid valuation and liquidity handoff,qualified,analysis/company-first-principles/combined-investment-research-power-grid-valuation-liquidity-handoff-2026-09-17.md,"NextEra/FPL, Duke, and AEP have company-specific market-implied recovery, rate-base, capital-plan, debt, tax-credit, affordability, and funding-stress screens; AEP's market denominator and all collection/project-return joins remain open.","Inspect the valuation/liquidity handoff and structured register; verify expectation arithmetic, market-denominator boundaries, rate/funding transmission, and non-ranking status"
D-44,Insurance statutory owner-cash promotion workbench,qualified,analysis/company-first-principles/combined-investment-research-insurance-statutory-owner-cash-promotion-workbench-2026-09-17.md,"Apollo/Athene and Accordia named income, proceeds, legal entities, and liability-adjusted return fields are separated; receipt, liability cost, remittance, capital treatment, and common-owner allocation remain open.","Inspect the workbench and insurance evidence panel; verify legal-entity, named-asset, income/proceeds, liability-cost, remittance, and after-cost return gates"
D-45,Private-credit borrower promotion workbench,qualified,analysis/company-first-principles/combined-investment-research-private-credit-promotion-workbench-2026-09-17.md,"Bear Financing, Concord, and Frontline are placed on a common lender-to-borrower cash-waterfall schema; funded principal, lender allocation, borrower debt service, receipt, repayment, liability cost, and owner residual remain open.","Inspect the workbench and related primary-source refreshes; verify legal entity, instrument, borrower/use, funding, collateral, debt service, receipt, repayment, and Atwell exclusion boundaries"
D-46,Apollo-Athene Q2 parent-receipt attribution frontier,qualified,analysis/company-first-principles/capital-flow-apollo-athene-q2-parent-receipt-attribution-frontier-2026-09-15.md,"Athene's H1 distribution-to-parent observation and a $0M-$110M mechanical AGM-attribution sensitivity are visible, but a dated AGM receipt, parent-only availability, intercompany elimination, senior claims, and common-owner residual remain open.","Inspect the frontier and linked Apollo/Athene source boundaries; verify the $110M legal-entity observation, sensitivity arithmetic, parent-cash perimeter, and non-promotion controls"
D-47,Restaurant-franchise first-principles synthesis,qualified,analysis/company-first-principles/annual-report-restaurant-franchise-first-principles-synthesis-pass-1-2026-09-17.md,"CAVA, Restaurant Brands International, Wingstop, and Yum expose brand/franchise control and FY2025 OCF/capex screens, but advertising-fund perimeter, franchisee support, maintenance/growth capex, debt, acquisitions, dilution, and normalized common-owner cash remain open.","Inspect the synthesis and four FY2025 filings; run the restaurant-franchise denominator verifier and verify non-comparable cash screens, QoE controls, and no-ranking boundary"
D-48,Restaurant-franchise filing evidence panel,qualified,analysis/company-first-principles/combined-investment-research-restaurant-franchise-filing-evidence-panel-2026-09-17.md,"Structured FY2025 restaurant counts and advertising/franchisor-cost fields improve control-point and perimeter analysis, but royalty margin, advertising-fund collections/use, franchisee health, and normalized owner cash remain open.","Inspect the panel and company-facts files; run the restaurant-franchise denominator verifier and verify units, periods, tags, and non-promotion boundary"
D-49,Restaurant-franchise owner-cash promotion workbench,qualified,analysis/company-first-principles/combined-investment-research-restaurant-franchise-owner-cash-promotion-workbench-2026-09-17.md,"A common bridge separates systemwide sales, royalty collections, advertising-fund cash, franchisee health, corporate burden, and diluted common-owner residual; the joinable cash schedule remains open.","Inspect the field-level matrix and restaurant filings; verify each gate, the no-ranking boundary, and the required same-period royalty/collection object"
D-50,Restaurant current-period refresh,qualified,analysis/company-first-principles/combined-investment-research-restaurant-current-period-refresh-2026-09-17.md,"McDonald's and Chipotle H1 2026 OCF, PP&E, distribution, and unit-count facts are period-controlled but non-comparable to the FY2025 cohort; franchise economics, burden allocation, and owner cash remain open.","Inspect the current-period refresh and Q2 filings; run its verifier, confirm H1-versus-quarter selection, and preserve the no-ranking boundary"
D-51,Insurance broker-carrier first-principles synthesis,qualified,analysis/company-first-principles/annual-report-insurance-broker-carrier-first-principles-synthesis-pass-1-2026-09-17.md,"Marsh McLennan, Arthur J. Gallagher, and Chubb expose distinct broker and carrier control points and FY2025 cash/claim surfaces, but legal-entity availability, reserve quality, acquired-cohort return, capital requirements, and diluted owner cash remain open.","Inspect the synthesis, three filing packets, and broker/carrier denominator verifiers; verify denominator separation, QoE controls, and no-ranking boundary"
D-52,Energy-midstream first-principles synthesis,qualified,analysis/company-first-principles/annual-report-energy-midstream-first-principles-synthesis-pass-1-2026-09-17.md,"Cheniere and Energy Transfer expose LNG and network-capacity control points with FY2025 company cash diagnostics, but named-project cost, shipper billing, collected cash, debt-service allocation, project return, and common-owner residual remain open.","Inspect the synthesis, project cash contribution proof chase, and energy-midstream verifier; verify denominators, project boundaries, QoE controls, and no-ranking status"
D-53,Exchange and information infrastructure first-principles synthesis,qualified,analysis/company-first-principles/annual-report-exchange-information-infrastructure-first-principles-synthesis-pass-1-2026-09-17.md,"CME and S&P Global expose transaction/clearing and benchmark/ratings/data control points with FY2025 cash diagnostics, but collateral availability, acquisition returns, technology burden, legal claims, and common-owner residual remain open.","Inspect the synthesis, CME/S&P Global filing packets, and exchange-information verifier; verify denominator separation, collateral/acquisition controls, and no-ranking status"
D-54,Materials specialty chemicals and steel first-principles synthesis,qualified,analysis/company-first-principles/annual-report-materials-specialty-chemicals-steel-first-principles-synthesis-pass-1-2026-09-17.md,"Ecolab, Sherwin-Williams, and Nucor expose specialty-service, coatings-distribution, and steel-cycle control points with FY2025 cash diagnostics, but capex classification, acquisition returns, input-cycle burden, environmental claims, debt, and common-owner residual remain open.","Inspect the synthesis, materials filing packets, and four materials denominator verifiers; verify denominator separation, cycle/capex controls, and no-ranking status"
D-55,Integrated oil-and-gas first-principles synthesis,qualified,analysis/company-first-principles/annual-report-integrated-oil-gas-first-principles-synthesis-pass-1-2026-09-17.md,"ConocoPhillips and Exxon Mobil expose upstream and integrated energy control points with FY2025 cash/capex diagnostics, but reserve replacement, paid maintenance/growth capex, project returns, environmental claims, debt, and through-cycle common-owner residual remain open.","Inspect the synthesis, ConocoPhillips and Exxon filings, and their denominator verifiers; verify capital-program versus paid-capex boundary, cycle controls, and no-ranking status"
D-56,Industrial distribution and building materials first-principles synthesis,qualified,analysis/company-first-principles/annual-report-industrial-distribution-building-materials-first-principles-synthesis-pass-1-2026-09-17.md,"Core & Main exposes waterworks and civic-infrastructure distribution control points with verified FY2025 revenue, OCF, receivables, inventory, acquisitions, debt, goodwill, NCI, and SBC; municipal funding and collection, working-capital quality, maintenance/growth capital, acquired-cohort return, and common-owner residual remain open.","Inspect the synthesis, Core & Main filing packet, and Core & Main/industrial-distribution denominator verifiers; verify period and tag selection, QoE controls, cash-quality boundary, and no-ranking status"
D-57,Industrial contractors and project cash first-principles synthesis,qualified,analysis/company-first-principles/annual-report-industrial-contractors-project-cash-first-principles-synthesis-pass-1-2026-09-17.md,"Comfort Systems USA, EMCOR, Sterling Infrastructure, Quanta Services, and MasTec expose installation, utility, site-development, and infrastructure project control points with verified FY2025 OCF, productive-asset spending, acquisitions, SBC, and repurchase diagnostics; funded backlog, billing, collection, cost-to-complete, claims, acquired-cohort return, and common-owner residual remain open.","Inspect the synthesis, five contractor filing packets, Sterling/MasTec project-cash workbenches, and the industrial-contractor verifier; verify periods, QoE controls, backlog-versus-cash boundaries, and no-ranking status"
D-58,Industrial contractors H1 2026 cash-quality refresh,qualified,analysis/company-first-principles/combined-investment-research-industrial-contractors-h1-2026-cash-quality-refresh-2026-09-17.md,"Comfort Systems USA, EMCOR, and Quanta H1 2026 OCF, productive-asset spending, and acquisition outlays are period-controlled; project billing, collection, cost-to-complete, maintenance/growth classification, acquired-cohort return, and diluted common-owner residual remain open.","Run verify-industrial-contractors-h1-2026-cash-quality-refresh.py; inspect the three Q2 2026 10-Qs and verify H1 date selection, no FY2025 pooling, and no-ranking status"
D-59,Retail latest Q2 2026 lease-and-tax search boundary,qualified,analysis/company-first-principles/combined-investment-research-retail-latest-q2-2026-lease-tax-search-boundary-2026-09-17.md,"Latest official TJX, Target, and Walmart interim filings expose lease liabilities, noncash lease additions, tax provisions, and accrual movements; TJX additionally reports $1.147B of H1 operating-lease cash paid, while Target and Walmart do not provide comparable interim cash-paid lease/tax schedules. This is searched-negative only for the missing payment objects, not zero-payment evidence, and CA-06 remains partial.","Inspect the three linked official Q2 filings and the boundary memo; verify TJX's $1.147B period-matched lease cash, cash-versus-liability distinction, no annual-to-H1 substitution, and no-ranking status"
D-60,Retail Q2 2026 working-capital denominator refresh,qualified,analysis/company-first-principles/combined-investment-research-retail-q2-2026-working-capital-denominator-refresh-2026-09-17.md,"TJX, Target, and Walmart latest interim filings provide same-period OCF, property, inventory, payable, lease, tax, and dilution controls; OCF-less-property and Walmart management-defined FCF remain reported diagnostics, while maintenance/growth, service allocation, supplier-finance settlement, and normalized common-owner residual remain open.","Inspect the three linked official Q2 filings and refresh; verify dates, inventory/payable cash-flow distinction, no double counting, management FCF boundary, and CA-06 partial status"
D-61,Retail Q2 2026 capex allocation sensitivity,qualified,analysis/company-first-principles/combined-investment-research-retail-q2-2026-capex-allocation-sensitivity-2026-09-17.md,"Walmart's disclosed $1.087B new-store/expansion/relocation category creates a growth floor inside $14.181B H1 property spending, while the remainder is mixed; Target's $2.404B and TJX's $1.159B property lines remain unallocated between maintenance and growth, so normalized owner cash remains open.","Inspect the three linked official Q2 filings and sensitivity memo; verify capex categories, arithmetic, mixed-remainder boundary, and Q-05/CA-06 partial status"
D-62,Retail Q2 2026 inventory/payables normalization,qualified,analysis/company-first-principles/combined-investment-research-retail-q2-2026-inventory-payables-normalization-2026-09-17.md,"Latest TJX, Target, and Walmart interim filings reconcile ending inventory/payables balances with reported cash-flow changes; mechanical inventory-less-payables uses are $116M, $261M, and $1.492B respectively, but are already embedded in OCF and cannot be deducted again. Reversal, supplier-finance settlement, margin, and normalized owner cash remain open.","Run verify-retail-q2-2026-inventory-payables-normalization.py; inspect the three official Q2 filings and verify date alignment, arithmetic, cash-flow versus balance distinction, and no-ranking boundary"
D-63,Retail Q2 2026 supplier-finance obligation refresh,qualified,analysis/company-first-principles/combined-investment-research-retail-q2-2026-supplier-finance-obligation-refresh-2026-09-17.md,"Target's supplier-finance-eligible obligations are $3.2B versus $3.0B at January 31, 2026; Walmart's outstanding supplier-finance obligations are $6.4B versus $6.0B. The filings distinguish eligible/outstanding obligations from actual early payments or settlement cash, so Q-04 and CA-06 remain open.","Inspect the refresh and linked Target/Walmart Q2 filings; run verify-retail-q2-2026-supplier-finance-obligation-refresh.py; verify obligation-versus-cash distinction, arithmetic, period alignment, and no-ranking boundary"
D-64,Broad technology Q2 2026 cash-quality refresh,qualified,analysis/company-first-principles/combined-investment-research-broad-technology-q2-2026-cash-quality-refresh-2026-09-17.md,"Fortinet and Cloudflare latest interim filings add period-controlled OCF, FCF, deferred revenue/RPO, infrastructure spending, gross-margin, SBC, repurchase, acquisition, and debt controls; billings, RPO, reported FCF, and noncash SBC add-backs remain diagnostic, so normalized owner cash and cycle durability remain open.","Inspect the refresh and linked Fortinet/Cloudflare Q2 filings; run verify-broad-technology-q2-2026-cash-quality-refresh.py; verify H1 period alignment, deferred-revenue and RPO boundaries, infrastructure burden, SBC/dilution treatment, and no-ranking status"
D-65,Basic materials Q2 2026 cash-quality refresh,qualified,analysis/company-first-principles/combined-investment-research-basic-materials-q2-2026-cash-quality-refresh-2026-09-17.md,"CF Industries, Sherwin-Williams, and West Fraser latest filings add period-controlled operating cash, capex, exceptional proceeds, tax deposits, partner funding, working capital, lease burden, acquisition, SBC, treasury-stock, and cycle controls; normalized through-cycle owner cash remains open.","Inspect the refresh and linked CF Industries, Sherwin-Williams, and West Fraser Q2 sources; run verify-basic-materials-q2-2026-cash-quality-refresh.py; verify period alignment, exceptional-item separation, partner funding, maintenance/growth boundary, and no-ranking status"
D-66,Consumer goods Q2 2026 cash-quality refresh,qualified,analysis/company-first-principles/combined-investment-research-consumer-goods-q2-2026-cash-quality-refresh-2026-09-17.md,"Burlington, Ollie's, and Lowe's latest filings add current sales, store, inventory, tariff-refund, operating-cash, capex, lease, acquisition, debt, dividend, repurchase, and dilution controls; household-value economics and normalized common-owner cash remain open.","Inspect the refresh and linked Burlington, Ollie's, and Lowe's Q2 filings; run verify-consumer-goods-q2-2026-cash-quality-refresh.py; verify period alignment, tariff and inventory timing, capex classification, debt/return claims, dilution treatment, and no-ranking status"
D-67,Ordinary finance Q2 2026 credit-quality refresh,qualified,analysis/company-first-principles/combined-investment-research-ordinary-finance-q2-2026-credit-quality-refresh-2026-09-17.md,"JPMorgan, American Express, and Capital One latest filings add current activity, funding, credit-cost, reserve, write-off, exceptional-gain, integration, capital, and dilution controls; loss-normalized common-owner economics remain open.","Inspect the refresh and linked JPMorgan, American Express, and Capital One Q2 filings; run verify-ordinary-finance-q2-2026-credit-quality-refresh.py; verify activity-versus-repayment, reserve/release treatment, exceptional gains, integration costs, regulatory capital, and no-ranking status"
