evidence_id,candidate,evidence_type,period,value,unit,source_artifact,interpretation,status,next_join
IUP-011,Fastenal,operating income,H1 2026,949.4,USD millions,raw/sec/industrial-goods/industrial-supply/fastenal-company/2026-q2-10q.html,"Operating result before owner-claim allocation",observed,"margin mix and service burden"
IUP-012,Fastenal,operating cash flow,H1 2026,644.1,USD millions,raw/sec/industrial-goods/industrial-supply/fastenal-company/2026-q2-10q.html,"Reported cash conversion is stronger than WESCO's in this window",observed,"recurrence after inventory and service investment"
IUP-013,Fastenal,property spend,H1 2026,123.0,USD millions,raw/sec/industrial-goods/industrial-supply/fastenal-company/2026-q2-10q.html,"Mechanical OCF less spend is 521.1M",observed,"maintenance versus growth and lease burden"
IUP-014,Fastenal,operating working-capital change,H1 2026,216.3,USD millions use,combined-investment-research-industrial-uptime-conversion-screen-2026-09-17.md,"Receivables growth was partly offset by inventory and payables movements",diagnostic,"customer collection vendor terms and service-cost bridge"
IUP-015,Sterling,signed backlog,Q2 2026,4.33,USD billions,combined-investment-research-industrial-uptime-sterling-backlog-quality-separation-2026-09-17.md,"Highest visibility backlog layer but still needs margin billing and collection",observed,"project-level backlog-to-cash roll-forward"
IUP-016,Sterling,combined backlog,Q2 2026,5.62,USD billions,combined-investment-research-industrial-uptime-sterling-backlog-quality-separation-2026-09-17.md,"Includes unsigned awards and is not equivalent to contracted revenue",observed,"separate unsigned conversion"
IUP-017,Sterling,future-phase opportunities,Q2 2026,1.4,USD billions minimum,combined-investment-research-industrial-uptime-sterling-backlog-quality-separation-2026-09-17.md,"Optionality below signed and combined backlog",observed,"funding and signed-conversion evidence"
IUP-018,Sterling,acquisition backlog contribution,Q2 2026,2.56,USD billions,combined-investment-research-industrial-uptime-sterling-backlog-quality-separation-2026-09-17.md,"CEC and Stone Ridge contribution is material to combined funnel",diagnostic,"post-close margin cash earn-out and dilution"
IUP-019,Sterling,acquisition revenue contribution,Q2 2026,21.5,percent,combined-investment-research-industrial-uptime-sterling-backlog-quality-separation-2026-09-17.md,"Growth is not purely organic",diagnostic,"same-store and acquired cohort split"
IUP-020,Sterling,reported cash after company capex,H1 2026,258.375,USD millions,combined-investment-research-industrial-uptime-sterling-backlog-quality-separation-2026-09-17.md,"Reported cash screen not normalized owner cash",observed,"contract assets retainage tax leases and claims"
IUP-021,United Rentals,gross rental capex,H1 2026,2.931,USD billions,capital-flow-uri-abl-public-disclosure-proxy-bridge-pass-1.md,"Fleet investment is not comparable to distributor property spend",observed,"utilization replacement and used-equipment proceeds"
IUP-022,United Rentals,facility availability proxy,Q2 2026,2.887,USD billions,capital-flow-uri-abl-public-disclosure-proxy-bridge-pass-1.md,"ABL plus AR capacity reconciles to liquidity less cash",facility-availability-visible,"populated borrowing-base certificate and reserves"
IUP-023,Industrial cohort,QoE gate,2026,"same-entity same-period cash-or-claim reconciliation",qualitative,combined-investment-research-industrial-uptime-qoe-diagnostic-register-2026-09-17.md,"Diagnostics are prompts and not a fraud score",control,"period-matched promotion bundle"
IUP-024,Industrial cohort,Damodaran handoff,2026,"contracted conversion stress cases",qualitative,combined-investment-research-industrial-uptime-valuation-macro-handoff-2026-09-17.md,"Valuation remains a qualified expectation screen",qualified,"normalized owner cash and reinvestment evidence"
IUP-025,Industrial cohort,Lyn Alden handoff,2026,"rates credit inflation power scarcity liquidity",qualitative,combined-investment-research-industrial-uptime-valuation-macro-handoff-2026-09-17.md,"Macro conditions are transmission mechanisms not forecasts",qualified,"repeated company-period response"
IUP-026,Sterling,accounts receivable,H1 2026,269.508,USD millions movement,combined-investment-research-industrial-uptime-sterling-project-cash-bridge-pass-1-2026-09-17.md,"Receivables increased materially; collection timing is not disclosed at project level",diagnostic,"same-period collection or aging bridge"
IUP-027,Sterling,contract assets,H1 2026,55.141,USD millions movement,combined-investment-research-industrial-uptime-sterling-project-cash-bridge-pass-1-2026-09-17.md,"Higher unbilled revenue and retainage create a conversion test",diagnostic,"project billing and cash conversion"
IUP-028,Sterling,contract retainage,H1 2026,72.8,USD millions contract-asset retainage,combined-investment-research-industrial-uptime-sterling-project-cash-bridge-pass-1-2026-09-17.md,"Approximately 60% is expected within twelve months, but receipt is not observed",partial,"retainage collection and final settlement"
IUP-029,Sterling,contract estimate change,H1 2026,138.9,USD millions net revenue increase,combined-investment-research-industrial-uptime-sterling-project-cash-bridge-pass-1-2026-09-17.md,"Prior-period estimate changes are a QoE prompt, not a manipulation finding",diagnostic,"project margin and cash corroboration"
IUP-030,Sterling,acquisition cash and earn-out,H1 2026,147.752,USD millions cash acquisitions plus earn-out payments,combined-investment-research-industrial-uptime-sterling-project-cash-bridge-pass-1-2026-09-17.md,"Acquisition and earn-out burdens reduce the mechanical owner-cash screen",observed,"post-close cohort cash return"
IUP-031,WESCO,cash taxes and interest,H1 2026,326.9,USD millions cash paid,combined-investment-research-industrial-uptime-wesco-fastenal-owner-cash-burden-bundle-pass-1-2026-09-17.md,"Cash tax and interest are already inside OCF and must not be double-counted",control,"same-period owner-claim denominator"
IUP-032,Fastenal,cash taxes and interest,H1 2026,205.0,USD millions cash paid,combined-investment-research-industrial-uptime-wesco-fastenal-owner-cash-burden-bundle-pass-1-2026-09-17.md,"Cash tax and interest are already inside OCF and must not be double-counted",control,"same-period owner-claim denominator"
IUP-033,WESCO,post-OCF financing claims,H1 2026,136.8,USD millions share-settlement taxes plus common dividends,combined-investment-research-industrial-uptime-wesco-fastenal-owner-cash-burden-bundle-pass-1-2026-09-17.md,"Post-OCF claims are visible but are not automatically operating deductions",diagnostic,"dilution and recurring capital-allocation policy"
IUP-034,Fastenal,post-OCF distributions and repurchases,H1 2026,601.2,USD millions common dividends plus repurchases,combined-investment-research-industrial-uptime-wesco-fastenal-owner-cash-burden-bundle-pass-1-2026-09-17.md,"Distributions are capital-allocation uses, not an automatic owner-cash deduction",diagnostic,"recurring reinvestment and owner-claim treatment"
IUP-035,United Rentals,rental-equipment purchases,H1 2026,2720,USD millions,combined-investment-research-industrial-uptime-uri-fleet-lifecycle-bridge-pass-1-2026-09-17.md,"Gross fleet investment is not separable into maintenance and growth from this filing",observed,"replacement-capex and lifecycle return"
IUP-036,United Rentals,rental-equipment sale proceeds,H1 2026,680,USD millions,combined-investment-research-industrial-uptime-uri-fleet-lifecycle-bridge-pass-1-2026-09-17.md,"Resale recovery is visible but not recurring owner cash",observed,"fleet age utilization and used-equipment recovery"
IUP-037,United Rentals,working-capital cash support,H1 2026,737,USD millions AP plus accrued-liability source,combined-investment-research-industrial-uptime-uri-fleet-lifecycle-bridge-pass-1-2026-09-17.md,"Supplier and accrued-liability movements support reported OCF and require persistence testing",diagnostic,"same-period supplier terms and collections"
IUP-038,United Rentals,facility availability proxy,Q2 2026,2887,USD millions,combined-investment-research-industrial-uptime-uri-fleet-lifecycle-bridge-pass-1-2026-09-17.md,"Public facility proxy reconciles to liquidity less cash but is not certificate-grade",qualified,"populated borrowing-base certificate"
IUP-039,Industrial cohort,upstream source-family handoff,2026,"social -> Inc5000 -> IBIS -> filings -> QoE -> valuation -> liquidity",qualitative,combined-investment-research-industrial-uptime-source-family-handoff-2026-09-17.md,"Claim-specific source routes are explicit; upstream signals remain directional",control,"same-entity same-period operating and cash proof"
IUP-040,Sterling,organic backlog growth,Q2 2026,50,percent year-over-year excluding CEC and Stone Ridge,combined-investment-research-industrial-uptime-sterling-organic-acquisition-backlog-refresh-2026-09-17.md,"Reported backlog growth remains substantial after an acquisition-exclusion control",observed,"organic revenue margin working capital and collection bridge"
IUP-041,Sterling,acquired signed backlog,Q2 2026,1.32,USD billions,combined-investment-research-industrial-uptime-sterling-organic-acquisition-backlog-refresh-2026-09-17.md,"CEC and Stone Ridge contribute material signed backlog",observed,"post-close cohort cash return"
IUP-042,Sterling,acquired unsigned awards,Q2 2026,1.24,USD billions,combined-investment-research-industrial-uptime-sterling-organic-acquisition-backlog-refresh-2026-09-17.md,"Acquisition contribution also dominates a material unsigned-award layer",diagnostic,"award-to-contract-to-cash conversion"
IUP-043,Sterling,backlog comparability control,Q2 2026,"RHB deconsolidation",qualitative,combined-investment-research-industrial-uptime-sterling-organic-acquisition-backlog-refresh-2026-09-17.md,"Historical backlog comparisons require an RHB perimeter control",control,"same-perimeter backlog roll-forward"
IUP-044,WESCO,quarterly operating cash flow,Q2 2026,53.7,USD millions,combined-investment-research-industrial-uptime-wesco-fastenal-quarterly-persistence-screen-2026-09-17.md,"Q2 OCF declined year over year despite record sales and strong data-center demand",diagnostic,"next comparable quarter and receivable inventory supplier-term bridge"
IUP-045,Fastenal,OCF to net income conversion,Q2 2026,69.4,percent,combined-investment-research-industrial-uptime-wesco-fastenal-quarterly-persistence-screen-2026-09-17.md,"Conversion declined from 84.4 percent while management cited working-capital use during strong sales growth",diagnostic,"receivable inventory service lease maintenance and customer-site burden"
IUP-046,Fastenal,shareholder distributions,Q2 2026,305,USD millions,combined-investment-research-industrial-uptime-wesco-fastenal-quarterly-persistence-screen-2026-09-17.md,"Distributions were approximately 80 percent of net income and require coverage by post-burden owner cash",diagnostic,"complete owner-cash denominator and distribution coverage"
