industrial_baseline_id,linked_manifest_id,linked_cipe_id,company,ticker,source_id,source_file,source_type,period,subtheme,exact_metric_label,value,unit,evidence_bucket,safe_claim,boundary,next_source
CIIAB-016,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-EX99,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,funding and liquidity,Total liquidity at December 31 2025,3.322,B USD,liquidity-baseline,United Rentals had 3.322B USD of total liquidity at year-end 2025 including 459M USD of cash.,Liquidity is funding capacity rather than proof of specific fleet funding source.,ABL and accounts receivable securitization tables
CIIAB-017,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-10K,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-10k.html,SEC 10-K,FY 2025,funding and leverage,Total long-term debt at December 31 2025,12.652,B USD,balance-sheet-context,United Rentals had 12.652B USD of total long-term debt at year-end 2025.,Company-level debt needs facility and maturity mapping before source-of-funds claims.,debt maturity table
CIIAB-018,CIPSM-006,CIPE-003,United Rentals Inc.,URI,URI-FY2025-EX99,raw/sec/industrial-goods/rental-leasing-services/united-rentals-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2026 guidance,fleet capex guide,2026 gross rental capital expenditure guide,4.3-4.7,B USD,guidance-baseline,United Rentals guided 2026 gross rental capex to 4.3B-4.7B USD.,Guidance is not spent capital and needs 2026 actual roll-forward.,FY2026 10-K and quarterly filings
CIIAB-019,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-EX99,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,specialty construction revenue,Revenue for FY2025,2.49,B USD,revenue-baseline,Sterling generated FY2025 revenue of 2.49B USD.,Revenue includes segment mix and acquisition effects that must be separated.,segment revenue table
CIIAB-020,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-EX99,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,specialty construction profitability,Adjusted EBITDA for FY2025,503.8,M USD,cash-conversion-baseline,Sterling generated FY2025 adjusted EBITDA of 503.8M USD.,Adjusted EBITDA is non-GAAP and not funded backlog or project-return proof.,EBITDA reconciliation
CIIAB-021,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-10K,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-10k.html,SEC 10-K,FY 2025,specialty construction cash conversion,Net cash provided by operating activities,439.988,M USD,cash-conversion-baseline,Sterling generated 439.988M USD of operating cash flow in FY2025.,Operating cash flow must be reconciled with contract assets liabilities and acquisition effects.,working capital and contract asset tables
CIIAB-022,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-10K,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-10k.html,SEC 10-K,FY 2025,specialty construction capex,Capital expenditures incurred in 2025,77.3,M USD,capex-baseline,Sterling incurred 77.3M USD of capital expenditures in FY2025.,Capital expenditures support construction capacity but do not prove customer project funding.,property and equipment note
CIIAB-023,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-EX99,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,backlog visibility,Signed backlog at December 31 2025,3.01,B USD,signed-backlog-baseline,Sterling ended 2025 with 3.01B USD of signed backlog.,Backlog estimates future revenue but can be delayed modified or cancelled.,RPO and contract backlog footnotes
CIIAB-024,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-EX99,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,backlog visibility,CEC contribution to signed backlog,488.9,M USD,acquisition-contribution-baseline,CEC contributed 488.9M USD to Sterling's signed backlog at year-end 2025.,Acquisition contribution must be separated from organic backlog growth.,CEC acquisition and pro forma tables
CIIAB-025,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-EX99,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,backlog visibility,Combined backlog at December 31 2025,3.31,B USD,combined-backlog-baseline,Sterling ended 2025 with 3.31B USD of combined backlog.,Combined backlog includes unsigned awards and is weaker evidence than signed backlog.,signed versus unsigned backlog table
CIIAB-026,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-EX99,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,backlog visibility,Unsigned Awards included in combined backlog,300.7,M USD,unsigned-awards-baseline,Sterling's combined backlog included 300.7M USD of unsigned awards at year-end 2025.,Unsigned awards are not signed funded backlog.,contract execution evidence
CIIAB-027,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-EX99,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,backlog visibility,CEC contribution to unsigned awards,226.4,M USD,acquisition-contribution-baseline,CEC contributed 226.4M USD of unsigned awards at year-end 2025.,Unsigned acquisition-related awards should not be treated as organic signed work.,CEC backlog and award tables
CIIAB-028,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-EX99,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,future-phase visibility,High-probability future phase work,>1.0,B USD,future-phase-baseline,Sterling disclosed more than 1.0B USD of high-probability future-phase work tied to current projects.,Future-phase opportunities are not signed backlog or guaranteed revenue.,project/customer follow-through
CIIAB-029,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-EX99,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,FY 2025,visibility pool,Signed backlog unsigned awards and future phase opportunities pool,~4.5,B USD,visibility-baseline,Sterling framed signed backlog unsigned awards and future-phase opportunities as approaching 4.5B USD of work visibility.,The visibility pool mixes evidence levels and should not be counted as funded backlog.,source-level visibility taxonomy
CIIAB-030,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-EX99,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,Q4 2025,E-Infrastructure and mission-critical mix,E-Infrastructure Solutions revenue growth in Q4 2025,123,% YoY,segment-shift-baseline,Sterling's Q4 E-Infrastructure Solutions revenue grew 123% year over year including CEC.,CEC and organic site-development growth must be separated.,segment and acquisition contribution table
CIIAB-031,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-EX99,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-q4-ex99-earnings-release.html,SEC 8-K exhibit,Q4 2025,E-Infrastructure and mission-critical mix,Legacy site development revenue growth excluding CEC,67,% YoY,organic-growth-baseline,Sterling disclosed 67% Q4 growth in the legacy site-development business excluding CEC.,Organic revenue growth still needs customer and project funding detail.,customer/project mix table
CIIAB-032,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-10K,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-10k.html,SEC 10-K,FY 2025,acquisition finance and capability build,CEC purchase price,562,M USD,acquisition-capability-baseline,Sterling's 2025 CEC acquisition added electrical and mechanical contractor capability inside E-Infrastructure Solutions.,Purchase price proves acquisition capital deployment but not organic market growth.,purchase accounting and pro forma contribution
CIIAB-033,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-10K,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-10k.html,SEC 10-K,FY 2025,funding and balance sheet,Cash and cash equivalents at December 31 2025,390.721,M USD,liquidity-baseline,Sterling had 390.721M USD of cash and equivalents at year-end 2025.,Cash does not identify project-level funding or backlog funding quality.,cash-flow and debt tables
CIIAB-034,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-10K,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-10k.html,SEC 10-K,FY 2025,funding and balance sheet,Term Loan Facility outstanding borrowings at December 31 2025,292.5,M USD,debt-baseline,Sterling had 292.5M USD outstanding under its term loan facility at year-end 2025.,Term loan debt does not map to individual customer projects.,credit agreement and debt schedule
CIIAB-035,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-10K,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-10k.html,SEC 10-K,FY 2025,funding and balance sheet,Revolving Credit Facility aggregate principal amount,150,M USD,liquidity-baseline,Sterling's revolving credit facility had aggregate principal capacity up to 150M USD at year-end 2025.,Revolver capacity is general liquidity not proof of funded project work.,credit agreement amendments
CIIAB-036,CIPSM-008,CIPE-004,Sterling Infrastructure Inc.,STRL,STRL-FY2025-10K,raw/sec/industrial-goods/heavy-construction/sterling-infrastructure-inc/2025-10k.html,SEC 10-K,FY 2025,funding and balance sheet,Outstanding borrowings under Revolving Credit Facility at December 31 2025,0,M USD,liquidity-baseline,Sterling had no outstanding borrowings under the revolving credit facility at year-end 2025.,Zero borrowings does not mean projects are self-funded; working-capital timing still matters.,working-capital and contract asset/liability detail
