inspection_row_id,rank,cusip,identifier_quality,match_status,issuer_or_description_sample,disposal_consideration_usd,year_end_book_value_usd,disposal_book_value_at_disposal_usd,disposal_realized_gain_loss_usd,disposal_interest_or_dividends_received_usd,first_disposal_date,last_disposal_date,top_purchaser_or_disposition_type,economic_disposition_class,router_or_counterparty_signal,candidate_tier,proof_upgrade_test,disproof_or_hold_test,safe_interpretation,boundary,next_action
CFAASCBCHI-019,19,69346Y-AU-7,standard-cusip-like,disposal-only-cusip-visible,Pk Airfinance Paf 20 PK AIRFINANCE 2020 C-F 5.000% 01/20/35,255959999.000000,0.000000,433021.000000,0.000000,12122550.000000,10/01/2025,10/01/2025,Various,market-sale-or-counterparty-cash-candidate,no-major-router-label-detected,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition","named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-020,20,09581C-AC-5,standard-cusip-like,disposal-only-cusip-visible,Blue Owl Credit Income Corp Senior Unsecured 5.800% 03/15/30,248691300.000000,0.000000,105112099.000000,0.000000,7141717.000000,02/13/2025,05/02/2025,Tax Free Exchange,tax-free-exchange-hold,Blue Owl,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields",hold if consideration represents exchange accounting rather than spendable cash,"named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-021,21,09581C-AA-9,standard-cusip-like,disposal-only-cusip-visible,Blue Owl Credit Income Corp Senior Unsecured 6.600% 09/15/29,248457664.000000,0.000000,40811340.000000,0.000000,9356417.000000,03/14/2025,05/02/2025,Tax Free Exchange,tax-free-exchange-hold,Blue Owl,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields",hold if consideration represents exchange accounting rather than spendable cash,"named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-022,22,04941*-AB-0,statutory-private-or-marker-cusip,disposal-only-cusip-visible,Atlas Securitized Products Fun ATLAS Funding 1 A2A 5.688% 05/25/63,243635074.000000,0.000000,132492844.000000,0.000000,11727208.000000,03/28/2025,11/25/2025,Redemption 100,redemption-or-call-cash-candidate,no-major-router-label-detected,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition","named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-023,23,04941*-AD-6,statutory-private-or-marker-cusip,disposal-only-cusip-visible,Atlas Securitized Products Fun ATLAS Funding 1 A2B 5.688% 05/25/63,243635074.000000,0.000000,132595786.000000,0.000000,5810363.000000,03/28/2025,11/25/2025,Redemption 100,redemption-or-call-cash-candidate,no-major-router-label-detected,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition","named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-024,24,G2963@-AA-0,statutory-private-or-marker-cusip,disposal-only-cusip-visible,"AP Hansel SPV, LLC A",239567317.000000,0.000000,-994246.000000,0.000000,7097325.000000,01/01/2025,02/07/2025,"Paydown 69,123 09/19/2047",principal-paydown-cash-candidate,no-major-router-label-detected,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition","named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-025,25,00196#-AB-6,statutory-private-or-marker-cusip,disposal-only-cusip-visible,AOP Finance Partners LP AOP 7.132% 03/31/41,233025661.000000,0.000000,10989331.000000,0.000000,20698391.000000,07/30/2025,12/30/2025,Paydown,principal-paydown-cash-candidate,no-major-router-label-detected,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition","named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-026,26,20633K-AN-8,standard-cusip-like,holding-and-disposal-same-cusip-visible,Concord Music Royalties LLC TUNES 2025-3A A,229053398.000000,215167585.000000,224990141.000000,0.000000,4733250.000000,07/01/2025,07/01/2025,Santander US Capital Markets L 11/20/2025 AARE Surplus AAM,market-sale-or-counterparty-cash-candidate,no-major-router-label-detected,tier-1-same-cusip-cash-candidate,"inspect source rows, counterparty label, numeric columns, and lot-level continuity before promotion","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition",same-CUSIP candidate where Schedule D shows both year-end holding context and cash-like proceeds/disposition evidence,"ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-027,27,000249-AA-0,standard-cusip-like,disposal-only-cusip-visible,AA MMF 1 LTD AA 5.804% 10/08/51,222810000.000000,0.000000,-5985.000000,0.000000,13358310.000000,09/30/2025,09/30/2025,Paydown,principal-paydown-cash-candidate,no-major-router-label-detected,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition","named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-028,28,317384-AA-3,standard-cusip-like,disposal-only-cusip-visible,Finance of America Structured FASST 2022-S5 A1 3.000% 05/25/62,219081899.000000,0.000000,70167217.000000,0.000000,5142977.000000,05/13/2025,12/25/2025,Paydown,principal-paydown-cash-candidate,no-major-router-label-detected,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition","named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-029,29,03770D-AC-7,standard-cusip-like,disposal-only-cusip-visible,Apollo Debt Solutions Bdc Senior Unsecured 6.700% 07/29/31,215832148.000000,0.000000,-24804.000000,0.000000,8586981.000000,03/04/2025,03/04/2025,Various,market-sale-or-counterparty-cash-candidate,Apollo,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition","named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-030,30,G8868K-AB-8,standard-cusip-like,disposal-only-cusip-visible,"Tiger Global PIP 14 Holdings, Tiger Global Private Investmen 7.930% 03/14/28",213132473.000000,0.000000,-2439.000000,-626.000000,17623648.000000,03/13/2025,04/11/2025,NON-BROKER TRADE,market-sale-or-counterparty-cash-candidate,no-major-router-label-detected,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition","named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-031,31,592918-AA-4,standard-cusip-like,holding-and-disposal-same-cusip-visible,MF1 2025-B2 LLC MF1 2025-B2 A,209559375.000000,218271953.000000,209475000.000000,0.000000,1302655.000000,04/11/2025,04/11/2025,Piper Jaffray 05/28/2025 Various,market-sale-or-counterparty-cash-candidate,no-major-router-label-detected,tier-1-same-cusip-cash-candidate,"inspect source rows, counterparty label, numeric columns, and lot-level continuity before promotion","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition",same-CUSIP candidate where Schedule D shows both year-end holding context and cash-like proceeds/disposition evidence,"ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-032,32,G8868K-AD-4,standard-cusip-like,holding-and-disposal-same-cusip-visible,"Tiger Global PIP 14 Holdings, Tiger Global 7.93 14 Mar 28",206786650.000000,143023746.000000,201065914.000000,-63.000000,597627.000000,04/11/2025,11/26/2025,Paydown,principal-paydown-cash-candidate,no-major-router-label-detected,tier-1-same-cusip-cash-candidate,"reconcile paydown consideration to principal reduction, remaining year-end book value, and interest received","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition",same-CUSIP candidate where Schedule D shows both year-end holding context and cash-like proceeds/disposition evidence,"ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-033,33,04020E-AA-5,standard-cusip-like,disposal-only-cusip-visible,Ares Strategic Income Fund Senior Unsecured 6.350% 08/15/29,206256730.000000,0.000000,4759072.000000,0.000000,12752212.000000,01/31/2025,05/28/2025,Tax Free Exchange,tax-free-exchange-hold,Ares,tier-3-disposal-only-or-no-year-end-holding,"prove full sale/maturity/paydown status or corrected year-end identifier, then reconcile consideration and book/gain/loss fields",hold if consideration represents exchange accounting rather than spendable cash,"named disposal/proceeds row visible, but no year-end holding match in the current Schedule D holdings parser","ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-034,34,91282C-LW-9,standard-cusip-like,holding-and-disposal-same-cusip-visible,United States Treasury Note/Bo US TREASURY N/B,190593750.000000,309490013.000000,1250129554.000000,0.000000,41356210.000000,02/12/2025,03/10/2025,Goldman Sachs,market-sale-or-counterparty-cash-candidate,Goldman Sachs,tier-1-same-cusip-cash-candidate,"inspect source rows, counterparty label, numeric columns, and lot-level continuity before promotion","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition",same-CUSIP candidate where Schedule D shows both year-end holding context and cash-like proceeds/disposition evidence,"ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
CFAASCBCHI-035,35,28655*-AB-5,statutory-private-or-marker-cusip,holding-and-disposal-same-cusip-visible,Eliant Invest Holding LP. C,189464130.000000,8794796.000000,1155994.000000,-9.000000,4279337.000000,02/03/2025,12/24/2025,Various,market-sale-or-counterparty-cash-candidate,no-major-router-label-detected,tier-1-same-cusip-cash-candidate,"inspect source rows, counterparty label, numeric columns, and lot-level continuity before promotion","hold if parser columns are shifted, duplicate subtotals exist, or proceeds cannot be tied to a real disposition",same-CUSIP candidate where Schedule D shows both year-end holding context and cash-like proceeds/disposition evidence,"ranked inspection row; not final lot-level continuity, borrower cash, liability-cost spread, or asset-return proof","inspect raw source rows for this CUSIP and reconcile consideration, book value, gain/loss, interest, and disposition economics"
