force_slug,theme_slug,theme_memo,sector,industry,company,ticker,priority,why_it_belongs
the-compute-super-cycle,capital-intensity-and-investment-concentration,analysis/themes/capital-intensity-and-investment-concentration-initial-theme-memo.md,Real Estate,Real Estate Development,CBRE Group Inc.,medium,Project execution and critical-infrastructure advisory monetize the compute buildout without owning the full asset base
the-breach-economy,regulation-trust-and-sovereignty-risk,analysis/themes/regulation-trust-and-sovereignty-risk-initial-theme-memo.md,Technology,Networking & Communication Devices,Palo Alto Networks Inc.,PANW,high,Enterprise trust spending and platformized cybersecurity are direct beneficiaries of persistent breach risk
the-breach-economy,regulation-trust-and-sovereignty-risk,analysis/themes/regulation-trust-and-sovereignty-risk-initial-theme-memo.md,Technology,Application Software,Microsoft Corporation,MSFT,medium,Security governance and enterprise trust are now embedded in broader platform economics
the-breach-economy,regulation-trust-and-sovereignty-risk,analysis/themes/regulation-trust-and-sovereignty-risk-initial-theme-memo.md,Industrial Goods,Waste Management,"Waste Management, Inc.",WM,medium,Infrastructure and regulated service operators now carry more security and compliance burden inside operations
the-compliance-tax,regulation-trust-and-sovereignty-risk,analysis/themes/regulation-trust-and-sovereignty-risk-initial-theme-memo.md,Healthcare,Managed Health Care,UnitedHealth Group Incorporated,UNH,high,Policy transparency and reimbursement scrutiny directly shape operating earnings
the-compliance-tax,regulation-trust-and-sovereignty-risk,analysis/themes/regulation-trust-and-sovereignty-risk-initial-theme-memo.md,Financial,Money Center Banks,JPMorgan Chase & Co.,JPM,high,Scale banks absorb compliance and capital-rule complexity better than weaker peers
the-compliance-tax,regulation-trust-and-sovereignty-risk,analysis/themes/regulation-trust-and-sovereignty-risk-initial-theme-memo.md,Financial,Money Center Banks,Bank of America Corporation,BAC,medium,Large-bank operating model depends on regulatory capacity as an embedded moat
the-compliance-tax,regulation-trust-and-sovereignty-risk,analysis/themes/regulation-trust-and-sovereignty-risk-initial-theme-memo.md,Financial,Investment Brokerage - National,S&P Global Inc.,SPGI,medium,Ratings and benchmark infrastructure benefit from regulatory embedment and trusted information workflows
money-gets-unbundled,financial-large-bank-scale,analysis/themes/financial-large-bank-initial-theme-memo.md,Financial,Money Center Banks,JPMorgan Chase & Co.,JPM,high,Payments treasury services and capital-markets scale show how money infrastructure keeps concentrating
money-gets-unbundled,financial-large-bank-scale,analysis/themes/financial-large-bank-initial-theme-memo.md,Financial,Money Center Banks,Citigroup Inc.,C,medium,Cross-border services and treasury infrastructure are core evidence for unbundled financial plumbing
money-gets-unbundled,financial-premium-payments-and-membership,analysis/themes/financial-premium-payments-and-membership-initial-theme-memo.md,Financial,Credit Services,American Express Company,AXP,high,Premium card rails and membership economics are a direct read on payment-layer monetization
money-gets-unbundled,financial-asset-management-flows-and-fee-rate-pressure,analysis/themes/financial-asset-management-flows-and-fee-rate-pressure-initial-theme-memo.md,Financial,Asset Management,"BlackRock, Inc.",BLK,high,Platform-scale asset management shows ETF and technology-led unbundling of traditional active products
money-gets-unbundled,financial-asset-management-flows-and-fee-rate-pressure,analysis/themes/financial-asset-management-flows-and-fee-rate-pressure-initial-theme-memo.md,Financial,Asset Management,"T. Rowe Price Group, Inc.",TROW,medium,Legacy active-management economics show the fee-rate and wrapper-migration pressure side of the same force
money-gets-unbundled,financial-asset-management-flows-and-fee-rate-pressure,analysis/themes/financial-asset-management-flows-and-fee-rate-pressure-initial-theme-memo.md,Financial,Asset Management,Invesco Ltd.,IVZ,medium,ETF and index-heavy scale demonstrates adaptation to the migration in product wrappers
money-gets-unbundled,financial-alternative-manager-fees-and-realizations,analysis/themes/financial-alternative-manager-fees-and-realizations-initial-theme-memo.md,Financial,Asset Management,Blackstone Inc.,BX,high,Alternative-manager economics shift value capture toward private markets fee streams and wealth channels
money-gets-unbundled,financial-alternative-manager-fees-and-realizations,analysis/themes/financial-alternative-manager-fees-and-realizations-initial-theme-memo.md,Financial,Asset Management,"Apollo Global Management, Inc.",APO,high,Insurance-linked origination and retirement-services economics extend the unbundling of traditional finance
money-gets-unbundled,financial-market-infrastructure-and-risk-transfer,analysis/themes/financial-market-infrastructure-and-risk-transfer-initial-theme-memo.md,Financial,Investment Brokerage - National,CME Group Inc.,CME,high,Exchange clearing and data monetization show money moving through benchmark risk-transfer infrastructure
money-gets-unbundled,financial-ratings-benchmarks-and-data-infrastructure,analysis/themes/financial-ratings-benchmarks-and-data-infrastructure-initial-theme-memo.md,Financial,Investment Brokerage - National,S&P Global Inc.,SPGI,high,Ratings benchmarks and data workflows are part of the financial-information toll-road layer
atoms-strike-back,industrial-automation-and-infrastructure,analysis/themes/industrial-automation-and-infrastructure-initial-theme-memo.md,Industrial Goods,Construction & Farm Machinery,Caterpillar Inc.,CAT,high,Heavy equipment and infrastructure demand make the physical-capacity cycle visible
atoms-strike-back,industrial-automation-and-infrastructure,analysis/themes/industrial-automation-and-infrastructure-initial-theme-memo.md,Industrial Goods,Industrial Equipment & Components,Trane Technologies plc,TT,medium,Cooling retrofits and building systems turn digital demand into physical plant upgrades
atoms-strike-back,industrial-automation-and-infrastructure,analysis/themes/industrial-automation-and-infrastructure-initial-theme-memo.md,Industrial Goods,Waste Management,"Waste Management, Inc.",WM,medium,Environmental infrastructure and route-density economics show physical-world service defensibility
the-electrification,industrial-automation-and-infrastructure,analysis/themes/industrial-automation-and-infrastructure-initial-theme-memo.md,Industrial Goods,Industrial Electrical Equipment,Eaton Corporation plc,ETN,high,Electrical architecture backlog and power-quality demand are direct electrification evidence
the-electrification,industrial-automation-and-infrastructure,analysis/themes/industrial-automation-and-infrastructure-initial-theme-memo.md,Industrial Goods,Industrial Equipment & Components,Trane Technologies plc,TT,high,HVAC and cooling demand tie electrification to buildings and data-center infrastructure
the-electrification,capital-intensity-and-investment-concentration,analysis/themes/capital-intensity-and-investment-concentration-initial-theme-memo.md,Industrial Goods,Industrial Electrical Equipment,Eaton Corporation plc,ETN,high,One of the clearest downstream beneficiaries of concentrated infrastructure capex
the-margin-vise,consumer-goods-value-portfolio,analysis/themes/consumer-goods-value-portfolio-initial-theme-memo.md,Consumer Goods,Processed & Packaged Goods,PepsiCo Inc.,PEP,high,Portfolio pricing productivity and value architecture show margin management under consumer pressure
the-margin-vise,consumer-goods-value-portfolio,analysis/themes/consumer-goods-value-portfolio-initial-theme-memo.md,Consumer Goods,Personal Products,Kimberly-Clark Corp.,KMB,medium,Household staples demonstrate cost pass-through discipline in trusted care categories
the-margin-vise,consumer-goods-value-portfolio,analysis/themes/consumer-goods-value-portfolio-initial-theme-memo.md,Consumer Goods,Packaging & Containers,Graphic Packaging Holding Company,GPK,high,Packaging economics show consumer affordability and inflation pressure passing upstream into price-volume mix footprint actions and cash-flow triage
the-margin-vise,services-freight-brokerage-and-productivity,analysis/themes/services-freight-brokerage-and-productivity-initial-theme-memo.md,Services,Air Delivery & Freight Services,"United Parcel Service, Inc.",UPS,medium,Transformation and revenue-quality actions are responses to margin pressure rather than clean demand strength
the-channel-shift,cultural-value-trust-and-automation,analysis/themes/cultural-value-trust-and-automation-initial-theme-memo.md,Consumer Goods,Personal Products,Procter & Gamble Co.,PG,medium,Trusted routine-use brands remain resilient as consumers rebalance value and habit
the-channel-shift,cultural-value-trust-and-automation,analysis/themes/cultural-value-trust-and-automation-initial-theme-memo.md,Consumer Goods,Processed & Packaged Goods,PepsiCo Inc.,PEP,medium,Affordable daily-consumption portfolio is a clean read on cautious consumer channel behavior
the-channel-shift,cultural-value-trust-and-automation,analysis/themes/cultural-value-trust-and-automation-initial-theme-memo.md,Technology,Internet Information Providers,Alphabet Inc.,GOOGL,medium,Consumer attention and commerce routing increasingly depend on digital discovery and platform trust
the-health-reckoning,healthcare-policy-and-portfolio,analysis/themes/healthcare-policy-and-portfolio-initial-theme-memo.md,Healthcare,Managed Health Care,UnitedHealth Group Incorporated,UNH,high,Healthcare economics are being reset by policy scrutiny reimbursement pressure and operating discipline
the-health-reckoning,healthcare-policy-and-portfolio,analysis/themes/healthcare-policy-and-portfolio-initial-theme-memo.md,Healthcare,Drug Manufacturers - General,Pfizer Inc.,PFE,medium,Pharma portfolio reset and cost realignment show the post-pandemic healthcare earnings adjustment
the-health-reckoning,healthcare-policy-and-portfolio,analysis/themes/healthcare-policy-and-portfolio-initial-theme-memo.md,Healthcare,Medical Care Facilities,"HCA Healthcare, Inc.",HCA,medium,Provider-side execution and payer-mix sensitivity expose the practical strain in the system
the-pricing-power-collapse,healthcare-policy-and-portfolio,analysis/themes/healthcare-policy-and-portfolio-initial-theme-memo.md,Healthcare,Medical Instruments & Supplies,Abbott Laboratories,ABT,medium,Device and diagnostics growth depends on mix reimbursement and installed-base monetization rather than pure price power
the-pricing-power-collapse,healthcare-policy-and-portfolio,analysis/themes/healthcare-policy-and-portfolio-initial-theme-memo.md,Healthcare,Drug Manufacturers - General,Johnson & Johnson,JNJ,medium,Diversified healthcare earnings still face pricing and reimbursement complexity as active operating variables
the-pricing-power-collapse,healthcare-policy-and-portfolio,analysis/themes/healthcare-policy-and-portfolio-initial-theme-memo.md,Healthcare,Managed Health Care,UnitedHealth Group Incorporated,UNH,high,Pricing and reimbursement pressure now sit at the center of managed-care earnings logic
the-hollow-middle,institutional-operating-infrastructure,analysis/themes/institutional-operating-infrastructure-initial-theme-memo.md,Services,Business Services,APi Group Corporation,APG,medium,Recurring inspection and monitoring revenue reflects outsourcing of compliance-heavy middle layers
the-hollow-middle,institutional-operating-infrastructure,analysis/themes/institutional-operating-infrastructure-initial-theme-memo.md,Industrial Goods,Business Services,"ABM Industries, Inc.",ABM,medium,Facilities and technical-site operations show hollowing out of in-house operational middle layers
the-hollow-middle,institutional-operating-infrastructure,analysis/themes/institutional-operating-infrastructure-initial-theme-memo.md,Services,Apparel Stores,Cintas Corporation,CTAS,high,Uniforms safety and facility services are a clean example of outsourced recurring workplace infrastructure
the-hollow-middle,institutional-operating-infrastructure,analysis/themes/institutional-operating-infrastructure-initial-theme-memo.md,Consumer Goods,Packaging & Containers,Graphic Packaging Holding Company,GPK,medium,Everyday consumption increasingly depends on outsourced packaging middleware rather than only on brand ownership and retail shelf presence
the-hollow-middle,institutional-operating-infrastructure,analysis/themes/institutional-operating-infrastructure-initial-theme-memo.md,Real Estate,Real Estate Development,CBRE Group Inc.,CBRE,medium,Property operations project execution and critical-infrastructure intermediation are increasingly externalized into specialist operators
the-hollow-middle,institutional-operating-infrastructure,analysis/themes/institutional-operating-infrastructure-initial-theme-memo.md,Real Estate,Real Estate Development,Jones Lang LaSalle Inc.,JLL,medium,Workplace management and project services show the built environment running through outsourced operating expertise
the-great-consolidation,institutional-operating-infrastructure,analysis/themes/institutional-operating-infrastructure-initial-theme-memo.md,Services,Air Delivery & Freight Services,"United Parcel Service, Inc.",UPS,medium,Network density and scale economics favor large operators as service layers consolidate
the-great-consolidation,institutional-operating-infrastructure,analysis/themes/institutional-operating-infrastructure-initial-theme-memo.md,Industrial Goods,Waste Management,"Waste Management, Inc.",WM,high,Route density landfill ownership and acquisition integration are classic consolidation-force evidence
the-great-consolidation,financial-large-bank-scale,analysis/themes/financial-large-bank-initial-theme-memo.md,Financial,Money Center Banks,JPMorgan Chase & Co.,JPM,high,Scale concentration is the central fact pattern in large-bank financial infrastructure
the-real-estate-reckoning,real-estate-reckoning,analysis/themes/real-estate-reckoning-initial-theme-memo.md,Real Estate,REIT - Industrial Real Estate,Prologis Inc.,PLD,high,Logistics property shows the capital rotation toward scarce infrastructure land embedded rent growth and strategic power-adjacent optionality
the-real-estate-reckoning,real-estate-reckoning,analysis/themes/real-estate-reckoning-initial-theme-memo.md,Real Estate,REIT - Specialty Real Estate,Equinix Inc.,EQIX,high,Digital infrastructure and interconnection density make real estate look like network infrastructure rather than generic property
the-real-estate-reckoning,real-estate-reckoning,analysis/themes/real-estate-reckoning-initial-theme-memo.md,Real Estate,REIT - Office Real Estate,Digital Realty Trust Inc.,DLR,high,Legacy office taxonomy is breaking as powered-capacity hyperscale and private-capital development drive the economics
the-real-estate-reckoning,real-estate-reckoning,analysis/themes/real-estate-reckoning-initial-theme-memo.md,Real Estate,REIT - Residential Real Estate,"AvalonBay Communities, Inc.",AVB,medium,Housing and multifamily NOI provide the steadier residential counterweight inside a more infrastructure-heavy sector
the-real-estate-reckoning,real-estate-reckoning,analysis/themes/real-estate-reckoning-initial-theme-memo.md,Real Estate,Real Estate Development,CBRE Group Inc.,CBRE,high,Leasing capital-markets recovery facilities operations and critical-infrastructure project work show the value of the service layer around property
the-real-estate-reckoning,real-estate-reckoning,analysis/themes/real-estate-reckoning-initial-theme-memo.md,Real Estate,Real Estate Development,Jones Lang LaSalle Inc.,JLL,medium,Selective office recovery workplace management and project execution confirm that services and intermediation are central to the new sector map
