retail_system,subtype_family,company_name,ticker,sector,industry,company_packet_path,relationship_type,main_repeat_behavior,frequency_band,physical_embedding_level,main_second_monetization_layer,price_or_identity_axis,discretionary_intensity,primary_monetization_side,main_open_extension,last_updated,status
"Bargain-discovery retail","value-hunt retail","The TJX Companies, Inc.",TJX,Services,"Apparel Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/apparel-stores/tjx-companies-inc/company-packet.md","scaled multi-banner treasure-hunt relationship","repeat discovery trips and dense physical traffic","medium-frequency discovery repeat","high","sourcing flexibility merchandise turn and branded-value capture","value-hunt at global scale","mid discretionary intensity","buyer-traffic weighted","use as the scaled anchor against Ross Burlington and Ollie's",2026-08-10,in-progress
"Brand-led relationship retail","brand-led retail","NIKE, Inc.",NKE,Retail,"Apparel, Shoe & Accessory Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/retail/apparel-shoe-accessory-stores/nike-inc/company-packet.md","performance and aspiration-led brand-control relationship","repeat brand engagement and athletic identity participation","medium-frequency identity repeat","mid","DTC mix pricing power and customer-file control","identity performance and aspiration","high discretionary intensity","buyer-brand weighted","compare against weaker or lower-price brand-control models rather than another top-tier athletic name",2026-08-10,in-progress
"Brand-led relationship retail","brand-led retail","lululemon athletica inc.",LULU,"Consumer Goods","Textile - Apparel Clothing","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/textile-apparel-clothing/lululemon-athletica-inc/company-packet.md","premium wellness and community relationship","repeat engagement around movement wellness and premium apparel identity","medium-frequency identity repeat","mid","DTC control community and category extension","identity wellness and premium positioning","high discretionary intensity","buyer-brand weighted","compare against Nike and lower-friction brand systems",2026-08-10,in-progress
"Brand-led relationship retail","brand-led retail","Levi Strauss & Co.",LEVI,"Consumer Goods","Apparel Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/apparel-stores/levi-strauss-co/company-packet.md","heritage-brand and denim-control relationship","repeat engagement through fit heritage and global brand familiarity","medium-frequency wardrobe repeat","mid","DTC mix data ownership and category extension","heritage identity and mass reach","mid discretionary intensity","buyer-brand weighted","compare against Gap and American Eagle on weaker multi-brand or youth-sensitive apparel control",2026-08-10,in-progress
"Brand-led relationship retail","brand-led retail","Abercrombie & Fitch Co.",ANF,"Consumer Goods","Apparel Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/apparel-stores/abercrombie-fitch-co/company-packet.md","stronger mall-sensitive brand-execution relationship","repeat shopping tied to cultural relevance and brand heat","medium-frequency fashion repeat","mid","brand execution margin quality and first-party demand","identity and cultural relevance","high discretionary intensity","buyer-brand weighted","compare against Gap and American Eagle as cleaner versus weaker mall-apparel outcomes",2026-08-10,in-progress
"Brand-led relationship retail","brand-led retail","Gap Inc.",GAP,Services,"Apparel Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/apparel-stores/gap-inc/company-packet.md","uneven multi-brand portfolio relationship","repeat shopping mediated by banner strength and portfolio repair","medium-frequency fashion repeat","mid","portfolio mix digital and brand repair","identity with uneven execution","mid discretionary intensity","buyer-brand weighted","compare against Abercrombie and American Eagle on stronger versus weaker mall-brand systems",2026-08-10,in-progress
"Brand-led relationship retail","brand-led retail","American Eagle Outfitters, Inc.",AEO,Services,"Apparel Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/apparel-stores/american-eagle-outfitters-inc/company-packet.md","youth-apparel relationship with sub-brand imbalance","repeat youth shopping with one stronger identity sub-brand carrying the mix","medium-frequency fashion repeat","mid","sub-brand mix customer-file ownership and DTC","youth identity and lower-price positioning","mid discretionary intensity","buyer-brand weighted","compare against Gap and Abercrombie on portfolio imbalance versus cultural strength",2026-08-10,in-progress
"Brand-led relationship retail","brand-led retail","Urban Outfitters, Inc.",URBN,Services,"Apparel Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/apparel-stores/urban-outfitters-inc/company-packet.md","lifestyle-curation and access-oriented relationship","repeat brand and assortment engagement plus rental-subscription behavior","medium-frequency lifestyle repeat","mid","Nuuly subscription multi-brand curation and data","identity lifestyle and access","mid-to-high discretionary intensity","buyer-brand weighted","compare against Gap and American Eagle on curation versus classic mall-banner behavior",2026-08-10,in-progress
"Brand-led relationship retail","brand-led retail","Victoria's Secret & Co.",VSCO,"Consumer Goods","Apparel Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/apparel-stores/victorias-secret-co/company-packet.md","female-identity and beauty-adjacent relationship","repeat shopping tied to fit beauty heat and category authority","medium-frequency identity repeat","mid","brand heat direct engagement and beauty adjacency","identity fit and self-presentation","high discretionary intensity","buyer-brand weighted","compare against Bath & Body Works and Tapestry on adjacent self-presentation systems",2026-08-10,in-progress
"Brand-led relationship retail","brand-led retail","Bath & Body Works, Inc.",BBWI,Retail,"Specialty Retail, Other","/home/manishmehta/ui-projects/annual-report-research/extracted/retail/specialty-retail-other/bath-body-works/company-packet.md","specialty self-care and scent relationship","repeat shopping tied to category ritual brand familiarity and loyalty","medium-frequency ritual repeat","mid","loyalty base and product reinvention","identity ritual and category authority","mid discretionary intensity","buyer-brand weighted","compare against Victoria's Secret and Ulta on beauty-adjacent repeat behavior",2026-08-10,in-progress
"Brand-led relationship retail","brand-led retail","Tapestry, Inc.",TPR,"Consumer Goods","Textile - Apparel Clothing","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/textile-apparel-clothing/tapestry-inc/company-packet.md","accessible-luxury and visible-status relationship","repeat engagement through handbags gifting and emotional connection","lower-frequency high-value repeat","mid","DTC brand heat and category authority","status self-expression and aspiration","high discretionary intensity","buyer-brand weighted","compare against Levi and Victoria's Secret on visible-status versus heritage or beauty-adjacent identity",2026-08-10,in-progress
"Brand-led relationship retail","brand-led retail","Deckers Outdoor Corp.",DECK,"Consumer Goods","Textile - Apparel Footwear & Accessories","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/textile-apparel-footwear-accessories/deckers-outdoor-corp/company-packet.md","performance-plus-comfort relationship","repeat demand through running performance and comfort-lifestyle attachment","medium-frequency identity repeat","mid","brand mix pricing power and channel balance","performance comfort and wellness","high discretionary intensity","buyer-brand weighted","compare against Crocs and Birkenstock on different comfort and wellness lanes",2026-08-10,in-progress
"Brand-led relationship retail","brand-led retail","Crocs, Inc.",CROX,"Consumer Goods","Textile - Apparel Footwear & Accessories","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/textile-apparel-footwear-accessories/crocs-inc/company-packet.md","mass comfort and casualization relationship","repeat demand tied to ease identity and low-friction wearability","medium-frequency identity repeat","mid","DTC expansion and global brand familiarity","comfort casualization and mass identity","mid discretionary intensity","buyer-brand weighted","compare against Deckers and Birkenstock on lower-friction comfort versus premium performance or practical wellness",2026-08-10,in-progress
"Brand-led relationship retail","brand-led retail","Birkenstock Holding plc",BIRK,Services,"Apparel Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/apparel-stores/birkenstock-holding-plc/company-packet.md","practical wellness and premium-utility relationship","repeat demand tied to foot health alignment and premium utility","medium-frequency identity repeat","mid","pricing power B2B sell-through and category extension","wellness utility and comfort","mid-to-high discretionary intensity","buyer-brand weighted","compare against Deckers and Crocs on practical wellness versus performance or mass casualization",2026-08-10,in-progress
"Beauty-and-discovery retail","beauty retail","Ulta Beauty, Inc.",ULTA,Services,"Specialty Retail, Other","/home/manishmehta/ui-projects/annual-report-research/extracted/services/specialty-retail-other/ulta-beauty-inc/company-packet.md","beauty discovery and loyalty relationship widened by services and marketplace assortment","repeat replenishment plus experimentation and service attachment","medium-to-high frequency beauty repeat","mid","services media marketplace assortment loyalty","beauty identity and discovery","mid discretionary intensity","balanced buyer-plus-brand monetization","compare against Bath & Body Works and e.l.f. Beauty on retailer versus brand beauty economics",2026-08-10,in-progress
"Retail-service hybrid","service-stabilized retail","Best Buy Co., Inc.",BBY,Services,"Electronics Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/electronics-stores/best-buy-co-inc/company-packet.md","electronics relationship stabilized by services and support layers","repeat electronics and services interaction around a weaker core cycle","lower-frequency service and replacement repeat","high","services attachment ads marketplace and support","utility with weaker category heat","mid discretionary intensity","buyer-plus-service weighted","compare against utility retail and marketplaces on where services can compensate for weaker merchandise cycles",2026-08-10,in-progress
"Marketplace and recommerce retail","marketplace retail","eBay Inc.",EBAY,"Consumer Goods","Internet Service Providers","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/internet-service-providers/ebay/company-packet.md","seller-supply and trust-led marketplace relationship","repeat search listing enthusiast participation and resale activity","medium-frequency discovery repeat","low-to-mid","ads seller tools trust and listing economics","discovery and recommerce","mid discretionary intensity","seller-and-ad weighted","connect more directly to the trust-marketplace and broader marketplace indexes",2026-08-10,in-progress
"Pro-and-built-environment retail","project retail","The Home Depot, Inc.",HD,Services,"Home Improvement Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/services/home-improvement-stores/the-home-depot-inc/company-packet.md","maintenance project and pro-trade-distribution relationship","maintenance repair remodel storm and professional workflow demand","project-driven repeat","high","pro ecosystem capture delivery density trade credit and services","project demand maintenance utility and pro depth","mixed but project-utility heavy","buyer-plus-pro-service weighted","compare against Lowe's on pro-system depth and against Builders FirstSource on downstream versus upstream workflow capture",2026-08-10,in-progress
"Pro-and-built-environment retail","project retail","Lowe's Companies, Inc.",LOW,"Consumer Goods","Home Improvement Stores","/home/manishmehta/ui-projects/annual-report-research/extracted/consumer-goods/home-improvement-stores/lowes-companies-inc/company-packet.md","maintenance project and pro-workflow relationship","maintenance repair remodel and professional workflow demand","project-driven repeat","high","pro ecosystem capture delivery services and workflow integration","project demand and maintenance utility","mixed but project-utility heavy","buyer-plus-pro-service weighted","compare directly against Home Depot on similar industry different sector placement and different pro-system thickening speed",2026-08-10,in-progress
