system_family,blind_spot_lane,lane_type,core_problem_in_taxonomy,main_anchor_set,main_memo_path,main_index_path,current_best_next_move,last_updated,status
"AnnualReports taxonomy blind spots","Local-demand coordination systems","subtype lane","old software-like labels do not distinguish merchant-logistics coordination movement-and-wallet coordination and grocery-demand retailer enablement","DoorDash; Uber; Instacart","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/local-demand-coordination-systems-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/marketplace-systems-index-2026-08-10.md","extend only if another name adds a clearly different mobility delivery merchant-software or retailer-enablement structure",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Trust marketplace systems","subtype lane","old retail travel and software labels do not distinguish creator-merchant trust recommerce trust and host-guest booking trust","Etsy; eBay; Airbnb","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/trust-marketplace-systems-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/marketplace-systems-index-2026-08-10.md","extend only if another resale travel or peer-supply name adds a genuinely different trust structure",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","DTC control and relationship ownership systems","business-model overlay","formal industries do not show whether a company owns demand directly or rents it through wholesale distributors or third-party platforms","Nike; Crocs; Deckers; Birkenstock; Levi Strauss; Tapestry; e.l.f. Beauty; YETI; Warby Parker","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/dtc-vs-channel-control-crosswalk-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/owned-demand-channel-control-index-2026-08-10.md","extend comparison quality across apparel footwear beauty hardgoods and eyewear rather than adding another basic anchor",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Value-hunt and bargain-discovery systems","behavior system","discount-store labels do not explain treasure-hunt traffic closeout opportunism or convenience-led value behavior","TJX; Ross; Burlington; Ollie's; Dollar General; Dollar Tree; Walmart","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/value-hunt-and-bargain-discovery-systems-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/value-hunt-systems-index-2026-08-10.md","extend only if another company sharpens off-price discovery closeout opportunism or convenience-led value",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Comfort casualization and practical-wellness systems","behavior system","footwear and apparel labels do not explain softness ease body confidence practical wellness or fit-linked everyday function","Crocs; Deckers; Birkenstock; lululemon; Planet Fitness; Warby Parker","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/comfort-casualization-and-practical-wellness-systems-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/comfort-wellness-systems-index-2026-08-10.md","extend only if another name sharpens mass comfort normalization premium wellness identity or care-linked fit confidence",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Ritual occasion and stimulation systems","behavior system","beverage restaurant and entertainment labels do not reveal ritual demand stimulation loops or socially activated frequency","Brown-Forman; Monster Beverage; Starbucks; Dutch Bros; Live Nation","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/ritual-occasion-and-stimulation-systems-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/ritual-occasion-systems-index-2026-08-10.md","extend only if another name sharpens frequency versus occasion or stimulation versus experience",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Routine-use trust and everyday-care systems","behavior system","staples and personal-care labels do not show which companies sit inside high-trust replenishment loops versus more episodic categories","Kenvue; Chewy; P&G; Colgate-Palmolive; Kimberly-Clark; Church & Dwight","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/routine-use-trust-and-everyday-care-systems-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/routine-use-systems-index-2026-08-10.md","extend only if another name sharpens staples trust healthcare-adjacent care or digital replenishment management",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Behind-the-shelf consumer infrastructure systems","hidden infrastructure lane","the site does not naturally group packaging waste environmental services and embedded support chains into one consumer-adjacent physical layer and does not separate broad waste-route density from specialized hazardous and remediation intensity very well","Graphic Packaging; Waste Management; Clean Harbors; Clearwater Paper; CECO Environmental","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/behind-the-shelf-consumer-infrastructure-systems-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/behind-the-shelf-infrastructure-index-2026-08-10.md","reuse the direct Graphic Packaging versus Clearwater versus WM versus CECO split first for packaging versus broad service versus plant-embedded control then reuse Waste Management versus Clean Harbors when the question is broad route-density cleanup versus specialized hazardous remediation emergency-response and re-refining intensity",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Delivery-layer and demand-routing systems","subtype lane","old freight services delivery and internet labels do not distinguish freight orchestration parcel-network density and consumer-interface-led last-mile coordination","C.H. Robinson; UPS; DoorDash","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/ch-robinson-vs-ups-vs-doordash-boundary-comparison-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/direct-boundary-comparisons-index-2026-08-10.md","extend only if another name adds a genuinely different routing delivery or logistics-control layer",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Modern real-estate and infrastructure systems","cross-sector correction layer","the source taxonomy splits one practical built-environment chain across Financial Real Estate Services Consumer Goods Industrial Goods and Basic Materials","Prologis; Equinix; Digital Realty; AvalonBay; CBRE; Home Depot; Lowe's; Builders FirstSource; Lennar; Sherwin-Williams; AECOM; Dycom","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/modern-real-estate-and-infrastructure-crosswalk-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/modern-real-estate-infrastructure-index-2026-08-10.md","extend only if another name sharpens logistics-property versus datacenter-property versus housing-cash-flow or ownership versus intermediation versus execution-system comparison quality",2026-08-10,in-progress
"AnnualReports taxonomy blind spots","Relationship-thickness systems","business-model overlay","sector labels do not reveal whether the relationship layer is thick mid-thickness thin-to-mid or thin","Starbucks; Costco; Delta; Marriott; Caesars; United; Hilton; Booking; Airbnb; Ulta; Lowe's; Coca-Cola; eBay; Ross; Dollar General; Burlington; Frontier","/home/manishmehta/ui-projects/annual-report-research/extracted/themes/thick-vs-thin-relationship-systems-2026-08-10.md","/home/manishmehta/ui-projects/annual-report-research/indexes/relationship-thickness-index-2026-08-10.md","extend only if another company materially sharpens the thick-versus-mid or thin-to-mid boundary",2026-08-10,in-progress
