theme_slug,theme_name,scope,description,linked_sectors,linked_industries,linked_companies,evidence_count,status,notes
healthcare-policy-and-portfolio,Healthcare policy and portfolio,initial-sector-theme,Healthcare earnings are currently being shaped less by simple demand stability and more by policy portfolio reset and operating discipline,Healthcare,Managed Health Care;Drug Manufacturers - General;Medical Care Facilities;Medical Instruments & Supplies,"UnitedHealth Group Incorporated;Pfizer Inc.;Johnson & Johnson;HCA Healthcare, Inc.;Abbott Laboratories;Thermo Fisher Scientific Inc.;Boston Scientific Corporation;Intuitive Surgical, Inc.;Stryker Corporation",50,in-progress,Initial healthcare memo now covers UnitedHealth Pfizer Johnson & Johnson HCA Abbott Thermo Fisher Boston Scientific Intuitive and Stryker across managed-care repricing governance and transparency reform AI-enabled simplification pharma non-COVID portfolio reset oncology mix pricing pressure cost realignment a diversified Innovative-Medicine-plus-MedTech platform with procedure-linked demand provider and hospital-operator economics including payer-mix pressure exchange-coverage churn Medicaid supplemental-payment timing and throughput-sensitive operating execution a device-and-diagnostics platform model with installed-base and consumables economics category mix and acquisition-supported diagnostics expansion a life-science-tools and serving-science model with analytical-tools breadth lab systems recurring consumables biopharma services PPI execution and acquisition-supported workflow expansion a cleaner pure-play medtech case centered on cardiovascular category leadership physician adoption and procedure-volume-sensitive device innovation a robotic-surgery and installed-system case centered on placements utilization recurring instruments-and-service revenue and workflow embedment and an orthopaedics robotics and hospital-capital medtech case centered on implants procedure-room capital demand Mako and enabling technologies cyber-recovery execution and hospital workflow embedment
industrial-automation-and-infrastructure,Industrial automation and infrastructure,initial-sector-theme,Industrial-goods earnings are currently being shaped more by infrastructure intensity power demand electrification architecture building-systems demand defense-program visibility rail-network discipline environmental-infrastructure demand outsourced technical-facilities work and automation-platform simplification than by a generic manufacturing rebound,Industrial Goods,Construction & Farm Machinery;Aerospace/Defense Products & Services;Industrial Electrical Equipment;Industrial Equipment & Components;Railroads;Waste Management;Business Services,"Caterpillar Inc.;Honeywell International Inc.;Eaton Corporation plc;Trane Technologies plc;Northrop Grumman Corp.;Union Pacific Corporation;Waste Management, Inc.;ABM Industries, Inc.",58,in-progress,Initial industrial memo now covers Caterpillar Honeywell Eaton Trane Northrop Union Pacific Waste Management and ABM across power infrastructure backlog services monetization data-center-linked demand transformers cooling electrical architecture commercial HVAC building controls thermal management defense modernization strategic-deterrence backlog rail pricing intermodal and grain freight flows network productivity merger-related regulatory overhang environmental infrastructure including landfill economics recycling and RNG throughput Stericycle integration and healthcare-waste compliance and outsourced facilities infrastructure including airport operations semiconductor-fab support battery-storage exposure datacenter-related services and WGNSTAR-driven technical-services expansion
services-freight-brokerage-and-productivity,Services freight brokerage and productivity,initial-sector-theme,Services earnings are currently being shaped more by pricing discipline recurring revenue quality route or network density workflow automation backlog and channel mix and cost-to-serve management than by a clean macro demand upswing,Services,Air Delivery & Freight Services;Personal Services;Business Services;Apparel Stores,"C.H. Robinson Worldwide Inc.;United Parcel Service, Inc.;Rollins, Inc.;APi Group Corporation;Cintas Corporation",40,in-progress,Initial services memo now covers CHRW UPS Rollins APi and Cintas across freight brokerage forwarding parcel delivery recurring pest-control field services safety and infrastructure business services and route-based workplace-services exposure with Amazon-glide-down execution automation pricing discipline revenue-quality management route density consumer-lead sensitivity backlog visibility recurring inspection and monitoring service-density economics and acquisition-integration sensitivity
cultural-value-trust-and-automation,Cultural value trust and automation,cross-sector,"Daily-life demand is being reorganized around value trust automation essential-service infrastructure trusted workflow layers packaging middleware built-environment service systems AI-mediated consumer interfaces and recurring membership-loyalty-subscription routines",Technology;Consumer Goods;Retail;Real Estate;Healthcare;Industrial Goods;Services,"Consumer Services;Internet Information Providers;Information Technology Services;Processed & Packaged Goods;Personal Products;Packaging & Containers;Specialty Retail, Other;Real Estate Development;Managed Health Care;Waste Management;Business Services;Air Delivery & Freight Services;Personal Services;Music & Video Stores;Discount, Variety Stores;Restaurants;Entertainment - Diversified;Lodging;Home Improvement Stores","Apple Inc.;Alphabet Inc.;Meta Platforms, Inc.;Netflix, Inc.;Amazon.com, Inc.;Walmart Inc.;Costco Wholesale Corporation;Starbucks Corporation;McDonald's Corporation;Walt Disney Co.;Live Nation Entertainment, Inc.;Hilton Worldwide Holdings Inc.;ServiceNow, Inc.;Accenture plc;PepsiCo Inc.;Procter & Gamble Co.;Kimberly-Clark Corp.;Colgate-Palmolive Co.;Graphic Packaging Holding Company;CBRE Group Inc.;Jones Lang LaSalle Inc.;UnitedHealth Group Incorporated;Waste Management, Inc.;ABM Industries, Inc.;United Parcel Service, Inc.;Cintas Corporation;Rollins, Inc.;The Home Depot, Inc.;Lowe's Companies, Inc.",29,in-progress,"The cultural memo now links cautious household behavior with recurring consumer systems built on membership loyalty subscriptions stored value and trusted interfaces across Meta Netflix Amazon Walmart Costco Starbucks McDonald's Disney Live Nation Hilton and now both Home Depot and Lowe's, alongside outsourced operating infrastructure such as logistics packaging property operations facilities waste healthcare administration workflow-governance systems and the built-environment maintenance and pro-trade layer."
institutional-operating-infrastructure,Institutional operating infrastructure,cross-sector,A larger share of the economy is running through outsourced operating infrastructure compliance-heavy services hidden workflow systems enterprise process-control layers packaging middleware and built-environment service intermediation,Technology;Consumer Goods;Services;Industrial Goods;Real Estate;Healthcare,Information Technology Services;Packaging & Containers;Air Delivery & Freight Services;Business Services;Waste Management;Real Estate Development;Managed Health Care,"ServiceNow, Inc.;Accenture plc;Graphic Packaging Holding Company;C.H. Robinson Worldwide Inc.;United Parcel Service, Inc.;Cintas Corporation;APi Group Corporation;ABM Industries, Inc.;Waste Management, Inc.;CBRE Group Inc.;Jones Lang LaSalle Inc.;UnitedHealth Group Incorporated",12,in-progress,Initial cross-sector infrastructure memo now connects workflow-governance software reinvention and managed-services execution packaging middleware freight brokerage parcel networks workplace uniforms and safety recurring inspection and monitoring facilities operations property and project intermediation environmental infrastructure and healthcare administration as one broader outsourced operating-system layer
capital-intensity-and-investment-concentration,Capital intensity and investment concentration,cross-sector,Capital intensity is concentrating in a smaller set of infrastructure owners while other companies increasingly live off or monetize those investment waves,Technology;Industrial Goods;Real Estate;Services;Healthcare;Financial,Consumer Services;Application Software;Internet Information Providers;Semiconductor - Specialized;Construction & Farm Machinery;Industrial Electrical Equipment;Industrial Equipment & Components;REIT - Industrial Real Estate;REIT - Specialty Real Estate;REIT - Office Real Estate;Real Estate Development;Business Services;Air Delivery & Freight Services;Managed Health Care;Money Center Banks,"Apple Inc.;Microsoft Corporation;Alphabet Inc.;NVIDIA Corporation;Caterpillar Inc.;Eaton Corporation plc;Trane Technologies plc;ABM Industries, Inc.;Prologis Inc.;Equinix Inc.;Digital Realty Trust Inc.;CBRE Group Inc.;United Parcel Service, Inc.;C.H. Robinson Worldwide Inc.;UnitedHealth Group Incorporated;JPMorgan Chase & Co.;Bank of America Corporation",17,in-progress,Initial capex memo now links hyperscale AI infrastructure spending semiconductor monetization electrical and cooling demand heavy-equipment pull-through outsourced technical-site support powered land interconnection-rich digital campuses project-execution beneficiaries asset-heavy versus asset-light logistics models and technology-led resilience investment in healthcare and banking
regulation-trust-and-sovereignty-risk,Regulation trust and sovereignty risk,cross-sector,Regulation trust and sovereignty risk are moving from background disclosure into core earnings logic,Technology;Healthcare;Financial;Industrial Goods,Consumer Services;Application Software;Internet Information Providers;Semiconductor - Specialized;Managed Health Care;Drug Manufacturers - General;Money Center Banks;Aerospace/Defense Products & Services;Waste Management,"Apple Inc.;Microsoft Corporation;Alphabet Inc.;Meta Platforms, Inc.;NVIDIA Corporation;UnitedHealth Group Incorporated;Pfizer Inc.;JPMorgan Chase & Co.;Bank of America Corporation;Honeywell International Inc.;Northrop Grumman Corp.;Waste Management, Inc.",12,in-progress,"Initial cross-sector regulation memo now connects tariffs antitrust privacy AI oversight export controls healthcare reimbursement and transparency banking capital treatment defense appropriations and environmental permitting as active operating variables rather than passive disclosures, and Meta adds a direct case where privacy access restrictions legal proceedings and European policy friction materially interact with core monetization"
real-estate-reckoning,Real estate reckoning,initial-sector-theme,Real-estate earnings are being reorganized around infrastructure scarcity power availability digital-demand density housing durability and outsourced service intermediation rather than a single office-and-rates cycle,Real Estate,REIT - Industrial Real Estate;REIT - Specialty Real Estate;REIT - Office Real Estate;REIT - Residential Real Estate;Real Estate Development,"Prologis Inc.;Equinix Inc.;Digital Realty Trust Inc.;AvalonBay Communities, Inc.;CBRE Group Inc.;Jones Lang LaSalle Inc.",24,in-progress,Initial real-estate memo now covers Prologis Equinix Digital Realty AvalonBay CBRE and JLL across logistics digital infrastructure residential housing and real-estate-services layers while explicitly reframing the sector away from legacy office-centric taxonomy
experience-status-and-community,Experience status and community,cross-sector,Scarce in-person experiences travel and premium membership ecosystems remain culturally and economically durable,Services;Financial,Entertainment - Diversified;Lodging;Credit Services,"Live Nation Entertainment, Inc.;Hilton Worldwide Holdings Inc.;American Express Company",9,in-progress,Initial memo now links live events branded hospitality and premium-card membership as one selective-demand and access-oriented spending cluster centered on experiences travel dining loyalty and status-bearing ecosystems
labor-intermediation-and-fractional-work,Labor intermediation and fractional work,cross-sector,More work is being bought through intermediated labor recurring service contracts and external execution layers rather than fully in-house headcount,Services;Technology,Staffing & Outsourcing Services;Business Services;Information Technology Services,"Robert Half Inc.;Accenture plc;Cintas Corporation;APi Group Corporation",12,in-progress,Initial memo now uses Robert Half as the clean direct staffing-and-talent-intermediation anchor and extends the frame through Accenture Cintas and APi to show how expert capacity recurring service labor and compliance-heavy operating work are increasingly sourced through external operators
labor-squeeze,Labor squeeze,cross-sector,Demand is increasingly running into skilled-labor field-execution and care-capacity constraints rather than only into weak end markets,Industrial Goods;Healthcare;Services,General Contractors;Medical Care Facilities;Business Services,"Comfort Systems USA, Inc.;HCA Healthcare, Inc.;ABM Industries, Inc.;Cintas Corporation",8,in-progress,Initial memo now uses Comfort Systems as the direct skilled-trades anchor and extends the frame through ABM HCA and Cintas to show that backlog throughput route density and care delivery all depend on scarce labor and execution capacity rather than only on demand
graying-market,Graying market,cross-sector,Aging is increasingly showing up as a housing care-intensity and service-capacity force rather than only as a generic healthcare-demand backdrop,Healthcare,Long-Term Care Facilities;Managed Health Care;Medical Care Facilities;Medical Instruments & Supplies,"Brookdale Senior Living Inc.;UnitedHealth Group Incorporated;HCA Healthcare, Inc.;Abbott Laboratories",9,in-progress,Initial memo now uses Brookdale as the direct senior-living anchor and extends the frame through UnitedHealth HCA and Abbott to show that aging affects housing support care financing provider throughput and device-and-diagnostics demand rather than only broad utilization
immigration-squeeze,Immigration squeeze,cross-sector,Immigration friction is increasingly showing up as a seasonal-labor field-services and physical-upkeep constraint rather than only as a macro-policy debate,Industrial Goods;Services,Business Services;Waste Management;Air Delivery & Freight Services,"BrightView Holdings, Inc.;ABM Industries, Inc.;Waste Management, Inc.;United Parcel Service, Inc.",6,in-progress,Initial memo now uses BrightView as the direct anchor because its `2025` filing explicitly discloses `H-2B` seasonal-worker dependence and extends the frame through adjacent labor-heavy physical-service operators to show that immigration-linked capacity pressure is a distinct subtype of the broader labor squeeze
commodity-whiplash,Commodity whiplash,cross-sector,Earnings are being shaped by violent moves in benchmark prices input costs asset reliability geopolitics restart timing and pricing pass-through rather than by a smooth cyclical recovery,Basic Materials,Agricultural Chemicals;Copper;Aluminum;Lumber, Wood Production;Specialty Chemicals;"CF Industries Holdings, Inc.;Nutrien Ltd.;Freeport-McMoRan Inc.;Alcoa Corporation;West Fraser Timber Co. Ltd.;The Sherwin-Williams Company",20,in-progress,"The memo now links nitrogen fertilizer integrated crop inputs copper aluminum housing-linked wood products and coatings as one volatile physical-systems cluster where prices energy costs outages tariffs duties restart timing and raw-material inflation pass-through all materially change earnings quality; Sherwin-Williams sharpens the downstream side because targeted pricing commercial and repaint strength and challenged DIY and new-residential demand show how cost pressure and end-market mix transmit into the built environment."
built-environment-housing-affordability-chain,Built environment housing affordability chain,cross-sector,Housing-linked earnings are increasingly being reorganized around affordability pressure maintenance resilience repair-and-remodel demand prefabrication value-added distribution upstream materials access and professional workflow rather than simple existing-home or starts volume alone,Industrial Goods;Basic Materials;Consumer Goods;Services,"General Building Materials;Lumber, Wood Production;Specialty Chemicals;Home Improvement Stores","Builders FirstSource, Inc.;West Fraser Timber Co. Ltd.;The Sherwin-Williams Company;Lowe's Companies, Inc.;The Home Depot, Inc.",15,in-progress,"The initial built-environment memo now links BLDR West Fraser Sherwin-Williams Lowe's and Home Depot as one cross-sector housing chain: West Fraser captures wood-product and shelter-input economics, BLDR captures starts pressure prefabrication and builder workflow, Sherwin captures coatings pricing and repaint resilience, and Lowe's plus Home Depot capture maintenance, pro-trade distribution, and the downstream consumer-versus-contractor demand split."
recurring-consumer-interfaces-and-membership-systems,Recurring consumer interfaces and membership systems,cross-sector,The strongest consumer relationships are increasingly monetized through memberships loyalty stored value subscriptions co-brand economics ad layers wallet infrastructure and repeat-use digital interfaces rather than through one-time transactions alone,Services;Retail;Financial,"Discount, Variety Stores;Retail-Grocery Stores;Restaurants;Music & Video Stores;Entertainment - Diversified;Resorts & Casinos;Lodging;Major Airlines;Credit Services;Specialty Retail, Other;Apparel, Shoe & Accessory Stores","Amazon.com, Inc.;Costco Wholesale Corporation;Walmart Inc.;The Kroger Company;Starbucks Corporation;McDonald's Corporation;Domino's Pizza, Inc.;Netflix, Inc.;Walt Disney Co.;Caesars Entertainment, Inc.;Hilton Worldwide Holdings Inc.;Delta Air Lines, Inc.;American Express Company;NIKE, Inc.",28,in-progress,"Initial memo now links Prime Costco membership Walmart and Kroger ecosystem layers Starbucks stored value McDonald's loyalty Domino's direct ordering Netflix recurring access Disney franchise membership Caesars Rewards Hilton Honors Delta SkyMiles American Express membership economics and Nike's first-party relationship push as one broader recurring-interface and relationship-control theme"
loyalty-currencies-partner-monetization-and-deferred-revenue,Loyalty currencies partner monetization and deferred revenue,cross-sector,Several consumer-facing businesses are increasingly monetized through loyalty currencies co-brand partner economics stored value deferred revenue and advance-commitment balance-sheet mechanisms rather than only through one-time transactions,Services;Retail;Financial,"Major Airlines;Restaurants;Resorts & Casinos;Discount, Variety Stores;Entertainment - Diversified;Credit Services;Specialty Retail, Other","Delta Air Lines, Inc.;Starbucks Corporation;Caesars Entertainment, Inc.;Costco Wholesale Corporation;Live Nation Entertainment, Inc.;American Express Company;Amazon.com, Inc.",20,in-progress,"Initial memo now links Delta SkyMiles and American Express remuneration Starbucks stored-value and Stars deferred revenue Caesars Rewards and wallet economics Costco membership fees Live Nation deferred revenue visibility American Express membership-model economics and Amazon's subscription layer as one broader pre-funded and partner-monetized relationship theme"
